날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,26700.0,하락  850,27000.0,27000.0,23600.0,1109.0,삼정펄프,009770
2020-03-16,25600.0,"하락  1,100",26250.0,26250.0,24900.0,1631.0,삼정펄프,009770
2020-03-17,23350.0,"하락  2,250",22850.0,24850.0,22850.0,1711.0,삼정펄프,009770
2020-03-18,22750.0,하락  600,23350.0,23400.0,22000.0,439.0,삼정펄프,009770
2020-03-19,18000.0,"하락  4,750",22750.0,22750.0,18000.0,1268.0,삼정펄프,009770
2020-03-20,20900.0,"상승  2,900",18100.0,20900.0,18100.0,4082.0,삼정펄프,009770
2020-03-23,20900.0,보합0,19000.0,21100.0,19000.0,7403.0,삼정펄프,009770
2020-03-24,24500.0,"상승  3,600",20900.0,24500.0,20900.0,4719.0,삼정펄프,009770
2020-03-25,25000.0,상승  500,24950.0,25050.0,24500.0,6635.0,삼정펄프,009770
2020-03-26,24350.0,하락  650,25000.0,25000.0,23850.0,840.0,삼정펄프,009770
2020-03-27,22900.0,"하락  1,450",24350.0,24350.0,22800.0,1293.0,삼정펄프,009770
2020-03-30,23000.0,상승  100,22700.0,23800.0,22650.0,267.0,삼정펄프,009770
2020-03-31,23000.0,보합0,23000.0,23000.0,22400.0,1386.0,삼정펄프,009770
2020-04-01,22200.0,하락  800,23000.0,23000.0,21200.0,1277.0,삼정펄프,009770
2020-04-02,22200.0,보합0,22200.0,22200.0,21400.0,7704.0,삼정펄프,009770
2020-04-03,22250.0,상승  50,22200.0,22300.0,21700.0,2186.0,삼정펄프,009770
2020-04-06,22850.0,상승  600,22000.0,22850.0,21900.0,2574.0,삼정펄프,009770
2020-04-07,23150.0,상승  300,23350.0,23400.0,22700.0,4640.0,삼정펄프,009770
2020-04-08,24900.0,"상승  1,750",28400.0,29000.0,24450.0,50717.0,삼정펄프,009770
2020-04-09,24350.0,하락  550,25000.0,25050.0,24050.0,9881.0,삼정펄프,009770
2020-04-10,23150.0,"하락  1,200",24500.0,24500.0,22700.0,11145.0,삼정펄프,009770
2020-04-13,23000.0,하락  150,23150.0,23600.0,23000.0,3503.0,삼정펄프,009770
2020-04-14,23150.0,상승  150,23000.0,23350.0,22700.0,2398.0,삼정펄프,009770
2020-04-16,22750.0,하락  400,23200.0,23200.0,22750.0,2463.0,삼정펄프,009770
2020-04-17,22700.0,하락  50,22700.0,22800.0,22700.0,2605.0,삼정펄프,009770
2020-04-20,23200.0,상승  500,22900.0,23350.0,22900.0,3610.0,삼정펄프,009770
2020-04-21,22550.0,하락  650,23200.0,23200.0,22450.0,2451.0,삼정펄프,009770
2020-04-22,22800.0,상승  250,23750.0,23750.0,22600.0,4039.0,삼정펄프,009770
2020-04-23,23050.0,상승  250,23400.0,23400.0,22850.0,5892.0,삼정펄프,009770
2020-04-24,22900.0,하락  150,23050.0,23050.0,22700.0,5142.0,삼정펄프,009770
2020-04-27,23000.0,상승  100,22900.0,23000.0,22850.0,3381.0,삼정펄프,009770
2020-04-28,23300.0,상승  300,23450.0,23450.0,22900.0,2956.0,삼정펄프,009770
2020-04-29,23500.0,상승  200,23200.0,23650.0,23200.0,2269.0,삼정펄프,009770
2020-05-04,25150.0,"상승  1,650",23600.0,26500.0,23600.0,17869.0,삼정펄프,009770
2020-05-06,25650.0,상승  500,25500.0,25800.0,25200.0,3176.0,삼정펄프,009770
2020-05-07,26300.0,상승  650,25150.0,26300.0,25150.0,2590.0,삼정펄프,009770
2020-05-08,26250.0,하락  50,26900.0,26900.0,26100.0,2265.0,삼정펄프,009770
2020-05-11,25850.0,하락  400,26250.0,26250.0,25650.0,1752.0,삼정펄프,009770
