날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,10900.0,하락  900,12350.0,12500.0,10800.0,108910.0,삼화전기,009470
2020-03-17,10700.0,하락  200,10200.0,11100.0,10150.0,107311.0,삼화전기,009470
2020-03-18,9860.0,하락  840,10700.0,10950.0,9860.0,119187.0,삼화전기,009470
2020-03-19,7580.0,"하락  2,280",10050.0,10250.0,7500.0,250683.0,삼화전기,009470
2020-03-20,8600.0,"상승  1,020",7800.0,8660.0,7710.0,177954.0,삼화전기,009470
2020-03-23,8030.0,하락  570,8200.0,8430.0,7700.0,122192.0,삼화전기,009470
2020-03-24,8870.0,상승  840,8490.0,8890.0,8170.0,110048.0,삼화전기,009470
2020-03-25,9500.0,상승  630,9110.0,9790.0,9110.0,149959.0,삼화전기,009470
2020-03-26,9850.0,상승  350,9720.0,10600.0,9370.0,137337.0,삼화전기,009470
2020-03-27,10000.0,상승  150,10250.0,10550.0,9640.0,116937.0,삼화전기,009470
2020-03-30,10150.0,상승  150,9750.0,10250.0,9500.0,57806.0,삼화전기,009470
2020-03-31,10400.0,상승  250,10650.0,10650.0,10100.0,73672.0,삼화전기,009470
2020-04-01,10500.0,상승  100,10150.0,11400.0,10100.0,143382.0,삼화전기,009470
2020-04-02,11000.0,상승  500,10750.0,11050.0,10250.0,67598.0,삼화전기,009470
2020-04-03,11200.0,상승  200,11600.0,11600.0,11000.0,86360.0,삼화전기,009470
2020-04-06,11750.0,상승  550,11300.0,11750.0,11000.0,79780.0,삼화전기,009470
2020-04-07,13200.0,"상승  1,450",12100.0,13250.0,11900.0,165474.0,삼화전기,009470
2020-04-08,13350.0,상승  150,13100.0,13900.0,12650.0,149868.0,삼화전기,009470
2020-04-09,13450.0,상승  100,13700.0,13950.0,13200.0,97676.0,삼화전기,009470
2020-04-10,13200.0,하락  250,13800.0,14100.0,12650.0,103814.0,삼화전기,009470
2020-04-13,12750.0,하락  450,13000.0,13100.0,12650.0,59172.0,삼화전기,009470
2020-04-14,12950.0,상승  200,13150.0,13400.0,12800.0,47845.0,삼화전기,009470
2020-04-16,13450.0,상승  500,12950.0,13650.0,12850.0,62557.0,삼화전기,009470
2020-04-17,15100.0,"상승  1,650",14000.0,16600.0,13850.0,676346.0,삼화전기,009470
2020-04-20,15050.0,하락  50,15200.0,15350.0,14700.0,99974.0,삼화전기,009470
2020-04-21,14550.0,하락  500,14950.0,15050.0,13700.0,178973.0,삼화전기,009470
2020-04-22,14900.0,상승  350,14050.0,14900.0,13900.0,72604.0,삼화전기,009470
2020-04-23,14450.0,하락  450,15150.0,15200.0,14350.0,97996.0,삼화전기,009470
2020-04-24,14000.0,하락  450,14350.0,14700.0,13850.0,46942.0,삼화전기,009470
2020-04-27,14300.0,상승  300,14250.0,14400.0,14050.0,29878.0,삼화전기,009470
2020-04-28,14650.0,상승  350,14650.0,14900.0,14300.0,84763.0,삼화전기,009470
2020-04-29,14550.0,하락  100,14700.0,14900.0,14550.0,53543.0,삼화전기,009470
