날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2195.0,하락  150,2205.0,2275.0,1975.0,161370.0,삼화전자공업,011230
2020-03-16,2000.0,하락  195,2195.0,2295.0,1990.0,122664.0,삼화전자공업,011230
2020-03-17,1910.0,하락  90,1815.0,2030.0,1815.0,160031.0,삼화전자공업,011230
2020-03-18,1770.0,하락  140,1915.0,1990.0,1750.0,119823.0,삼화전자공업,011230
2020-03-19,1420.0,하락  350,1750.0,1800.0,1420.0,168411.0,삼화전자공업,011230
2020-03-20,1560.0,상승  140,1420.0,1645.0,1415.0,170902.0,삼화전자공업,011230
2020-03-23,1335.0,하락  225,1550.0,1550.0,1300.0,221315.0,삼화전자공업,011230
2020-03-24,1405.0,상승  70,1370.0,1415.0,1340.0,115788.0,삼화전자공업,011230
2020-03-25,1595.0,상승  190,1450.0,1745.0,1450.0,184945.0,삼화전자공업,011230
2020-03-26,1655.0,상승  60,1600.0,1680.0,1560.0,124573.0,삼화전자공업,011230
2020-03-27,1690.0,상승  35,1880.0,1885.0,1600.0,194282.0,삼화전자공업,011230
2020-03-30,1730.0,상승  40,1600.0,1755.0,1600.0,86641.0,삼화전자공업,011230
2020-03-31,1790.0,상승  60,1715.0,1955.0,1715.0,104402.0,삼화전자공업,011230
2020-04-01,1865.0,상승  75,1845.0,1910.0,1770.0,146601.0,삼화전자공업,011230
2020-04-02,1895.0,상승  30,1865.0,1925.0,1830.0,87367.0,삼화전자공업,011230
2020-04-03,1940.0,상승  45,1965.0,1985.0,1865.0,70007.0,삼화전자공업,011230
2020-04-06,2070.0,상승  130,1980.0,2080.0,1810.0,76708.0,삼화전자공업,011230
2020-04-07,2200.0,상승  130,2100.0,2215.0,2100.0,126977.0,삼화전자공업,011230
2020-04-08,2205.0,상승  5,2245.0,2260.0,2100.0,97313.0,삼화전자공업,011230
2020-04-09,2240.0,상승  35,2210.0,2350.0,2115.0,105703.0,삼화전자공업,011230
2020-04-10,2320.0,상승  80,2245.0,2465.0,2145.0,295830.0,삼화전자공업,011230
2020-04-13,2255.0,하락  65,2335.0,2335.0,2240.0,71775.0,삼화전자공업,011230
2020-04-14,2300.0,상승  45,2320.0,2465.0,2265.0,101414.0,삼화전자공업,011230
2020-04-16,2410.0,상승  110,2350.0,2425.0,2300.0,71476.0,삼화전자공업,011230
2020-04-17,2600.0,상승  190,2435.0,2780.0,2435.0,454681.0,삼화전자공업,011230
2020-04-20,2640.0,상승  40,2640.0,2700.0,2580.0,107310.0,삼화전자공업,011230
2020-04-21,2600.0,하락  40,2680.0,2680.0,2505.0,140136.0,삼화전자공업,011230
2020-04-22,2650.0,상승  50,2580.0,2650.0,2485.0,98931.0,삼화전자공업,011230
2020-04-23,2620.0,하락  30,2630.0,2690.0,2615.0,52991.0,삼화전자공업,011230
2020-04-24,2500.0,하락  120,2620.0,2620.0,2500.0,123916.0,삼화전자공업,011230
2020-04-27,2530.0,상승  30,2500.0,2660.0,2470.0,103995.0,삼화전자공업,011230
2020-04-28,2545.0,상승  15,2620.0,2620.0,2490.0,41990.0,삼화전자공업,011230
2020-04-29,2570.0,상승  25,2545.0,2585.0,2535.0,31319.0,삼화전자공업,011230
2020-05-04,2540.0,하락  30,2535.0,2570.0,2380.0,32865.0,삼화전자공업,011230
2020-05-06,2540.0,보합0,2550.0,2555.0,2490.0,46691.0,삼화전자공업,011230
2020-05-07,2515.0,하락  25,2540.0,2590.0,2500.0,92768.0,삼화전자공업,011230
