날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,46000.0,"하락  4,300",45000.0,48300.0,42000.0,553525.0,삼화콘덴서공업,001820
2020-03-16,40750.0,"하락  5,250",47200.0,48300.0,40750.0,537445.0,삼화콘덴서공업,001820
2020-03-17,40800.0,상승  50,37300.0,42300.0,37200.0,444246.0,삼화콘덴서공업,001820
2020-03-18,38500.0,"하락  2,300",41300.0,42600.0,38300.0,346823.0,삼화콘덴서공업,001820
2020-03-19,34500.0,"하락  4,000",40000.0,40400.0,33000.0,572802.0,삼화콘덴서공업,001820
2020-03-20,38250.0,"상승  3,750",35350.0,38400.0,35100.0,390073.0,삼화콘덴서공업,001820
2020-03-23,34950.0,"하락  3,300",34600.0,36650.0,34600.0,279260.0,삼화콘덴서공업,001820
2020-03-24,38500.0,"상승  3,550",37000.0,38800.0,35700.0,356379.0,삼화콘덴서공업,001820
2020-03-25,40900.0,"상승  2,400",40800.0,42200.0,39650.0,397346.0,삼화콘덴서공업,001820
2020-03-26,40750.0,하락  150,42000.0,42900.0,40100.0,318566.0,삼화콘덴서공업,001820
2020-03-27,40350.0,하락  400,42350.0,42500.0,39000.0,321280.0,삼화콘덴서공업,001820
2020-03-30,40250.0,하락  100,38500.0,40500.0,38500.0,166407.0,삼화콘덴서공업,001820
2020-03-31,40450.0,상승  200,40700.0,41550.0,39950.0,190420.0,삼화콘덴서공업,001820
2020-04-01,39650.0,하락  800,40500.0,42400.0,39400.0,258986.0,삼화콘덴서공업,001820
2020-04-02,40450.0,상승  800,39650.0,40450.0,38850.0,145681.0,삼화콘덴서공업,001820
2020-04-03,41100.0,상승  650,41200.0,41600.0,40000.0,180579.0,삼화콘덴서공업,001820
2020-04-06,44350.0,"상승  3,250",41450.0,44750.0,40500.0,511756.0,삼화콘덴서공업,001820
2020-04-07,47500.0,"상승  3,150",46000.0,47700.0,44600.0,579769.0,삼화콘덴서공업,001820
2020-04-08,47700.0,상승  200,46850.0,49000.0,46350.0,343688.0,삼화콘덴서공업,001820
2020-04-09,47700.0,보합0,48700.0,48950.0,47350.0,227449.0,삼화콘덴서공업,001820
2020-04-10,47350.0,하락  350,47700.0,48200.0,45300.0,245468.0,삼화콘덴서공업,001820
2020-04-13,45400.0,"하락  1,950",47400.0,47700.0,45350.0,181135.0,삼화콘덴서공업,001820
2020-04-14,46050.0,상승  650,46500.0,46800.0,45850.0,141456.0,삼화콘덴서공업,001820
2020-04-16,47600.0,"상승  1,550",46050.0,47750.0,45750.0,244807.0,삼화콘덴서공업,001820
2020-04-17,49550.0,"상승  1,950",48950.0,51900.0,48850.0,752501.0,삼화콘덴서공업,001820
2020-04-20,49200.0,하락  350,49700.0,50500.0,49050.0,220554.0,삼화콘덴서공업,001820
2020-04-21,48350.0,하락  850,48900.0,49200.0,46200.0,335967.0,삼화콘덴서공업,001820
2020-04-22,48400.0,상승  50,47250.0,48450.0,46650.0,160466.0,삼화콘덴서공업,001820
2020-04-23,48400.0,보합0,49050.0,49150.0,48400.0,134352.0,삼화콘덴서공업,001820
2020-04-24,47150.0,"하락  1,250",47500.0,48750.0,47050.0,117144.0,삼화콘덴서공업,001820
2020-04-27,47950.0,상승  800,47400.0,47950.0,47150.0,91835.0,삼화콘덴서공업,001820
2020-04-28,47300.0,하락  650,48400.0,48750.0,47300.0,157338.0,삼화콘덴서공업,001820
2020-04-29,48600.0,"상승  1,300",47350.0,49100.0,47350.0,206413.0,삼화콘덴서공업,001820
2020-05-04,48000.0,하락  600,47500.0,48950.0,47400.0,98182.0,삼화콘덴서공업,001820
2020-05-06,48950.0,상승  950,48600.0,49300.0,48400.0,124139.0,삼화콘덴서공업,001820
2020-05-07,49800.0,상승  850,48950.0,50500.0,48650.0,229095.0,삼화콘덴서공업,001820
2020-05-08,49900.0,상승  100,50400.0,50600.0,49750.0,160133.0,삼화콘덴서공업,001820
2020-05-11,49400.0,하락  500,50200.0,50300.0,48900.0,123711.0,삼화콘덴서공업,001820
2020-05-12,48800.0,하락  600,49250.0,49400.0,48250.0,110502.0,삼화콘덴서공업,001820
2020-05-13,50600.0,"상승  1,800",48000.0,52100.0,47950.0,392980.0,삼화콘덴서공업,001820
2020-05-14,49400.0,"하락  1,200",50100.0,50500.0,49050.0,162469.0,삼화콘덴서공업,001820
2020-05-15,49600.0,상승  200,50000.0,50200.0,49000.0,105021.0,삼화콘덴서공업,001820
2020-05-18,51900.0,"상승  2,300",49800.0,52500.0,49100.0,428685.0,삼화콘덴서공업,001820
2020-05-19,54900.0,"상승  3,000",54000.0,57500.0,52800.0,1657838.0,삼화콘덴서공업,001820
2020-05-20,56000.0,"상승  1,100",54900.0,56000.0,54000.0,239321.0,삼화콘덴서공업,001820
