날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,2505.0,하락  5,2455.0,2590.0,2455.0,43095.0,상신브레이크,041650
2020-03-17,2420.0,하락  85,2465.0,2560.0,2315.0,17083.0,상신브레이크,041650
2020-03-18,2380.0,하락  40,2425.0,2495.0,2375.0,9871.0,상신브레이크,041650
2020-03-19,2130.0,하락  250,2360.0,2390.0,2095.0,55570.0,상신브레이크,041650
2020-03-20,2125.0,하락  5,1975.0,2190.0,1975.0,41670.0,상신브레이크,041650
2020-03-23,2050.0,하락  75,1975.0,2115.0,1960.0,17748.0,상신브레이크,041650
2020-03-24,2105.0,상승  55,2020.0,2140.0,2020.0,42164.0,상신브레이크,041650
2020-03-25,2260.0,상승  155,2120.0,2330.0,2120.0,45220.0,상신브레이크,041650
2020-03-26,2345.0,상승  85,2240.0,2380.0,2200.0,37480.0,상신브레이크,041650
2020-03-27,2345.0,보합0,2360.0,2595.0,2310.0,48643.0,상신브레이크,041650
2020-03-30,2345.0,보합0,2345.0,2370.0,2305.0,9228.0,상신브레이크,041650
2020-03-31,2400.0,상승  55,2350.0,2450.0,2350.0,18848.0,상신브레이크,041650
2020-04-01,2465.0,상승  65,2400.0,2920.0,2400.0,217566.0,상신브레이크,041650
2020-04-02,2450.0,하락  15,2440.0,2490.0,2365.0,32710.0,상신브레이크,041650
2020-04-03,2450.0,보합0,2455.0,2500.0,2400.0,46852.0,상신브레이크,041650
2020-04-06,2545.0,상승  95,2470.0,2545.0,2400.0,21199.0,상신브레이크,041650
2020-04-07,2580.0,상승  35,2550.0,2620.0,2515.0,75103.0,상신브레이크,041650
2020-04-08,2640.0,상승  60,2585.0,2645.0,2525.0,43241.0,상신브레이크,041650
2020-04-09,2670.0,상승  30,2670.0,2720.0,2635.0,54506.0,상신브레이크,041650
2020-04-10,2675.0,상승  5,2690.0,2695.0,2625.0,35277.0,상신브레이크,041650
2020-04-13,2600.0,하락  75,2680.0,2685.0,2595.0,47976.0,상신브레이크,041650
2020-04-14,2650.0,상승  50,2600.0,2675.0,2600.0,27753.0,상신브레이크,041650
2020-04-16,2630.0,하락  20,2605.0,2635.0,2585.0,21469.0,상신브레이크,041650
2020-04-17,2715.0,상승  85,2630.0,2735.0,2630.0,44283.0,상신브레이크,041650
2020-04-20,2695.0,하락  20,2745.0,2745.0,2685.0,68836.0,상신브레이크,041650
2020-04-21,2650.0,하락  45,2715.0,2715.0,2570.0,34217.0,상신브레이크,041650
2020-04-22,2600.0,하락  50,2550.0,2700.0,2550.0,25496.0,상신브레이크,041650
2020-04-23,2660.0,상승  60,2600.0,2705.0,2555.0,13891.0,상신브레이크,041650
2020-04-24,2610.0,하락  50,2635.0,2660.0,2605.0,11042.0,상신브레이크,041650
2020-04-27,2670.0,상승  60,2610.0,2785.0,2610.0,29692.0,상신브레이크,041650
2020-04-28,2685.0,상승  15,2670.0,2710.0,2660.0,21491.0,상신브레이크,041650
2020-04-29,2760.0,상승  75,2675.0,2780.0,2675.0,26631.0,상신브레이크,041650
2020-05-04,2735.0,하락  25,2750.0,2850.0,2695.0,28867.0,상신브레이크,041650
2020-05-06,2750.0,상승  15,2740.0,2750.0,2695.0,50093.0,상신브레이크,041650
2020-05-07,2800.0,상승  50,2740.0,2890.0,2740.0,138963.0,상신브레이크,041650
2020-05-08,2830.0,상승  30,2885.0,2885.0,2775.0,79941.0,상신브레이크,041650
2020-05-11,2780.0,하락  50,2830.0,2845.0,2755.0,24718.0,상신브레이크,041650
2020-05-12,2705.0,하락  75,2785.0,2785.0,2685.0,26751.0,상신브레이크,041650
2020-05-13,2720.0,상승  15,2700.0,2720.0,2490.0,207839.0,상신브레이크,041650
2020-05-14,2580.0,하락  140,2680.0,2680.0,2575.0,135266.0,상신브레이크,041650
2020-05-15,2580.0,보합0,2555.0,2625.0,2515.0,55889.0,상신브레이크,041650
2020-05-18,2545.0,하락  35,2570.0,2575.0,2485.0,35181.0,상신브레이크,041650
2020-05-19,2580.0,상승  35,2545.0,2630.0,2540.0,35441.0,상신브레이크,041650
2020-05-20,2650.0,상승  70,2595.0,2650.0,2590.0,36254.0,상신브레이크,041650
2020-05-21,2635.0,하락  15,2655.0,2655.0,2610.0,36682.0,상신브레이크,041650
2020-05-22,2600.0,하락  35,2630.0,2650.0,2570.0,30122.0,상신브레이크,041650
2020-05-25,2610.0,상승  10,2620.0,2625.0,2575.0,17910.0,상신브레이크,041650
2020-05-26,2660.0,상승  50,2615.0,2675.0,2615.0,52744.0,상신브레이크,041650
2020-05-27,2640.0,하락  20,2690.0,3130.0,2640.0,1595836.0,상신브레이크,041650
2020-05-28,2570.0,하락  70,2665.0,2685.0,2520.0,201831.0,상신브레이크,041650
2020-05-29,2530.0,하락  40,2580.0,2585.0,2500.0,127914.0,상신브레이크,041650
2020-06-01,2545.0,상승  15,2505.0,2545.0,2505.0,82046.0,상신브레이크,041650
2020-06-02,2625.0,상승  80,2540.0,2645.0,2540.0,105162.0,상신브레이크,041650
2020-06-03,2720.0,상승  95,2660.0,2750.0,2625.0,374349.0,상신브레이크,041650
2020-06-04,2670.0,하락  50,2750.0,2750.0,2645.0,139752.0,상신브레이크,041650
2020-06-05,2670.0,보합0,2670.0,2730.0,2655.0,83438.0,상신브레이크,041650
2020-06-08,2710.0,상승  40,2700.0,2720.0,2655.0,224097.0,상신브레이크,041650
2020-06-09,2705.0,하락  5,2715.0,2735.0,2665.0,110988.0,상신브레이크,041650
2020-06-10,2710.0,상승  5,2700.0,2735.0,2685.0,124134.0,상신브레이크,041650
2020-06-11,2700.0,하락  10,2710.0,2725.0,2665.0,85100.0,상신브레이크,041650
2020-06-12,2610.0,하락  90,2530.0,2650.0,2530.0,95904.0,상신브레이크,041650
2020-06-15,2410.0,하락  200,2600.0,2600.0,2400.0,145799.0,상신브레이크,041650
2020-06-16,2525.0,상승  115,2435.0,2535.0,2435.0,39580.0,상신브레이크,041650
2020-06-17,2480.0,하락  45,2500.0,2535.0,2455.0,44295.0,상신브레이크,041650
2020-06-18,2520.0,상승  40,2480.0,2525.0,2455.0,21056.0,상신브레이크,041650
2020-06-19,2490.0,하락  30,2520.0,2535.0,2465.0,37810.0,상신브레이크,041650
2020-06-22,2480.0,하락  10,2485.0,2530.0,2480.0,27284.0,상신브레이크,041650
2020-06-23,2445.0,하락  35,2485.0,2510.0,2440.0,69136.0,상신브레이크,041650
2020-06-24,2375.0,하락  70,2415.0,2460.0,2370.0,122380.0,상신브레이크,041650
2020-06-25,2290.0,하락  85,2350.0,2370.0,2260.0,121971.0,상신브레이크,041650
2020-06-26,2310.0,상승  20,2305.0,2325.0,2275.0,42345.0,상신브레이크,041650
2020-06-29,2300.0,하락  10,2250.0,2300.0,2230.0,71227.0,상신브레이크,041650
2020-06-30,2270.0,하락  30,2295.0,2320.0,2250.0,58970.0,상신브레이크,041650
2020-07-01,2225.0,하락  45,2290.0,2295.0,2205.0,85799.0,상신브레이크,041650
2020-07-02,2225.0,보합0,2225.0,2250.0,2200.0,54491.0,상신브레이크,041650
2020-07-03,2250.0,상승  25,2230.0,2270.0,2220.0,51105.0,상신브레이크,041650
2020-07-06,2285.0,상승  35,2260.0,2290.0,2250.0,53079.0,상신브레이크,041650
2020-07-07,2265.0,하락  20,2290.0,2315.0,2255.0,46052.0,상신브레이크,041650
2020-07-08,2245.0,하락  20,2265.0,2270.0,2235.0,41706.0,상신브레이크,041650
2020-07-09,2255.0,상승  10,2235.0,2260.0,2230.0,17170.0,상신브레이크,041650
2020-07-10,2215.0,하락  40,2250.0,2255.0,2195.0,40193.0,상신브레이크,041650
2020-07-13,2265.0,상승  50,2215.0,2285.0,2215.0,22112.0,상신브레이크,041650
2020-07-14,2255.0,하락  10,2255.0,2270.0,2215.0,46019.0,상신브레이크,041650
2020-07-15,2400.0,상승  145,2260.0,2775.0,2255.0,1018817.0,상신브레이크,041650
2020-07-16,2425.0,상승  25,2395.0,2425.0,2320.0,225066.0,상신브레이크,041650
