날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,23400.0,하락  600,24300.0,25000.0,23150.0,29213.0,샘표식품,248170
2020-03-17,22800.0,하락  600,21700.0,23600.0,21700.0,32943.0,샘표식품,248170
2020-03-18,20700.0,"하락  2,100",22900.0,24050.0,20700.0,54609.0,샘표식품,248170
2020-03-19,18550.0,"하락  2,150",21050.0,21400.0,17850.0,102052.0,샘표식품,248170
2020-03-20,20250.0,"상승  1,700",18400.0,20450.0,18400.0,41264.0,샘표식품,248170
2020-03-23,19300.0,하락  950,19100.0,19850.0,19100.0,17948.0,샘표식품,248170
2020-03-24,20650.0,"상승  1,350",19500.0,21000.0,19350.0,18994.0,샘표식품,248170
2020-03-25,22150.0,"상승  1,500",21500.0,22250.0,20700.0,32526.0,샘표식품,248170
2020-03-26,22750.0,상승  600,22200.0,23400.0,22100.0,23494.0,샘표식품,248170
2020-03-27,22750.0,보합0,23500.0,23700.0,22200.0,22289.0,샘표식품,248170
2020-03-30,23200.0,상승  450,22050.0,23250.0,21650.0,18268.0,샘표식품,248170
2020-03-31,24100.0,상승  900,24000.0,24350.0,23600.0,22857.0,샘표식품,248170
2020-04-01,24700.0,상승  600,24100.0,27000.0,23700.0,112435.0,샘표식품,248170
2020-04-02,25100.0,상승  400,25000.0,25600.0,23750.0,26082.0,샘표식품,248170
2020-04-03,25150.0,상승  50,25450.0,26100.0,24950.0,14782.0,샘표식품,248170
2020-04-06,26000.0,상승  850,25300.0,26400.0,25150.0,20739.0,샘표식품,248170
2020-04-07,26300.0,상승  300,27000.0,27000.0,25550.0,20199.0,샘표식품,248170
2020-04-08,26300.0,보합0,26250.0,26600.0,25600.0,25428.0,샘표식품,248170
2020-04-09,27200.0,상승  900,26650.0,27250.0,26450.0,23693.0,샘표식품,248170
2020-04-10,26650.0,하락  550,27450.0,27500.0,26100.0,30145.0,샘표식품,248170
2020-04-13,27100.0,상승  450,26900.0,28250.0,26800.0,29349.0,샘표식품,248170
2020-04-14,27900.0,상승  800,27900.0,28000.0,27500.0,16542.0,샘표식품,248170
2020-04-16,28200.0,상승  300,27850.0,28600.0,27500.0,19246.0,샘표식품,248170
2020-04-17,28550.0,상승  350,28550.0,28700.0,28400.0,11067.0,샘표식품,248170
2020-04-20,28600.0,상승  50,28600.0,28900.0,28300.0,7636.0,샘표식품,248170
2020-04-21,28000.0,하락  600,28100.0,28600.0,26600.0,12624.0,샘표식품,248170
2020-04-22,27900.0,하락  100,27900.0,27950.0,27000.0,17442.0,샘표식품,248170
2020-04-23,28650.0,상승  750,27850.0,28700.0,27850.0,17417.0,샘표식품,248170
2020-04-24,28450.0,하락  200,28800.0,28800.0,28200.0,14664.0,샘표식품,248170
2020-04-27,29000.0,상승  550,28450.0,29250.0,28100.0,34712.0,샘표식품,248170
