날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2035.0,하락  220,2075.0,2130.0,1880.0,297882.0,선도전기,007610
2020-03-16,1950.0,하락  85,2035.0,2125.0,1950.0,152091.0,선도전기,007610
2020-03-17,1915.0,하락  35,1750.0,1945.0,1750.0,279024.0,선도전기,007610
2020-03-18,1850.0,하락  65,1915.0,1990.0,1825.0,217521.0,선도전기,007610
2020-03-19,1580.0,하락  270,1850.0,1895.0,1570.0,381947.0,선도전기,007610
2020-03-20,1680.0,상승  100,1580.0,1725.0,1565.0,278259.0,선도전기,007610
2020-03-23,1570.0,하락  110,1540.0,1610.0,1500.0,271057.0,선도전기,007610
2020-03-24,1665.0,상승  95,1590.0,1670.0,1585.0,173479.0,선도전기,007610
2020-03-25,1850.0,상승  185,1730.0,1850.0,1720.0,240049.0,선도전기,007610
2020-03-26,1950.0,상승  100,1895.0,2010.0,1840.0,263156.0,선도전기,007610
2020-03-27,1950.0,보합0,2050.0,2050.0,1875.0,150938.0,선도전기,007610
2020-03-30,1990.0,상승  40,1900.0,2000.0,1870.0,76618.0,선도전기,007610
2020-03-31,2215.0,상승  225,2010.0,2385.0,2005.0,289251.0,선도전기,007610
2020-04-01,2175.0,하락  40,2200.0,2245.0,2125.0,277455.0,선도전기,007610
2020-04-02,2170.0,하락  5,2170.0,2170.0,2070.0,91246.0,선도전기,007610
2020-04-03,2160.0,하락  10,2200.0,2210.0,2040.0,82200.0,선도전기,007610
2020-04-06,2230.0,상승  70,2160.0,2245.0,2160.0,248189.0,선도전기,007610
2020-04-07,2330.0,상승  100,2300.0,2340.0,2230.0,224641.0,선도전기,007610
2020-04-08,2330.0,보합0,2335.0,2365.0,2265.0,95443.0,선도전기,007610
2020-04-09,2380.0,상승  50,2345.0,2415.0,2340.0,136481.0,선도전기,007610
2020-04-10,2375.0,하락  5,2360.0,2390.0,2290.0,134610.0,선도전기,007610
2020-04-13,2310.0,하락  65,2375.0,2395.0,2305.0,72334.0,선도전기,007610
2020-04-14,2450.0,상승  140,2315.0,2615.0,2315.0,932711.0,선도전기,007610
2020-04-16,2730.0,상승  280,2505.0,2755.0,2440.0,641471.0,선도전기,007610
2020-04-17,2730.0,보합0,2800.0,2930.0,2700.0,613339.0,선도전기,007610
2020-04-20,2830.0,상승  100,2840.0,2970.0,2735.0,700487.0,선도전기,007610
2020-04-21,2790.0,하락  40,2880.0,2975.0,2595.0,636321.0,선도전기,007610
2020-04-22,2850.0,상승  60,2750.0,2850.0,2630.0,325734.0,선도전기,007610
2020-04-23,2835.0,하락  15,2855.0,2905.0,2800.0,227451.0,선도전기,007610
2020-04-24,2745.0,하락  90,2825.0,2885.0,2730.0,266915.0,선도전기,007610
2020-04-27,2800.0,상승  55,2760.0,2845.0,2755.0,162295.0,선도전기,007610
2020-04-28,2780.0,하락  20,2840.0,2840.0,2735.0,105163.0,선도전기,007610
2020-04-29,2790.0,상승  10,2790.0,2850.0,2760.0,106480.0,선도전기,007610
2020-05-04,2800.0,상승  10,2860.0,2890.0,2780.0,124168.0,선도전기,007610
2020-05-06,2830.0,상승  30,2890.0,2890.0,2770.0,113585.0,선도전기,007610
2020-05-07,2870.0,상승  40,2835.0,2970.0,2830.0,223989.0,선도전기,007610
2020-05-08,2915.0,상승  45,2880.0,2925.0,2875.0,135868.0,선도전기,007610
2020-05-11,2825.0,하락  90,2890.0,2905.0,2800.0,103750.0,선도전기,007610
2020-05-12,2750.0,하락  75,2820.0,2820.0,2690.0,127885.0,선도전기,007610
2020-05-13,2740.0,하락  10,2720.0,2755.0,2700.0,57487.0,선도전기,007610
2020-05-14,2705.0,하락  35,2730.0,2750.0,2670.0,68285.0,선도전기,007610
2020-05-15,2675.0,하락  30,2715.0,2735.0,2645.0,93224.0,선도전기,007610
2020-05-18,2680.0,상승  5,2685.0,2710.0,2630.0,44211.0,선도전기,007610
2020-05-19,2715.0,상승  35,2710.0,2740.0,2680.0,75392.0,선도전기,007610
2020-05-20,2715.0,보합0,2715.0,2725.0,2690.0,19757.0,선도전기,007610
2020-05-21,2700.0,하락  15,2720.0,2740.0,2700.0,64568.0,선도전기,007610
2020-05-22,2675.0,하락  25,2725.0,2730.0,2650.0,49626.0,선도전기,007610
2020-05-25,2645.0,하락  30,2650.0,2675.0,2625.0,38658.0,선도전기,007610
2020-05-26,2730.0,상승  85,2645.0,2765.0,2605.0,179041.0,선도전기,007610
2020-05-27,2790.0,상승  60,2750.0,2855.0,2730.0,336000.0,선도전기,007610
2020-05-28,2760.0,하락  30,2790.0,3065.0,2725.0,811050.0,선도전기,007610
2020-05-29,2750.0,하락  10,2760.0,2790.0,2715.0,91900.0,선도전기,007610
2020-06-01,2755.0,상승  5,2750.0,2805.0,2735.0,78787.0,선도전기,007610
2020-06-02,2810.0,상승  55,2760.0,2820.0,2760.0,74356.0,선도전기,007610
2020-06-03,2815.0,상승  5,2845.0,2845.0,2795.0,60259.0,선도전기,007610
2020-06-04,2790.0,하락  25,2795.0,2850.0,2770.0,68291.0,선도전기,007610
2020-06-05,2815.0,상승  25,2825.0,2845.0,2785.0,57106.0,선도전기,007610
2020-06-08,2780.0,하락  35,2805.0,2820.0,2745.0,70708.0,선도전기,007610
2020-06-09,2685.0,하락  95,2750.0,2765.0,2655.0,168407.0,선도전기,007610
2020-06-10,2650.0,하락  35,2655.0,2680.0,2610.0,86159.0,선도전기,007610
2020-06-11,2600.0,하락  50,2630.0,2660.0,2580.0,80294.0,선도전기,007610
2020-06-12,2585.0,하락  15,2420.0,2650.0,2395.0,147295.0,선도전기,007610
2020-06-15,2395.0,하락  190,2555.0,2570.0,2365.0,155566.0,선도전기,007610
2020-06-16,2505.0,상승  110,2415.0,2520.0,2415.0,182959.0,선도전기,007610
2020-06-17,2395.0,하락  110,2380.0,2450.0,2330.0,204714.0,선도전기,007610
2020-06-18,2370.0,하락  25,2395.0,2435.0,2325.0,93425.0,선도전기,007610
2020-06-19,2420.0,상승  50,2375.0,2510.0,2360.0,208162.0,선도전기,007610
2020-06-22,2360.0,하락  60,2420.0,2470.0,2360.0,83068.0,선도전기,007610
2020-06-23,2335.0,하락  25,2365.0,2395.0,2320.0,83101.0,선도전기,007610
2020-06-24,2475.0,상승  140,2460.0,2485.0,2400.0,161963.0,선도전기,007610
