날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,7300.0,하락  170,6870.0,7320.0,6550.0,60377.0,선진,136490
2020-03-16,7010.0,하락  290,7070.0,7270.0,6850.0,18047.0,선진,136490
2020-03-17,6570.0,하락  440,6300.0,6900.0,6300.0,38470.0,선진,136490
2020-03-18,6300.0,하락  270,6760.0,6760.0,6200.0,35123.0,선진,136490
2020-03-19,5640.0,하락  660,6230.0,6280.0,5330.0,91765.0,선진,136490
2020-03-20,5510.0,하락  130,5350.0,5710.0,5350.0,142663.0,선진,136490
2020-03-23,4980.0,하락  530,5260.0,5260.0,4950.0,85377.0,선진,136490
2020-03-24,5240.0,상승  260,5050.0,5320.0,4915.0,76170.0,선진,136490
2020-03-25,5260.0,상승  20,5370.0,5530.0,5090.0,512928.0,선진,136490
2020-03-26,5690.0,상승  430,5340.0,5760.0,5230.0,184684.0,선진,136490
2020-03-27,5650.0,하락  40,5950.0,5950.0,5550.0,120526.0,선진,136490
2020-03-30,5820.0,상승  170,5490.0,5820.0,5260.0,64217.0,선진,136490
2020-03-31,6220.0,상승  400,5990.0,7540.0,5880.0,160327.0,선진,136490
2020-04-01,6290.0,상승  70,6220.0,7080.0,6140.0,306298.0,선진,136490
2020-04-02,6610.0,상승  320,6270.0,6660.0,6210.0,59792.0,선진,136490
2020-04-03,6820.0,상승  210,6620.0,6850.0,6610.0,97379.0,선진,136490
2020-04-06,6960.0,상승  140,6870.0,7080.0,6860.0,135898.0,선진,136490
2020-04-07,6970.0,상승  10,7120.0,7130.0,6750.0,96571.0,선진,136490
2020-04-08,7080.0,상승  110,6950.0,7110.0,6840.0,65911.0,선진,136490
2020-04-09,7280.0,상승  200,7140.0,7390.0,7040.0,86709.0,선진,136490
2020-04-10,7170.0,하락  110,7290.0,7370.0,7010.0,61450.0,선진,136490
2020-04-13,7150.0,하락  20,7110.0,7460.0,7040.0,73282.0,선진,136490
2020-04-14,7290.0,상승  140,7150.0,7380.0,6980.0,80448.0,선진,136490
2020-04-16,7250.0,하락  40,7220.0,7300.0,7100.0,23196.0,선진,136490
2020-04-17,7280.0,상승  30,7260.0,7400.0,7190.0,37175.0,선진,136490
2020-04-20,7210.0,하락  70,7380.0,7380.0,7150.0,47123.0,선진,136490
2020-04-21,7170.0,하락  40,7210.0,7290.0,6570.0,65949.0,선진,136490
2020-04-22,7210.0,상승  40,7160.0,7210.0,6880.0,48510.0,선진,136490
2020-04-23,7760.0,상승  550,7400.0,7760.0,7250.0,206689.0,선진,136490
2020-04-24,8100.0,상승  340,8100.0,8350.0,7830.0,269675.0,선진,136490
2020-04-27,8260.0,상승  160,8120.0,8300.0,7950.0,94265.0,선진,136490
2020-04-28,8400.0,상승  140,8330.0,8510.0,8150.0,111418.0,선진,136490
2020-04-29,8490.0,상승  90,8430.0,8680.0,8370.0,127701.0,선진,136490
2020-05-04,8730.0,상승  240,8500.0,8850.0,8400.0,217268.0,선진,136490
2020-05-06,9160.0,상승  430,8770.0,9800.0,8690.0,489817.0,선진,136490
2020-05-07,8920.0,하락  240,9170.0,9170.0,8850.0,142059.0,선진,136490
2020-05-08,8720.0,하락  200,8900.0,9000.0,8690.0,131258.0,선진,136490
2020-05-11,8710.0,하락  10,8700.0,8860.0,8490.0,113490.0,선진,136490
2020-05-12,8860.0,상승  150,8840.0,8930.0,8690.0,88825.0,선진,136490
2020-05-13,9110.0,상승  250,8800.0,9150.0,8780.0,135853.0,선진,136490
2020-05-14,8860.0,하락  250,9090.0,9090.0,8780.0,71821.0,선진,136490
2020-05-15,9290.0,상승  430,9500.0,9700.0,9160.0,435739.0,선진,136490
2020-05-18,9490.0,상승  200,9370.0,9620.0,8880.0,253701.0,선진,136490
2020-05-19,9280.0,하락  210,9700.0,9770.0,9200.0,138871.0,선진,136490
2020-05-20,9600.0,상승  320,9260.0,9750.0,9200.0,146289.0,선진,136490
2020-05-21,10000.0,상승  400,9670.0,10050.0,9540.0,211047.0,선진,136490
2020-05-22,9980.0,하락  20,10000.0,10100.0,9800.0,171028.0,선진,136490
2020-05-25,9810.0,하락  170,10150.0,10350.0,9760.0,214677.0,선진,136490
2020-05-26,10250.0,상승  440,9980.0,10250.0,9770.0,170434.0,선진,136490
2020-05-27,10050.0,하락  200,10400.0,10400.0,9970.0,152884.0,선진,136490
2020-05-28,9800.0,하락  250,10100.0,10650.0,9590.0,428957.0,선진,136490
2020-05-29,9960.0,상승  160,9710.0,10300.0,9710.0,220332.0,선진,136490
2020-06-01,10150.0,상승  190,9960.0,10200.0,9840.0,91299.0,선진,136490
2020-06-02,10050.0,하락  100,10300.0,10400.0,9990.0,144301.0,선진,136490
2020-06-03,9660.0,하락  390,10150.0,10150.0,9650.0,178918.0,선진,136490
2020-06-04,9660.0,보합0,9730.0,9770.0,9170.0,255714.0,선진,136490
2020-06-05,9600.0,하락  60,9550.0,9750.0,9500.0,62543.0,선진,136490
2020-06-08,9430.0,하락  170,9610.0,9660.0,9300.0,194678.0,선진,136490
2020-06-09,9640.0,상승  210,9560.0,9640.0,9190.0,196354.0,선진,136490
2020-06-10,9780.0,상승  140,9700.0,9860.0,9530.0,183739.0,선진,136490
2020-06-11,9580.0,하락  200,9730.0,9840.0,9530.0,72784.0,선진,136490
2020-06-12,9530.0,하락  50,9040.0,9800.0,9030.0,186126.0,선진,136490
2020-06-15,9150.0,하락  380,9530.0,9680.0,9150.0,78176.0,선진,136490
2020-06-16,9460.0,상승  310,9480.0,9580.0,9290.0,49873.0,선진,136490
2020-06-17,9410.0,하락  50,9440.0,9600.0,9230.0,66204.0,선진,136490
2020-06-18,9520.0,상승  110,9480.0,9690.0,9330.0,68589.0,선진,136490
2020-06-19,9530.0,상승  10,9530.0,9590.0,9440.0,44790.0,선진,136490
2020-06-22,9580.0,상승  50,9440.0,9830.0,9300.0,114039.0,선진,136490
2020-06-23,9650.0,상승  70,9590.0,9700.0,9410.0,64725.0,선진,136490
2020-06-24,9720.0,상승  70,9810.0,10150.0,9700.0,391521.0,선진,136490
2020-06-25,9730.0,상승  10,9720.0,9740.0,9480.0,106773.0,선진,136490
2020-06-26,9680.0,하락  50,9800.0,9840.0,9630.0,81376.0,선진,136490
2020-06-29,9620.0,하락  60,9520.0,9780.0,9520.0,29382.0,선진,136490
2020-06-30,9760.0,상승  140,9700.0,9950.0,9650.0,73489.0,선진,136490
2020-07-01,9700.0,하락  60,9790.0,10000.0,9680.0,67140.0,선진,136490
2020-07-02,9840.0,상승  140,9730.0,9950.0,9660.0,69965.0,선진,136490
2020-07-03,9740.0,하락  100,9900.0,9950.0,9700.0,71739.0,선진,136490
2020-07-06,9810.0,상승  70,9740.0,9830.0,9640.0,56935.0,선진,136490
2020-07-07,9900.0,상승  90,9810.0,9980.0,9730.0,70070.0,선진,136490
2020-07-08,9930.0,상승  30,9820.0,10150.0,9800.0,123565.0,선진,136490
2020-07-09,9880.0,하락  50,9930.0,10050.0,9860.0,66784.0,선진,136490
2020-07-10,9770.0,하락  110,9880.0,9920.0,9700.0,73320.0,선진,136490
2020-07-13,10050.0,상승  280,9780.0,10100.0,9780.0,108589.0,선진,136490
2020-07-14,10050.0,보합0,10050.0,10200.0,9900.0,57467.0,선진,136490
2020-07-15,10600.0,상승  550,10400.0,10650.0,10300.0,245775.0,선진,136490
2020-07-16,10300.0,하락  300,10600.0,10700.0,10250.0,107411.0,선진,136490
2020-07-17,10400.0,상승  100,10400.0,10450.0,10150.0,76604.0,선진,136490
2020-07-20,10600.0,상승  200,10400.0,11000.0,10250.0,177835.0,선진,136490
2020-07-21,10500.0,하락  100,10800.0,10800.0,10400.0,69080.0,선진,136490
2020-07-22,10450.0,하락  50,10450.0,10550.0,10350.0,32772.0,선진,136490
2020-07-23,10200.0,하락  250,10350.0,10500.0,10200.0,59050.0,선진,136490
2020-07-24,10000.0,하락  200,10150.0,10300.0,10000.0,82517.0,선진,136490
2020-07-27,10050.0,상승  50,10000.0,10200.0,9990.0,86682.0,선진,136490
2020-07-28,10050.0,보합0,10000.0,10100.0,9950.0,55372.0,선진,136490
2020-07-29,10000.0,하락  50,10000.0,10200.0,10000.0,33871.0,선진,136490
2020-07-30,9980.0,하락  20,10150.0,10150.0,9960.0,45931.0,선진,136490
2020-07-31,9880.0,하락  100,10050.0,10050.0,9770.0,65212.0,선진,136490
2020-08-03,9850.0,하락  30,9880.0,9880.0,9650.0,43662.0,선진,136490
2020-08-04,10100.0,상승  250,9780.0,10150.0,9780.0,75417.0,선진,136490
2020-08-05,10100.0,보합0,10200.0,10200.0,9890.0,59759.0,선진,136490
2020-08-06,10000.0,하락  100,10150.0,10150.0,9900.0,75168.0,선진,136490
2020-08-07,10100.0,상승  100,9940.0,10100.0,9920.0,42759.0,선진,136490
2020-08-10,10300.0,상승  200,10100.0,10400.0,9990.0,66809.0,선진,136490
2020-08-11,10350.0,상승  50,10200.0,10500.0,10200.0,77251.0,선진,136490
2020-08-12,10400.0,상승  50,10400.0,10550.0,10100.0,94435.0,선진,136490
2020-08-13,10550.0,상승  150,10500.0,10550.0,10250.0,100448.0,선진,136490
2020-08-14,10500.0,하락  50,10700.0,10750.0,10350.0,140440.0,선진,136490
2020-08-18,10000.0,하락  500,10600.0,11100.0,9980.0,419462.0,선진,136490
2020-08-19,10100.0,상승  100,10050.0,10300.0,9930.0,115771.0,선진,136490
2020-08-20,10000.0,하락  100,10200.0,10250.0,9440.0,136609.0,선진,136490
2020-08-21,10200.0,상승  200,10100.0,10250.0,9700.0,89993.0,선진,136490
2020-08-24,9950.0,하락  250,10250.0,10250.0,9900.0,169495.0,선진,136490
2020-08-25,9920.0,하락  30,10000.0,10100.0,9910.0,132842.0,선진,136490
2020-08-26,9890.0,하락  30,9920.0,9930.0,9700.0,88369.0,선진,136490
2020-08-27,9860.0,하락  30,9960.0,9970.0,9710.0,60917.0,선진,136490
2020-08-28,9880.0,상승  20,9810.0,9950.0,9770.0,59926.0,선진,136490
2020-08-31,9980.0,상승  100,9880.0,10050.0,9820.0,41715.0,선진,136490
2020-09-01,10000.0,상승  20,9990.0,10050.0,9930.0,36820.0,선진,136490
2020-09-02,9940.0,하락  60,10000.0,10050.0,9860.0,62681.0,선진,136490
2020-09-03,9870.0,하락  70,9960.0,9980.0,9780.0,123197.0,선진,136490
2020-09-04,9720.0,하락  150,9540.0,9800.0,9490.0,108846.0,선진,136490
2020-09-07,9480.0,하락  240,9720.0,9720.0,9460.0,126785.0,선진,136490
2020-09-08,9600.0,상승  120,9530.0,9640.0,9460.0,59046.0,선진,136490
2020-09-09,9400.0,하락  200,9490.0,9580.0,9300.0,193076.0,선진,136490
2020-09-10,9400.0,보합0,9400.0,9470.0,9250.0,151204.0,선진,136490
2020-09-11,9500.0,상승  100,9430.0,9650.0,9330.0,163903.0,선진,136490
2020-09-14,9710.0,상승  210,9580.0,9710.0,9550.0,121358.0,선진,136490
2020-09-15,9850.0,상승  140,9710.0,9850.0,9590.0,126721.0,선진,136490
2020-09-16,9830.0,하락  20,9870.0,9950.0,9730.0,102966.0,선진,136490
2020-09-17,9590.0,하락  240,9840.0,9850.0,9530.0,77631.0,선진,136490
2020-09-18,9770.0,상승  180,9680.0,9770.0,9490.0,54552.0,선진,136490
2020-09-21,9720.0,하락  50,9760.0,9760.0,9550.0,65166.0,선진,136490
2020-09-22,9550.0,하락  170,9700.0,9700.0,9450.0,60251.0,선진,136490
2020-09-23,9640.0,상승  90,9610.0,9640.0,9420.0,27329.0,선진,136490
2020-09-24,9450.0,하락  190,9500.0,9620.0,9350.0,40732.0,선진,136490
2020-09-25,9320.0,하락  130,9500.0,9500.0,9300.0,35535.0,선진,136490
2020-09-28,9480.0,상승  160,9410.0,9480.0,9330.0,33108.0,선진,136490
2020-09-29,9470.0,하락  10,9460.0,9580.0,9430.0,22783.0,선진,136490
