날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1525.0,하락  245,1605.0,1670.0,1390.0,661278.0,성문전자,014910
2020-03-16,1450.0,하락  75,1520.0,1600.0,1450.0,369663.0,성문전자,014910
2020-03-17,1430.0,하락  20,1325.0,1450.0,1300.0,470706.0,성문전자,014910
2020-03-18,1255.0,하락  175,1445.0,1500.0,1255.0,254925.0,성문전자,014910
2020-03-19,1020.0,하락  235,1260.0,1300.0,1005.0,667980.0,성문전자,014910
2020-03-20,1135.0,상승  115,1025.0,1140.0,1005.0,412169.0,성문전자,014910
2020-03-23,1060.0,하락  75,1090.0,1135.0,1020.0,258204.0,성문전자,014910
2020-03-24,1200.0,상승  140,1075.0,1285.0,1050.0,1013559.0,성문전자,014910
2020-03-25,1300.0,상승  100,1250.0,1325.0,1225.0,415131.0,성문전자,014910
2020-03-26,1355.0,상승  55,1300.0,1415.0,1290.0,339295.0,성문전자,014910
2020-03-27,1380.0,상승  25,1440.0,1440.0,1290.0,293849.0,성문전자,014910
2020-03-30,1545.0,상승  165,1355.0,1575.0,1300.0,682109.0,성문전자,014910
2020-03-31,1595.0,상승  50,1665.0,1665.0,1555.0,439698.0,성문전자,014910
2020-04-01,1540.0,하락  55,1610.0,1635.0,1540.0,271946.0,성문전자,014910
2020-04-02,1570.0,상승  30,1515.0,1600.0,1455.0,174096.0,성문전자,014910
2020-04-03,1575.0,상승  5,1570.0,1630.0,1545.0,212418.0,성문전자,014910
2020-04-06,1625.0,상승  50,1640.0,1665.0,1560.0,630756.0,성문전자,014910
2020-04-07,1595.0,하락  30,1635.0,1670.0,1570.0,282759.0,성문전자,014910
2020-04-08,1590.0,하락  5,1595.0,1615.0,1560.0,233520.0,성문전자,014910
2020-04-09,1610.0,상승  20,1630.0,1635.0,1590.0,202866.0,성문전자,014910
2020-04-10,1605.0,하락  5,1655.0,1655.0,1505.0,169406.0,성문전자,014910
2020-04-13,1540.0,하락  65,1600.0,1600.0,1515.0,186322.0,성문전자,014910
2020-04-14,1555.0,상승  15,1535.0,1580.0,1520.0,207479.0,성문전자,014910
2020-04-16,1535.0,하락  20,1525.0,1535.0,1415.0,500294.0,성문전자,014910
2020-04-17,1600.0,상승  65,1535.0,1625.0,1535.0,438404.0,성문전자,014910
2020-04-20,1675.0,상승  75,1600.0,1705.0,1600.0,377497.0,성문전자,014910
2020-04-21,1605.0,하락  70,1670.0,1670.0,1500.0,474834.0,성문전자,014910
2020-04-22,1570.0,하락  35,1585.0,1600.0,1520.0,153424.0,성문전자,014910
2020-04-23,1620.0,상승  50,1605.0,1625.0,1585.0,144647.0,성문전자,014910
2020-04-24,1575.0,하락  45,1625.0,1630.0,1545.0,187481.0,성문전자,014910
2020-04-27,1570.0,하락  5,1580.0,1615.0,1550.0,118310.0,성문전자,014910
2020-04-28,1570.0,보합0,1580.0,1610.0,1555.0,158072.0,성문전자,014910
2020-04-29,1575.0,상승  5,1585.0,1595.0,1560.0,128926.0,성문전자,014910
2020-05-04,1570.0,하락  5,1550.0,1610.0,1550.0,94729.0,성문전자,014910
2020-05-06,1595.0,상승  25,1595.0,1610.0,1565.0,241036.0,성문전자,014910
2020-05-07,1605.0,상승  10,1600.0,1620.0,1590.0,169672.0,성문전자,014910
2020-05-08,1630.0,상승  25,1615.0,1655.0,1610.0,172217.0,성문전자,014910
2020-05-11,1630.0,보합0,1625.0,1650.0,1610.0,149589.0,성문전자,014910
2020-05-12,1575.0,하락  55,1645.0,1645.0,1555.0,182210.0,성문전자,014910
2020-05-13,1580.0,상승  5,1565.0,1580.0,1535.0,122690.0,성문전자,014910
2020-05-14,1525.0,하락  55,1575.0,1575.0,1500.0,192190.0,성문전자,014910
2020-05-15,1525.0,보합0,1535.0,1545.0,1510.0,68363.0,성문전자,014910
2020-05-18,1510.0,하락  15,1550.0,1575.0,1505.0,101615.0,성문전자,014910
2020-05-19,1555.0,상승  45,1535.0,1565.0,1525.0,105659.0,성문전자,014910
2020-05-20,1570.0,상승  15,1530.0,1595.0,1530.0,107460.0,성문전자,014910
2020-05-21,1625.0,상승  55,1585.0,1630.0,1570.0,208826.0,성문전자,014910
2020-05-22,1595.0,하락  30,1625.0,1645.0,1570.0,135973.0,성문전자,014910
2020-05-25,1610.0,상승  15,1580.0,1610.0,1580.0,109509.0,성문전자,014910
2020-05-26,1615.0,상승  5,1610.0,1635.0,1595.0,175786.0,성문전자,014910
2020-05-27,1645.0,상승  30,1640.0,1670.0,1615.0,276546.0,성문전자,014910
2020-05-28,1600.0,하락  45,1655.0,1670.0,1560.0,273367.0,성문전자,014910
2020-05-29,1590.0,하락  10,1595.0,1600.0,1565.0,113540.0,성문전자,014910
2020-06-01,1630.0,상승  40,1590.0,1635.0,1580.0,160120.0,성문전자,014910
2020-06-02,1665.0,상승  35,1650.0,1670.0,1615.0,291187.0,성문전자,014910
2020-06-03,1675.0,상승  10,1685.0,1695.0,1655.0,183659.0,성문전자,014910
2020-06-04,1675.0,보합0,1675.0,1690.0,1635.0,255639.0,성문전자,014910
2020-06-05,1705.0,상승  30,1670.0,1705.0,1650.0,199850.0,성문전자,014910
2020-06-08,1675.0,하락  30,1710.0,1715.0,1675.0,173752.0,성문전자,014910
2020-06-09,1660.0,하락  15,1675.0,1695.0,1645.0,146916.0,성문전자,014910
