날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,39000.0,"하락  4,650",39700.0,42000.0,34800.0,31749.0,세아제강,306200
2020-03-16,37000.0,"하락  2,000",39450.0,39550.0,36300.0,13487.0,세아제강,306200
2020-03-17,35000.0,"하락  2,000",33400.0,36550.0,33400.0,15204.0,세아제강,306200
2020-03-18,32550.0,"하락  2,450",34100.0,34500.0,32550.0,36613.0,세아제강,306200
2020-03-19,28900.0,"하락  3,650",32600.0,32900.0,28600.0,14132.0,세아제강,306200
2020-03-20,30400.0,"상승  1,500",28900.0,31600.0,28900.0,8472.0,세아제강,306200
2020-03-23,29850.0,하락  550,27900.0,30650.0,27800.0,6959.0,세아제강,306200
2020-03-24,30650.0,상승  800,29900.0,31300.0,29900.0,5845.0,세아제강,306200
2020-03-25,32500.0,"상승  1,850",31400.0,32750.0,31400.0,130689.0,세아제강,306200
2020-03-26,33750.0,"상승  1,250",32550.0,34300.0,32550.0,8366.0,세아제강,306200
2020-03-27,34100.0,상승  350,34200.0,35300.0,32950.0,7980.0,세아제강,306200
2020-03-30,34200.0,상승  100,33500.0,34300.0,33500.0,1946.0,세아제강,306200
2020-03-31,34800.0,상승  600,34800.0,35300.0,32500.0,6043.0,세아제강,306200
2020-04-01,35850.0,"상승  1,050",35400.0,36650.0,34050.0,7109.0,세아제강,306200
2020-04-02,36500.0,상승  650,36000.0,37000.0,34350.0,4198.0,세아제강,306200
2020-04-03,36500.0,보합0,37850.0,38000.0,35900.0,3413.0,세아제강,306200
2020-04-06,37150.0,상승  650,36500.0,37450.0,36000.0,3422.0,세아제강,306200
2020-04-07,37800.0,상승  650,38150.0,38150.0,37200.0,5947.0,세아제강,306200
2020-04-08,38500.0,상승  700,37800.0,38700.0,37200.0,3735.0,세아제강,306200
2020-04-09,39400.0,상승  900,39000.0,39700.0,38700.0,5767.0,세아제강,306200
2020-04-10,42500.0,"상승  3,100",39950.0,43050.0,39600.0,13087.0,세아제강,306200
2020-04-13,41300.0,"하락  1,200",42550.0,45400.0,41050.0,10304.0,세아제강,306200
2020-04-14,41050.0,하락  250,41250.0,41950.0,39150.0,4322.0,세아제강,306200
2020-04-16,39550.0,"하락  1,500",41050.0,41050.0,39200.0,10278.0,세아제강,306200
2020-04-17,40300.0,상승  750,40200.0,41000.0,39850.0,9169.0,세아제강,306200
2020-04-20,40400.0,상승  100,40800.0,40800.0,40100.0,4422.0,세아제강,306200
2020-04-21,39700.0,하락  700,40400.0,41150.0,38950.0,5059.0,세아제강,306200
2020-04-22,39000.0,하락  700,39300.0,39300.0,37950.0,7570.0,세아제강,306200
2020-04-23,39200.0,상승  200,39000.0,40000.0,38850.0,4986.0,세아제강,306200
2020-04-24,38250.0,하락  950,39000.0,39200.0,38050.0,4370.0,세아제강,306200
2020-04-27,39050.0,상승  800,38800.0,39350.0,38550.0,3355.0,세아제강,306200
2020-04-28,39000.0,하락  50,39100.0,39950.0,38800.0,2977.0,세아제강,306200
2020-04-29,39750.0,상승  750,39000.0,39950.0,39000.0,5351.0,세아제강,306200
2020-05-04,40100.0,상승  350,39800.0,40400.0,39000.0,5846.0,세아제강,306200
2020-05-06,39850.0,하락  250,40350.0,40350.0,39550.0,3095.0,세아제강,306200
2020-05-07,39600.0,하락  250,39850.0,40350.0,38400.0,8439.0,세아제강,306200
2020-05-08,42500.0,"상승  2,900",40200.0,51300.0,39700.0,55194.0,세아제강,306200
2020-05-11,44700.0,"상승  2,200",42500.0,48100.0,42100.0,25414.0,세아제강,306200
2020-05-12,42250.0,"하락  2,450",44700.0,45700.0,41900.0,26434.0,세아제강,306200
2020-05-13,41550.0,하락  700,41650.0,42150.0,41300.0,4758.0,세아제강,306200
2020-05-14,41100.0,하락  450,41350.0,41350.0,40000.0,9949.0,세아제강,306200
2020-05-15,41750.0,상승  650,40900.0,41750.0,40050.0,5676.0,세아제강,306200
2020-05-18,44000.0,"상승  2,250",42300.0,51000.0,42000.0,53117.0,세아제강,306200
2020-05-19,46700.0,"상승  2,700",44600.0,49900.0,44400.0,48720.0,세아제강,306200
2020-05-20,46450.0,하락  250,47050.0,48850.0,46000.0,17529.0,세아제강,306200
2020-05-21,45850.0,하락  600,46350.0,46900.0,45500.0,7741.0,세아제강,306200
2020-05-22,46000.0,상승  150,46350.0,46750.0,45150.0,6347.0,세아제강,306200
2020-05-25,46950.0,상승  950,46450.0,47350.0,45550.0,8140.0,세아제강,306200
2020-05-26,50800.0,"상승  3,850",47000.0,50800.0,46950.0,24156.0,세아제강,306200
2020-05-27,50600.0,하락  200,53000.0,53200.0,49850.0,23168.0,세아제강,306200
