날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,24700.0,"하락  1,150",25850.0,26050.0,24700.0,8062.0,세아제강지주,003030
2020-03-17,24400.0,하락  300,23500.0,24450.0,23050.0,17035.0,세아제강지주,003030
2020-03-18,22500.0,"하락  1,900",23900.0,24300.0,22500.0,31839.0,세아제강지주,003030
2020-03-19,19500.0,"하락  3,000",22450.0,23000.0,19150.0,25543.0,세아제강지주,003030
2020-03-20,20900.0,"상승  1,400",19500.0,20900.0,19100.0,19350.0,세아제강지주,003030
2020-03-23,19700.0,"하락  1,200",19300.0,20200.0,18400.0,13782.0,세아제강지주,003030
2020-03-24,20100.0,상승  400,20050.0,20350.0,19750.0,14905.0,세아제강지주,003030
2020-03-25,21400.0,"상승  1,300",20550.0,21600.0,20500.0,159765.0,세아제강지주,003030
2020-03-26,22550.0,"상승  1,150",21400.0,24000.0,21100.0,24283.0,세아제강지주,003030
2020-03-27,23200.0,상승  650,23500.0,23950.0,22500.0,25935.0,세아제강지주,003030
2020-03-30,23650.0,상승  450,22900.0,23800.0,22350.0,9864.0,세아제강지주,003030
2020-03-31,24300.0,상승  650,23700.0,24500.0,23700.0,13657.0,세아제강지주,003030
2020-04-01,24750.0,상승  450,24300.0,25200.0,23950.0,15797.0,세아제강지주,003030
2020-04-02,25150.0,상승  400,24650.0,25200.0,23850.0,7963.0,세아제강지주,003030
2020-04-03,25300.0,상승  150,25150.0,25350.0,24850.0,5221.0,세아제강지주,003030
2020-04-06,26150.0,상승  850,25300.0,26150.0,25200.0,6565.0,세아제강지주,003030
2020-04-07,26050.0,하락  100,26200.0,26600.0,25700.0,6200.0,세아제강지주,003030
2020-04-08,26250.0,상승  200,26150.0,26350.0,25600.0,4452.0,세아제강지주,003030
2020-04-09,26700.0,상승  450,26700.0,26800.0,26300.0,7301.0,세아제강지주,003030
2020-04-10,27900.0,"상승  1,200",26700.0,27900.0,26700.0,7119.0,세아제강지주,003030
2020-04-13,27600.0,하락  300,28000.0,28500.0,27500.0,15128.0,세아제강지주,003030
2020-04-14,27900.0,상승  300,27600.0,28100.0,27400.0,6647.0,세아제강지주,003030
2020-04-16,27250.0,하락  650,27900.0,27900.0,26600.0,9963.0,세아제강지주,003030
2020-04-17,27750.0,상승  500,28450.0,28450.0,27700.0,7770.0,세아제강지주,003030
2020-04-20,28450.0,상승  700,28000.0,28600.0,27750.0,12237.0,세아제강지주,003030
2020-04-21,28250.0,하락  200,28700.0,29200.0,27250.0,11449.0,세아제강지주,003030
2020-04-22,27700.0,하락  550,27500.0,27950.0,26950.0,7981.0,세아제강지주,003030
2020-04-23,28000.0,상승  300,27950.0,28500.0,27500.0,7864.0,세아제강지주,003030
2020-04-24,27600.0,하락  400,28350.0,28500.0,27300.0,4409.0,세아제강지주,003030
2020-04-27,28250.0,상승  650,27600.0,28500.0,27600.0,6311.0,세아제강지주,003030
2020-04-28,28300.0,상승  50,28400.0,28400.0,27750.0,4762.0,세아제강지주,003030
2020-04-29,28900.0,상승  600,28300.0,29050.0,28200.0,8132.0,세아제강지주,003030
2020-05-04,28850.0,하락  50,28500.0,29300.0,28200.0,3965.0,세아제강지주,003030
2020-05-06,28800.0,하락  50,28900.0,29500.0,28650.0,5800.0,세아제강지주,003030
2020-05-07,28600.0,하락  200,28650.0,28650.0,28300.0,2400.0,세아제강지주,003030
2020-05-08,29700.0,"상승  1,100",28750.0,33800.0,28500.0,64665.0,세아제강지주,003030
2020-05-11,30200.0,상승  500,29700.0,31050.0,29700.0,14980.0,세아제강지주,003030
2020-05-12,29550.0,하락  650,30600.0,30600.0,29150.0,9312.0,세아제강지주,003030
2020-05-13,28850.0,하락  700,29200.0,29400.0,28650.0,5413.0,세아제강지주,003030
2020-05-14,28100.0,하락  750,28850.0,28850.0,27900.0,9856.0,세아제강지주,003030
2020-05-15,29600.0,"상승  1,500",28100.0,29600.0,27500.0,14821.0,세아제강지주,003030
2020-05-18,31450.0,"상승  1,850",30050.0,32350.0,30050.0,26549.0,세아제강지주,003030
2020-05-19,32600.0,"상승  1,150",32300.0,32650.0,31750.0,16747.0,세아제강지주,003030
2020-05-20,32450.0,하락  150,32200.0,33000.0,32200.0,6841.0,세아제강지주,003030
2020-05-21,31700.0,하락  750,33000.0,33000.0,31700.0,6150.0,세아제강지주,003030
2020-05-22,31200.0,하락  500,31450.0,31700.0,30900.0,5974.0,세아제강지주,003030
2020-05-25,31850.0,상승  650,31050.0,31950.0,31050.0,3780.0,세아제강지주,003030
2020-05-26,32300.0,상승  450,32000.0,33000.0,31850.0,11022.0,세아제강지주,003030
2020-05-27,32550.0,상승  250,33300.0,33300.0,32300.0,4892.0,세아제강지주,003030
2020-05-28,32000.0,하락  550,32600.0,33000.0,31750.0,9203.0,세아제강지주,003030
2020-05-29,32050.0,상승  50,32000.0,32200.0,31500.0,3086.0,세아제강지주,003030
2020-06-01,33000.0,상승  950,32800.0,33900.0,32500.0,15348.0,세아제강지주,003030
2020-06-02,33450.0,상승  450,34100.0,34100.0,33150.0,12079.0,세아제강지주,003030
2020-06-03,34500.0,"상승  1,050",33950.0,34800.0,33300.0,23808.0,세아제강지주,003030
2020-06-04,34100.0,하락  400,35000.0,35750.0,33950.0,17306.0,세아제강지주,003030
2020-06-05,34850.0,상승  750,34100.0,34850.0,33550.0,6655.0,세아제강지주,003030
2020-06-08,34800.0,하락  50,34850.0,35600.0,33900.0,9491.0,세아제강지주,003030
2020-06-09,34850.0,상승  50,34800.0,35500.0,33800.0,10094.0,세아제강지주,003030
2020-06-10,34950.0,상승  100,34800.0,34950.0,34000.0,3920.0,세아제강지주,003030
2020-06-11,34000.0,하락  950,34900.0,34900.0,33850.0,5526.0,세아제강지주,003030
2020-06-12,34200.0,상승  200,32200.0,34400.0,32050.0,9174.0,세아제강지주,003030
2020-06-15,32900.0,"하락  1,300",34200.0,34650.0,32500.0,4635.0,세아제강지주,003030
2020-06-16,33800.0,상승  900,32900.0,34500.0,32900.0,1783.0,세아제강지주,003030
2020-06-17,33100.0,하락  700,34300.0,34300.0,32800.0,1924.0,세아제강지주,003030
2020-06-18,33450.0,상승  350,34000.0,34000.0,33050.0,1304.0,세아제강지주,003030
2020-06-19,34250.0,상승  800,33900.0,34300.0,32900.0,4660.0,세아제강지주,003030
2020-06-22,34250.0,보합0,34400.0,34750.0,34100.0,7141.0,세아제강지주,003030
2020-06-23,34550.0,상승  300,34250.0,34850.0,33900.0,3839.0,세아제강지주,003030
2020-06-24,34600.0,상승  50,34450.0,35000.0,34400.0,2893.0,세아제강지주,003030
2020-06-25,34000.0,하락  600,34250.0,34300.0,33700.0,2396.0,세아제강지주,003030
2020-06-26,33750.0,하락  250,34000.0,34550.0,33450.0,2662.0,세아제강지주,003030
2020-06-29,33350.0,하락  400,33650.0,34200.0,32700.0,2141.0,세아제강지주,003030
2020-06-30,33700.0,상승  350,34150.0,34300.0,33050.0,4457.0,세아제강지주,003030
2020-07-01,33700.0,보합0,33700.0,34100.0,33450.0,1389.0,세아제강지주,003030
2020-07-02,34700.0,"상승  1,000",34050.0,34800.0,33150.0,5270.0,세아제강지주,003030
2020-07-03,34950.0,상승  250,34900.0,35000.0,34500.0,3396.0,세아제강지주,003030
2020-07-06,35300.0,상승  350,35000.0,35600.0,34750.0,4283.0,세아제강지주,003030
2020-07-07,35250.0,하락  50,35300.0,35650.0,33950.0,3923.0,세아제강지주,003030
2020-07-08,36100.0,상승  850,35250.0,36250.0,35000.0,8193.0,세아제강지주,003030
2020-07-09,36850.0,상승  750,36450.0,36900.0,36250.0,4296.0,세아제강지주,003030
2020-07-10,36300.0,하락  550,37550.0,37600.0,35150.0,13275.0,세아제강지주,003030
2020-07-13,36300.0,보합0,37200.0,37300.0,35500.0,4728.0,세아제강지주,003030
2020-07-14,35800.0,하락  500,36000.0,36700.0,35400.0,4359.0,세아제강지주,003030
2020-07-15,35750.0,하락  50,36200.0,36300.0,35400.0,5159.0,세아제강지주,003030
2020-07-16,35800.0,상승  50,36500.0,36500.0,35550.0,2472.0,세아제강지주,003030
2020-07-17,35950.0,상승  150,36300.0,36300.0,35450.0,4299.0,세아제강지주,003030
2020-07-20,35550.0,하락  400,35950.0,36300.0,35300.0,4355.0,세아제강지주,003030
2020-07-21,38050.0,"상승  2,500",36000.0,38450.0,35500.0,18667.0,세아제강지주,003030
2020-07-22,39650.0,"상승  1,600",38450.0,44950.0,38300.0,99031.0,세아제강지주,003030
2020-07-23,39000.0,하락  650,39650.0,40100.0,38150.0,22627.0,세아제강지주,003030
2020-07-24,38400.0,하락  600,39000.0,39000.0,38250.0,6191.0,세아제강지주,003030
2020-07-27,38900.0,상승  500,38950.0,39200.0,38200.0,7126.0,세아제강지주,003030
2020-07-28,38700.0,하락  200,39800.0,39800.0,38450.0,4637.0,세아제강지주,003030
2020-07-29,38950.0,상승  250,38600.0,38950.0,38300.0,4948.0,세아제강지주,003030
2020-07-30,39000.0,상승  50,38900.0,39000.0,38200.0,3719.0,세아제강지주,003030
