날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1925.0,하락  135,1830.0,1945.0,1775.0,795745.0,세원이앤씨,091090
2020-03-16,1865.0,하락  60,1940.0,2040.0,1865.0,323921.0,세원이앤씨,091090
2020-03-17,1880.0,상승  15,1710.0,1880.0,1710.0,306271.0,세원이앤씨,091090
2020-03-18,1850.0,하락  30,1930.0,2010.0,1825.0,268477.0,세원이앤씨,091090
2020-03-19,1490.0,하락  360,1855.0,1920.0,1460.0,675395.0,세원이앤씨,091090
2020-03-20,1610.0,상승  120,1450.0,1620.0,1450.0,404249.0,세원이앤씨,091090
2020-03-23,1520.0,하락  90,1570.0,1570.0,1465.0,309868.0,세원이앤씨,091090
2020-03-24,1615.0,상승  95,1535.0,1615.0,1535.0,372102.0,세원이앤씨,091090
2020-03-25,1785.0,상승  170,1770.0,1835.0,1665.0,568357.0,세원이앤씨,091090
2020-03-26,1950.0,상승  165,1785.0,2070.0,1710.0,563190.0,세원이앤씨,091090
2020-03-27,1955.0,상승  5,2100.0,2100.0,1805.0,422243.0,세원이앤씨,091090
2020-03-30,1935.0,하락  20,1950.0,1955.0,1865.0,218652.0,세원이앤씨,091090
2020-03-31,2025.0,상승  90,1980.0,2060.0,1980.0,341453.0,세원이앤씨,091090
2020-04-01,2000.0,하락  25,2050.0,2120.0,1960.0,376278.0,세원이앤씨,091090
2020-04-02,2025.0,상승  25,2035.0,2045.0,1850.0,384230.0,세원이앤씨,091090
2020-04-03,2060.0,상승  35,2050.0,2120.0,2020.0,297426.0,세원이앤씨,091090
2020-04-06,2130.0,상승  70,2100.0,2140.0,2070.0,302148.0,세원이앤씨,091090
2020-04-07,2415.0,상승  285,2175.0,2600.0,2155.0,1688279.0,세원이앤씨,091090
2020-04-08,2850.0,상승  435,2460.0,3130.0,2415.0,4796716.0,세원이앤씨,091090
2020-04-09,2750.0,하락  100,2950.0,3015.0,2685.0,1342993.0,세원이앤씨,091090
2020-04-10,2540.0,하락  210,2780.0,2780.0,2500.0,1006992.0,세원이앤씨,091090
2020-04-13,2570.0,상승  30,2580.0,2740.0,2545.0,817367.0,세원이앤씨,091090
2020-04-14,2550.0,하락  20,2570.0,2665.0,2500.0,455956.0,세원이앤씨,091090
2020-04-16,2590.0,상승  40,2530.0,2650.0,2430.0,587907.0,세원이앤씨,091090
2020-04-17,2755.0,상승  165,2660.0,2925.0,2585.0,1910268.0,세원이앤씨,091090
2020-04-20,2745.0,하락  10,2925.0,2925.0,2680.0,719394.0,세원이앤씨,091090
2020-04-21,2665.0,하락  80,2740.0,2780.0,2505.0,540743.0,세원이앤씨,091090
2020-04-22,2640.0,하락  25,2600.0,2655.0,2515.0,370708.0,세원이앤씨,091090
2020-04-23,2610.0,하락  30,2695.0,2695.0,2610.0,297147.0,세원이앤씨,091090
2020-04-24,2555.0,하락  55,2620.0,2655.0,2520.0,259940.0,세원이앤씨,091090
2020-04-27,2590.0,상승  35,2630.0,2655.0,2575.0,363071.0,세원이앤씨,091090
2020-04-28,2580.0,하락  10,2590.0,2635.0,2550.0,151209.0,세원이앤씨,091090
2020-04-29,2595.0,상승  15,2580.0,2620.0,2545.0,198039.0,세원이앤씨,091090
2020-05-04,2660.0,상승  65,2660.0,2740.0,2590.0,501833.0,세원이앤씨,091090
2020-05-06,2745.0,상승  85,2800.0,2800.0,2700.0,346553.0,세원이앤씨,091090
2020-05-07,2750.0,상승  5,2790.0,2790.0,2725.0,236909.0,세원이앤씨,091090
2020-05-08,2775.0,상승  25,2780.0,2800.0,2745.0,238461.0,세원이앤씨,091090
2020-05-11,2775.0,보합0,2805.0,2825.0,2725.0,254324.0,세원이앤씨,091090
2020-05-12,2770.0,하락  5,2775.0,2790.0,2715.0,194440.0,세원이앤씨,091090
2020-05-13,2775.0,상승  5,2760.0,2820.0,2705.0,221504.0,세원이앤씨,091090
2020-05-14,2870.0,상승  95,2775.0,2900.0,2715.0,449100.0,세원이앤씨,091090
2020-05-15,3015.0,상승  145,2970.0,3050.0,2880.0,1025116.0,세원이앤씨,091090
2020-05-18,3130.0,상승  115,3075.0,3300.0,3035.0,1466508.0,세원이앤씨,091090
2020-05-19,3110.0,하락  20,3130.0,3175.0,3060.0,396448.0,세원이앤씨,091090
2020-05-20,3080.0,하락  30,3110.0,3150.0,3080.0,279120.0,세원이앤씨,091090
2020-05-21,3075.0,하락  5,3145.0,3145.0,3060.0,286464.0,세원이앤씨,091090
2020-05-22,2975.0,하락  100,3080.0,3085.0,2910.0,502649.0,세원이앤씨,091090
2020-05-25,3005.0,상승  30,2975.0,3095.0,2975.0,365544.0,세원이앤씨,091090
2020-05-26,3085.0,상승  80,3030.0,3110.0,3020.0,293604.0,세원이앤씨,091090
2020-05-27,3010.0,하락  75,3100.0,3115.0,3000.0,243411.0,세원이앤씨,091090
2020-05-28,2935.0,하락  75,3020.0,3040.0,2910.0,382226.0,세원이앤씨,091090
