날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1185.0,하락  170,1195.0,1260.0,1100.0,1791566.0,수산세보틱스,017550
2020-03-16,1130.0,하락  55,1190.0,1245.0,1130.0,943585.0,수산세보틱스,017550
2020-03-17,1125.0,하락  5,1030.0,1140.0,1020.0,930762.0,수산세보틱스,017550
2020-03-18,1050.0,하락  75,1155.0,1180.0,1050.0,844696.0,수산세보틱스,017550
2020-03-19,873.0,하락  177,1070.0,1090.0,869.0,1352932.0,수산세보틱스,017550
2020-03-20,944.0,상승  71,867.0,950.0,867.0,1053989.0,수산세보틱스,017550
2020-03-23,864.0,하락  80,870.0,889.0,845.0,657593.0,수산세보틱스,017550
2020-03-24,926.0,상승  62,881.0,927.0,873.0,1157291.0,수산세보틱스,017550
2020-03-25,1015.0,상승  89,966.0,1025.0,966.0,1104910.0,수산세보틱스,017550
2020-03-26,1065.0,상승  50,1030.0,1145.0,1010.0,1194286.0,수산세보틱스,017550
2020-03-27,1065.0,보합0,1110.0,1125.0,1025.0,1116088.0,수산세보틱스,017550
2020-03-30,1135.0,상승  70,1025.0,1140.0,1015.0,999417.0,수산세보틱스,017550
2020-03-31,1200.0,상승  65,1155.0,1290.0,1145.0,2651804.0,수산세보틱스,017550
2020-04-01,1240.0,상승  40,1180.0,1350.0,1165.0,3150790.0,수산세보틱스,017550
2020-04-02,1255.0,상승  15,1230.0,1260.0,1190.0,986419.0,수산세보틱스,017550
2020-04-03,1255.0,보합0,1275.0,1285.0,1230.0,1126323.0,수산세보틱스,017550
2020-04-06,1300.0,상승  45,1275.0,1300.0,1250.0,1179434.0,수산세보틱스,017550
2020-04-07,1330.0,상승  30,1325.0,1345.0,1290.0,1696166.0,수산세보틱스,017550
2020-04-08,1335.0,상승  5,1330.0,1365.0,1300.0,1385812.0,수산세보틱스,017550
2020-04-09,1340.0,상승  5,1355.0,1380.0,1325.0,1536757.0,수산세보틱스,017550
2020-04-10,1325.0,하락  15,1345.0,1350.0,1295.0,1219811.0,수산세보틱스,017550
2020-04-13,1305.0,하락  20,1325.0,1325.0,1290.0,950578.0,수산세보틱스,017550
2020-04-14,1375.0,상승  70,1305.0,1400.0,1305.0,1984551.0,수산세보틱스,017550
2020-04-16,1455.0,상승  80,1375.0,1510.0,1320.0,3154975.0,수산세보틱스,017550
2020-04-17,1485.0,상승  30,1470.0,1575.0,1415.0,2754097.0,수산세보틱스,017550
2020-04-20,1510.0,상승  25,1490.0,1550.0,1470.0,1226757.0,수산세보틱스,017550
2020-04-21,1435.0,하락  75,1495.0,1540.0,1370.0,1472067.0,수산세보틱스,017550
2020-04-22,1555.0,상승  120,1410.0,1575.0,1385.0,3234010.0,수산세보틱스,017550
2020-04-23,1510.0,하락  45,1520.0,1555.0,1495.0,1467353.0,수산세보틱스,017550
2020-04-24,1490.0,하락  20,1520.0,1520.0,1445.0,1205714.0,수산세보틱스,017550
2020-04-27,1485.0,하락  5,1520.0,1530.0,1480.0,805260.0,수산세보틱스,017550
2020-04-28,1460.0,하락  25,1495.0,1500.0,1445.0,967457.0,수산세보틱스,017550
2020-04-29,1465.0,상승  5,1470.0,1515.0,1450.0,1012411.0,수산세보틱스,017550
2020-05-04,1525.0,상승  60,1475.0,1545.0,1455.0,2395834.0,수산세보틱스,017550
2020-05-06,1580.0,상승  55,1545.0,1595.0,1520.0,2204032.0,수산세보틱스,017550
2020-05-07,1545.0,하락  35,1600.0,1605.0,1535.0,1310350.0,수산세보틱스,017550
2020-05-08,1555.0,상승  10,1560.0,1575.0,1545.0,639918.0,수산세보틱스,017550
2020-05-11,1525.0,하락  30,1565.0,1565.0,1510.0,783859.0,수산세보틱스,017550
2020-05-12,1575.0,상승  50,1525.0,1605.0,1490.0,4323231.0,수산세보틱스,017550
2020-05-13,1550.0,하락  25,1580.0,1610.0,1550.0,1385904.0,수산세보틱스,017550
2020-05-14,1535.0,하락  15,1545.0,1565.0,1505.0,739126.0,수산세보틱스,017550
2020-05-15,1560.0,상승  25,1540.0,1575.0,1510.0,943532.0,수산세보틱스,017550
2020-05-18,1545.0,하락  15,1570.0,1585.0,1530.0,561439.0,수산세보틱스,017550
2020-05-19,1565.0,상승  20,1570.0,1575.0,1545.0,684440.0,수산세보틱스,017550
2020-05-20,1560.0,하락  5,1565.0,1585.0,1545.0,984434.0,수산세보틱스,017550
2020-05-21,1565.0,상승  5,1570.0,1575.0,1550.0,742748.0,수산세보틱스,017550
2020-05-22,1550.0,하락  15,1570.0,1630.0,1525.0,3937193.0,수산세보틱스,017550
2020-05-25,1595.0,상승  45,1600.0,1670.0,1575.0,3966428.0,수산세보틱스,017550
2020-05-26,1670.0,상승  75,1600.0,1720.0,1590.0,3508107.0,수산세보틱스,017550
2020-05-27,1810.0,상승  140,1690.0,1855.0,1680.0,10487996.0,수산세보틱스,017550
2020-05-28,1805.0,하락  5,1785.0,1875.0,1740.0,5177397.0,수산세보틱스,017550
2020-05-29,1805.0,보합0,1805.0,1885.0,1790.0,3515679.0,수산세보틱스,017550
2020-06-01,1910.0,상승  105,1890.0,2075.0,1850.0,13899762.0,수산세보틱스,017550
2020-06-02,1955.0,상승  45,1935.0,1960.0,1905.0,3049485.0,수산세보틱스,017550
2020-06-03,1910.0,하락  45,1975.0,2000.0,1900.0,2666089.0,수산세보틱스,017550
2020-06-04,1890.0,하락  20,1935.0,1940.0,1880.0,1828862.0,수산세보틱스,017550
2020-06-05,1890.0,보합0,1900.0,1940.0,1885.0,1202470.0,수산세보틱스,017550
2020-06-08,1880.0,하락  10,1855.0,1920.0,1855.0,1183098.0,수산세보틱스,017550
2020-06-09,1815.0,하락  65,1900.0,1900.0,1785.0,1899329.0,수산세보틱스,017550
2020-06-10,1790.0,하락  25,1840.0,1845.0,1790.0,862903.0,수산세보틱스,017550
2020-06-11,1820.0,상승  30,1810.0,1840.0,1785.0,1059681.0,수산세보틱스,017550
2020-06-12,1735.0,하락  85,1675.0,1760.0,1665.0,1041999.0,수산세보틱스,017550
2020-06-15,1505.0,하락  230,1735.0,1735.0,1505.0,1846533.0,수산세보틱스,017550
2020-06-16,1650.0,상승  145,1575.0,1650.0,1550.0,1017306.0,수산세보틱스,017550
2020-06-17,1625.0,하락  25,1600.0,1700.0,1570.0,1190390.0,수산세보틱스,017550
2020-06-18,1645.0,상승  20,1620.0,1655.0,1600.0,778734.0,수산세보틱스,017550
2020-06-19,1675.0,상승  30,1645.0,1675.0,1630.0,727580.0,수산세보틱스,017550
2020-06-22,1650.0,하락  25,1660.0,1680.0,1645.0,435016.0,수산세보틱스,017550
2020-06-23,1625.0,하락  25,1660.0,1735.0,1625.0,1120089.0,수산세보틱스,017550
2020-06-24,1630.0,상승  5,1650.0,1655.0,1615.0,702429.0,수산세보틱스,017550
2020-06-25,1590.0,하락  40,1610.0,1625.0,1570.0,719012.0,수산세보틱스,017550
2020-06-26,1610.0,상승  20,1600.0,1620.0,1580.0,476369.0,수산세보틱스,017550
2020-06-29,1580.0,하락  30,1595.0,1615.0,1575.0,427640.0,수산세보틱스,017550
2020-06-30,1605.0,상승  25,1600.0,1625.0,1580.0,500190.0,수산세보틱스,017550
2020-07-01,1615.0,상승  10,1615.0,1670.0,1605.0,802229.0,수산세보틱스,017550
2020-07-02,1670.0,상승  55,1635.0,1675.0,1620.0,657115.0,수산세보틱스,017550
2020-07-03,1700.0,상승  30,1665.0,1730.0,1665.0,1099529.0,수산세보틱스,017550
2020-07-06,1780.0,상승  80,1690.0,1785.0,1690.0,1088172.0,수산세보틱스,017550
2020-07-07,1715.0,하락  65,1790.0,1790.0,1705.0,917220.0,수산세보틱스,017550
2020-07-08,1715.0,보합0,1735.0,1760.0,1715.0,422103.0,수산세보틱스,017550
2020-07-09,1710.0,하락  5,1725.0,1735.0,1705.0,229894.0,수산세보틱스,017550
2020-07-10,1735.0,상승  25,1720.0,1765.0,1680.0,1090383.0,수산세보틱스,017550
2020-07-13,1750.0,상승  15,1755.0,1780.0,1730.0,688746.0,수산세보틱스,017550
2020-07-14,1745.0,하락  5,1755.0,1765.0,1730.0,570439.0,수산세보틱스,017550
2020-07-15,1830.0,상승  85,1755.0,1830.0,1750.0,1602019.0,수산세보틱스,017550
2020-07-16,1720.0,하락  110,1825.0,1840.0,1710.0,1163021.0,수산세보틱스,017550
2020-07-17,1725.0,상승  5,1730.0,1765.0,1725.0,432951.0,수산세보틱스,017550
2020-07-20,1700.0,하락  25,1725.0,1735.0,1690.0,592524.0,수산세보틱스,017550
2020-07-21,1805.0,상승  105,1715.0,1870.0,1710.0,3102094.0,수산세보틱스,017550
2020-07-22,1780.0,하락  25,1805.0,1815.0,1755.0,1033210.0,수산세보틱스,017550
2020-07-23,1770.0,하락  10,1805.0,1850.0,1765.0,3072813.0,수산세보틱스,017550
2020-07-24,1750.0,하락  20,1790.0,1790.0,1720.0,1256867.0,수산세보틱스,017550
2020-07-27,1760.0,상승  10,1760.0,1790.0,1750.0,740064.0,수산세보틱스,017550
2020-07-28,1730.0,하락  30,1765.0,1780.0,1715.0,566915.0,수산세보틱스,017550
2020-07-29,1725.0,하락  5,1725.0,1735.0,1715.0,390972.0,수산세보틱스,017550
2020-07-30,1705.0,하락  20,1735.0,1740.0,1690.0,637597.0,수산세보틱스,017550
2020-07-31,1670.0,하락  35,1710.0,1715.0,1655.0,654280.0,수산세보틱스,017550
2020-08-03,1620.0,하락  50,1675.0,1680.0,1600.0,883919.0,수산세보틱스,017550
