날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2630.0,하락  135,2700.0,2700.0,2550.0,13378.0,스타에스엠리츠,204210
2020-03-16,2650.0,상승  20,2530.0,2650.0,2530.0,5099.0,스타에스엠리츠,204210
2020-03-17,2605.0,하락  45,2610.0,2645.0,2125.0,18800.0,스타에스엠리츠,204210
2020-03-18,2665.0,상승  60,2605.0,2700.0,2575.0,19643.0,스타에스엠리츠,204210
2020-03-19,2540.0,하락  125,2650.0,2650.0,2450.0,11120.0,스타에스엠리츠,204210
2020-03-20,2700.0,상승  160,2540.0,2830.0,2470.0,54692.0,스타에스엠리츠,204210
2020-03-23,2565.0,하락  135,2670.0,2670.0,2400.0,11373.0,스타에스엠리츠,204210
2020-03-24,2655.0,상승  90,2610.0,2715.0,2575.0,18062.0,스타에스엠리츠,204210
2020-03-25,2720.0,상승  65,2615.0,2720.0,2615.0,7492.0,스타에스엠리츠,204210
2020-03-26,2760.0,상승  40,2610.0,2765.0,2605.0,13028.0,스타에스엠리츠,204210
2020-03-27,2740.0,하락  20,2755.0,2760.0,2630.0,5434.0,스타에스엠리츠,204210
2020-03-30,2705.0,하락  35,2740.0,2740.0,2645.0,895.0,스타에스엠리츠,204210
2020-03-31,2680.0,하락  25,2750.0,2750.0,2520.0,8076.0,스타에스엠리츠,204210
2020-04-01,2640.0,하락  40,2700.0,2700.0,2630.0,1773.0,스타에스엠리츠,204210
2020-04-02,2670.0,상승  30,2680.0,2680.0,2570.0,1255.0,스타에스엠리츠,204210
2020-04-03,2680.0,상승  10,2670.0,2720.0,2640.0,13549.0,스타에스엠리츠,204210
2020-04-06,2680.0,보합0,2690.0,2690.0,2640.0,4357.0,스타에스엠리츠,204210
2020-04-07,2705.0,상승  25,2720.0,2720.0,2600.0,2592.0,스타에스엠리츠,204210
2020-04-08,2710.0,상승  5,2715.0,2715.0,2630.0,905.0,스타에스엠리츠,204210
2020-04-09,2660.0,하락  50,2715.0,2715.0,2640.0,4974.0,스타에스엠리츠,204210
2020-04-10,2660.0,보합0,2690.0,2715.0,2630.0,4108.0,스타에스엠리츠,204210
2020-04-13,2700.0,상승  40,2670.0,2715.0,2650.0,1468.0,스타에스엠리츠,204210
2020-04-14,2705.0,상승  5,2700.0,2710.0,2680.0,37651.0,스타에스엠리츠,204210
2020-04-16,2700.0,하락  5,2715.0,2715.0,2655.0,2761.0,스타에스엠리츠,204210
2020-04-17,2700.0,보합0,2700.0,2715.0,2550.0,18293.0,스타에스엠리츠,204210
2020-04-20,2705.0,상승  5,2700.0,2715.0,2610.0,7546.0,스타에스엠리츠,204210
2020-04-21,2700.0,하락  5,2705.0,2790.0,2670.0,72975.0,스타에스엠리츠,204210
2020-04-22,2725.0,상승  25,2705.0,2750.0,2655.0,7913.0,스타에스엠리츠,204210
2020-04-23,2730.0,상승  5,2770.0,2770.0,2670.0,46864.0,스타에스엠리츠,204210
2020-04-24,2735.0,상승  5,2715.0,2750.0,2680.0,819.0,스타에스엠리츠,204210
2020-04-27,2675.0,하락  60,2770.0,2770.0,2670.0,12606.0,스타에스엠리츠,204210
2020-04-28,2725.0,상승  50,2675.0,2755.0,2675.0,6683.0,스타에스엠리츠,204210
2020-04-29,2715.0,하락  10,2730.0,2755.0,2615.0,2087.0,스타에스엠리츠,204210
2020-05-04,2720.0,상승  5,2770.0,2770.0,2675.0,1501.0,스타에스엠리츠,204210
2020-05-06,2720.0,보합0,2750.0,2750.0,2685.0,10119.0,스타에스엠리츠,204210
2020-05-07,2700.0,하락  20,2720.0,2765.0,2695.0,9558.0,스타에스엠리츠,204210
