날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,42700.0,"하락  1,300",44300.0,45800.0,42700.0,31589.0,신대양제지,016590
2020-03-17,45800.0,"상승  3,100",40100.0,46650.0,40100.0,44032.0,신대양제지,016590
2020-03-18,45000.0,하락  800,46050.0,47800.0,44800.0,20120.0,신대양제지,016590
2020-03-19,40550.0,"하락  4,450",45000.0,45500.0,39950.0,66689.0,신대양제지,016590
2020-03-20,45350.0,"상승  4,800",40600.0,45350.0,40600.0,24025.0,신대양제지,016590
2020-03-23,43850.0,"하락  1,500",41500.0,45000.0,41000.0,33887.0,신대양제지,016590
2020-03-24,46000.0,"상승  2,150",44350.0,46700.0,44350.0,21787.0,신대양제지,016590
2020-03-25,47900.0,"상승  1,900",48200.0,48200.0,46500.0,33537.0,신대양제지,016590
2020-03-26,50900.0,"상승  3,000",48800.0,51000.0,47400.0,28903.0,신대양제지,016590
2020-03-27,50000.0,하락  900,51800.0,52900.0,48700.0,31357.0,신대양제지,016590
2020-03-30,50000.0,보합0,47350.0,50000.0,47350.0,16704.0,신대양제지,016590
2020-03-31,51900.0,"상승  1,900",50900.0,52700.0,50400.0,46432.0,신대양제지,016590
2020-04-01,52500.0,상승  600,51700.0,54600.0,51000.0,35594.0,신대양제지,016590
2020-04-02,52700.0,상승  200,52400.0,53300.0,50500.0,18136.0,신대양제지,016590
2020-04-03,51000.0,"하락  1,700",52900.0,53000.0,51000.0,16682.0,신대양제지,016590
2020-04-06,53000.0,"상승  2,000",51400.0,53000.0,51400.0,18453.0,신대양제지,016590
2020-04-07,53500.0,상승  500,54300.0,54300.0,52000.0,24899.0,신대양제지,016590
2020-04-08,54800.0,"상승  1,300",53800.0,56300.0,53300.0,42450.0,신대양제지,016590
2020-04-09,55100.0,상승  300,55700.0,56100.0,54200.0,14213.0,신대양제지,016590
2020-04-10,55500.0,상승  400,55600.0,55600.0,51000.0,12674.0,신대양제지,016590
2020-04-13,54800.0,하락  700,55500.0,55900.0,54100.0,15689.0,신대양제지,016590
2020-04-14,55300.0,상승  500,54500.0,56100.0,54000.0,28730.0,신대양제지,016590
2020-04-16,56400.0,"상승  1,100",54200.0,56900.0,53000.0,24458.0,신대양제지,016590
2020-04-17,55900.0,하락  500,56000.0,57200.0,55200.0,22553.0,신대양제지,016590
2020-04-20,55000.0,하락  900,56000.0,56500.0,54600.0,19224.0,신대양제지,016590
2020-04-21,54700.0,하락  300,54300.0,55000.0,52600.0,16166.0,신대양제지,016590
2020-04-22,54700.0,보합0,54000.0,54700.0,52100.0,14805.0,신대양제지,016590
2020-04-23,56700.0,"상승  2,000",55000.0,56800.0,54000.0,28038.0,신대양제지,016590
2020-04-24,56900.0,상승  200,57100.0,59000.0,55900.0,24670.0,신대양제지,016590
2020-04-27,58000.0,"상승  1,100",56900.0,58900.0,56900.0,15809.0,신대양제지,016590
2020-04-28,58300.0,상승  300,58100.0,59900.0,57600.0,13775.0,신대양제지,016590
2020-04-29,61000.0,"상승  2,700",58900.0,62100.0,58300.0,77637.0,신대양제지,016590
2020-05-04,61900.0,상승  900,61000.0,62700.0,59900.0,29772.0,신대양제지,016590
2020-05-06,62300.0,상승  400,62100.0,63100.0,61500.0,17327.0,신대양제지,016590
2020-05-07,62700.0,상승  400,62200.0,63000.0,61100.0,19257.0,신대양제지,016590
2020-05-08,63200.0,상승  500,63200.0,63400.0,62300.0,13723.0,신대양제지,016590
2020-05-11,63000.0,하락  200,63500.0,63600.0,62100.0,14143.0,신대양제지,016590
2020-05-12,62300.0,하락  700,63000.0,63000.0,60000.0,29811.0,신대양제지,016590
2020-05-13,61500.0,하락  800,61300.0,62200.0,60500.0,12561.0,신대양제지,016590
2020-05-14,61900.0,상승  400,60600.0,62200.0,60600.0,13267.0,신대양제지,016590
2020-05-15,64000.0,"상승  2,100",61600.0,64500.0,61600.0,31797.0,신대양제지,016590
2020-05-18,59400.0,"하락  4,600",61900.0,62400.0,59200.0,56481.0,신대양제지,016590
2020-05-19,57900.0,"하락  1,500",60100.0,60100.0,57400.0,29202.0,신대양제지,016590
2020-05-20,58200.0,상승  300,57900.0,58800.0,57400.0,15220.0,신대양제지,016590
2020-05-21,57700.0,하락  500,58900.0,58900.0,57400.0,15666.0,신대양제지,016590
2020-05-22,57800.0,상승  100,57700.0,59900.0,55400.0,32933.0,신대양제지,016590
2020-05-25,57600.0,하락  200,59000.0,59000.0,57500.0,32190.0,신대양제지,016590
2020-05-26,57900.0,상승  300,57600.0,58400.0,57100.0,21336.0,신대양제지,016590
2020-05-27,58300.0,상승  400,58000.0,58900.0,57900.0,12807.0,신대양제지,016590
2020-05-28,58200.0,하락  100,59300.0,59500.0,57100.0,18722.0,신대양제지,016590
2020-05-29,57900.0,하락  300,58200.0,58200.0,56700.0,11828.0,신대양제지,016590
2020-06-01,58900.0,"상승  1,000",58500.0,59200.0,58400.0,27020.0,신대양제지,016590
2020-06-02,59300.0,상승  400,58600.0,59800.0,58600.0,23626.0,신대양제지,016590
2020-06-03,59300.0,보합0,60300.0,60600.0,58600.0,34108.0,신대양제지,016590
2020-06-04,58600.0,하락  700,59300.0,59600.0,57900.0,28092.0,신대양제지,016590
2020-06-05,58800.0,상승  200,58600.0,59000.0,58300.0,11396.0,신대양제지,016590
2020-06-08,58800.0,보합0,58800.0,59600.0,57900.0,36833.0,신대양제지,016590
2020-06-09,58200.0,하락  600,58800.0,59000.0,58000.0,14982.0,신대양제지,016590
2020-06-10,58000.0,하락  200,58200.0,58700.0,57800.0,12714.0,신대양제지,016590
2020-06-11,56900.0,"하락  1,100",58000.0,58300.0,56800.0,17593.0,신대양제지,016590
2020-06-12,55500.0,"하락  1,400",54100.0,55800.0,53800.0,20483.0,신대양제지,016590
2020-06-15,54100.0,"하락  1,400",55500.0,57800.0,53800.0,29591.0,신대양제지,016590
2020-06-16,55300.0,"상승  1,200",54700.0,56400.0,54700.0,17232.0,신대양제지,016590
2020-06-17,55600.0,상승  300,55300.0,56300.0,54900.0,10080.0,신대양제지,016590
2020-06-18,56400.0,상승  800,55600.0,56900.0,55500.0,9056.0,신대양제지,016590
2020-06-19,56500.0,상승  100,56500.0,57500.0,55600.0,6749.0,신대양제지,016590
2020-06-22,56900.0,상승  400,56600.0,57400.0,55800.0,13600.0,신대양제지,016590
2020-06-23,56200.0,하락  700,56900.0,57300.0,56000.0,6175.0,신대양제지,016590
2020-06-24,55500.0,하락  700,55700.0,56400.0,55300.0,16227.0,신대양제지,016590
2020-06-25,54500.0,"하락  1,000",55000.0,55600.0,54200.0,9941.0,신대양제지,016590
2020-06-26,54500.0,보합0,54500.0,55000.0,54100.0,8955.0,신대양제지,016590
2020-06-29,53500.0,"하락  1,000",54500.0,54700.0,53200.0,4915.0,신대양제지,016590
2020-06-30,53800.0,상승  300,53500.0,54500.0,53100.0,7482.0,신대양제지,016590
