날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,24900.0,"하락  2,550",26700.0,26700.0,24450.0,30789.0,신도리코,029530
2020-03-16,24400.0,하락  500,24850.0,25750.0,24400.0,7331.0,신도리코,029530
2020-03-17,23900.0,하락  500,23700.0,24650.0,23700.0,12785.0,신도리코,029530
2020-03-18,24000.0,상승  100,24150.0,24550.0,23600.0,38630.0,신도리코,029530
2020-03-19,19550.0,"하락  4,450",22550.0,24400.0,19300.0,55517.0,신도리코,029530
2020-03-20,21200.0,"상승  1,650",19450.0,21200.0,19450.0,9504.0,신도리코,029530
2020-03-23,19500.0,"하락  1,700",20200.0,20250.0,19000.0,15092.0,신도리코,029530
2020-03-24,20100.0,상승  600,19850.0,20500.0,19750.0,12216.0,신도리코,029530
2020-03-25,21200.0,"상승  1,100",20700.0,21250.0,20450.0,16473.0,신도리코,029530
2020-03-26,21400.0,상승  200,21750.0,21800.0,21150.0,18954.0,신도리코,029530
2020-03-27,21400.0,보합0,21800.0,22800.0,21250.0,24471.0,신도리코,029530
2020-03-30,22200.0,상승  800,21100.0,22200.0,20650.0,15110.0,신도리코,029530
2020-03-31,22300.0,상승  100,22300.0,22700.0,22100.0,6015.0,신도리코,029530
2020-04-01,22250.0,하락  50,22300.0,22950.0,22050.0,26236.0,신도리코,029530
2020-04-02,22900.0,상승  650,22200.0,23000.0,21950.0,8356.0,신도리코,029530
2020-04-03,23800.0,상승  900,22900.0,23800.0,22700.0,13361.0,신도리코,029530
2020-04-06,24650.0,상승  850,23350.0,24800.0,23350.0,16051.0,신도리코,029530
2020-04-07,25900.0,"상승  1,250",25100.0,26250.0,25100.0,19481.0,신도리코,029530
2020-04-08,25600.0,하락  300,25900.0,26200.0,25300.0,17055.0,신도리코,029530
2020-04-09,25750.0,상승  150,25600.0,26000.0,25550.0,6260.0,신도리코,029530
2020-04-10,26400.0,상승  650,25800.0,26500.0,25300.0,8131.0,신도리코,029530
2020-04-13,26350.0,하락  50,26600.0,26600.0,25550.0,10733.0,신도리코,029530
2020-04-14,26300.0,하락  50,26350.0,26800.0,26050.0,6998.0,신도리코,029530
2020-04-16,25250.0,"하락  1,050",26300.0,26300.0,25250.0,10449.0,신도리코,029530
2020-04-17,25900.0,상승  650,25500.0,26450.0,25200.0,26547.0,신도리코,029530
2020-04-20,26000.0,상승  100,25750.0,26850.0,25750.0,5239.0,신도리코,029530
2020-04-21,25500.0,하락  500,25750.0,25850.0,24850.0,12725.0,신도리코,029530
2020-04-22,26450.0,상승  950,24950.0,26450.0,24900.0,15341.0,신도리코,029530
2020-04-23,26550.0,상승  100,26150.0,26800.0,26150.0,6027.0,신도리코,029530
2020-04-24,26600.0,상승  50,26550.0,26800.0,26250.0,8076.0,신도리코,029530
2020-04-27,27300.0,상승  700,26600.0,27300.0,26600.0,8756.0,신도리코,029530
2020-04-28,27700.0,상승  400,27300.0,27800.0,26950.0,10482.0,신도리코,029530
2020-04-29,27550.0,하락  150,27750.0,27750.0,27050.0,15358.0,신도리코,029530
2020-05-04,26700.0,하락  850,27450.0,27450.0,26650.0,23298.0,신도리코,029530
2020-05-06,27200.0,상승  500,26700.0,27350.0,26700.0,5885.0,신도리코,029530
2020-05-07,27300.0,상승  100,27300.0,27500.0,26750.0,8006.0,신도리코,029530
2020-05-08,28500.0,"상승  1,200",27050.0,32150.0,27050.0,105873.0,신도리코,029530
2020-05-11,28500.0,보합0,28300.0,28650.0,28050.0,19572.0,신도리코,029530
2020-05-12,27300.0,"하락  1,200",28200.0,28600.0,27300.0,19588.0,신도리코,029530
2020-05-13,26700.0,하락  600,27000.0,27000.0,26300.0,37962.0,신도리코,029530
2020-05-14,27500.0,상승  800,26600.0,29700.0,26100.0,63118.0,신도리코,029530
2020-05-15,27000.0,하락  500,27500.0,27650.0,26450.0,25947.0,신도리코,029530
2020-05-18,26050.0,하락  950,26800.0,27400.0,26000.0,21455.0,신도리코,029530
2020-05-19,26300.0,상승  250,26500.0,26650.0,26000.0,30894.0,신도리코,029530
2020-05-20,26500.0,상승  200,26500.0,26750.0,26100.0,20398.0,신도리코,029530
2020-05-21,26250.0,하락  250,26800.0,27050.0,26100.0,26796.0,신도리코,029530
2020-05-22,26000.0,하락  250,26150.0,27000.0,25350.0,32073.0,신도리코,029530
2020-05-25,26200.0,상승  200,25850.0,26400.0,25600.0,26599.0,신도리코,029530
