날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1035.0,하락  105,1045.0,1090.0,992.0,4328995.0,신성통상,005390
2020-03-16,982.0,하락  53,1045.0,1085.0,982.0,2937706.0,신성통상,005390
2020-03-17,970.0,하락  12,908.0,999.0,908.0,3688663.0,신성통상,005390
2020-03-18,882.0,하락  88,970.0,995.0,882.0,3052384.0,신성통상,005390
2020-03-19,651.0,하락  231,882.0,930.0,644.0,6282879.0,신성통상,005390
2020-03-20,754.0,상승  103,651.0,769.0,651.0,5402875.0,신성통상,005390
2020-03-23,696.0,하락  58,709.0,730.0,655.0,2121385.0,신성통상,005390
2020-03-24,763.0,상승  67,722.0,785.0,712.0,2389613.0,신성통상,005390
2020-03-25,819.0,상승  56,803.0,844.0,788.0,2781131.0,신성통상,005390
2020-03-26,840.0,상승  21,820.0,894.0,809.0,3158814.0,신성통상,005390
2020-03-27,837.0,하락  3,877.0,887.0,805.0,2065818.0,신성통상,005390
2020-03-30,905.0,상승  68,816.0,996.0,805.0,5383273.0,신성통상,005390
2020-03-31,934.0,상승  29,920.0,947.0,903.0,2592129.0,신성통상,005390
2020-04-01,940.0,상승  6,924.0,989.0,912.0,2461234.0,신성통상,005390
2020-04-02,940.0,보합0,973.0,982.0,910.0,1731858.0,신성통상,005390
2020-04-03,931.0,하락  9,963.0,964.0,923.0,1434172.0,신성통상,005390
2020-04-06,976.0,상승  45,933.0,976.0,931.0,1934010.0,신성통상,005390
2020-04-07,1055.0,상승  79,1060.0,1150.0,990.0,12087649.0,신성통상,005390
2020-04-08,1045.0,하락  10,1055.0,1080.0,1020.0,2281679.0,신성통상,005390
2020-04-09,1050.0,상승  5,1060.0,1080.0,1025.0,2452452.0,신성통상,005390
2020-04-10,1005.0,하락  45,1050.0,1065.0,971.0,2478015.0,신성통상,005390
2020-04-13,1010.0,상승  5,1010.0,1035.0,980.0,1668964.0,신성통상,005390
2020-04-14,1055.0,상승  45,1020.0,1080.0,1015.0,2690164.0,신성통상,005390
2020-04-16,1075.0,상승  20,1045.0,1100.0,1005.0,4882758.0,신성통상,005390
2020-04-17,1105.0,상승  30,1085.0,1170.0,1070.0,7415274.0,신성통상,005390
2020-04-20,1080.0,하락  25,1110.0,1140.0,1075.0,2599028.0,신성통상,005390
2020-04-21,1055.0,하락  25,1065.0,1120.0,1000.0,4051179.0,신성통상,005390
2020-04-22,1070.0,상승  15,1030.0,1070.0,1015.0,1127487.0,신성통상,005390
2020-04-23,1075.0,상승  5,1070.0,1085.0,1060.0,1351545.0,신성통상,005390
2020-04-24,1060.0,하락  15,1075.0,1085.0,1050.0,964562.0,신성통상,005390
2020-04-27,1130.0,상승  70,1065.0,1135.0,1065.0,3391629.0,신성통상,005390
2020-04-28,1105.0,하락  25,1140.0,1160.0,1080.0,2141001.0,신성통상,005390
2020-04-29,1115.0,상승  10,1105.0,1160.0,1105.0,3117821.0,신성통상,005390
2020-05-04,1145.0,상승  30,1110.0,1170.0,1080.0,3183723.0,신성통상,005390
2020-05-06,1150.0,상승  5,1150.0,1155.0,1135.0,1340363.0,신성통상,005390
2020-05-07,1160.0,상승  10,1160.0,1170.0,1150.0,1382210.0,신성통상,005390
2020-05-08,1160.0,보합0,1160.0,1175.0,1150.0,1206389.0,신성통상,005390
