날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,218500.0,"하락  8,500",229500.0,235000.0,218500.0,82731.0,신세계,004170
2020-03-17,237500.0,"상승  19,000",210000.0,238500.0,206500.0,112027.0,신세계,004170
2020-03-18,226000.0,"하락  11,500",235000.0,250000.0,225500.0,105391.0,신세계,004170
2020-03-19,204000.0,"하락  22,000",234500.0,239500.0,199000.0,138230.0,신세계,004170
2020-03-20,224000.0,"상승  20,000",210500.0,225000.0,200000.0,106243.0,신세계,004170
2020-03-23,206500.0,"하락  17,500",207500.0,215000.0,201000.0,80435.0,신세계,004170
2020-03-24,220500.0,"상승  14,000",213000.0,223000.0,208500.0,98816.0,신세계,004170
2020-03-25,238000.0,"상승  17,500",227000.0,238000.0,222500.0,147830.0,신세계,004170
2020-03-26,232500.0,"하락  5,500",238000.0,245500.0,230500.0,88514.0,신세계,004170
2020-03-27,224500.0,"하락  8,000",243500.0,243500.0,221000.0,150570.0,신세계,004170
2020-03-30,215000.0,"하락  9,500",215500.0,218000.0,207500.0,159615.0,신세계,004170
2020-03-31,217500.0,"상승  2,500",220000.0,220000.0,210500.0,133878.0,신세계,004170
2020-04-01,210000.0,"하락  7,500",215500.0,218500.0,210000.0,88350.0,신세계,004170
2020-04-02,208500.0,"하락  1,500",210500.0,212500.0,203500.0,128142.0,신세계,004170
2020-04-03,208500.0,보합0,208000.0,210500.0,205500.0,89739.0,신세계,004170
2020-04-06,221000.0,"상승  12,500",210000.0,223500.0,209000.0,141057.0,신세계,004170
2020-04-07,228500.0,"상승  7,500",229000.0,232500.0,220500.0,137833.0,신세계,004170
2020-04-08,231000.0,"상승  2,500",226000.0,239500.0,222000.0,136604.0,신세계,004170
2020-04-09,237000.0,"상승  6,000",236000.0,238000.0,232000.0,114853.0,신세계,004170
2020-04-10,241000.0,"상승  4,000",239000.0,242000.0,235000.0,76789.0,신세계,004170
2020-04-13,232500.0,"하락  8,500",241000.0,241500.0,232000.0,73130.0,신세계,004170
2020-04-14,233000.0,상승  500,233500.0,236500.0,230000.0,59623.0,신세계,004170
2020-04-16,233500.0,상승  500,232500.0,236500.0,229000.0,61101.0,신세계,004170
2020-04-17,252500.0,"상승  19,000",245000.0,260000.0,241000.0,203883.0,신세계,004170
2020-04-20,255000.0,"상승  2,500",250000.0,267000.0,249000.0,162725.0,신세계,004170
2020-04-21,259500.0,"상승  4,500",256500.0,262000.0,250000.0,144633.0,신세계,004170
2020-04-22,252000.0,"하락  7,500",255500.0,257000.0,246000.0,167721.0,신세계,004170
2020-04-23,250500.0,"하락  1,500",252000.0,252500.0,248000.0,74255.0,신세계,004170
2020-04-24,243500.0,"하락  7,000",248000.0,250000.0,243500.0,55573.0,신세계,004170
2020-04-27,255500.0,"상승  12,000",244000.0,258500.0,244000.0,125254.0,신세계,004170
2020-04-28,263500.0,"상승  8,000",257000.0,265000.0,255000.0,121881.0,신세계,004170
2020-04-29,265000.0,"상승  1,500",263000.0,276000.0,258500.0,153789.0,신세계,004170
2020-05-04,264500.0,하락  500,257500.0,269000.0,256000.0,96779.0,신세계,004170
2020-05-06,264500.0,보합0,269000.0,274000.0,264000.0,99348.0,신세계,004170
2020-05-07,259500.0,"하락  5,000",265500.0,267000.0,258500.0,74945.0,신세계,004170
2020-05-08,253500.0,"하락  6,000",261000.0,263000.0,252000.0,148371.0,신세계,004170
2020-05-11,243500.0,"하락  10,000",250000.0,251500.0,243000.0,173515.0,신세계,004170
2020-05-12,244000.0,상승  500,245000.0,248500.0,237000.0,97494.0,신세계,004170
2020-05-13,239000.0,"하락  5,000",241000.0,242000.0,238000.0,94168.0,신세계,004170
2020-05-14,238000.0,"하락  1,000",239000.0,243500.0,237500.0,71463.0,신세계,004170
2020-05-15,233500.0,"하락  4,500",240500.0,241000.0,232500.0,67832.0,신세계,004170
2020-05-18,242500.0,"상승  9,000",234500.0,243000.0,231500.0,96006.0,신세계,004170
2020-05-19,255500.0,"상승  13,000",253000.0,259000.0,249500.0,173503.0,신세계,004170
2020-05-20,249500.0,"하락  6,000",252000.0,253500.0,246500.0,82703.0,신세계,004170
2020-05-21,248000.0,"하락  1,500",250500.0,251000.0,246000.0,66290.0,신세계,004170
2020-05-22,242500.0,"하락  5,500",249500.0,249500.0,242000.0,53951.0,신세계,004170
2020-05-25,238500.0,"하락  4,000",242500.0,244000.0,236500.0,69815.0,신세계,004170
2020-05-26,240500.0,"상승  2,000",238500.0,242500.0,237500.0,72444.0,신세계,004170
2020-05-27,248500.0,"상승  8,000",243000.0,249000.0,241500.0,113559.0,신세계,004170
2020-05-28,242500.0,"하락  6,000",252000.0,252000.0,240500.0,87273.0,신세계,004170
2020-05-29,245000.0,"상승  2,500",240000.0,245000.0,240000.0,54574.0,신세계,004170
2020-06-01,245500.0,상승  500,244000.0,246000.0,242500.0,61888.0,신세계,004170
2020-06-02,250500.0,"상승  5,000",245500.0,250500.0,245500.0,101881.0,신세계,004170
2020-06-03,254000.0,"상승  3,500",252000.0,256500.0,249500.0,141866.0,신세계,004170
2020-06-04,251000.0,"하락  3,000",258500.0,259500.0,250000.0,92212.0,신세계,004170
2020-06-05,252500.0,"상승  1,500",251500.0,254500.0,250500.0,54301.0,신세계,004170
2020-06-08,251000.0,"하락  1,500",256500.0,257000.0,248000.0,70073.0,신세계,004170
2020-06-09,247500.0,"하락  3,500",250500.0,251000.0,245500.0,72660.0,신세계,004170
2020-06-10,248500.0,"상승  1,000",247000.0,250000.0,246500.0,49024.0,신세계,004170
2020-06-11,242500.0,"하락  6,000",247000.0,250000.0,241000.0,104301.0,신세계,004170
2020-06-12,231000.0,"하락  11,500",230000.0,238000.0,230000.0,126017.0,신세계,004170
2020-06-15,216000.0,"하락  15,000",230000.0,230500.0,215500.0,137203.0,신세계,004170
2020-06-16,222000.0,"상승  6,000",219500.0,224000.0,219000.0,91361.0,신세계,004170
2020-06-17,216500.0,"하락  5,500",221000.0,221000.0,215000.0,111929.0,신세계,004170
2020-06-18,217500.0,"상승  1,000",217000.0,223000.0,216000.0,81096.0,신세계,004170
2020-06-19,220500.0,"상승  3,000",220500.0,224000.0,218500.0,90286.0,신세계,004170
2020-06-22,216500.0,"하락  4,000",219000.0,220000.0,215500.0,71303.0,신세계,004170
2020-06-23,212000.0,"하락  4,500",217500.0,219000.0,212000.0,93604.0,신세계,004170
2020-06-24,209500.0,"하락  2,500",212500.0,213500.0,209500.0,96192.0,신세계,004170
2020-06-25,206000.0,"하락  3,500",207500.0,207500.0,201500.0,119207.0,신세계,004170
2020-06-26,214000.0,"상승  8,000",207500.0,217500.0,203000.0,98419.0,신세계,004170
2020-06-29,206500.0,"하락  7,500",210500.0,212500.0,206500.0,56491.0,신세계,004170
2020-06-30,220500.0,"상승  14,000",209500.0,225000.0,206500.0,234125.0,신세계,004170
2020-07-01,214000.0,"하락  6,500",223000.0,223000.0,212500.0,69546.0,신세계,004170
2020-07-02,215500.0,"상승  1,500",214000.0,219000.0,213500.0,59757.0,신세계,004170
2020-07-03,221500.0,"상승  6,000",216500.0,222500.0,216500.0,98113.0,신세계,004170
2020-07-06,221500.0,보합0,222500.0,222500.0,218500.0,48717.0,신세계,004170
2020-07-07,218000.0,"하락  3,500",222500.0,223000.0,218000.0,59886.0,신세계,004170
2020-07-08,217500.0,하락  500,217500.0,221500.0,216000.0,51602.0,신세계,004170
2020-07-09,211000.0,"하락  6,500",218500.0,219000.0,210500.0,118837.0,신세계,004170
2020-07-10,207500.0,"하락  3,500",211000.0,211500.0,207000.0,68859.0,신세계,004170
2020-07-13,210000.0,"상승  2,500",208500.0,213500.0,208000.0,57917.0,신세계,004170
2020-07-14,208500.0,"하락  1,500",209000.0,210000.0,205500.0,67998.0,신세계,004170
2020-07-15,210000.0,"상승  1,500",211500.0,213500.0,207500.0,85845.0,신세계,004170
2020-07-16,217000.0,"상승  7,000",211000.0,219000.0,210000.0,152577.0,신세계,004170
2020-07-17,215500.0,"하락  1,500",218500.0,219500.0,213000.0,59257.0,신세계,004170
2020-07-20,214500.0,"하락  1,000",215500.0,218000.0,214500.0,74304.0,신세계,004170
2020-07-21,216000.0,"상승  1,500",215000.0,218500.0,214500.0,66822.0,신세계,004170
2020-07-22,213500.0,"하락  2,500",216000.0,216500.0,213000.0,59636.0,신세계,004170
2020-07-23,209500.0,"하락  4,000",212500.0,213500.0,209000.0,79829.0,신세계,004170
2020-07-24,208000.0,"하락  1,500",207500.0,211000.0,207500.0,48364.0,신세계,004170
2020-07-27,209000.0,"상승  1,000",206000.0,209500.0,206000.0,35486.0,신세계,004170
2020-07-28,209500.0,상승  500,208000.0,210500.0,208000.0,49358.0,신세계,004170
2020-07-29,208500.0,"하락  1,000",208500.0,210000.0,207500.0,37270.0,신세계,004170
2020-07-30,213500.0,"상승  5,000",209000.0,218000.0,208000.0,144066.0,신세계,004170
2020-07-31,209000.0,"하락  4,500",214000.0,214500.0,209000.0,71503.0,신세계,004170
2020-08-03,206000.0,"하락  3,000",208500.0,209000.0,205000.0,89940.0,신세계,004170
2020-08-04,206500.0,상승  500,206000.0,207500.0,205500.0,43614.0,신세계,004170
2020-08-05,205000.0,"하락  1,500",207500.0,207500.0,204500.0,71763.0,신세계,004170
2020-08-06,206000.0,"상승  1,000",205000.0,207500.0,204000.0,58412.0,신세계,004170
2020-08-07,207000.0,"상승  1,000",206000.0,211500.0,205500.0,94191.0,신세계,004170
2020-08-10,209000.0,"상승  2,000",205500.0,209500.0,205000.0,70155.0,신세계,004170
2020-08-11,212000.0,"상승  3,000",210000.0,215000.0,210000.0,124776.0,신세계,004170
2020-08-12,220500.0,"상승  8,500",214500.0,223500.0,213500.0,310579.0,신세계,004170
2020-08-13,222500.0,"상승  2,000",227000.0,227500.0,221000.0,262400.0,신세계,004170
2020-08-14,230000.0,"상승  7,500",225000.0,232000.0,225000.0,198358.0,신세계,004170
2020-08-18,210000.0,"하락  20,000",223500.0,224000.0,207000.0,303466.0,신세계,004170
2020-08-19,211500.0,"상승  1,500",209500.0,213500.0,206500.0,98390.0,신세계,004170
2020-08-20,205000.0,"하락  6,500",209500.0,209500.0,204500.0,118880.0,신세계,004170
2020-08-21,206000.0,"상승  1,000",205500.0,209000.0,205000.0,55860.0,신세계,004170
2020-08-24,205500.0,하락  500,205000.0,206500.0,201500.0,52114.0,신세계,004170
2020-08-25,207000.0,"상승  1,500",207000.0,209000.0,206500.0,45738.0,신세계,004170
2020-08-26,204500.0,"하락  2,500",207500.0,207500.0,202500.0,71859.0,신세계,004170
2020-08-27,200500.0,"하락  4,000",203500.0,204000.0,200000.0,114092.0,신세계,004170
2020-08-28,205500.0,"상승  5,000",203000.0,207000.0,201000.0,108874.0,신세계,004170
2020-08-31,203000.0,"하락  2,500",206000.0,207500.0,203000.0,99407.0,신세계,004170
2020-09-01,204000.0,"상승  1,000",203000.0,206500.0,202500.0,57642.0,신세계,004170
2020-09-02,213500.0,"상승  9,500",205500.0,217500.0,204500.0,199133.0,신세계,004170
2020-09-03,213500.0,보합0,217000.0,219000.0,213000.0,128470.0,신세계,004170
2020-09-04,207500.0,"하락  6,000",208500.0,211500.0,206500.0,143484.0,신세계,004170
2020-09-07,214500.0,"상승  7,000",209500.0,215500.0,207000.0,94426.0,신세계,004170
2020-09-08,211500.0,"하락  3,000",215000.0,216000.0,211000.0,84463.0,신세계,004170
