날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1540.0,하락  110,1500.0,1580.0,1300.0,5168654.0,신일전자,002700
2020-03-16,1430.0,하락  110,1540.0,1625.0,1425.0,4469768.0,신일전자,002700
2020-03-17,1445.0,상승  15,1300.0,1475.0,1300.0,3464724.0,신일전자,002700
2020-03-18,1340.0,하락  105,1450.0,1475.0,1340.0,2866341.0,신일전자,002700
2020-03-19,1085.0,하락  255,1360.0,1385.0,1080.0,5744244.0,신일전자,002700
2020-03-20,1250.0,상승  165,1090.0,1260.0,1090.0,5364486.0,신일전자,002700
2020-03-23,1175.0,하락  75,1145.0,1215.0,1125.0,3074665.0,신일전자,002700
2020-03-24,1285.0,상승  110,1225.0,1285.0,1190.0,3500310.0,신일전자,002700
2020-03-25,1405.0,상승  120,1340.0,1415.0,1320.0,4729923.0,신일전자,002700
2020-03-26,1405.0,보합0,1395.0,1460.0,1360.0,3388720.0,신일전자,002700
2020-03-27,1420.0,상승  15,1450.0,1470.0,1375.0,3375452.0,신일전자,002700
2020-03-30,1465.0,상승  45,1370.0,1465.0,1350.0,2396971.0,신일전자,002700
2020-03-31,1600.0,상승  135,1510.0,1630.0,1465.0,5195772.0,신일전자,002700
2020-04-01,1575.0,하락  25,1580.0,1665.0,1550.0,3794167.0,신일전자,002700
2020-04-02,1615.0,상승  40,1575.0,1625.0,1530.0,2705306.0,신일전자,002700
2020-04-03,1650.0,상승  35,1615.0,1760.0,1585.0,5147947.0,신일전자,002700
2020-04-06,1755.0,상승  105,1670.0,1780.0,1660.0,4623364.0,신일전자,002700
2020-04-07,1760.0,상승  5,1780.0,1810.0,1710.0,3385401.0,신일전자,002700
2020-04-08,1820.0,상승  60,1750.0,1855.0,1720.0,3842293.0,신일전자,002700
2020-04-09,1835.0,상승  15,1825.0,1865.0,1815.0,1677227.0,신일전자,002700
2020-04-10,1805.0,하락  30,1835.0,1840.0,1730.0,2381519.0,신일전자,002700
2020-04-13,1760.0,하락  45,1795.0,1815.0,1755.0,1858976.0,신일전자,002700
2020-04-14,1795.0,상승  35,1760.0,1805.0,1760.0,2241885.0,신일전자,002700
2020-04-16,1825.0,상승  30,1795.0,1830.0,1780.0,2126761.0,신일전자,002700
2020-04-17,1845.0,상승  20,1835.0,1875.0,1820.0,3327661.0,신일전자,002700
2020-04-20,1855.0,상승  10,1855.0,1885.0,1825.0,2896473.0,신일전자,002700
2020-04-21,1810.0,하락  45,1845.0,1850.0,1670.0,4032646.0,신일전자,002700
2020-04-22,1805.0,하락  5,1785.0,1810.0,1760.0,1234531.0,신일전자,002700
2020-04-23,1825.0,상승  20,1810.0,1835.0,1800.0,1508634.0,신일전자,002700
2020-04-24,1780.0,하락  45,1810.0,1820.0,1770.0,1770517.0,신일전자,002700
2020-04-27,1845.0,상승  65,1800.0,1870.0,1790.0,3242497.0,신일전자,002700
2020-04-28,1850.0,상승  5,1850.0,1885.0,1820.0,2430710.0,신일전자,002700
2020-04-29,1950.0,상승  100,1880.0,2060.0,1860.0,26003337.0,신일전자,002700
2020-05-04,2185.0,상승  235,2005.0,2245.0,1975.0,65968069.0,신일전자,002700
2020-05-06,2260.0,상승  75,2260.0,2370.0,2190.0,38699124.0,신일전자,002700
2020-05-07,2245.0,하락  15,2345.0,2350.0,2210.0,11613816.0,신일전자,002700
2020-05-08,2275.0,상승  30,2255.0,2315.0,2245.0,9602680.0,신일전자,002700
2020-05-11,2290.0,상승  15,2275.0,2320.0,2215.0,9848137.0,신일전자,002700
2020-05-12,2245.0,하락  45,2285.0,2315.0,2200.0,4775620.0,신일전자,002700
2020-05-13,2280.0,상승  35,2200.0,2295.0,2200.0,5357492.0,신일전자,002700
2020-05-14,2230.0,하락  50,2275.0,2275.0,2210.0,3737842.0,신일전자,002700
2020-05-15,2230.0,보합0,2225.0,2245.0,2175.0,4323864.0,신일전자,002700
2020-05-18,2270.0,상승  40,2230.0,2360.0,2220.0,20646957.0,신일전자,002700
