날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,9030.0,상승  230,8800.0,9030.0,8740.0,5679.0,신흥,004080
2020-03-17,9000.0,하락  30,9030.0,9030.0,8600.0,8355.0,신흥,004080
2020-03-18,8950.0,하락  50,8710.0,8950.0,8600.0,6071.0,신흥,004080
2020-03-19,8500.0,하락  450,8600.0,8930.0,7770.0,17941.0,신흥,004080
2020-03-20,8910.0,상승  410,8150.0,8910.0,7910.0,17212.0,신흥,004080
2020-03-23,8900.0,하락  10,8720.0,8900.0,8350.0,2598.0,신흥,004080
2020-03-24,8970.0,상승  70,8990.0,9000.0,8720.0,4314.0,신흥,004080
2020-03-25,9100.0,상승  130,9200.0,9260.0,8920.0,3836.0,신흥,004080
2020-03-26,9090.0,하락  10,9000.0,9200.0,8960.0,5622.0,신흥,004080
2020-03-27,9140.0,상승  50,8970.0,9140.0,8970.0,3732.0,신흥,004080
2020-03-30,9160.0,상승  20,9130.0,9160.0,8940.0,948.0,신흥,004080
2020-03-31,9200.0,상승  40,9160.0,9210.0,9040.0,1204.0,신흥,004080
2020-04-01,9200.0,보합0,9230.0,9240.0,9150.0,711.0,신흥,004080
2020-04-02,9240.0,상승  40,9270.0,9270.0,9000.0,1404.0,신흥,004080
2020-04-03,9250.0,상승  10,9240.0,9260.0,9110.0,2039.0,신흥,004080
2020-04-06,9270.0,상승  20,9140.0,9270.0,9000.0,4921.0,신흥,004080
2020-04-07,9300.0,상승  30,9270.0,9300.0,9110.0,3544.0,신흥,004080
2020-04-08,9340.0,상승  40,9300.0,9340.0,9200.0,1495.0,신흥,004080
2020-04-09,9350.0,상승  10,9360.0,9440.0,9250.0,4262.0,신흥,004080
2020-04-10,9370.0,상승  20,9350.0,9430.0,9260.0,2936.0,신흥,004080
2020-04-13,9370.0,보합0,9300.0,9370.0,9220.0,3124.0,신흥,004080
2020-04-14,9400.0,상승  30,9300.0,9400.0,9250.0,3869.0,신흥,004080
2020-04-16,9470.0,상승  70,9400.0,9490.0,9320.0,4022.0,신흥,004080
2020-04-17,9480.0,상승  10,9530.0,9530.0,9320.0,3065.0,신흥,004080
2020-04-20,9400.0,하락  80,9410.0,9480.0,9300.0,5785.0,신흥,004080
2020-04-21,9380.0,하락  20,9400.0,9400.0,9260.0,1593.0,신흥,004080
2020-04-22,9260.0,하락  120,9260.0,9450.0,9200.0,2884.0,신흥,004080
2020-04-23,9310.0,상승  50,9400.0,9400.0,9270.0,20518.0,신흥,004080
2020-04-24,9390.0,상승  80,9390.0,9400.0,9310.0,572.0,신흥,004080
2020-04-27,9410.0,상승  20,9420.0,9420.0,9260.0,4403.0,신흥,004080
2020-04-28,9410.0,보합0,9330.0,9500.0,9330.0,3195.0,신흥,004080
2020-04-29,9410.0,보합0,9410.0,9500.0,9400.0,23806.0,신흥,004080
2020-05-04,9580.0,상승  170,9410.0,9580.0,9410.0,8185.0,신흥,004080
2020-05-06,9550.0,하락  30,9590.0,9590.0,9450.0,1568.0,신흥,004080
2020-05-07,9590.0,상승  40,9590.0,9600.0,9420.0,5054.0,신흥,004080
2020-05-08,9530.0,하락  60,9590.0,9790.0,9530.0,4111.0,신흥,004080
2020-05-11,9490.0,하락  40,9480.0,9590.0,9420.0,679.0,신흥,004080
2020-05-12,9300.0,하락  190,9490.0,9490.0,8910.0,59739.0,신흥,004080
2020-05-13,9200.0,하락  100,9160.0,9350.0,9100.0,3819.0,신흥,004080
2020-05-14,9200.0,보합0,9250.0,9250.0,9070.0,1979.0,신흥,004080
2020-05-15,9250.0,상승  50,9110.0,9250.0,8990.0,13880.0,신흥,004080
