날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,798.0,하락  40,828.0,875.0,798.0,3388840.0,쌍방울,102280
2020-03-17,770.0,하락  28,719.0,818.0,718.0,4426648.0,쌍방울,102280
2020-03-18,718.0,하락  52,770.0,791.0,715.0,5532418.0,쌍방울,102280
2020-03-19,577.0,하락  141,718.0,738.0,573.0,5999894.0,쌍방울,102280
2020-03-20,602.0,상승  25,572.0,625.0,572.0,4232174.0,쌍방울,102280
2020-03-23,615.0,상승  13,580.0,655.0,577.0,4468019.0,쌍방울,102280
2020-03-24,633.0,상승  18,626.0,642.0,616.0,2040443.0,쌍방울,102280
2020-03-25,678.0,상승  45,670.0,687.0,651.0,3640015.0,쌍방울,102280
2020-03-26,727.0,상승  49,685.0,772.0,670.0,5466948.0,쌍방울,102280
2020-03-27,737.0,상승  10,758.0,784.0,709.0,7257378.0,쌍방울,102280
2020-03-30,755.0,상승  18,737.0,774.0,716.0,3291115.0,쌍방울,102280
2020-03-31,788.0,상승  33,777.0,808.0,760.0,4958966.0,쌍방울,102280
2020-04-01,805.0,상승  17,850.0,856.0,788.0,5655245.0,쌍방울,102280
2020-04-02,837.0,상승  32,843.0,860.0,787.0,3903689.0,쌍방울,102280
2020-04-03,858.0,상승  21,843.0,880.0,835.0,4526628.0,쌍방울,102280
2020-04-06,898.0,상승  40,878.0,917.0,858.0,4682245.0,쌍방울,102280
2020-04-07,958.0,상승  60,917.0,1110.0,900.0,40438590.0,쌍방울,102280
2020-04-08,972.0,상승  14,965.0,986.0,932.0,5550447.0,쌍방울,102280
2020-04-09,986.0,상승  14,979.0,995.0,972.0,3900246.0,쌍방울,102280
2020-04-10,950.0,하락  36,1010.0,1020.0,939.0,7654044.0,쌍방울,102280
2020-04-13,924.0,하락  26,951.0,957.0,920.0,3367749.0,쌍방울,102280
2020-04-14,968.0,상승  44,922.0,975.0,922.0,4158793.0,쌍방울,102280
2020-04-16,973.0,상승  5,980.0,981.0,950.0,2955081.0,쌍방울,102280
2020-04-17,989.0,상승  16,991.0,1000.0,975.0,3011573.0,쌍방울,102280
2020-04-20,993.0,상승  4,994.0,1015.0,985.0,3634500.0,쌍방울,102280
2020-04-21,958.0,하락  35,996.0,999.0,899.0,4356370.0,쌍방울,102280
2020-04-22,946.0,하락  12,950.0,975.0,931.0,1710641.0,쌍방울,102280
2020-04-23,970.0,상승  24,952.0,977.0,949.0,2086542.0,쌍방울,102280
2020-04-24,937.0,하락  33,964.0,988.0,936.0,3353223.0,쌍방울,102280
2020-04-27,946.0,상승  9,950.0,957.0,940.0,1613688.0,쌍방울,102280
