날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,51300.0,"하락  1,300",52600.0,53400.0,50000.0,7449.0,아세아시멘트,183190
2020-03-17,49250.0,"하락  2,050",49850.0,51000.0,47500.0,14205.0,아세아시멘트,183190
2020-03-18,49850.0,상승  600,48500.0,52300.0,48000.0,21618.0,아세아시멘트,183190
2020-03-19,42000.0,"하락  7,850",49850.0,51100.0,42000.0,14742.0,아세아시멘트,183190
2020-03-20,44800.0,"상승  2,800",42100.0,44950.0,42000.0,14281.0,아세아시멘트,183190
2020-03-23,41850.0,"하락  2,950",42100.0,43950.0,41500.0,8730.0,아세아시멘트,183190
2020-03-24,43200.0,"상승  1,350",42100.0,44650.0,42100.0,12415.0,아세아시멘트,183190
2020-03-25,47000.0,"상승  3,800",44400.0,47050.0,44350.0,14585.0,아세아시멘트,183190
2020-03-26,47250.0,상승  250,47000.0,48900.0,46500.0,10512.0,아세아시멘트,183190
2020-03-27,47150.0,하락  100,48000.0,49200.0,44250.0,13427.0,아세아시멘트,183190
2020-03-30,45400.0,"하락  1,750",45900.0,46900.0,44500.0,7577.0,아세아시멘트,183190
2020-03-31,47100.0,"상승  1,700",46000.0,51300.0,46000.0,27822.0,아세아시멘트,183190
2020-04-01,47100.0,보합0,47100.0,49250.0,46100.0,13728.0,아세아시멘트,183190
2020-04-02,47700.0,상승  600,48700.0,48750.0,46800.0,9589.0,아세아시멘트,183190
2020-04-03,48100.0,상승  400,47450.0,49500.0,47450.0,12268.0,아세아시멘트,183190
2020-04-06,49900.0,"상승  1,800",48100.0,50500.0,48100.0,8422.0,아세아시멘트,183190
2020-04-07,51600.0,"상승  1,700",51100.0,52500.0,50800.0,11944.0,아세아시멘트,183190
2020-04-08,52900.0,"상승  1,300",51600.0,53700.0,51000.0,8152.0,아세아시멘트,183190
2020-04-09,53600.0,상승  700,53900.0,55900.0,52600.0,14428.0,아세아시멘트,183190
2020-04-10,56900.0,"상승  3,300",55000.0,58000.0,53100.0,22813.0,아세아시멘트,183190
2020-04-13,57800.0,상승  900,59100.0,59100.0,57200.0,8601.0,아세아시멘트,183190
2020-04-14,60600.0,"상승  2,800",58000.0,60600.0,58000.0,11575.0,아세아시멘트,183190
2020-04-16,63200.0,"상승  2,600",60700.0,63600.0,59900.0,11642.0,아세아시멘트,183190
2020-04-17,63200.0,보합0,68800.0,68800.0,62200.0,23950.0,아세아시멘트,183190
2020-04-20,66800.0,"상승  3,600",64000.0,68800.0,63600.0,21830.0,아세아시멘트,183190
2020-04-21,64400.0,"하락  2,400",68000.0,69300.0,62500.0,48650.0,아세아시멘트,183190
2020-04-22,71300.0,"상승  6,900",63000.0,77800.0,60900.0,137753.0,아세아시멘트,183190
2020-04-23,68200.0,"하락  3,100",69000.0,69100.0,66600.0,38380.0,아세아시멘트,183190
2020-04-24,65400.0,"하락  2,800",68000.0,68500.0,65100.0,19027.0,아세아시멘트,183190
2020-04-27,65200.0,하락  200,65800.0,66600.0,65000.0,10925.0,아세아시멘트,183190
2020-04-28,65500.0,상승  300,65900.0,66100.0,64800.0,8022.0,아세아시멘트,183190
2020-04-29,67900.0,"상승  2,400",65500.0,67900.0,65400.0,12448.0,아세아시멘트,183190
2020-05-04,66700.0,"하락  1,200",67800.0,68500.0,65500.0,14099.0,아세아시멘트,183190
2020-05-06,66900.0,상승  200,68100.0,68100.0,66300.0,6488.0,아세아시멘트,183190
2020-05-07,66900.0,보합0,68500.0,69300.0,66400.0,15026.0,아세아시멘트,183190
2020-05-08,66900.0,보합0,66900.0,67600.0,66700.0,8862.0,아세아시멘트,183190
2020-05-11,65900.0,"하락  1,000",66900.0,67500.0,65500.0,5364.0,아세아시멘트,183190
2020-05-12,64400.0,"하락  1,500",66200.0,66200.0,63400.0,7073.0,아세아시멘트,183190
2020-05-13,63200.0,"하락  1,200",63800.0,63800.0,62500.0,6714.0,아세아시멘트,183190
2020-05-14,61500.0,"하락  1,700",63400.0,63400.0,61100.0,6917.0,아세아시멘트,183190
2020-05-15,62700.0,"상승  1,200",61500.0,63200.0,61000.0,9587.0,아세아시멘트,183190
2020-05-18,62500.0,하락  200,62200.0,63100.0,61200.0,7479.0,아세아시멘트,183190
2020-05-19,63000.0,상승  500,62600.0,63800.0,62500.0,6389.0,아세아시멘트,183190
2020-05-20,62900.0,하락  100,61800.0,63600.0,61700.0,6846.0,아세아시멘트,183190
2020-05-21,62300.0,하락  600,63000.0,63700.0,62300.0,7459.0,아세아시멘트,183190
2020-05-22,60600.0,"하락  1,700",62300.0,63100.0,59100.0,12581.0,아세아시멘트,183190
2020-05-25,60800.0,상승  200,60500.0,61500.0,58900.0,6117.0,아세아시멘트,183190
2020-05-26,61600.0,상승  800,60800.0,62900.0,60700.0,11412.0,아세아시멘트,183190
2020-05-27,62700.0,"상승  1,100",62100.0,63200.0,61700.0,3902.0,아세아시멘트,183190
2020-05-28,61500.0,"하락  1,200",62800.0,63500.0,60700.0,7046.0,아세아시멘트,183190
2020-05-29,59500.0,"하락  2,000",61500.0,62700.0,59500.0,31948.0,아세아시멘트,183190
2020-06-01,60800.0,"상승  1,300",61500.0,61500.0,60200.0,11619.0,아세아시멘트,183190
2020-06-02,61600.0,상승  800,60800.0,61900.0,60700.0,9418.0,아세아시멘트,183190
2020-06-03,62900.0,"상승  1,300",62300.0,63100.0,61700.0,11590.0,아세아시멘트,183190
2020-06-04,62400.0,하락  500,63500.0,63800.0,62100.0,8916.0,아세아시멘트,183190
2020-06-05,62800.0,상승  400,63000.0,63000.0,62000.0,3185.0,아세아시멘트,183190
2020-06-08,62800.0,보합0,63100.0,63500.0,62800.0,6798.0,아세아시멘트,183190
2020-06-09,61300.0,"하락  1,500",62700.0,63200.0,61300.0,11134.0,아세아시멘트,183190
2020-06-10,60700.0,하락  600,61300.0,61700.0,60400.0,9636.0,아세아시멘트,183190
2020-06-11,59400.0,"하락  1,300",60700.0,61000.0,59300.0,11712.0,아세아시멘트,183190
2020-06-12,56800.0,"하락  2,600",58100.0,58100.0,55600.0,12999.0,아세아시멘트,183190
2020-06-15,55000.0,"하락  1,800",57000.0,58400.0,55000.0,10349.0,아세아시멘트,183190
2020-06-16,57000.0,"상승  2,000",55600.0,57600.0,55600.0,10365.0,아세아시멘트,183190
2020-06-17,57400.0,상승  400,56100.0,57600.0,56000.0,4876.0,아세아시멘트,183190
2020-06-18,56900.0,하락  500,56200.0,57200.0,56200.0,2957.0,아세아시멘트,183190
2020-06-19,57400.0,상승  500,56900.0,58100.0,56100.0,6964.0,아세아시멘트,183190
2020-06-22,56200.0,"하락  1,200",57400.0,58000.0,56100.0,5236.0,아세아시멘트,183190
2020-06-23,56100.0,하락  100,56200.0,56700.0,55900.0,6933.0,아세아시멘트,183190
2020-06-24,56000.0,하락  100,56500.0,57800.0,55500.0,12295.0,아세아시멘트,183190
2020-06-25,55500.0,하락  500,56000.0,56000.0,55100.0,4431.0,아세아시멘트,183190
2020-06-26,55400.0,하락  100,55500.0,56200.0,55000.0,2963.0,아세아시멘트,183190
2020-06-29,53800.0,"하락  1,600",54500.0,55200.0,53600.0,3380.0,아세아시멘트,183190
