날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,23250.0,하락  950,25100.0,25600.0,23250.0,71723.0,아세아제지,002310
2020-03-17,23400.0,상승  150,21800.0,24900.0,21800.0,63116.0,아세아제지,002310
2020-03-18,22650.0,하락  750,24500.0,24500.0,22600.0,67930.0,아세아제지,002310
2020-03-19,20600.0,"하락  2,050",22750.0,23300.0,19800.0,114565.0,아세아제지,002310
2020-03-20,22950.0,"상승  2,350",20850.0,22950.0,20850.0,48077.0,아세아제지,002310
2020-03-23,21650.0,"하락  1,300",21100.0,22000.0,20800.0,34044.0,아세아제지,002310
2020-03-24,23050.0,"상승  1,400",22300.0,23150.0,21850.0,47747.0,아세아제지,002310
2020-03-25,23900.0,상승  850,23850.0,24200.0,23500.0,38116.0,아세아제지,002310
2020-03-26,24750.0,상승  850,24000.0,26200.0,23700.0,76220.0,아세아제지,002310
2020-03-27,24550.0,하락  200,25750.0,26350.0,24000.0,60855.0,아세아제지,002310
2020-03-30,25050.0,상승  500,23350.0,25100.0,23350.0,35935.0,아세아제지,002310
2020-03-31,27000.0,"상승  1,950",26000.0,27000.0,25450.0,62797.0,아세아제지,002310
2020-04-01,27550.0,상승  550,27000.0,28250.0,26150.0,77802.0,아세아제지,002310
2020-04-02,27150.0,하락  400,27500.0,27600.0,26000.0,69559.0,아세아제지,002310
2020-04-03,26850.0,하락  300,27150.0,27650.0,26350.0,43649.0,아세아제지,002310
2020-04-06,28100.0,"상승  1,250",26950.0,28200.0,26500.0,89626.0,아세아제지,002310
2020-04-07,28450.0,상승  350,28600.0,28900.0,27650.0,55291.0,아세아제지,002310
2020-04-08,29500.0,"상승  1,050",28500.0,30350.0,28050.0,98732.0,아세아제지,002310
2020-04-09,30000.0,상승  500,29700.0,30850.0,29350.0,87101.0,아세아제지,002310
2020-04-10,30200.0,상승  200,30100.0,30300.0,28600.0,58765.0,아세아제지,002310
2020-04-13,29750.0,하락  450,30250.0,30450.0,29500.0,37708.0,아세아제지,002310
2020-04-14,30000.0,상승  250,29750.0,30500.0,29700.0,52373.0,아세아제지,002310
2020-04-16,29450.0,하락  550,29650.0,30000.0,29000.0,66678.0,아세아제지,002310
2020-04-17,29600.0,상승  150,29500.0,30000.0,29150.0,61387.0,아세아제지,002310
2020-04-20,29200.0,하락  400,29650.0,29900.0,29100.0,33126.0,아세아제지,002310
2020-04-21,28750.0,하락  450,29000.0,29400.0,27300.0,61811.0,아세아제지,002310
2020-04-22,28600.0,하락  150,28650.0,28650.0,27550.0,34283.0,아세아제지,002310
2020-04-23,30050.0,"상승  1,450",28650.0,30250.0,28550.0,59488.0,아세아제지,002310
2020-04-24,29900.0,하락  150,29750.0,30150.0,29350.0,37223.0,아세아제지,002310
2020-04-27,29900.0,보합0,29700.0,30050.0,29500.0,53594.0,아세아제지,002310
2020-04-28,30250.0,상승  350,30000.0,31000.0,29700.0,112111.0,아세아제지,002310
2020-04-29,32850.0,"상승  2,600",30450.0,33000.0,29950.0,237803.0,아세아제지,002310
2020-05-04,33700.0,상승  850,33150.0,34200.0,32850.0,130493.0,아세아제지,002310
2020-05-06,34150.0,상승  450,33700.0,34400.0,33200.0,62122.0,아세아제지,002310
2020-05-07,34200.0,상승  50,34000.0,34300.0,33050.0,48974.0,아세아제지,002310
2020-05-08,34800.0,상승  600,34200.0,34950.0,34000.0,55626.0,아세아제지,002310
2020-05-11,34450.0,하락  350,34800.0,34900.0,34250.0,34037.0,아세아제지,002310
2020-05-12,34300.0,하락  150,34250.0,34450.0,32650.0,73891.0,아세아제지,002310
2020-05-13,33950.0,하락  350,34000.0,34000.0,32850.0,26151.0,아세아제지,002310
2020-05-14,34500.0,상승  550,33850.0,35000.0,33200.0,56494.0,아세아제지,002310
2020-05-15,35450.0,상승  950,35050.0,35450.0,34200.0,85140.0,아세아제지,002310
2020-05-18,32900.0,"하락  2,550",34000.0,34500.0,31950.0,179540.0,아세아제지,002310
2020-05-19,32250.0,하락  650,33000.0,33400.0,31200.0,92695.0,아세아제지,002310
2020-05-20,32100.0,하락  150,32200.0,32550.0,31550.0,50380.0,아세아제지,002310
2020-05-21,31950.0,하락  150,32350.0,32350.0,31700.0,35051.0,아세아제지,002310
2020-05-22,31650.0,하락  300,31850.0,32100.0,30500.0,85193.0,아세아제지,002310
2020-05-25,31100.0,하락  550,31700.0,31700.0,30800.0,58857.0,아세아제지,002310
2020-05-26,31250.0,상승  150,31250.0,32150.0,30950.0,87871.0,아세아제지,002310
2020-05-27,31300.0,상승  50,31400.0,31550.0,30750.0,69381.0,아세아제지,002310
2020-05-28,31000.0,하락  300,31450.0,31500.0,30350.0,67200.0,아세아제지,002310
2020-05-29,31100.0,상승  100,31000.0,31100.0,30150.0,45409.0,아세아제지,002310
2020-06-01,31800.0,상승  700,31800.0,32250.0,31250.0,87095.0,아세아제지,002310
2020-06-02,31950.0,상승  150,32100.0,32150.0,31500.0,48686.0,아세아제지,002310
2020-06-03,31800.0,하락  150,32350.0,32350.0,31550.0,62500.0,아세아제지,002310
2020-06-04,31100.0,하락  700,32050.0,32350.0,31100.0,75867.0,아세아제지,002310
