날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-16,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-17,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-18,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-19,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-20,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-23,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-24,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-25,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-26,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-27,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-30,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-03-31,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-01,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-02,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-03,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-06,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-07,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-08,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-09,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-10,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-13,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-14,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-16,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-17,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-20,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-21,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-22,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-23,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-24,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-27,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-28,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-04-29,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-04,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-06,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-07,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-08,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-11,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-12,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-13,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-14,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-15,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-18,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-19,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-20,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-21,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-22,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-25,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-26,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-27,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-28,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-05-29,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-01,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-02,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-03,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-04,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-05,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-08,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-09,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-10,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-11,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-12,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-15,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-16,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-17,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-18,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-19,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-22,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-23,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-24,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-25,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-26,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-29,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-06-30,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-01,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-02,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-03,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-06,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-07,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-08,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
2020-07-09,150.0,보합0,0.0,0.0,0.0,0.0,아센디오,012170
