날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,12000.0,"하락  1,250",11500.0,13150.0,10850.0,242602.0,아시아나IDT,267850
2020-03-16,11700.0,하락  300,12100.0,12850.0,11700.0,125478.0,아시아나IDT,267850
2020-03-17,11450.0,하락  250,10550.0,11600.0,10550.0,145542.0,아시아나IDT,267850
2020-03-18,10300.0,"하락  1,150",11300.0,11700.0,10300.0,115610.0,아시아나IDT,267850
2020-03-19,7440.0,"하락  2,860",10450.0,10750.0,7420.0,300692.0,아시아나IDT,267850
2020-03-20,8260.0,상승  820,7330.0,8950.0,7330.0,575797.0,아시아나IDT,267850
2020-03-23,8050.0,하락  210,7600.0,9710.0,7570.0,536408.0,아시아나IDT,267850
2020-03-24,8350.0,상승  300,8170.0,8620.0,8110.0,226277.0,아시아나IDT,267850
2020-03-25,9130.0,상승  780,8820.0,9690.0,8660.0,487848.0,아시아나IDT,267850
2020-03-26,9870.0,상승  740,9500.0,10600.0,9240.0,337267.0,아시아나IDT,267850
2020-03-27,10150.0,상승  280,10500.0,10950.0,9800.0,250098.0,아시아나IDT,267850
2020-03-30,10250.0,상승  100,9800.0,10400.0,9580.0,106692.0,아시아나IDT,267850
2020-03-31,11000.0,상승  750,10700.0,11650.0,10250.0,325497.0,아시아나IDT,267850
2020-04-01,11500.0,상승  500,10700.0,13800.0,10550.0,880001.0,아시아나IDT,267850
2020-04-02,11750.0,상승  250,11400.0,12350.0,11000.0,338510.0,아시아나IDT,267850
2020-04-03,11850.0,상승  100,11700.0,12100.0,11500.0,136386.0,아시아나IDT,267850
2020-04-06,12100.0,상승  250,11850.0,12500.0,11600.0,174363.0,아시아나IDT,267850
2020-04-07,12500.0,상승  400,12750.0,13350.0,12100.0,314343.0,아시아나IDT,267850
2020-04-08,12500.0,보합0,12500.0,12850.0,12100.0,130411.0,아시아나IDT,267850
2020-04-09,13500.0,"상승  1,000",12750.0,15500.0,12600.0,1440949.0,아시아나IDT,267850
2020-04-10,13800.0,상승  300,13500.0,14800.0,13250.0,643292.0,아시아나IDT,267850
2020-04-13,13650.0,하락  150,13800.0,14200.0,13450.0,208758.0,아시아나IDT,267850
2020-04-14,14000.0,상승  350,13750.0,14400.0,13600.0,229271.0,아시아나IDT,267850
2020-04-16,14200.0,상승  200,14150.0,14300.0,14000.0,117667.0,아시아나IDT,267850
2020-04-17,14650.0,상승  450,14300.0,15200.0,14150.0,632925.0,아시아나IDT,267850
2020-04-20,14600.0,하락  50,14750.0,15250.0,14450.0,260994.0,아시아나IDT,267850
2020-04-21,14750.0,상승  150,14300.0,15200.0,13000.0,404176.0,아시아나IDT,267850
2020-04-22,15600.0,상승  850,17650.0,18450.0,15450.0,1501961.0,아시아나IDT,267850
2020-04-23,16050.0,상승  450,15850.0,17150.0,15200.0,738717.0,아시아나IDT,267850
2020-04-24,15500.0,하락  550,15700.0,16100.0,15450.0,226102.0,아시아나IDT,267850
2020-04-27,15800.0,상승  300,15750.0,15900.0,15600.0,152527.0,아시아나IDT,267850
2020-04-28,16000.0,상승  200,16000.0,17000.0,15400.0,517293.0,아시아나IDT,267850
2020-04-29,15900.0,하락  100,16000.0,16400.0,15850.0,168840.0,아시아나IDT,267850
2020-05-04,15150.0,하락  750,15550.0,15600.0,14850.0,127808.0,아시아나IDT,267850
2020-05-06,15200.0,상승  50,15250.0,15350.0,14950.0,74278.0,아시아나IDT,267850
2020-05-07,15300.0,상승  100,15100.0,15800.0,15000.0,64210.0,아시아나IDT,267850
2020-05-08,15650.0,상승  350,15650.0,15800.0,15450.0,64243.0,아시아나IDT,267850
2020-05-11,15100.0,하락  550,15700.0,15700.0,15000.0,92346.0,아시아나IDT,267850
2020-05-12,14600.0,하락  500,15000.0,15100.0,14350.0,99585.0,아시아나IDT,267850
2020-05-13,14750.0,상승  150,14200.0,15750.0,14200.0,239932.0,아시아나IDT,267850
2020-05-14,14550.0,하락  200,14450.0,14750.0,14350.0,44391.0,아시아나IDT,267850
2020-05-15,14850.0,상승  300,14450.0,16700.0,14100.0,817608.0,아시아나IDT,267850
2020-05-18,14500.0,하락  350,14700.0,14800.0,14100.0,106213.0,아시아나IDT,267850
2020-05-19,14900.0,상승  400,15700.0,16200.0,14800.0,313342.0,아시아나IDT,267850
2020-05-20,15100.0,상승  200,14700.0,15650.0,14600.0,261744.0,아시아나IDT,267850
2020-05-21,15450.0,상승  350,15200.0,16800.0,15150.0,697666.0,아시아나IDT,267850
2020-05-22,15400.0,하락  50,15350.0,15650.0,15200.0,82251.0,아시아나IDT,267850
2020-05-25,15400.0,보합0,15550.0,16200.0,15300.0,143832.0,아시아나IDT,267850
2020-05-26,15750.0,상승  350,15350.0,16000.0,15350.0,166501.0,아시아나IDT,267850
2020-05-27,16100.0,상승  350,16000.0,16400.0,15700.0,273113.0,아시아나IDT,267850
2020-05-28,15600.0,하락  500,16150.0,16400.0,15350.0,148794.0,아시아나IDT,267850
2020-05-29,15700.0,상승  100,15400.0,15850.0,15400.0,50093.0,아시아나IDT,267850
2020-06-01,15600.0,하락  100,15550.0,16050.0,15350.0,175931.0,아시아나IDT,267850
2020-06-02,15800.0,상승  200,15600.0,16700.0,15500.0,288401.0,아시아나IDT,267850
2020-06-03,16250.0,상승  450,15800.0,16400.0,15800.0,234684.0,아시아나IDT,267850
2020-06-04,16900.0,상승  650,16700.0,17650.0,16250.0,772588.0,아시아나IDT,267850
2020-06-05,17100.0,상승  200,17450.0,18200.0,17050.0,618130.0,아시아나IDT,267850
2020-06-08,17500.0,상승  400,17350.0,18100.0,16750.0,456857.0,아시아나IDT,267850
2020-06-09,18050.0,상승  550,17650.0,19400.0,17300.0,1581553.0,아시아나IDT,267850
2020-06-10,16750.0,"하락  1,300",17850.0,18000.0,16650.0,591449.0,아시아나IDT,267850
2020-06-11,16800.0,상승  50,16650.0,17150.0,16250.0,257892.0,아시아나IDT,267850
2020-06-12,15850.0,하락  950,15650.0,16250.0,15650.0,204208.0,아시아나IDT,267850
2020-06-15,14250.0,"하락  1,600",15800.0,16100.0,14250.0,181203.0,아시아나IDT,267850
2020-06-16,15100.0,상승  850,14500.0,15250.0,14500.0,105698.0,아시아나IDT,267850
2020-06-17,15400.0,상승  300,14900.0,15700.0,14850.0,121312.0,아시아나IDT,267850
2020-06-18,15800.0,상승  400,15350.0,15900.0,15300.0,54827.0,아시아나IDT,267850
2020-06-19,16000.0,상승  200,15700.0,16300.0,15400.0,161581.0,아시아나IDT,267850
2020-06-22,16050.0,상승  50,16000.0,16100.0,15600.0,126715.0,아시아나IDT,267850
