날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,7540.0,하락  390,7010.0,7780.0,6910.0,189754.0,아이마켓코리아,122900
2020-03-16,7250.0,하락  290,7690.0,7980.0,7250.0,90800.0,아이마켓코리아,122900
2020-03-17,7240.0,하락  10,6840.0,7330.0,6600.0,56160.0,아이마켓코리아,122900
2020-03-18,6980.0,하락  260,7230.0,7480.0,6920.0,62932.0,아이마켓코리아,122900
2020-03-19,6330.0,하락  650,7060.0,7200.0,6010.0,202884.0,아이마켓코리아,122900
2020-03-20,7830.0,"상승  1,500",6340.0,7830.0,6340.0,249965.0,아이마켓코리아,122900
2020-03-23,7750.0,하락  80,7240.0,7800.0,7180.0,171760.0,아이마켓코리아,122900
2020-03-24,8360.0,상승  610,7750.0,8360.0,7670.0,166796.0,아이마켓코리아,122900
2020-03-25,8610.0,상승  250,8400.0,8630.0,8400.0,128735.0,아이마켓코리아,122900
2020-03-26,8850.0,상승  240,8630.0,8880.0,8510.0,99163.0,아이마켓코리아,122900
2020-03-27,8830.0,하락  20,9010.0,9070.0,8710.0,103474.0,아이마켓코리아,122900
2020-03-30,9130.0,상승  300,8660.0,9130.0,8450.0,60144.0,아이마켓코리아,122900
2020-03-31,9050.0,하락  80,9130.0,9170.0,9000.0,68210.0,아이마켓코리아,122900
2020-04-01,9020.0,하락  30,9090.0,9160.0,8860.0,68960.0,아이마켓코리아,122900
2020-04-02,9100.0,상승  80,9080.0,9140.0,8860.0,57038.0,아이마켓코리아,122900
2020-04-03,9080.0,하락  20,9010.0,9110.0,8840.0,82254.0,아이마켓코리아,122900
2020-04-06,9280.0,상승  200,9010.0,9320.0,9010.0,30190.0,아이마켓코리아,122900
2020-04-07,9320.0,상승  40,9320.0,9440.0,9230.0,74806.0,아이마켓코리아,122900
2020-04-08,9550.0,상승  230,9320.0,9600.0,9210.0,82914.0,아이마켓코리아,122900
2020-04-09,9520.0,하락  30,9550.0,9640.0,9430.0,98104.0,아이마켓코리아,122900
2020-04-10,9680.0,상승  160,9420.0,9750.0,9410.0,53791.0,아이마켓코리아,122900
2020-04-13,9570.0,하락  110,9720.0,9720.0,9470.0,74230.0,아이마켓코리아,122900
2020-04-14,9640.0,상승  70,9570.0,9730.0,9470.0,39101.0,아이마켓코리아,122900
2020-04-16,9690.0,상승  50,9640.0,9730.0,9530.0,40690.0,아이마켓코리아,122900
2020-04-17,9900.0,상승  210,9760.0,9940.0,9620.0,49309.0,아이마켓코리아,122900
2020-04-20,9930.0,상승  30,9900.0,10050.0,9730.0,87629.0,아이마켓코리아,122900
2020-04-21,9520.0,하락  410,9890.0,9890.0,9260.0,67105.0,아이마켓코리아,122900
2020-04-22,9690.0,상승  170,9410.0,9690.0,9300.0,42802.0,아이마켓코리아,122900
2020-04-23,10050.0,상승  360,9710.0,10050.0,9650.0,48240.0,아이마켓코리아,122900
2020-04-24,10150.0,상승  100,10000.0,10150.0,9920.0,22689.0,아이마켓코리아,122900
2020-04-27,10200.0,상승  50,10050.0,10250.0,10000.0,62931.0,아이마켓코리아,122900
2020-04-28,10000.0,하락  200,10200.0,10200.0,9900.0,54991.0,아이마켓코리아,122900
2020-04-29,10150.0,상승  150,9950.0,10150.0,9940.0,75974.0,아이마켓코리아,122900
2020-05-04,10100.0,하락  50,10000.0,10150.0,9750.0,55206.0,아이마켓코리아,122900
2020-05-06,10300.0,상승  200,10100.0,10400.0,10000.0,53592.0,아이마켓코리아,122900
2020-05-07,10500.0,상승  200,10400.0,10500.0,10250.0,43014.0,아이마켓코리아,122900
2020-05-08,10900.0,상승  400,10850.0,11100.0,10650.0,158789.0,아이마켓코리아,122900
2020-05-11,11000.0,상승  100,10950.0,11150.0,10600.0,109036.0,아이마켓코리아,122900
2020-05-12,10900.0,하락  100,11100.0,11150.0,10650.0,55938.0,아이마켓코리아,122900
2020-05-13,10650.0,하락  250,10750.0,11050.0,10600.0,73875.0,아이마켓코리아,122900
2020-05-14,10550.0,하락  100,10500.0,10750.0,10250.0,98879.0,아이마켓코리아,122900
2020-05-15,10500.0,하락  50,10550.0,10700.0,10300.0,41761.0,아이마켓코리아,122900
2020-05-18,10500.0,보합0,10500.0,10650.0,10400.0,36443.0,아이마켓코리아,122900
2020-05-19,10450.0,하락  50,10300.0,10700.0,10300.0,103489.0,아이마켓코리아,122900
2020-05-20,10450.0,보합0,10450.0,10700.0,10350.0,22574.0,아이마켓코리아,122900
2020-05-21,10350.0,하락  100,10600.0,10700.0,10300.0,43852.0,아이마켓코리아,122900
2020-05-22,10350.0,보합0,10400.0,10450.0,10250.0,41447.0,아이마켓코리아,122900
2020-05-25,10350.0,보합0,10450.0,10450.0,10250.0,23293.0,아이마켓코리아,122900
2020-05-26,10700.0,상승  350,10350.0,10850.0,10350.0,45042.0,아이마켓코리아,122900
2020-05-27,10750.0,상승  50,10800.0,10900.0,10550.0,39252.0,아이마켓코리아,122900
2020-05-28,10800.0,상승  50,10750.0,11000.0,10250.0,84065.0,아이마켓코리아,122900
2020-05-29,10700.0,하락  100,10750.0,10950.0,10550.0,47689.0,아이마켓코리아,122900
2020-06-01,10650.0,하락  50,10700.0,10750.0,10500.0,30613.0,아이마켓코리아,122900
2020-06-02,10800.0,상승  150,10650.0,10850.0,10500.0,45116.0,아이마켓코리아,122900
2020-06-03,10550.0,하락  250,10800.0,10800.0,10450.0,91829.0,아이마켓코리아,122900
2020-06-04,10100.0,하락  450,10650.0,10650.0,10050.0,131527.0,아이마켓코리아,122900
2020-06-05,10150.0,상승  50,10100.0,10300.0,10050.0,43773.0,아이마켓코리아,122900
2020-06-08,9980.0,하락  170,10300.0,10300.0,9940.0,54146.0,아이마켓코리아,122900
2020-06-09,10000.0,상승  20,10050.0,10150.0,9910.0,36156.0,아이마켓코리아,122900
2020-06-10,9800.0,하락  200,10000.0,10100.0,9750.0,84255.0,아이마켓코리아,122900
2020-06-11,9400.0,하락  400,9800.0,9880.0,9370.0,89898.0,아이마켓코리아,122900
2020-06-12,8900.0,하락  500,9150.0,9300.0,8880.0,95210.0,아이마켓코리아,122900
2020-06-15,8220.0,하락  680,8900.0,8900.0,8220.0,114339.0,아이마켓코리아,122900
2020-06-16,8400.0,상승  180,8460.0,8690.0,8350.0,59545.0,아이마켓코리아,122900
2020-06-17,8710.0,상승  310,8450.0,8970.0,8400.0,129091.0,아이마켓코리아,122900
2020-06-18,8780.0,상승  70,8710.0,9040.0,8530.0,115087.0,아이마켓코리아,122900
2020-06-19,8640.0,하락  140,8730.0,8790.0,8530.0,80861.0,아이마켓코리아,122900
2020-06-22,8460.0,하락  180,8640.0,8690.0,8460.0,44975.0,아이마켓코리아,122900
2020-06-23,8650.0,상승  190,8650.0,8800.0,8560.0,29993.0,아이마켓코리아,122900
2020-06-24,8410.0,하락  240,8600.0,8710.0,8320.0,51065.0,아이마켓코리아,122900
2020-06-25,8300.0,하락  110,8300.0,8420.0,8280.0,34550.0,아이마켓코리아,122900
2020-06-26,8180.0,하락  120,8300.0,8420.0,8170.0,55467.0,아이마켓코리아,122900
2020-06-29,8240.0,상승  60,8220.0,8380.0,8120.0,66614.0,아이마켓코리아,122900
2020-06-30,8710.0,상승  470,8250.0,9000.0,8250.0,76893.0,아이마켓코리아,122900
2020-07-01,8970.0,상승  260,8880.0,9170.0,8750.0,115872.0,아이마켓코리아,122900
2020-07-02,8850.0,하락  120,8970.0,9220.0,8730.0,116660.0,아이마켓코리아,122900
2020-07-03,8610.0,하락  240,9000.0,9000.0,8560.0,112818.0,아이마켓코리아,122900
2020-07-06,8630.0,상승  20,8630.0,8790.0,8600.0,47867.0,아이마켓코리아,122900
2020-07-07,8590.0,하락  40,8760.0,8760.0,8540.0,41914.0,아이마켓코리아,122900
2020-07-08,8560.0,하락  30,8510.0,8700.0,8510.0,40279.0,아이마켓코리아,122900
2020-07-09,8590.0,상승  30,8660.0,8660.0,8460.0,62815.0,아이마켓코리아,122900
2020-07-10,8580.0,하락  10,8610.0,8610.0,8360.0,70915.0,아이마켓코리아,122900
2020-07-13,8430.0,하락  150,8540.0,8570.0,8330.0,90654.0,아이마켓코리아,122900
2020-07-14,8560.0,상승  130,8430.0,8570.0,8320.0,49219.0,아이마켓코리아,122900
2020-07-15,8470.0,하락  90,8570.0,8750.0,8450.0,85692.0,아이마켓코리아,122900
2020-07-16,8450.0,하락  20,8440.0,8590.0,8430.0,41446.0,아이마켓코리아,122900
2020-07-17,8510.0,상승  60,8500.0,8520.0,8430.0,19754.0,아이마켓코리아,122900
2020-07-20,8400.0,하락  110,8550.0,8550.0,8380.0,55439.0,아이마켓코리아,122900
2020-07-21,8500.0,상승  100,8400.0,8590.0,8400.0,75858.0,아이마켓코리아,122900
2020-07-22,8430.0,하락  70,8570.0,8570.0,8380.0,85937.0,아이마켓코리아,122900
2020-07-23,8360.0,하락  70,8450.0,8480.0,8350.0,50511.0,아이마켓코리아,122900
2020-07-24,8360.0,보합0,8360.0,8520.0,8340.0,66403.0,아이마켓코리아,122900
2020-07-27,8400.0,상승  40,8360.0,8450.0,8340.0,21810.0,아이마켓코리아,122900
2020-07-28,8380.0,하락  20,8430.0,8450.0,8320.0,58445.0,아이마켓코리아,122900
2020-07-29,8470.0,상승  90,8370.0,8550.0,8320.0,50183.0,아이마켓코리아,122900
2020-07-30,8490.0,상승  20,8470.0,8600.0,8410.0,50771.0,아이마켓코리아,122900
2020-07-31,8500.0,상승  10,8520.0,8550.0,8390.0,74586.0,아이마켓코리아,122900
2020-08-03,8370.0,하락  130,8500.0,8510.0,8340.0,71416.0,아이마켓코리아,122900
2020-08-04,8400.0,상승  30,8400.0,8470.0,8380.0,66096.0,아이마켓코리아,122900
2020-08-05,8340.0,하락  60,8410.0,8510.0,8340.0,75949.0,아이마켓코리아,122900
2020-08-06,8330.0,하락  10,8390.0,8510.0,8310.0,72302.0,아이마켓코리아,122900
