날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1155.0,하락  135,1130.0,1210.0,1035.0,3206867.0,아이에이치큐,003560
2020-03-16,1095.0,하락  60,1200.0,1230.0,1095.0,1362553.0,아이에이치큐,003560
2020-03-17,1170.0,상승  75,1000.0,1420.0,1000.0,8296063.0,아이에이치큐,003560
2020-03-18,1100.0,하락  70,1170.0,1280.0,1085.0,3582860.0,아이에이치큐,003560
2020-03-19,976.0,하락  124,1110.0,1135.0,964.0,3157576.0,아이에이치큐,003560
2020-03-20,1025.0,상승  49,957.0,1035.0,957.0,2704770.0,아이에이치큐,003560
2020-03-23,970.0,하락  55,989.0,989.0,930.0,1216527.0,아이에이치큐,003560
2020-03-24,1030.0,상승  60,973.0,1060.0,972.0,1372099.0,아이에이치큐,003560
2020-03-25,1110.0,상승  80,1060.0,1115.0,1040.0,1818628.0,아이에이치큐,003560
2020-03-26,1165.0,상승  55,1145.0,1200.0,1115.0,1962561.0,아이에이치큐,003560
2020-03-27,1145.0,하락  20,1215.0,1215.0,1070.0,1718647.0,아이에이치큐,003560
2020-03-30,1175.0,상승  30,1085.0,1180.0,1080.0,932355.0,아이에이치큐,003560
2020-03-31,1205.0,상승  30,1195.0,1240.0,1175.0,1307189.0,아이에이치큐,003560
2020-04-01,1220.0,상승  15,1200.0,1285.0,1175.0,1988977.0,아이에이치큐,003560
2020-04-02,1230.0,상승  10,1230.0,1245.0,1190.0,1500359.0,아이에이치큐,003560
2020-04-03,1265.0,상승  35,1295.0,1310.0,1220.0,1413884.0,아이에이치큐,003560
2020-04-06,1345.0,상승  80,1245.0,1485.0,1245.0,3792662.0,아이에이치큐,003560
2020-04-07,1355.0,상승  10,1370.0,1390.0,1315.0,1695349.0,아이에이치큐,003560
2020-04-08,1355.0,보합0,1355.0,1405.0,1320.0,1145570.0,아이에이치큐,003560
2020-04-09,1400.0,상승  45,1380.0,1440.0,1370.0,1708304.0,아이에이치큐,003560
2020-04-10,1500.0,상승  100,1415.0,1535.0,1365.0,5478362.0,아이에이치큐,003560
2020-04-13,1435.0,하락  65,1530.0,1675.0,1435.0,14790833.0,아이에이치큐,003560
2020-04-14,1485.0,상승  50,1450.0,1545.0,1450.0,3827326.0,아이에이치큐,003560
2020-04-16,1510.0,상승  25,1500.0,1540.0,1485.0,1852156.0,아이에이치큐,003560
2020-04-17,1560.0,상승  50,1525.0,1565.0,1500.0,2870140.0,아이에이치큐,003560
2020-04-20,1545.0,하락  15,1575.0,1575.0,1530.0,1326403.0,아이에이치큐,003560
2020-04-21,1510.0,하락  35,1530.0,1560.0,1400.0,1969660.0,아이에이치큐,003560
2020-04-22,1535.0,상승  25,1490.0,1555.0,1470.0,1070698.0,아이에이치큐,003560
2020-04-23,1550.0,상승  15,1545.0,1565.0,1535.0,810734.0,아이에이치큐,003560
2020-04-24,1520.0,하락  30,1555.0,1555.0,1495.0,705733.0,아이에이치큐,003560
2020-04-27,1530.0,상승  10,1515.0,1545.0,1510.0,581174.0,아이에이치큐,003560
2020-04-28,1600.0,상승  70,1540.0,1635.0,1510.0,3253669.0,아이에이치큐,003560
2020-04-29,1565.0,하락  35,1580.0,1600.0,1565.0,1212570.0,아이에이치큐,003560
2020-05-04,1580.0,상승  15,1535.0,1610.0,1530.0,1185952.0,아이에이치큐,003560
2020-05-06,1595.0,상승  15,1605.0,1620.0,1575.0,1054673.0,아이에이치큐,003560
2020-05-07,1650.0,상승  55,1595.0,1730.0,1580.0,7030094.0,아이에이치큐,003560
2020-05-08,1605.0,하락  45,1620.0,1645.0,1600.0,1535986.0,아이에이치큐,003560
2020-05-11,1580.0,하락  25,1620.0,1620.0,1570.0,845965.0,아이에이치큐,003560
2020-05-12,1670.0,상승  90,1600.0,1870.0,1545.0,20467864.0,아이에이치큐,003560
2020-05-13,1660.0,하락  10,1635.0,1700.0,1605.0,3445415.0,아이에이치큐,003560
2020-05-14,1600.0,하락  60,1655.0,1660.0,1600.0,1474782.0,아이에이치큐,003560
2020-05-15,1590.0,하락  10,1595.0,1615.0,1570.0,1187513.0,아이에이치큐,003560
2020-05-18,1590.0,보합0,1590.0,1595.0,1550.0,1073491.0,아이에이치큐,003560
2020-05-19,1640.0,상승  50,1625.0,1715.0,1605.0,5805071.0,아이에이치큐,003560
2020-05-20,1640.0,보합0,1630.0,1650.0,1610.0,895885.0,아이에이치큐,003560
2020-05-21,1630.0,하락  10,1645.0,1655.0,1595.0,1220095.0,아이에이치큐,003560
2020-05-22,1585.0,하락  45,1640.0,1640.0,1565.0,900325.0,아이에이치큐,003560
2020-05-25,1585.0,보합0,1580.0,1605.0,1560.0,450038.0,아이에이치큐,003560
2020-05-26,1620.0,상승  35,1580.0,1630.0,1565.0,671662.0,아이에이치큐,003560
2020-05-27,1610.0,하락  10,1640.0,1655.0,1580.0,1407063.0,아이에이치큐,003560
2020-05-28,1550.0,하락  60,1610.0,1615.0,1515.0,1614921.0,아이에이치큐,003560
2020-05-29,1555.0,상승  5,1540.0,1610.0,1520.0,1296519.0,아이에이치큐,003560
2020-06-01,1570.0,상승  15,1535.0,1605.0,1535.0,903973.0,아이에이치큐,003560
2020-06-02,1580.0,상승  10,1575.0,1610.0,1560.0,1049655.0,아이에이치큐,003560
2020-06-03,1580.0,보합0,1580.0,1645.0,1570.0,2899976.0,아이에이치큐,003560
