날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,700.0,하락  39,736.0,783.0,700.0,858035.0,에넥스,011090
2020-03-17,690.0,하락  10,636.0,702.0,636.0,737320.0,에넥스,011090
2020-03-18,670.0,하락  20,695.0,722.0,670.0,432321.0,에넥스,011090
2020-03-19,555.0,하락  115,669.0,688.0,535.0,1150171.0,에넥스,011090
2020-03-20,590.0,상승  35,549.0,626.0,549.0,617858.0,에넥스,011090
2020-03-23,559.0,하락  31,555.0,604.0,550.0,468451.0,에넥스,011090
2020-03-24,593.0,상승  34,571.0,593.0,564.0,442570.0,에넥스,011090
2020-03-25,627.0,상승  34,623.0,637.0,606.0,655062.0,에넥스,011090
2020-03-26,660.0,상승  33,630.0,683.0,616.0,909915.0,에넥스,011090
2020-03-27,676.0,상승  16,681.0,704.0,632.0,711635.0,에넥스,011090
2020-03-30,685.0,상승  9,649.0,685.0,632.0,282881.0,에넥스,011090
2020-03-31,734.0,상승  49,703.0,742.0,701.0,483376.0,에넥스,011090
2020-04-01,768.0,상승  34,737.0,808.0,719.0,692870.0,에넥스,011090
2020-04-02,775.0,상승  7,768.0,788.0,735.0,389429.0,에넥스,011090
2020-04-03,774.0,하락  1,779.0,790.0,752.0,290316.0,에넥스,011090
2020-04-06,815.0,상승  41,774.0,817.0,772.0,394390.0,에넥스,011090
2020-04-07,828.0,상승  13,825.0,843.0,803.0,369342.0,에넥스,011090
2020-04-08,860.0,상승  32,828.0,865.0,805.0,423188.0,에넥스,011090
2020-04-09,864.0,상승  4,870.0,895.0,846.0,560737.0,에넥스,011090
2020-04-10,829.0,하락  35,887.0,887.0,812.0,694162.0,에넥스,011090
2020-04-13,813.0,하락  16,827.0,833.0,810.0,278508.0,에넥스,011090
2020-04-14,838.0,상승  25,813.0,839.0,813.0,348599.0,에넥스,011090
2020-04-16,856.0,상승  18,827.0,856.0,818.0,272046.0,에넥스,011090
2020-04-17,894.0,상승  38,860.0,918.0,860.0,897281.0,에넥스,011090
2020-04-20,1040.0,상승  146,930.0,1110.0,919.0,11673051.0,에넥스,011090
2020-04-21,980.0,하락  60,1025.0,1030.0,950.0,2070969.0,에넥스,011090
2020-04-22,962.0,하락  18,979.0,980.0,941.0,809929.0,에넥스,011090
2020-04-23,996.0,상승  34,967.0,1015.0,958.0,1101175.0,에넥스,011090
2020-04-24,950.0,하락  46,990.0,1010.0,930.0,1028838.0,에넥스,011090
2020-04-27,978.0,상승  28,958.0,994.0,951.0,515883.0,에넥스,011090
2020-04-28,970.0,하락  8,980.0,989.0,959.0,377774.0,에넥스,011090
2020-04-29,967.0,하락  3,970.0,992.0,961.0,410314.0,에넥스,011090
2020-05-04,983.0,상승  16,946.0,1010.0,944.0,897928.0,에넥스,011090
2020-05-06,999.0,상승  16,995.0,1020.0,992.0,565288.0,에넥스,011090
2020-05-07,1025.0,상승  26,1000.0,1035.0,992.0,744912.0,에넥스,011090
2020-05-08,1015.0,하락  10,1025.0,1070.0,1010.0,1210501.0,에넥스,011090
2020-05-11,1000.0,하락  15,1020.0,1030.0,998.0,460454.0,에넥스,011090
2020-05-12,1110.0,상승  110,1025.0,1215.0,1025.0,28576087.0,에넥스,011090
2020-05-13,1110.0,보합0,1080.0,1160.0,1060.0,4464716.0,에넥스,011090
2020-05-14,1095.0,하락  15,1090.0,1100.0,1065.0,1316793.0,에넥스,011090
2020-05-15,1085.0,하락  10,1095.0,1100.0,1050.0,1362952.0,에넥스,011090
2020-05-18,1035.0,하락  50,1085.0,1085.0,1030.0,848381.0,에넥스,011090
2020-05-19,1045.0,상승  10,1045.0,1055.0,1030.0,528285.0,에넥스,011090
2020-05-20,1075.0,상승  30,1045.0,1115.0,1030.0,2876625.0,에넥스,011090
2020-05-21,1070.0,하락  5,1095.0,1125.0,1065.0,3604071.0,에넥스,011090
2020-05-22,1055.0,하락  15,1075.0,1075.0,1040.0,769322.0,에넥스,011090
2020-05-25,1060.0,상승  5,1050.0,1070.0,1040.0,415051.0,에넥스,011090
2020-05-26,1080.0,상승  20,1055.0,1110.0,1055.0,1702309.0,에넥스,011090
2020-05-27,1085.0,상승  5,1080.0,1090.0,1060.0,2022328.0,에넥스,011090
2020-05-28,1180.0,상승  95,1225.0,1270.0,1120.0,14362979.0,에넥스,011090
2020-05-29,1195.0,상승  15,1150.0,1250.0,1110.0,6454222.0,에넥스,011090
2020-06-01,1310.0,상승  115,1195.0,1385.0,1150.0,30338561.0,에넥스,011090
2020-06-02,1315.0,상승  5,1305.0,1420.0,1285.0,16479383.0,에넥스,011090
2020-06-03,1260.0,하락  55,1315.0,1320.0,1240.0,3068707.0,에넥스,011090
2020-06-04,1235.0,하락  25,1260.0,1265.0,1225.0,1218718.0,에넥스,011090
2020-06-05,1225.0,하락  10,1240.0,1245.0,1215.0,812588.0,에넥스,011090
2020-06-08,1270.0,상승  45,1230.0,1275.0,1225.0,1300253.0,에넥스,011090
2020-06-09,1260.0,하락  10,1275.0,1275.0,1230.0,1284064.0,에넥스,011090
2020-06-10,1225.0,하락  35,1245.0,1255.0,1225.0,563259.0,에넥스,011090
2020-06-11,1190.0,하락  35,1235.0,1235.0,1170.0,724509.0,에넥스,011090
2020-06-12,1125.0,하락  65,1105.0,1145.0,1070.0,1116195.0,에넥스,011090
2020-06-15,1000.0,하락  125,1125.0,1130.0,982.0,1667904.0,에넥스,011090
2020-06-16,1060.0,상승  60,1030.0,1065.0,1020.0,1051855.0,에넥스,011090
2020-06-17,1035.0,하락  25,1045.0,1075.0,1010.0,455369.0,에넥스,011090
2020-06-18,1045.0,상승  10,1045.0,1075.0,1035.0,419821.0,에넥스,011090
2020-06-19,1075.0,상승  30,1050.0,1095.0,1045.0,985456.0,에넥스,011090
2020-06-22,1065.0,하락  10,1100.0,1130.0,1055.0,872552.0,에넥스,011090
2020-06-23,1055.0,하락  10,1075.0,1075.0,1035.0,418142.0,에넥스,011090
2020-06-24,1045.0,하락  10,1075.0,1080.0,1045.0,423796.0,에넥스,011090
2020-06-25,1050.0,상승  5,1025.0,1065.0,1025.0,417476.0,에넥스,011090
2020-06-26,1080.0,상승  30,1055.0,1160.0,1045.0,2709168.0,에넥스,011090
2020-06-29,1050.0,하락  30,1050.0,1065.0,1040.0,480304.0,에넥스,011090
2020-06-30,1055.0,상승  5,1075.0,1075.0,1045.0,457568.0,에넥스,011090
2020-07-01,1090.0,상승  35,1060.0,1120.0,1055.0,1165615.0,에넥스,011090
2020-07-02,1110.0,상승  20,1085.0,1120.0,1075.0,752551.0,에넥스,011090
2020-07-03,1115.0,상승  5,1110.0,1170.0,1105.0,2062735.0,에넥스,011090
2020-07-06,1130.0,상승  15,1130.0,1135.0,1100.0,784294.0,에넥스,011090
2020-07-07,1125.0,하락  5,1130.0,1180.0,1080.0,3809065.0,에넥스,011090
2020-07-08,1120.0,하락  5,1110.0,1135.0,1105.0,617258.0,에넥스,011090
2020-07-09,1205.0,상승  85,1150.0,1280.0,1140.0,13804392.0,에넥스,011090
2020-07-10,1140.0,하락  65,1205.0,1210.0,1120.0,1910454.0,에넥스,011090
2020-07-13,1155.0,상승  15,1155.0,1160.0,1115.0,823973.0,에넥스,011090
2020-07-14,1140.0,하락  15,1155.0,1220.0,1130.0,1949597.0,에넥스,011090
2020-07-15,1120.0,하락  20,1140.0,1155.0,1110.0,696493.0,에넥스,011090
2020-07-16,1120.0,보합0,1120.0,1140.0,1105.0,536803.0,에넥스,011090
2020-07-17,1115.0,하락  5,1125.0,1125.0,1100.0,572103.0,에넥스,011090
2020-07-20,1290.0,상승  175,1115.0,1290.0,1095.0,5841975.0,에넥스,011090
2020-07-21,1170.0,하락  120,1230.0,1235.0,1170.0,3480806.0,에넥스,011090
2020-07-22,1155.0,하락  15,1170.0,1185.0,1140.0,970858.0,에넥스,011090
2020-07-23,1120.0,하락  35,1145.0,1155.0,1100.0,914691.0,에넥스,011090
2020-07-24,1105.0,하락  15,1120.0,1145.0,1105.0,534194.0,에넥스,011090
2020-07-27,1155.0,상승  50,1100.0,1180.0,1090.0,2497703.0,에넥스,011090
2020-07-28,1140.0,하락  15,1155.0,1170.0,1120.0,542109.0,에넥스,011090
2020-07-29,1130.0,하락  10,1140.0,1145.0,1120.0,425677.0,에넥스,011090
2020-07-30,1160.0,상승  30,1135.0,1180.0,1125.0,964787.0,에넥스,011090
2020-07-31,1160.0,보합0,1150.0,1200.0,1150.0,1015289.0,에넥스,011090
2020-08-03,1160.0,보합0,1170.0,1190.0,1150.0,639988.0,에넥스,011090
2020-08-04,1165.0,상승  5,1170.0,1225.0,1120.0,2268379.0,에넥스,011090
2020-08-05,1160.0,하락  5,1175.0,1185.0,1145.0,582226.0,에넥스,011090
2020-08-06,1140.0,하락  20,1160.0,1170.0,1135.0,458132.0,에넥스,011090
