날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,12100.0,상승  200,12100.0,12550.0,11850.0,109873.0,에스엘,005850
2020-03-17,11050.0,"하락  1,050",10800.0,11850.0,10800.0,207287.0,에스엘,005850
2020-03-18,10100.0,하락  950,11150.0,11400.0,10050.0,313441.0,에스엘,005850
2020-03-19,9380.0,하락  720,10100.0,10400.0,9240.0,289615.0,에스엘,005850
2020-03-20,9700.0,상승  320,9180.0,10150.0,9180.0,201956.0,에스엘,005850
2020-03-23,9200.0,하락  500,9300.0,9340.0,9090.0,144556.0,에스엘,005850
2020-03-24,9810.0,상승  610,9220.0,9810.0,9110.0,132194.0,에스엘,005850
2020-03-25,10950.0,"상승  1,140",10350.0,10950.0,10300.0,143113.0,에스엘,005850
2020-03-26,11950.0,"상승  1,000",10850.0,13400.0,10550.0,284590.0,에스엘,005850
2020-03-27,11900.0,하락  50,12150.0,12900.0,11600.0,206323.0,에스엘,005850
2020-03-30,12550.0,상승  650,11500.0,12550.0,11300.0,98162.0,에스엘,005850
2020-03-31,13200.0,상승  650,12650.0,13800.0,12650.0,226622.0,에스엘,005850
2020-04-01,12900.0,하락  300,12800.0,13150.0,12700.0,117502.0,에스엘,005850
2020-04-02,12900.0,보합0,12850.0,13150.0,12400.0,128940.0,에스엘,005850
2020-04-03,13100.0,상승  200,12900.0,13150.0,12750.0,95159.0,에스엘,005850
2020-04-06,13300.0,상승  200,13200.0,13350.0,12850.0,93586.0,에스엘,005850
2020-04-07,13950.0,상승  650,13450.0,13950.0,13400.0,123143.0,에스엘,005850
2020-04-08,13600.0,하락  350,13800.0,14000.0,13500.0,109077.0,에스엘,005850
2020-04-09,13950.0,상승  350,13950.0,14350.0,13650.0,140227.0,에스엘,005850
2020-04-10,13800.0,하락  150,14000.0,14200.0,13700.0,79874.0,에스엘,005850
2020-04-13,13450.0,하락  350,13600.0,13800.0,13400.0,55482.0,에스엘,005850
2020-04-14,13700.0,상승  250,13350.0,13800.0,13350.0,57294.0,에스엘,005850
2020-04-16,13600.0,하락  100,13550.0,13700.0,12850.0,79675.0,에스엘,005850
2020-04-17,13650.0,상승  50,13500.0,13950.0,13500.0,90133.0,에스엘,005850
2020-04-20,13350.0,하락  300,13500.0,13650.0,13250.0,72180.0,에스엘,005850
2020-04-21,12950.0,하락  400,13350.0,13350.0,12650.0,96246.0,에스엘,005850
2020-04-22,12450.0,하락  500,12800.0,12800.0,12150.0,144707.0,에스엘,005850
2020-04-23,12450.0,보합0,12350.0,12750.0,12300.0,105247.0,에스엘,005850
2020-04-24,12000.0,하락  450,12250.0,12250.0,11900.0,140567.0,에스엘,005850
2020-04-27,12500.0,상승  500,12000.0,12500.0,12000.0,78968.0,에스엘,005850
2020-04-28,13050.0,상승  550,12550.0,13150.0,12300.0,110800.0,에스엘,005850
2020-04-29,13250.0,상승  200,12950.0,13300.0,12850.0,91332.0,에스엘,005850
2020-05-04,12600.0,하락  650,12950.0,12950.0,12600.0,123196.0,에스엘,005850
2020-05-06,12650.0,상승  50,12750.0,12800.0,12450.0,94484.0,에스엘,005850
2020-05-07,12750.0,상승  100,12550.0,12850.0,12350.0,57009.0,에스엘,005850
2020-05-08,13200.0,상승  450,12750.0,13300.0,12700.0,154354.0,에스엘,005850
2020-05-11,13750.0,상승  550,13250.0,14200.0,13250.0,262309.0,에스엘,005850
2020-05-12,13400.0,하락  350,13750.0,13850.0,13050.0,160565.0,에스엘,005850
2020-05-13,13450.0,상승  50,13100.0,13600.0,13050.0,96469.0,에스엘,005850
2020-05-14,13350.0,하락  100,13200.0,13400.0,13100.0,82545.0,에스엘,005850
2020-05-15,13500.0,상승  150,13350.0,13550.0,13300.0,68013.0,에스엘,005850
2020-05-18,13550.0,상승  50,13650.0,13800.0,13250.0,74877.0,에스엘,005850
2020-05-19,14250.0,상승  700,13800.0,14600.0,13800.0,354769.0,에스엘,005850
2020-05-20,13800.0,하락  450,13850.0,14050.0,13500.0,278858.0,에스엘,005850
2020-05-21,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-22,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-25,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-26,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-27,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-28,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-05-29,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-01,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-02,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-03,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-04,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-05,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-08,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-09,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-10,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-11,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-12,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-15,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-16,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-17,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-18,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-19,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-22,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
2020-06-23,13800.0,보합0,0.0,0.0,0.0,0.0,에스엘,005850
