날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2410.0,하락  215,2375.0,2495.0,2230.0,39201.0,에스제이엠홀딩스,025530
2020-03-16,2410.0,보합0,2350.0,2475.0,2350.0,23888.0,에스제이엠홀딩스,025530
2020-03-17,2330.0,하락  80,2310.0,2380.0,2255.0,22646.0,에스제이엠홀딩스,025530
2020-03-18,2255.0,하락  75,2440.0,2440.0,2255.0,13759.0,에스제이엠홀딩스,025530
2020-03-19,2005.0,하락  250,2230.0,2230.0,1995.0,22441.0,에스제이엠홀딩스,025530
2020-03-20,2185.0,상승  180,2005.0,2185.0,1915.0,22099.0,에스제이엠홀딩스,025530
2020-03-23,2230.0,상승  45,1965.0,2250.0,1965.0,34226.0,에스제이엠홀딩스,025530
2020-03-24,2210.0,하락  20,2155.0,2245.0,2115.0,4492.0,에스제이엠홀딩스,025530
2020-03-25,2240.0,상승  30,2230.0,2265.0,2220.0,14747.0,에스제이엠홀딩스,025530
2020-03-26,2290.0,상승  50,2240.0,2340.0,2240.0,8855.0,에스제이엠홀딩스,025530
2020-03-27,2375.0,상승  85,2290.0,2420.0,2270.0,6979.0,에스제이엠홀딩스,025530
2020-03-30,2345.0,하락  30,2350.0,2380.0,2255.0,3694.0,에스제이엠홀딩스,025530
2020-03-31,2340.0,하락  5,2345.0,2410.0,2340.0,5835.0,에스제이엠홀딩스,025530
2020-04-01,2325.0,하락  15,2315.0,2420.0,2315.0,11977.0,에스제이엠홀딩스,025530
2020-04-02,2335.0,상승  10,2340.0,2340.0,2200.0,9084.0,에스제이엠홀딩스,025530
2020-04-03,2360.0,상승  25,2335.0,2400.0,2285.0,4067.0,에스제이엠홀딩스,025530
2020-04-06,2480.0,상승  120,2445.0,2495.0,2360.0,13303.0,에스제이엠홀딩스,025530
2020-04-07,2520.0,상승  40,2480.0,2560.0,2425.0,25817.0,에스제이엠홀딩스,025530
2020-04-08,2495.0,하락  25,2500.0,2530.0,2455.0,11934.0,에스제이엠홀딩스,025530
2020-04-09,2490.0,하락  5,2495.0,2570.0,2475.0,21813.0,에스제이엠홀딩스,025530
2020-04-10,2520.0,상승  30,2560.0,2560.0,2465.0,8419.0,에스제이엠홀딩스,025530
2020-04-13,2500.0,하락  20,2520.0,2570.0,2465.0,15918.0,에스제이엠홀딩스,025530
2020-04-14,2530.0,상승  30,2495.0,2550.0,2480.0,8605.0,에스제이엠홀딩스,025530
2020-04-16,2520.0,하락  10,2490.0,2525.0,2455.0,7322.0,에스제이엠홀딩스,025530
2020-04-17,2515.0,하락  5,2520.0,2580.0,2510.0,18278.0,에스제이엠홀딩스,025530
2020-04-20,2530.0,상승  15,2515.0,2580.0,2515.0,8456.0,에스제이엠홀딩스,025530
2020-04-21,2475.0,하락  55,2560.0,2560.0,2450.0,8539.0,에스제이엠홀딩스,025530
2020-04-22,2470.0,하락  5,2470.0,2480.0,2430.0,3747.0,에스제이엠홀딩스,025530
2020-04-23,2550.0,상승  80,2470.0,2550.0,2470.0,2750.0,에스제이엠홀딩스,025530
2020-04-24,2550.0,보합0,2545.0,2560.0,2500.0,7519.0,에스제이엠홀딩스,025530
2020-04-27,2570.0,상승  20,2550.0,2570.0,2525.0,6303.0,에스제이엠홀딩스,025530
2020-04-28,2575.0,상승  5,2570.0,2580.0,2495.0,5213.0,에스제이엠홀딩스,025530
2020-04-29,2585.0,상승  10,2525.0,2590.0,2525.0,10468.0,에스제이엠홀딩스,025530
2020-05-04,2595.0,상승  10,2585.0,2645.0,2560.0,7513.0,에스제이엠홀딩스,025530
2020-05-06,2645.0,상승  50,2595.0,2645.0,2590.0,8683.0,에스제이엠홀딩스,025530
2020-05-07,2645.0,보합0,2645.0,2680.0,2625.0,10102.0,에스제이엠홀딩스,025530
2020-05-08,2680.0,상승  35,2645.0,2700.0,2645.0,6353.0,에스제이엠홀딩스,025530
2020-05-11,2680.0,보합0,2700.0,2700.0,2655.0,3288.0,에스제이엠홀딩스,025530
2020-05-12,2675.0,하락  5,2695.0,2815.0,2640.0,16058.0,에스제이엠홀딩스,025530
2020-05-13,2645.0,하락  30,2675.0,2735.0,2625.0,3911.0,에스제이엠홀딩스,025530
2020-05-14,2620.0,하락  25,2600.0,2655.0,2590.0,5044.0,에스제이엠홀딩스,025530
2020-05-15,2595.0,하락  25,2625.0,2625.0,2565.0,12769.0,에스제이엠홀딩스,025530
