날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,3100.0,하락  105,3205.0,3370.0,3100.0,496516.0,에어부산,298690
2020-03-17,3115.0,상승  15,2700.0,3125.0,2700.0,318286.0,에어부산,298690
2020-03-18,2990.0,하락  125,3060.0,3205.0,2980.0,326187.0,에어부산,298690
2020-03-19,2095.0,하한가  895,2990.0,3130.0,2095.0,1083959.0,에어부산,298690
2020-03-20,2445.0,상승  350,2020.0,2565.0,2020.0,2248310.0,에어부산,298690
2020-03-23,2350.0,하락  95,2240.0,2870.0,2110.0,1122214.0,에어부산,298690
2020-03-24,2430.0,상승  80,2440.0,2550.0,2350.0,737103.0,에어부산,298690
2020-03-25,2715.0,상승  285,2535.0,2930.0,2480.0,2292884.0,에어부산,298690
2020-03-26,2855.0,상승  140,2870.0,3080.0,2720.0,1564379.0,에어부산,298690
2020-03-27,2865.0,상승  10,3025.0,3070.0,2700.0,688403.0,에어부산,298690
2020-03-30,2935.0,상승  70,2760.0,2940.0,2600.0,290724.0,에어부산,298690
2020-03-31,3000.0,상승  65,2945.0,3130.0,2935.0,747319.0,에어부산,298690
2020-04-01,3100.0,상승  100,3060.0,3650.0,2880.0,1998790.0,에어부산,298690
2020-04-02,3135.0,상승  35,3090.0,3380.0,2955.0,563968.0,에어부산,298690
2020-04-03,3130.0,하락  5,3160.0,3170.0,3090.0,263614.0,에어부산,298690
2020-04-06,3155.0,상승  25,3090.0,3255.0,3010.0,469628.0,에어부산,298690
2020-04-07,3270.0,상승  115,3305.0,3345.0,3180.0,789374.0,에어부산,298690
2020-04-08,3265.0,하락  5,3275.0,3315.0,3185.0,347119.0,에어부산,298690
2020-04-09,3470.0,상승  205,3385.0,3710.0,3315.0,1928566.0,에어부산,298690
2020-04-10,3700.0,상승  230,3480.0,3700.0,3435.0,1121406.0,에어부산,298690
2020-04-13,3550.0,하락  150,3700.0,3770.0,3545.0,645939.0,에어부산,298690
2020-04-14,3600.0,상승  50,3530.0,3690.0,3500.0,308640.0,에어부산,298690
2020-04-16,3565.0,하락  35,3600.0,3600.0,3425.0,394571.0,에어부산,298690
2020-04-17,3705.0,상승  140,3590.0,3790.0,3590.0,992711.0,에어부산,298690
2020-04-20,3875.0,상승  170,3815.0,4035.0,3745.0,1251425.0,에어부산,298690
2020-04-21,3880.0,상승  5,3875.0,3995.0,3710.0,691253.0,에어부산,298690
2020-04-22,4000.0,상승  120,4475.0,4600.0,4000.0,2407179.0,에어부산,298690
2020-04-23,4040.0,상승  40,4100.0,4170.0,4005.0,522173.0,에어부산,298690
2020-04-24,3960.0,하락  80,4040.0,4060.0,3940.0,364700.0,에어부산,298690
2020-04-27,3950.0,하락  10,4025.0,4030.0,3900.0,295316.0,에어부산,298690
2020-04-28,3955.0,상승  5,3950.0,4130.0,3875.0,528893.0,에어부산,298690
2020-04-29,3980.0,상승  25,3950.0,4085.0,3920.0,408509.0,에어부산,298690
2020-05-04,3850.0,하락  130,3920.0,3950.0,3720.0,300650.0,에어부산,298690
2020-05-06,3750.0,하락  100,3850.0,3890.0,3720.0,296014.0,에어부산,298690
2020-05-07,3825.0,상승  75,3715.0,3835.0,3705.0,320650.0,에어부산,298690
2020-05-08,3845.0,상승  20,3825.0,3900.0,3780.0,223457.0,에어부산,298690
2020-05-11,3680.0,하락  165,3845.0,3845.0,3680.0,447256.0,에어부산,298690
2020-05-12,3550.0,하락  130,3700.0,3725.0,3470.0,392766.0,에어부산,298690
2020-05-13,3550.0,보합0,3415.0,3730.0,3415.0,317566.0,에어부산,298690
2020-05-14,3505.0,하락  45,3455.0,3545.0,3405.0,215395.0,에어부산,298690
2020-05-15,3435.0,하락  70,3495.0,3575.0,3385.0,409575.0,에어부산,298690
2020-05-18,3450.0,상승  15,3405.0,3550.0,3385.0,240590.0,에어부산,298690
2020-05-19,3600.0,상승  150,3715.0,3890.0,3580.0,922558.0,에어부산,298690
