날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,8310.0,하락  770,8200.0,8980.0,7860.0,234406.0,에이블씨엔씨,078520
2020-03-16,7800.0,하락  510,8400.0,8750.0,7800.0,144308.0,에이블씨엔씨,078520
2020-03-17,7700.0,하락  100,7300.0,8060.0,7100.0,150348.0,에이블씨엔씨,078520
2020-03-18,7400.0,하락  300,7840.0,8200.0,7370.0,233341.0,에이블씨엔씨,078520
2020-03-19,5790.0,"하락  1,610",7510.0,7840.0,5230.0,317620.0,에이블씨엔씨,078520
2020-03-20,6440.0,상승  650,5790.0,6600.0,5730.0,178330.0,에이블씨엔씨,078520
2020-03-23,6000.0,하락  440,6170.0,6370.0,5920.0,71155.0,에이블씨엔씨,078520
2020-03-24,7140.0,"상승  1,140",6130.0,7150.0,6080.0,233851.0,에이블씨엔씨,078520
2020-03-25,7640.0,상승  500,7520.0,7690.0,7210.0,212224.0,에이블씨엔씨,078520
2020-03-26,7750.0,상승  110,7810.0,8100.0,7400.0,231055.0,에이블씨엔씨,078520
2020-03-27,7780.0,상승  30,8080.0,8080.0,7460.0,215205.0,에이블씨엔씨,078520
2020-03-30,7870.0,상승  90,7480.0,8100.0,7300.0,150048.0,에이블씨엔씨,078520
2020-03-31,8050.0,상승  180,8070.0,8230.0,7870.0,125210.0,에이블씨엔씨,078520
2020-04-01,7890.0,하락  160,8000.0,8230.0,7830.0,101748.0,에이블씨엔씨,078520
2020-04-02,8150.0,상승  260,8020.0,8150.0,7730.0,65831.0,에이블씨엔씨,078520
2020-04-03,8160.0,상승  10,8360.0,8370.0,8050.0,90249.0,에이블씨엔씨,078520
2020-04-06,8620.0,상승  460,8160.0,8650.0,8160.0,103184.0,에이블씨엔씨,078520
2020-04-07,8830.0,상승  210,8940.0,9000.0,8530.0,152868.0,에이블씨엔씨,078520
2020-04-08,9290.0,상승  460,8870.0,9620.0,8670.0,318364.0,에이블씨엔씨,078520
2020-04-09,9170.0,하락  120,9400.0,9550.0,9120.0,133005.0,에이블씨엔씨,078520
2020-04-10,9480.0,상승  310,9250.0,9500.0,8820.0,144676.0,에이블씨엔씨,078520
2020-04-13,9450.0,하락  30,9550.0,10350.0,9310.0,436358.0,에이블씨엔씨,078520
2020-04-14,9800.0,상승  350,9620.0,9940.0,9540.0,129788.0,에이블씨엔씨,078520
2020-04-16,10050.0,상승  250,9800.0,10150.0,9730.0,100238.0,에이블씨엔씨,078520
2020-04-17,10200.0,상승  150,10300.0,10550.0,10050.0,191018.0,에이블씨엔씨,078520
2020-04-20,10200.0,보합0,10300.0,10450.0,10100.0,169560.0,에이블씨엔씨,078520
2020-04-21,10200.0,보합0,10200.0,10800.0,9940.0,652092.0,에이블씨엔씨,078520
2020-04-22,10400.0,상승  200,10050.0,10450.0,9900.0,166741.0,에이블씨엔씨,078520
2020-04-23,10200.0,하락  200,10600.0,10600.0,10200.0,157516.0,에이블씨엔씨,078520
2020-04-24,9970.0,하락  230,10100.0,10250.0,9970.0,95514.0,에이블씨엔씨,078520
2020-04-27,10200.0,상승  230,10050.0,10250.0,9990.0,103462.0,에이블씨엔씨,078520
2020-04-28,10200.0,보합0,10250.0,10500.0,10100.0,170181.0,에이블씨엔씨,078520
2020-04-29,10150.0,하락  50,10200.0,10400.0,10050.0,142596.0,에이블씨엔씨,078520
2020-05-04,10150.0,보합0,10000.0,10250.0,9910.0,88323.0,에이블씨엔씨,078520
2020-05-06,10300.0,상승  150,10250.0,10350.0,10050.0,101992.0,에이블씨엔씨,078520
2020-05-07,10350.0,상승  50,10250.0,10600.0,10200.0,138944.0,에이블씨엔씨,078520
2020-05-08,10350.0,보합0,10450.0,10500.0,10250.0,98829.0,에이블씨엔씨,078520
2020-05-11,10100.0,하락  250,10400.0,10400.0,10100.0,89807.0,에이블씨엔씨,078520
2020-05-12,9860.0,하락  240,10050.0,10250.0,9750.0,203410.0,에이블씨엔씨,078520
2020-05-13,9810.0,하락  50,9850.0,9880.0,9700.0,105262.0,에이블씨엔씨,078520
2020-05-14,9760.0,하락  50,10000.0,10050.0,9680.0,119667.0,에이블씨엔씨,078520
2020-05-15,9740.0,하락  20,9820.0,9870.0,9650.0,74296.0,에이블씨엔씨,078520
2020-05-18,9480.0,하락  260,9670.0,9720.0,8970.0,160071.0,에이블씨엔씨,078520
2020-05-19,9840.0,상승  360,9690.0,9840.0,9540.0,135542.0,에이블씨엔씨,078520
2020-05-20,10100.0,상승  260,9840.0,10100.0,9840.0,146808.0,에이블씨엔씨,078520
2020-05-21,9890.0,하락  210,10150.0,10150.0,9860.0,139178.0,에이블씨엔씨,078520
2020-05-22,9580.0,하락  310,9900.0,9930.0,9550.0,90424.0,에이블씨엔씨,078520
2020-05-25,9440.0,하락  140,9510.0,9580.0,9300.0,117184.0,에이블씨엔씨,078520
2020-05-26,9620.0,상승  180,9490.0,9660.0,9470.0,65371.0,에이블씨엔씨,078520
2020-05-27,9580.0,하락  40,9640.0,9640.0,9500.0,75528.0,에이블씨엔씨,078520
2020-05-28,9420.0,하락  160,9640.0,9730.0,8790.0,89551.0,에이블씨엔씨,078520
2020-05-29,9200.0,하락  220,9320.0,9330.0,9000.0,100241.0,에이블씨엔씨,078520
2020-06-01,9250.0,상승  50,9200.0,9290.0,9120.0,67002.0,에이블씨엔씨,078520
2020-06-02,9250.0,보합0,9330.0,9330.0,9090.0,62922.0,에이블씨엔씨,078520
2020-06-03,9350.0,상승  100,9330.0,9420.0,9240.0,135486.0,에이블씨엔씨,078520
2020-06-04,9560.0,상승  210,9390.0,9810.0,9360.0,208276.0,에이블씨엔씨,078520
2020-06-05,9650.0,상승  90,9620.0,9730.0,9490.0,84719.0,에이블씨엔씨,078520
2020-06-08,9660.0,상승  10,9790.0,9790.0,9570.0,54718.0,에이블씨엔씨,078520
2020-06-09,9480.0,하락  180,9710.0,9710.0,9440.0,69089.0,에이블씨엔씨,078520
2020-06-10,9460.0,하락  20,9480.0,9600.0,9340.0,81828.0,에이블씨엔씨,078520
2020-06-11,9200.0,하락  260,9380.0,9520.0,9150.0,97970.0,에이블씨엔씨,078520
2020-06-12,8870.0,하락  330,8610.0,8990.0,8610.0,103791.0,에이블씨엔씨,078520
