날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1270.0,하락  150,1335.0,1410.0,1175.0,9407730.0,에이프로젠바이오로직스,003060
2020-03-16,1295.0,상승  25,1310.0,1365.0,1280.0,5723700.0,에이프로젠바이오로직스,003060
2020-03-17,1300.0,상승  5,1200.0,1335.0,1185.0,4852777.0,에이프로젠바이오로직스,003060
2020-03-18,1265.0,하락  35,1350.0,1455.0,1265.0,11693658.0,에이프로젠바이오로직스,003060
2020-03-19,1125.0,하락  140,1320.0,1340.0,1100.0,7959248.0,에이프로젠바이오로직스,003060
2020-03-20,1175.0,상승  50,1160.0,1195.0,1135.0,4662940.0,에이프로젠바이오로직스,003060
2020-03-23,1165.0,하락  10,1115.0,1265.0,1100.0,9179931.0,에이프로젠바이오로직스,003060
2020-03-24,1235.0,상승  70,1215.0,1300.0,1185.0,8720994.0,에이프로젠바이오로직스,003060
2020-03-25,1270.0,상승  35,1295.0,1335.0,1250.0,8479680.0,에이프로젠바이오로직스,003060
2020-03-26,1320.0,상승  50,1330.0,1390.0,1295.0,16623436.0,에이프로젠바이오로직스,003060
2020-03-27,1525.0,상승  205,1450.0,1675.0,1310.0,62684188.0,에이프로젠바이오로직스,003060
2020-03-30,1595.0,상승  70,1510.0,1625.0,1450.0,21311521.0,에이프로젠바이오로직스,003060
2020-03-31,1675.0,상승  80,1750.0,1830.0,1635.0,41171669.0,에이프로젠바이오로직스,003060
2020-04-01,1530.0,하락  145,1690.0,1700.0,1520.0,14013712.0,에이프로젠바이오로직스,003060
2020-04-02,1575.0,상승  45,1515.0,1620.0,1435.0,13327946.0,에이프로젠바이오로직스,003060
2020-04-03,1615.0,상승  40,1585.0,1675.0,1560.0,14966601.0,에이프로젠바이오로직스,003060
2020-04-06,1695.0,상승  80,1635.0,1770.0,1630.0,26116200.0,에이프로젠바이오로직스,003060
2020-04-07,1715.0,상승  20,1725.0,1740.0,1615.0,18602119.0,에이프로젠바이오로직스,003060
2020-04-08,1680.0,하락  35,1780.0,1795.0,1680.0,19178252.0,에이프로젠바이오로직스,003060
2020-04-09,1755.0,상승  75,1715.0,1870.0,1700.0,35785807.0,에이프로젠바이오로직스,003060
2020-04-10,1660.0,하락  95,1790.0,1805.0,1445.0,17018766.0,에이프로젠바이오로직스,003060
2020-04-13,1615.0,하락  45,1660.0,1680.0,1605.0,6444298.0,에이프로젠바이오로직스,003060
2020-04-14,1610.0,하락  5,1630.0,1670.0,1570.0,6453961.0,에이프로젠바이오로직스,003060
2020-04-16,1605.0,하락  5,1590.0,1645.0,1555.0,5161893.0,에이프로젠바이오로직스,003060
2020-04-17,1635.0,상승  30,1690.0,1745.0,1615.0,12978051.0,에이프로젠바이오로직스,003060
2020-04-20,1380.0,하락  255,1255.0,1525.0,1255.0,57779191.0,에이프로젠바이오로직스,003060
2020-04-21,1310.0,하락  70,1385.0,1390.0,1255.0,14540424.0,에이프로젠바이오로직스,003060
2020-04-22,1345.0,상승  35,1275.0,1365.0,1270.0,10946755.0,에이프로젠바이오로직스,003060
2020-04-23,1365.0,상승  20,1365.0,1405.0,1345.0,9580863.0,에이프로젠바이오로직스,003060
2020-04-24,1770.0,상한가  405,1340.0,1770.0,1310.0,98490652.0,에이프로젠바이오로직스,003060
2020-04-27,2300.0,상한가  530,2185.0,2300.0,2080.0,64884682.0,에이프로젠바이오로직스,003060
2020-04-28,2065.0,하락  235,2420.0,2850.0,2005.0,181630892.0,에이프로젠바이오로직스,003060
2020-04-29,2100.0,상승  35,2080.0,2285.0,2010.0,49908890.0,에이프로젠바이오로직스,003060
2020-05-04,2010.0,하락  90,2130.0,2300.0,1970.0,32441210.0,에이프로젠바이오로직스,003060
2020-05-06,2045.0,상승  35,2020.0,2145.0,1980.0,18254564.0,에이프로젠바이오로직스,003060
2020-05-07,2195.0,상승  150,2055.0,2235.0,2050.0,29475683.0,에이프로젠바이오로직스,003060
2020-05-08,2165.0,하락  30,2210.0,2250.0,2140.0,15674707.0,에이프로젠바이오로직스,003060
2020-05-11,2155.0,하락  10,2165.0,2210.0,2130.0,11158661.0,에이프로젠바이오로직스,003060
2020-05-12,2160.0,상승  5,2165.0,2285.0,2085.0,34632775.0,에이프로젠바이오로직스,003060
2020-05-13,2185.0,상승  25,2195.0,2235.0,2160.0,12974722.0,에이프로젠바이오로직스,003060
2020-05-14,2110.0,하락  75,2185.0,2215.0,2105.0,9564378.0,에이프로젠바이오로직스,003060
