날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2100.0,하락  420,2150.0,2500.0,2050.0,50230.0,엑시큐어하이트론,019490
2020-03-16,2275.0,상승  175,2080.0,2290.0,2075.0,20882.0,엑시큐어하이트론,019490
2020-03-17,2105.0,하락  170,1850.0,2265.0,1850.0,14225.0,엑시큐어하이트론,019490
2020-03-18,1970.0,하락  135,2105.0,2165.0,1910.0,13926.0,엑시큐어하이트론,019490
2020-03-19,1755.0,하락  215,1960.0,2125.0,1615.0,38356.0,엑시큐어하이트론,019490
2020-03-20,1750.0,하락  5,1815.0,1850.0,1710.0,14923.0,엑시큐어하이트론,019490
2020-03-23,1430.0,하락  320,1745.0,1745.0,1430.0,31353.0,엑시큐어하이트론,019490
2020-03-24,1690.0,상승  260,1435.0,1690.0,1430.0,11003.0,엑시큐어하이트론,019490
2020-03-25,1890.0,상승  200,1690.0,1965.0,1690.0,22047.0,엑시큐어하이트론,019490
2020-03-26,1885.0,하락  5,1890.0,2000.0,1885.0,16501.0,엑시큐어하이트론,019490
2020-03-27,1940.0,상승  55,1885.0,2040.0,1885.0,15066.0,엑시큐어하이트론,019490
2020-03-30,2020.0,상승  80,1930.0,2090.0,1920.0,21730.0,엑시큐어하이트론,019490
2020-03-31,2080.0,상승  60,2095.0,2210.0,2055.0,17711.0,엑시큐어하이트론,019490
2020-04-01,2700.0,상한가  620,2085.0,2700.0,2085.0,142031.0,엑시큐어하이트론,019490
2020-04-02,2495.0,하락  205,2710.0,2880.0,2335.0,198774.0,엑시큐어하이트론,019490
2020-04-03,2780.0,상승  285,2495.0,2975.0,2425.0,112563.0,엑시큐어하이트론,019490
2020-04-06,2755.0,하락  25,2745.0,2775.0,2655.0,32099.0,엑시큐어하이트론,019490
2020-04-07,2700.0,하락  55,2755.0,2785.0,2615.0,16257.0,엑시큐어하이트론,019490
2020-04-08,2680.0,하락  20,2685.0,2700.0,2620.0,16058.0,엑시큐어하이트론,019490
2020-04-09,2565.0,하락  115,2680.0,2730.0,2510.0,47995.0,엑시큐어하이트론,019490
2020-04-10,2350.0,하락  215,2580.0,2635.0,2350.0,48771.0,엑시큐어하이트론,019490
2020-04-13,2390.0,상승  40,2330.0,2550.0,2330.0,29452.0,엑시큐어하이트론,019490
2020-04-14,2305.0,하락  85,2390.0,2400.0,2265.0,27489.0,엑시큐어하이트론,019490
2020-04-16,2360.0,상승  55,2350.0,2520.0,2270.0,16008.0,엑시큐어하이트론,019490
2020-04-17,2440.0,상승  80,2385.0,2440.0,2325.0,17428.0,엑시큐어하이트론,019490
2020-04-20,2495.0,상승  55,2445.0,2500.0,2370.0,13963.0,엑시큐어하이트론,019490
2020-04-21,2650.0,상승  155,2485.0,3115.0,2430.0,182825.0,엑시큐어하이트론,019490
2020-04-22,2735.0,상승  85,2650.0,2860.0,2515.0,76090.0,엑시큐어하이트론,019490
2020-04-23,2845.0,상승  110,2740.0,2845.0,2660.0,24392.0,엑시큐어하이트론,019490
2020-04-24,2805.0,하락  40,2800.0,2980.0,2775.0,24865.0,엑시큐어하이트론,019490
2020-04-27,2710.0,하락  95,2800.0,2800.0,2605.0,10372.0,엑시큐어하이트론,019490
2020-04-28,2590.0,하락  120,2710.0,2710.0,2580.0,19658.0,엑시큐어하이트론,019490
2020-04-29,2675.0,상승  85,2550.0,2780.0,2545.0,13612.0,엑시큐어하이트론,019490
2020-05-04,2580.0,하락  95,2800.0,2800.0,2565.0,36976.0,엑시큐어하이트론,019490
2020-05-06,2615.0,상승  35,2555.0,2815.0,2545.0,38936.0,엑시큐어하이트론,019490
2020-05-07,2690.0,상승  75,2615.0,2700.0,2560.0,7183.0,엑시큐어하이트론,019490
2020-05-08,2735.0,상승  45,2690.0,2875.0,2690.0,39179.0,엑시큐어하이트론,019490
2020-05-11,3255.0,상승  520,3100.0,3555.0,2855.0,2320177.0,엑시큐어하이트론,019490
2020-05-12,2995.0,하락  260,3195.0,3210.0,2905.0,311681.0,엑시큐어하이트론,019490
2020-05-13,3055.0,상승  60,2920.0,3065.0,2920.0,85534.0,엑시큐어하이트론,019490
2020-05-14,3100.0,상승  45,2980.0,3150.0,2925.0,99686.0,엑시큐어하이트론,019490
2020-05-15,3045.0,하락  55,3105.0,3140.0,3005.0,21018.0,엑시큐어하이트론,019490
2020-05-18,2935.0,하락  110,2970.0,3030.0,2910.0,33278.0,엑시큐어하이트론,019490
2020-05-19,3030.0,상승  95,2905.0,3105.0,2905.0,43528.0,엑시큐어하이트론,019490
2020-05-20,3000.0,하락  30,3045.0,3120.0,2995.0,22132.0,엑시큐어하이트론,019490
2020-05-21,3005.0,상승  5,3010.0,3095.0,2955.0,27533.0,엑시큐어하이트론,019490
2020-05-22,3030.0,상승  25,3005.0,3030.0,2955.0,14702.0,엑시큐어하이트론,019490
2020-05-25,3020.0,하락  10,3020.0,3030.0,2960.0,16235.0,엑시큐어하이트론,019490
2020-05-26,2985.0,하락  35,3020.0,3035.0,2980.0,15859.0,엑시큐어하이트론,019490
2020-05-27,3090.0,상승  105,2985.0,3090.0,2965.0,26959.0,엑시큐어하이트론,019490
2020-05-28,2945.0,하락  145,3090.0,3090.0,2905.0,18978.0,엑시큐어하이트론,019490
2020-05-29,3000.0,상승  55,2945.0,3095.0,2895.0,17462.0,엑시큐어하이트론,019490
2020-06-01,2985.0,하락  15,3000.0,3060.0,2915.0,14985.0,엑시큐어하이트론,019490
2020-06-02,3100.0,상승  115,2985.0,3105.0,2935.0,21446.0,엑시큐어하이트론,019490
2020-06-03,3195.0,상승  95,3100.0,3300.0,3005.0,55036.0,엑시큐어하이트론,019490
2020-06-04,3195.0,보합0,3195.0,3230.0,3100.0,42746.0,엑시큐어하이트론,019490
2020-06-05,3190.0,하락  5,3120.0,3195.0,3085.0,31470.0,엑시큐어하이트론,019490
2020-06-08,3115.0,하락  75,3290.0,3295.0,3100.0,29821.0,엑시큐어하이트론,019490
2020-06-09,3270.0,상승  155,3115.0,3400.0,3115.0,93453.0,엑시큐어하이트론,019490
2020-06-10,3125.0,하락  145,3280.0,3440.0,3080.0,40777.0,엑시큐어하이트론,019490
2020-06-11,2975.0,하락  150,3125.0,3205.0,2960.0,65929.0,엑시큐어하이트론,019490
2020-06-12,3060.0,상승  85,2935.0,3085.0,2820.0,22927.0,엑시큐어하이트론,019490
2020-06-15,3000.0,하락  60,3060.0,3275.0,2980.0,46269.0,엑시큐어하이트론,019490
2020-06-16,3055.0,상승  55,3000.0,3085.0,3000.0,12910.0,엑시큐어하이트론,019490
2020-06-17,2930.0,하락  125,3055.0,3100.0,2845.0,25708.0,엑시큐어하이트론,019490
2020-06-18,2970.0,상승  40,2930.0,3020.0,2930.0,14773.0,엑시큐어하이트론,019490
2020-06-19,3030.0,상승  60,2970.0,3150.0,2970.0,23721.0,엑시큐어하이트론,019490
2020-06-22,2970.0,하락  60,3040.0,3050.0,2910.0,9632.0,엑시큐어하이트론,019490
2020-06-23,2970.0,보합0,2970.0,3070.0,2970.0,8908.0,엑시큐어하이트론,019490
2020-06-24,3015.0,상승  45,2970.0,3015.0,2965.0,4793.0,엑시큐어하이트론,019490
2020-06-25,2925.0,하락  90,3015.0,3110.0,2860.0,13676.0,엑시큐어하이트론,019490
2020-06-26,3035.0,상승  110,2925.0,3040.0,2910.0,25175.0,엑시큐어하이트론,019490
2020-06-29,2990.0,하락  45,3035.0,3150.0,2970.0,11032.0,엑시큐어하이트론,019490
2020-06-30,3040.0,상승  50,2990.0,3040.0,2950.0,19715.0,엑시큐어하이트론,019490
2020-07-01,2995.0,하락  45,3035.0,3040.0,2985.0,22944.0,엑시큐어하이트론,019490
2020-07-02,3005.0,상승  10,3050.0,3090.0,2955.0,21581.0,엑시큐어하이트론,019490
2020-07-03,3005.0,보합0,3125.0,3125.0,2990.0,8039.0,엑시큐어하이트론,019490
2020-07-06,3000.0,하락  5,3010.0,3125.0,2965.0,10894.0,엑시큐어하이트론,019490
2020-07-07,2990.0,하락  10,3030.0,3120.0,2930.0,18561.0,엑시큐어하이트론,019490
