날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,641000.0,보합0,581000.0,661000.0,580000.0,229329.0,엔씨소프트,036570
2020-03-16,595000.0,"하락  46,000",636000.0,656000.0,593000.0,201806.0,엔씨소프트,036570
2020-03-17,577000.0,"하락  18,000",561000.0,597000.0,561000.0,271203.0,엔씨소프트,036570
2020-03-18,570000.0,"하락  7,000",583000.0,608000.0,570000.0,211341.0,엔씨소프트,036570
2020-03-19,530000.0,"하락  40,000",580000.0,588000.0,504000.0,400206.0,엔씨소프트,036570
2020-03-20,567000.0,"상승  37,000",559000.0,574000.0,542000.0,236382.0,엔씨소프트,036570
2020-03-23,572000.0,"상승  5,000",532000.0,597000.0,531000.0,175741.0,엔씨소프트,036570
2020-03-24,649000.0,"상승  77,000",587000.0,650000.0,584000.0,236136.0,엔씨소프트,036570
2020-03-25,651000.0,"상승  2,000",678000.0,690000.0,626000.0,183766.0,엔씨소프트,036570
2020-03-26,625000.0,"하락  26,000",651000.0,660000.0,621000.0,171361.0,엔씨소프트,036570
2020-03-27,622000.0,"하락  3,000",645000.0,646000.0,611000.0,167169.0,엔씨소프트,036570
2020-03-30,624000.0,"상승  2,000",611000.0,632000.0,604000.0,95800.0,엔씨소프트,036570
2020-03-31,652000.0,"상승  28,000",621000.0,657000.0,621000.0,193212.0,엔씨소프트,036570
2020-04-01,618000.0,"하락  34,000",647000.0,670000.0,614000.0,123474.0,엔씨소프트,036570
2020-04-02,656000.0,"상승  38,000",638000.0,666000.0,620000.0,148473.0,엔씨소프트,036570
2020-04-03,647000.0,"하락  9,000",649000.0,657000.0,634000.0,99891.0,엔씨소프트,036570
2020-04-06,678000.0,"상승  31,000",652000.0,678000.0,651000.0,97158.0,엔씨소프트,036570
2020-04-07,675000.0,"하락  3,000",674000.0,687000.0,664000.0,99068.0,엔씨소프트,036570
2020-04-08,663000.0,"하락  12,000",667000.0,675000.0,659000.0,106457.0,엔씨소프트,036570
2020-04-09,655000.0,"하락  8,000",663000.0,668000.0,648000.0,163906.0,엔씨소프트,036570
2020-04-10,650000.0,"하락  5,000",657000.0,659000.0,645000.0,87704.0,엔씨소프트,036570
2020-04-13,651000.0,"상승  1,000",651000.0,659000.0,648000.0,50919.0,엔씨소프트,036570
2020-04-14,656000.0,"상승  5,000",653000.0,656000.0,648000.0,80586.0,엔씨소프트,036570
2020-04-16,655000.0,"하락  1,000",656000.0,663000.0,645000.0,112493.0,엔씨소프트,036570
2020-04-17,649000.0,"하락  6,000",661000.0,664000.0,645000.0,143976.0,엔씨소프트,036570
2020-04-20,642000.0,"하락  7,000",649000.0,657000.0,638000.0,116669.0,엔씨소프트,036570
2020-04-21,642000.0,보합0,644000.0,650000.0,620000.0,124368.0,엔씨소프트,036570
2020-04-22,677000.0,"상승  35,000",641000.0,677000.0,632000.0,139859.0,엔씨소프트,036570
2020-04-23,661000.0,"하락  16,000",671000.0,680000.0,660000.0,104028.0,엔씨소프트,036570
2020-04-24,653000.0,"하락  8,000",656000.0,673000.0,648000.0,98673.0,엔씨소프트,036570
2020-04-27,630000.0,"하락  23,000",650000.0,653000.0,625000.0,216386.0,엔씨소프트,036570
2020-04-28,648000.0,"상승  18,000",631000.0,648000.0,630000.0,100854.0,엔씨소프트,036570
2020-04-29,643000.0,"하락  5,000",647000.0,648000.0,639000.0,89309.0,엔씨소프트,036570
2020-05-04,624000.0,"하락  19,000",633000.0,635000.0,622000.0,127354.0,엔씨소프트,036570
2020-05-06,641000.0,"상승  17,000",639000.0,641000.0,629000.0,79496.0,엔씨소프트,036570
2020-05-07,646000.0,"상승  5,000",641000.0,652000.0,639000.0,86250.0,엔씨소프트,036570
2020-05-08,679000.0,"상승  33,000",653000.0,688000.0,650000.0,194176.0,엔씨소프트,036570
2020-05-11,699000.0,"상승  20,000",685000.0,709000.0,685000.0,131682.0,엔씨소프트,036570
2020-05-12,747000.0,"상승  48,000",704000.0,749000.0,691000.0,344771.0,엔씨소프트,036570
2020-05-13,721000.0,"하락  26,000",748000.0,755000.0,715000.0,175101.0,엔씨소프트,036570
2020-05-14,753000.0,"상승  32,000",730000.0,759000.0,728000.0,214951.0,엔씨소프트,036570
2020-05-15,745000.0,"하락  8,000",759000.0,759000.0,732000.0,100195.0,엔씨소프트,036570
2020-05-18,727000.0,"하락  18,000",745000.0,750000.0,723000.0,110727.0,엔씨소프트,036570
2020-05-19,732000.0,"상승  5,000",727000.0,737000.0,713000.0,111353.0,엔씨소프트,036570
2020-05-20,750000.0,"상승  18,000",746000.0,750000.0,738000.0,89022.0,엔씨소프트,036570
2020-05-21,792000.0,"상승  42,000",741000.0,794000.0,738000.0,208754.0,엔씨소프트,036570
2020-05-22,790000.0,"하락  2,000",794000.0,799000.0,777000.0,93494.0,엔씨소프트,036570
2020-05-25,812000.0,"상승  22,000",796000.0,832000.0,792000.0,103070.0,엔씨소프트,036570
2020-05-26,801000.0,"하락  11,000",813000.0,826000.0,786000.0,114011.0,엔씨소프트,036570
2020-05-27,787000.0,"하락  14,000",773000.0,792000.0,773000.0,93977.0,엔씨소프트,036570
2020-05-28,792000.0,"상승  5,000",778000.0,802000.0,771000.0,111114.0,엔씨소프트,036570
2020-05-29,790000.0,"하락  2,000",804000.0,813000.0,790000.0,106253.0,엔씨소프트,036570
2020-06-01,816000.0,"상승  26,000",786000.0,820000.0,784000.0,84776.0,엔씨소프트,036570
2020-06-02,810000.0,"하락  6,000",813000.0,823000.0,808000.0,67525.0,엔씨소프트,036570
2020-06-03,792000.0,"하락  18,000",807000.0,819000.0,790000.0,120560.0,엔씨소프트,036570
2020-06-04,800000.0,"상승  8,000",783000.0,801000.0,780000.0,104491.0,엔씨소프트,036570
2020-06-05,805000.0,"상승  5,000",801000.0,810000.0,791000.0,70207.0,엔씨소프트,036570
2020-06-08,797000.0,"하락  8,000",809000.0,814000.0,793000.0,71804.0,엔씨소프트,036570
2020-06-09,800000.0,"상승  3,000",797000.0,809000.0,794000.0,78631.0,엔씨소프트,036570
2020-06-10,822000.0,"상승  22,000",809000.0,837000.0,803000.0,127949.0,엔씨소프트,036570
2020-06-11,825000.0,"상승  3,000",822000.0,837000.0,814000.0,131861.0,엔씨소프트,036570
2020-06-12,824000.0,"하락  1,000",812000.0,836000.0,801000.0,107916.0,엔씨소프트,036570
2020-06-15,810000.0,"하락  14,000",816000.0,853000.0,806000.0,152388.0,엔씨소프트,036570
2020-06-16,875000.0,"상승  65,000",825000.0,875000.0,820000.0,149986.0,엔씨소프트,036570
2020-06-17,866000.0,"하락  9,000",875000.0,888000.0,848000.0,113585.0,엔씨소프트,036570
2020-06-18,832000.0,"하락  34,000",857000.0,863000.0,832000.0,115343.0,엔씨소프트,036570
2020-06-19,857000.0,"상승  25,000",843000.0,857000.0,824000.0,99988.0,엔씨소프트,036570
2020-06-22,888000.0,"상승  31,000",842000.0,896000.0,839000.0,113368.0,엔씨소프트,036570
2020-06-23,920000.0,"상승  32,000",900000.0,957000.0,895000.0,143448.0,엔씨소프트,036570
2020-06-24,943000.0,"상승  23,000",915000.0,945000.0,909000.0,91604.0,엔씨소프트,036570
2020-06-25,912000.0,"하락  31,000",935000.0,940000.0,912000.0,88590.0,엔씨소프트,036570
2020-06-26,909000.0,"하락  3,000",924000.0,928000.0,901000.0,84137.0,엔씨소프트,036570
2020-06-29,890000.0,"하락  19,000",909000.0,924000.0,887000.0,80756.0,엔씨소프트,036570
2020-06-30,891000.0,"상승  1,000",896000.0,911000.0,882000.0,97938.0,엔씨소프트,036570
2020-07-01,893000.0,"상승  2,000",904000.0,909000.0,890000.0,74232.0,엔씨소프트,036570
2020-07-02,964000.0,"상승  71,000",899000.0,964000.0,895000.0,220292.0,엔씨소프트,036570
2020-07-03,944000.0,"하락  20,000",961000.0,963000.0,941000.0,81378.0,엔씨소프트,036570
2020-07-06,995000.0,"상승  51,000",943000.0,997000.0,941000.0,138049.0,엔씨소프트,036570
2020-07-07,962000.0,"하락  33,000",976000.0,980000.0,960000.0,187793.0,엔씨소프트,036570
2020-07-08,945000.0,"하락  17,000",956000.0,962000.0,936000.0,132370.0,엔씨소프트,036570
2020-07-09,947000.0,"상승  2,000",955000.0,959000.0,943000.0,130821.0,엔씨소프트,036570
2020-07-10,944000.0,"하락  3,000",947000.0,975000.0,940000.0,128027.0,엔씨소프트,036570
2020-07-13,965000.0,"상승  21,000",949000.0,978000.0,931000.0,117007.0,엔씨소프트,036570
2020-07-14,946000.0,"하락  19,000",950000.0,965000.0,938000.0,91158.0,엔씨소프트,036570
2020-07-15,928000.0,"하락  18,000",945000.0,958000.0,925000.0,110775.0,엔씨소프트,036570
2020-07-16,879000.0,"하락  49,000",915000.0,923000.0,875000.0,199187.0,엔씨소프트,036570
2020-07-17,880000.0,"상승  1,000",872000.0,897000.0,871000.0,84865.0,엔씨소프트,036570
2020-07-20,859000.0,"하락  21,000",880000.0,881000.0,848000.0,117063.0,엔씨소프트,036570
2020-07-21,859000.0,보합0,860000.0,876000.0,856000.0,127020.0,엔씨소프트,036570
2020-07-22,861000.0,"상승  2,000",852000.0,866000.0,835000.0,93362.0,엔씨소프트,036570
2020-07-23,811000.0,"하락  50,000",844000.0,850000.0,805000.0,339183.0,엔씨소프트,036570
2020-07-24,802000.0,"하락  9,000",805000.0,828000.0,796000.0,197544.0,엔씨소프트,036570
2020-07-27,785000.0,"하락  17,000",797000.0,807000.0,785000.0,145319.0,엔씨소프트,036570
2020-07-28,794000.0,"상승  9,000",788000.0,803000.0,786000.0,177440.0,엔씨소프트,036570
2020-07-29,812000.0,"상승  18,000",797000.0,824000.0,796000.0,179741.0,엔씨소프트,036570
2020-07-30,825000.0,"상승  13,000",817000.0,832000.0,807000.0,137745.0,엔씨소프트,036570
2020-07-31,811000.0,"하락  14,000",832000.0,832000.0,810000.0,101033.0,엔씨소프트,036570
2020-08-03,844000.0,"상승  33,000",815000.0,844000.0,813000.0,152000.0,엔씨소프트,036570
