날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,64800.0,"하락  2,200",60200.0,66800.0,59900.0,250287.0,엔에이치엔,181710
2020-03-16,63100.0,"하락  1,700",66600.0,67500.0,63100.0,100912.0,엔에이치엔,181710
2020-03-17,64600.0,"상승  1,500",60500.0,64800.0,60500.0,108253.0,엔에이치엔,181710
2020-03-18,59800.0,"하락  4,800",64700.0,65700.0,59800.0,100630.0,엔에이치엔,181710
2020-03-19,55000.0,"하락  4,800",61200.0,62100.0,51800.0,212311.0,엔에이치엔,181710
2020-03-20,59800.0,"상승  4,800",55600.0,59800.0,55400.0,125559.0,엔에이치엔,181710
2020-03-23,54900.0,"하락  4,900",56400.0,56600.0,54800.0,98169.0,엔에이치엔,181710
2020-03-24,60700.0,"상승  5,800",56200.0,61700.0,56200.0,133344.0,엔에이치엔,181710
2020-03-25,63400.0,"상승  2,700",62700.0,64000.0,60700.0,84185.0,엔에이치엔,181710
2020-03-26,61800.0,"하락  1,600",63300.0,64700.0,60800.0,76743.0,엔에이치엔,181710
2020-03-27,60800.0,"하락  1,000",63500.0,63800.0,59700.0,142074.0,엔에이치엔,181710
2020-03-30,63600.0,"상승  2,800",60000.0,63600.0,59300.0,104766.0,엔에이치엔,181710
2020-03-31,68500.0,"상승  4,900",65000.0,69900.0,63900.0,200132.0,엔에이치엔,181710
2020-04-01,68400.0,하락  100,69000.0,71700.0,67000.0,149349.0,엔에이치엔,181710
2020-04-02,70800.0,"상승  2,400",68300.0,70900.0,66800.0,99599.0,엔에이치엔,181710
2020-04-03,70900.0,상승  100,71500.0,72100.0,70000.0,73519.0,엔에이치엔,181710
2020-04-06,70800.0,하락  100,71900.0,72800.0,70200.0,119866.0,엔에이치엔,181710
2020-04-07,69400.0,"하락  1,400",71800.0,72000.0,68600.0,156659.0,엔에이치엔,181710
2020-04-08,69600.0,상승  200,69300.0,70800.0,68800.0,72600.0,엔에이치엔,181710
2020-04-09,68700.0,하락  900,69600.0,70200.0,67900.0,123093.0,엔에이치엔,181710
2020-04-10,69000.0,상승  300,68800.0,69500.0,66700.0,84191.0,엔에이치엔,181710
2020-04-13,68600.0,하락  400,69200.0,69200.0,67600.0,57261.0,엔에이치엔,181710
2020-04-14,69700.0,"상승  1,100",69300.0,70900.0,68700.0,106886.0,엔에이치엔,181710
2020-04-16,74000.0,"상승  4,300",69900.0,74100.0,69200.0,173208.0,엔에이치엔,181710
2020-04-17,73900.0,하락  100,75500.0,75500.0,73300.0,141941.0,엔에이치엔,181710
2020-04-20,73200.0,하락  700,73900.0,74500.0,72500.0,76034.0,엔에이치엔,181710
2020-04-21,72600.0,하락  600,73000.0,74600.0,70000.0,99145.0,엔에이치엔,181710
2020-04-22,73400.0,상승  800,73100.0,73600.0,72000.0,77298.0,엔에이치엔,181710
2020-04-23,75800.0,"상승  2,400",73700.0,77200.0,73400.0,160485.0,엔에이치엔,181710
2020-04-24,76500.0,상승  700,76200.0,77500.0,75000.0,123388.0,엔에이치엔,181710
2020-04-27,77400.0,상승  900,77000.0,78000.0,76000.0,86541.0,엔에이치엔,181710
2020-04-28,76200.0,"하락  1,200",77600.0,77600.0,75000.0,70522.0,엔에이치엔,181710
2020-04-29,76400.0,상승  200,76100.0,76800.0,74700.0,88759.0,엔에이치엔,181710
2020-05-04,76900.0,상승  500,75000.0,77700.0,74700.0,85942.0,엔에이치엔,181710
2020-05-06,79500.0,"상승  2,600",77600.0,80500.0,77600.0,153532.0,엔에이치엔,181710
2020-05-07,81500.0,"상승  2,000",81800.0,83700.0,79500.0,233202.0,엔에이치엔,181710
2020-05-08,83000.0,"상승  1,500",85000.0,86600.0,83000.0,257439.0,엔에이치엔,181710
2020-05-11,88200.0,"상승  5,200",84200.0,89900.0,83700.0,355552.0,엔에이치엔,181710
2020-05-12,90300.0,"상승  2,100",89000.0,92200.0,88700.0,302296.0,엔에이치엔,181710
2020-05-13,92300.0,"상승  2,000",90000.0,95000.0,89300.0,302558.0,엔에이치엔,181710
2020-05-14,95900.0,"상승  3,600",91500.0,96500.0,91000.0,316520.0,엔에이치엔,181710
2020-05-15,92500.0,"하락  3,400",96000.0,96100.0,90600.0,278923.0,엔에이치엔,181710
2020-05-18,88800.0,"하락  3,700",91500.0,93500.0,88400.0,232136.0,엔에이치엔,181710
2020-05-19,85200.0,"하락  3,600",88100.0,88300.0,84000.0,498364.0,엔에이치엔,181710
2020-05-20,89400.0,"상승  4,200",86000.0,89400.0,85700.0,287855.0,엔에이치엔,181710
2020-05-21,88900.0,하락  500,91200.0,91300.0,88300.0,178142.0,엔에이치엔,181710
2020-05-22,89500.0,상승  600,88700.0,90700.0,88400.0,127599.0,엔에이치엔,181710
2020-05-25,91800.0,"상승  2,300",90200.0,93100.0,89500.0,211331.0,엔에이치엔,181710
2020-05-26,90100.0,"하락  1,700",93000.0,93300.0,88700.0,218837.0,엔에이치엔,181710
2020-05-27,88900.0,"하락  1,200",89900.0,89900.0,86300.0,268152.0,엔에이치엔,181710
2020-05-28,86700.0,"하락  2,200",89500.0,89500.0,85700.0,214293.0,엔에이치엔,181710
2020-05-29,87300.0,상승  600,87300.0,88900.0,86500.0,127768.0,엔에이치엔,181710
2020-06-01,89100.0,"상승  1,800",88000.0,89300.0,87900.0,100632.0,엔에이치엔,181710
2020-06-02,88700.0,하락  400,89200.0,89400.0,87700.0,71441.0,엔에이치엔,181710
2020-06-03,85200.0,"하락  3,500",89200.0,89200.0,84500.0,303499.0,엔에이치엔,181710
2020-06-04,85700.0,상승  500,85200.0,87200.0,84700.0,159578.0,엔에이치엔,181710
2020-06-05,83200.0,"하락  2,500",86400.0,86400.0,82700.0,218019.0,엔에이치엔,181710
2020-06-08,83700.0,상승  500,83600.0,84100.0,82300.0,180021.0,엔에이치엔,181710
2020-06-09,83000.0,하락  700,83900.0,84200.0,82000.0,141908.0,엔에이치엔,181710
2020-06-10,86000.0,"상승  3,000",84000.0,87000.0,83600.0,243954.0,엔에이치엔,181710
2020-06-11,86500.0,상승  500,87100.0,88800.0,85900.0,222042.0,엔에이치엔,181710
2020-06-12,86300.0,하락  200,83500.0,87100.0,83000.0,134468.0,엔에이치엔,181710
2020-06-15,81000.0,"하락  5,300",86200.0,86500.0,80500.0,139999.0,엔에이치엔,181710
2020-06-16,84100.0,"상승  3,100",83000.0,84200.0,82600.0,77261.0,엔에이치엔,181710
2020-06-17,84500.0,상승  400,84000.0,86900.0,83500.0,93439.0,엔에이치엔,181710
2020-06-18,85200.0,상승  700,86100.0,86200.0,84500.0,71253.0,엔에이치엔,181710
2020-06-19,84300.0,하락  900,85500.0,85700.0,82400.0,101377.0,엔에이치엔,181710
2020-06-22,85000.0,상승  700,84000.0,86000.0,82400.0,90836.0,엔에이치엔,181710
2020-06-23,89600.0,"상승  4,600",86800.0,90400.0,85700.0,330077.0,엔에이치엔,181710
2020-06-24,88600.0,"하락  1,000",91000.0,91100.0,87300.0,155005.0,엔에이치엔,181710
2020-06-25,84600.0,"하락  4,000",86900.0,87400.0,83700.0,143789.0,엔에이치엔,181710
2020-06-26,83300.0,"하락  1,300",85600.0,85600.0,83000.0,106992.0,엔에이치엔,181710
2020-06-29,80500.0,"하락  2,800",82400.0,84100.0,79900.0,118254.0,엔에이치엔,181710
2020-06-30,82700.0,"상승  2,200",82100.0,83400.0,80600.0,106603.0,엔에이치엔,181710
2020-07-01,80900.0,"하락  1,800",82900.0,83400.0,80900.0,82719.0,엔에이치엔,181710
2020-07-02,82700.0,"상승  1,800",81600.0,82900.0,80500.0,73161.0,엔에이치엔,181710
2020-07-03,82100.0,하락  600,83300.0,83300.0,81600.0,69908.0,엔에이치엔,181710
2020-07-06,83400.0,"상승  1,300",82400.0,84200.0,82000.0,103450.0,엔에이치엔,181710
2020-07-07,86900.0,"상승  3,500",84400.0,87500.0,83500.0,216417.0,엔에이치엔,181710
2020-07-08,90300.0,"상승  3,400",88200.0,92000.0,87800.0,410281.0,엔에이치엔,181710
2020-07-09,90200.0,하락  100,90900.0,92000.0,88900.0,195140.0,엔에이치엔,181710
2020-07-10,89500.0,하락  700,91100.0,91800.0,87900.0,181836.0,엔에이치엔,181710
2020-07-13,89000.0,하락  500,91100.0,91300.0,87600.0,126187.0,엔에이치엔,181710
2020-07-14,86400.0,"하락  2,600",88800.0,88800.0,85900.0,149925.0,엔에이치엔,181710
2020-07-15,85400.0,"하락  1,000",86500.0,86700.0,84600.0,148594.0,엔에이치엔,181710
2020-07-16,83500.0,"하락  1,900",85100.0,85300.0,83300.0,100407.0,엔에이치엔,181710
2020-07-17,84400.0,상승  900,83500.0,84700.0,83300.0,71905.0,엔에이치엔,181710
2020-07-20,82200.0,"하락  2,200",84800.0,84800.0,81300.0,111266.0,엔에이치엔,181710
2020-07-21,83000.0,상승  800,83500.0,84700.0,82300.0,141723.0,엔에이치엔,181710
