날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3265.0,하락  60,2990.0,3375.0,2920.0,63263.0,엔피씨,004250
2020-03-16,3000.0,하락  265,3265.0,3370.0,3000.0,25353.0,엔피씨,004250
2020-03-17,3000.0,보합0,2730.0,3000.0,2730.0,51396.0,엔피씨,004250
2020-03-18,2870.0,하락  130,3100.0,3100.0,2835.0,25466.0,엔피씨,004250
2020-03-19,2680.0,하락  190,2870.0,2995.0,2505.0,49264.0,엔피씨,004250
2020-03-20,2760.0,상승  80,2655.0,2935.0,2555.0,22980.0,엔피씨,004250
2020-03-23,2680.0,하락  80,2760.0,2760.0,2575.0,10987.0,엔피씨,004250
2020-03-24,2650.0,하락  30,2720.0,2780.0,2605.0,28623.0,엔피씨,004250
2020-03-25,2765.0,상승  115,2655.0,2840.0,2610.0,55393.0,엔피씨,004250
2020-03-26,2840.0,상승  75,2950.0,2950.0,2765.0,26457.0,엔피씨,004250
2020-03-27,2905.0,상승  65,2840.0,2995.0,2800.0,23148.0,엔피씨,004250
2020-03-30,2905.0,보합0,2910.0,2960.0,2825.0,11780.0,엔피씨,004250
2020-03-31,2925.0,상승  20,2900.0,2995.0,2880.0,23262.0,엔피씨,004250
2020-04-01,2870.0,하락  55,2925.0,2990.0,2870.0,15587.0,엔피씨,004250
2020-04-02,2885.0,상승  15,2835.0,2910.0,2815.0,10315.0,엔피씨,004250
2020-04-03,2960.0,상승  75,2895.0,2990.0,2890.0,38082.0,엔피씨,004250
2020-04-06,3050.0,상승  90,2970.0,3055.0,2960.0,48620.0,엔피씨,004250
2020-04-07,3090.0,상승  40,3070.0,3140.0,2985.0,55385.0,엔피씨,004250
2020-04-08,3195.0,상승  105,3100.0,3200.0,3020.0,87978.0,엔피씨,004250
2020-04-09,3200.0,상승  5,3255.0,3260.0,3130.0,53579.0,엔피씨,004250
2020-04-10,3200.0,보합0,3200.0,3240.0,3130.0,32890.0,엔피씨,004250
