날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3990.0,하락  45,3750.0,3995.0,3535.0,632570.0,엘브이엠씨,900140
2020-03-16,3695.0,하락  295,3980.0,4105.0,3675.0,464388.0,엘브이엠씨,900140
2020-03-17,3750.0,상승  55,3260.0,3860.0,3260.0,380604.0,엘브이엠씨,900140
2020-03-18,3300.0,하락  450,3805.0,3905.0,3300.0,409306.0,엘브이엠씨,900140
2020-03-19,2380.0,하락  920,3310.0,3440.0,2310.0,1377640.0,엘브이엠씨,900140
2020-03-20,2820.0,상승  440,2395.0,2920.0,2395.0,898982.0,엘브이엠씨,900140
2020-03-23,2690.0,하락  130,2700.0,2785.0,2585.0,343302.0,엘브이엠씨,900140
2020-03-24,2870.0,상승  180,2760.0,2925.0,2750.0,333668.0,엘브이엠씨,900140
2020-03-25,3160.0,상승  290,3080.0,3190.0,2885.0,568477.0,엘브이엠씨,900140
2020-03-26,3425.0,상승  265,3200.0,3515.0,3095.0,585236.0,엘브이엠씨,900140
2020-03-27,3645.0,상승  220,3520.0,3850.0,3455.0,564575.0,엘브이엠씨,900140
2020-03-30,3710.0,상승  65,3540.0,3740.0,3400.0,279443.0,엘브이엠씨,900140
2020-03-31,4055.0,상승  345,4035.0,4430.0,3930.0,608636.0,엘브이엠씨,900140
2020-04-01,3955.0,하락  100,4070.0,4190.0,3930.0,311411.0,엘브이엠씨,900140
2020-04-02,4100.0,상승  145,3900.0,4100.0,3800.0,369343.0,엘브이엠씨,900140
2020-04-03,4145.0,상승  45,4115.0,4280.0,4050.0,305313.0,엘브이엠씨,900140
2020-04-06,4225.0,상승  80,4160.0,4235.0,4095.0,322169.0,엘브이엠씨,900140
2020-04-07,4315.0,상승  90,4350.0,4380.0,4265.0,345494.0,엘브이엠씨,900140
2020-04-08,4480.0,상승  165,4350.0,4495.0,4245.0,434481.0,엘브이엠씨,900140
2020-04-09,4700.0,상승  220,4530.0,4735.0,4500.0,336866.0,엘브이엠씨,900140
2020-04-10,4920.0,상승  220,4750.0,5080.0,4575.0,624310.0,엘브이엠씨,900140
2020-04-13,4780.0,하락  140,4940.0,5020.0,4675.0,379013.0,엘브이엠씨,900140
2020-04-14,4905.0,상승  125,4780.0,4920.0,4730.0,282399.0,엘브이엠씨,900140
2020-04-16,4870.0,하락  35,4850.0,4930.0,4805.0,233489.0,엘브이엠씨,900140
2020-04-17,4920.0,상승  50,4905.0,4975.0,4870.0,265488.0,엘브이엠씨,900140
2020-04-20,4945.0,상승  25,4925.0,5080.0,4925.0,259813.0,엘브이엠씨,900140
2020-04-21,4805.0,하락  140,4945.0,5010.0,4435.0,630693.0,엘브이엠씨,900140
2020-04-22,4780.0,하락  25,4790.0,4805.0,4390.0,285919.0,엘브이엠씨,900140
2020-04-23,4990.0,상승  210,4790.0,5100.0,4775.0,507662.0,엘브이엠씨,900140
2020-04-24,4950.0,하락  40,4990.0,5080.0,4860.0,269100.0,엘브이엠씨,900140
2020-04-27,4920.0,하락  30,4955.0,4990.0,4900.0,160986.0,엘브이엠씨,900140
2020-04-28,4995.0,상승  75,4945.0,5090.0,4850.0,338863.0,엘브이엠씨,900140
2020-04-29,4970.0,하락  25,5040.0,5080.0,4955.0,202169.0,엘브이엠씨,900140
2020-05-04,4950.0,하락  20,4800.0,5050.0,4800.0,261995.0,엘브이엠씨,900140
2020-05-06,5040.0,상승  90,4990.0,5050.0,4950.0,335702.0,엘브이엠씨,900140
2020-05-07,4495.0,하락  545,4545.0,4850.0,4240.0,1718320.0,엘브이엠씨,900140
2020-05-08,4505.0,상승  10,4500.0,4590.0,4495.0,293144.0,엘브이엠씨,900140
2020-05-11,4500.0,하락  5,4580.0,4580.0,4485.0,212431.0,엘브이엠씨,900140
2020-05-12,4390.0,하락  110,4425.0,4505.0,4105.0,489264.0,엘브이엠씨,900140
2020-05-13,4400.0,상승  10,4390.0,4400.0,4150.0,562338.0,엘브이엠씨,900140
2020-05-14,4500.0,상승  100,4410.0,4655.0,4355.0,258698.0,엘브이엠씨,900140
2020-05-15,4580.0,상승  80,4455.0,4670.0,4455.0,378483.0,엘브이엠씨,900140
2020-05-18,4755.0,상승  175,4650.0,4930.0,4545.0,625598.0,엘브이엠씨,900140
2020-05-19,4905.0,상승  150,4840.0,4945.0,4775.0,362399.0,엘브이엠씨,900140
2020-05-20,5000.0,상승  95,4905.0,5050.0,4895.0,301166.0,엘브이엠씨,900140
2020-05-21,5130.0,상승  130,5050.0,5170.0,5020.0,292639.0,엘브이엠씨,900140
2020-05-22,4900.0,하락  230,5150.0,5150.0,4720.0,452663.0,엘브이엠씨,900140
2020-05-25,5040.0,상승  140,4905.0,5040.0,4905.0,183532.0,엘브이엠씨,900140
2020-05-26,5030.0,하락  10,5110.0,5110.0,5000.0,174063.0,엘브이엠씨,900140
2020-05-27,5000.0,하락  30,4990.0,5060.0,4985.0,215384.0,엘브이엠씨,900140
