날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,19100.0,"하락  1,950",21350.0,22200.0,19100.0,405110.0,엘앤에프,066970
2020-03-17,19450.0,상승  350,17950.0,20200.0,17650.0,453859.0,엘앤에프,066970
2020-03-18,17300.0,"하락  2,150",19500.0,19850.0,17300.0,398939.0,엘앤에프,066970
2020-03-19,13800.0,"하락  3,500",17900.0,18300.0,13650.0,954009.0,엘앤에프,066970
2020-03-20,16800.0,"상승  3,000",14700.0,16950.0,14450.0,604443.0,엘앤에프,066970
2020-03-23,15700.0,"하락  1,100",15350.0,17550.0,15100.0,545313.0,엘앤에프,066970
2020-03-24,17200.0,"상승  1,500",16600.0,17250.0,16100.0,415829.0,엘앤에프,066970
2020-03-25,18300.0,"상승  1,100",17850.0,18650.0,17500.0,618533.0,엘앤에프,066970
2020-03-26,17800.0,하락  500,18350.0,18700.0,17650.0,366914.0,엘앤에프,066970
2020-03-27,17450.0,하락  350,18300.0,18500.0,17100.0,461175.0,엘앤에프,066970
2020-03-30,17500.0,상승  50,16550.0,17500.0,16100.0,312317.0,엘앤에프,066970
2020-03-31,17350.0,하락  150,17900.0,18100.0,17050.0,329625.0,엘앤에프,066970
2020-04-01,17350.0,보합0,17200.0,18500.0,17050.0,471973.0,엘앤에프,066970
2020-04-02,17950.0,상승  600,17850.0,18100.0,17100.0,239176.0,엘앤에프,066970
2020-04-03,18150.0,상승  200,18650.0,18700.0,17800.0,312587.0,엘앤에프,066970
2020-04-06,18850.0,상승  700,18350.0,18900.0,17900.0,320794.0,엘앤에프,066970
2020-04-07,19250.0,상승  400,19400.0,19600.0,18800.0,375672.0,엘앤에프,066970
2020-04-08,19450.0,상승  200,19250.0,20200.0,18900.0,452274.0,엘앤에프,066970
2020-04-09,19500.0,상승  50,20100.0,20150.0,19250.0,298195.0,엘앤에프,066970
2020-04-10,19050.0,하락  450,19650.0,19650.0,18600.0,246849.0,엘앤에프,066970
2020-04-13,18000.0,"하락  1,050",18800.0,18900.0,18000.0,224277.0,엘앤에프,066970
2020-04-14,18900.0,상승  900,18700.0,19100.0,18500.0,247406.0,엘앤에프,066970
2020-04-16,19900.0,"상승  1,000",19200.0,20000.0,18900.0,369177.0,엘앤에프,066970
2020-04-17,20600.0,상승  700,20700.0,21200.0,20300.0,434994.0,엘앤에프,066970
2020-04-20,20100.0,하락  500,20700.0,20800.0,20050.0,251621.0,엘앤에프,066970
2020-04-21,19750.0,하락  350,19800.0,20350.0,19200.0,359178.0,엘앤에프,066970
2020-04-22,19800.0,상승  50,19250.0,19800.0,19000.0,188417.0,엘앤에프,066970
2020-04-23,19550.0,하락  250,20200.0,20200.0,19400.0,291880.0,엘앤에프,066970
2020-04-24,18850.0,하락  700,19250.0,19400.0,18750.0,263146.0,엘앤에프,066970
2020-04-27,19150.0,상승  300,19000.0,19200.0,18800.0,165192.0,엘앤에프,066970
2020-04-28,19000.0,하락  150,19450.0,19650.0,18950.0,179484.0,엘앤에프,066970
2020-04-29,19100.0,상승  100,19000.0,19150.0,18750.0,213810.0,엘앤에프,066970
2020-05-04,18450.0,하락  650,18600.0,19000.0,18350.0,211369.0,엘앤에프,066970
2020-05-06,18650.0,상승  200,18900.0,18900.0,18450.0,124713.0,엘앤에프,066970
2020-05-07,19050.0,상승  400,18550.0,19100.0,18450.0,146799.0,엘앤에프,066970
2020-05-08,19350.0,상승  300,19250.0,19400.0,19100.0,186406.0,엘앤에프,066970
2020-05-11,19250.0,하락  100,19500.0,19550.0,18950.0,227101.0,엘앤에프,066970
2020-05-12,18800.0,하락  450,19200.0,19250.0,18600.0,183705.0,엘앤에프,066970
2020-05-13,20200.0,"상승  1,400",18500.0,20700.0,18500.0,928683.0,엘앤에프,066970
2020-05-14,19450.0,하락  750,20100.0,20150.0,19250.0,383554.0,엘앤에프,066970
2020-05-15,19250.0,하락  200,19650.0,19750.0,18950.0,247253.0,엘앤에프,066970
2020-05-18,19950.0,상승  700,19250.0,20100.0,19150.0,411285.0,엘앤에프,066970
2020-05-19,20450.0,상승  500,20400.0,20500.0,19800.0,460369.0,엘앤에프,066970
2020-05-20,23000.0,"상승  2,550",20400.0,23350.0,20350.0,1232296.0,엘앤에프,066970
2020-05-21,23850.0,상승  850,23550.0,24950.0,23100.0,1467821.0,엘앤에프,066970
2020-05-22,24600.0,상승  750,24150.0,24900.0,23700.0,821548.0,엘앤에프,066970
2020-05-25,25700.0,"상승  1,100",24600.0,25950.0,24250.0,1016538.0,엘앤에프,066970
2020-05-26,25850.0,상승  150,26000.0,26850.0,25400.0,1021021.0,엘앤에프,066970
2020-05-27,25050.0,하락  800,25650.0,25700.0,24550.0,591328.0,엘앤에프,066970
