날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,509000.0,"상승  11,000",480500.0,516000.0,470000.0,2395.0,영풍,000670
2020-03-17,483000.0,"하락  26,000",496500.0,496500.0,475500.0,2209.0,영풍,000670
2020-03-18,449500.0,"하락  33,500",470000.0,479500.0,449500.0,2031.0,영풍,000670
2020-03-19,405000.0,"하락  44,500",453500.0,457500.0,401000.0,3173.0,영풍,000670
2020-03-20,437500.0,"상승  32,500",410000.0,472000.0,390500.0,5724.0,영풍,000670
2020-03-23,384000.0,"하락  53,500",400000.0,405000.0,382000.0,3109.0,영풍,000670
2020-03-24,416500.0,"상승  32,500",384500.0,416500.0,384500.0,3555.0,영풍,000670
2020-03-25,446500.0,"상승  30,000",425000.0,446500.0,417000.0,3509.0,영풍,000670
2020-03-26,447000.0,상승  500,446500.0,451500.0,430000.0,3506.0,영풍,000670
2020-03-27,462500.0,"상승  15,500",463000.0,473000.0,451000.0,2815.0,영풍,000670
2020-03-30,470000.0,"상승  7,500",458000.0,483000.0,444500.0,2134.0,영풍,000670
2020-03-31,477000.0,"상승  7,000",470000.0,481000.0,458500.0,2291.0,영풍,000670
2020-04-01,460000.0,"하락  17,000",462000.0,477500.0,458500.0,2585.0,영풍,000670
2020-04-02,463500.0,"상승  3,500",450500.0,472000.0,446000.0,1883.0,영풍,000670
2020-04-03,472500.0,"상승  9,000",460500.0,475500.0,457000.0,2194.0,영풍,000670
2020-04-06,485500.0,"상승  13,000",482000.0,488000.0,476500.0,1724.0,영풍,000670
2020-04-07,515000.0,"상승  29,500",486500.0,515000.0,486000.0,2607.0,영풍,000670
2020-04-08,506000.0,"하락  9,000",505000.0,528000.0,497500.0,1880.0,영풍,000670
2020-04-09,505000.0,"하락  1,000",511000.0,519000.0,500000.0,2137.0,영풍,000670
2020-04-10,501000.0,"하락  4,000",506000.0,508000.0,498000.0,2933.0,영풍,000670
2020-04-13,493000.0,"하락  8,000",501000.0,501000.0,488500.0,1399.0,영풍,000670
2020-04-14,504000.0,"상승  11,000",493000.0,511000.0,484500.0,1579.0,영풍,000670
2020-04-16,504000.0,보합0,494000.0,504000.0,488000.0,1811.0,영풍,000670
2020-04-17,508000.0,"상승  4,000",499000.0,511000.0,499000.0,2181.0,영풍,000670
2020-04-20,508000.0,보합0,505000.0,515000.0,502000.0,1640.0,영풍,000670
2020-04-21,509000.0,"상승  1,000",511000.0,513000.0,500000.0,1973.0,영풍,000670
2020-04-22,503000.0,"하락  6,000",509000.0,511000.0,489000.0,3512.0,영풍,000670
2020-04-23,506000.0,"상승  3,000",504000.0,507000.0,493000.0,1673.0,영풍,000670
2020-04-24,500000.0,"하락  6,000",507000.0,510000.0,500000.0,1452.0,영풍,000670
2020-04-27,512000.0,"상승  12,000",497000.0,515000.0,495000.0,2581.0,영풍,000670
2020-04-28,512000.0,보합0,505000.0,517000.0,505000.0,953.0,영풍,000670
2020-04-29,521000.0,"상승  9,000",515000.0,530000.0,510000.0,2275.0,영풍,000670
2020-05-04,499500.0,"하락  21,500",521000.0,522000.0,499000.0,2480.0,영풍,000670
2020-05-06,502000.0,"상승  2,500",503000.0,506000.0,497500.0,1601.0,영풍,000670
2020-05-07,508000.0,"상승  6,000",499500.0,512000.0,499000.0,2187.0,영풍,000670
2020-05-08,524000.0,"상승  16,000",513000.0,527000.0,511000.0,1853.0,영풍,000670
2020-05-11,553000.0,"상승  29,000",526000.0,567000.0,525000.0,3898.0,영풍,000670
2020-05-12,533000.0,"하락  20,000",555000.0,562000.0,526000.0,2253.0,영풍,000670
2020-05-13,533000.0,보합0,524000.0,533000.0,516000.0,1211.0,영풍,000670
2020-05-14,510000.0,"하락  23,000",531000.0,531000.0,508000.0,2473.0,영풍,000670
2020-05-15,518000.0,"상승  8,000",515000.0,519000.0,507000.0,1094.0,영풍,000670
2020-05-18,524000.0,"상승  6,000",522000.0,525000.0,512000.0,955.0,영풍,000670
2020-05-19,528000.0,"상승  4,000",530000.0,540000.0,525000.0,1545.0,영풍,000670
2020-05-20,524000.0,"하락  4,000",528000.0,533000.0,522000.0,1284.0,영풍,000670
2020-05-21,519000.0,"하락  5,000",521000.0,524000.0,517000.0,1488.0,영풍,000670
2020-05-22,509000.0,"하락  10,000",527000.0,527000.0,508000.0,1516.0,영풍,000670
2020-05-25,507000.0,"하락  2,000",509000.0,517000.0,505000.0,953.0,영풍,000670
2020-05-26,512000.0,"상승  5,000",513000.0,515000.0,508000.0,1771.0,영풍,000670
2020-05-27,520000.0,"상승  8,000",512000.0,523000.0,509000.0,1467.0,영풍,000670
2020-05-28,508000.0,"하락  12,000",508000.0,521000.0,501000.0,1633.0,영풍,000670
2020-05-29,510000.0,"상승  2,000",508000.0,513000.0,504000.0,1499.0,영풍,000670
2020-06-01,515000.0,"상승  5,000",505000.0,515000.0,505000.0,713.0,영풍,000670
2020-06-02,519000.0,"상승  4,000",510000.0,520000.0,510000.0,1172.0,영풍,000670
2020-06-03,538000.0,"상승  19,000",519000.0,539000.0,519000.0,5008.0,영풍,000670
2020-06-04,534000.0,"하락  4,000",538000.0,543000.0,533000.0,1868.0,영풍,000670
2020-06-05,528000.0,"하락  6,000",534000.0,540000.0,523000.0,2641.0,영풍,000670
2020-06-08,526000.0,"하락  2,000",538000.0,538000.0,525000.0,1599.0,영풍,000670
2020-06-09,520000.0,"하락  6,000",527000.0,532000.0,515000.0,1781.0,영풍,000670
2020-06-10,514000.0,"하락  6,000",524000.0,525000.0,513000.0,1913.0,영풍,000670
2020-06-11,522000.0,"상승  8,000",514000.0,523000.0,503000.0,3789.0,영풍,000670
2020-06-12,502000.0,"하락  20,000",508000.0,509000.0,497500.0,4187.0,영풍,000670
2020-06-15,480000.0,"하락  22,000",499000.0,499000.0,478000.0,2696.0,영풍,000670
2020-06-16,495000.0,"상승  15,000",481500.0,495000.0,481000.0,1942.0,영풍,000670
2020-06-17,490500.0,"하락  4,500",495500.0,496500.0,482500.0,1706.0,영풍,000670
2020-06-18,484000.0,"하락  6,500",484500.0,489500.0,482500.0,1008.0,영풍,000670
2020-06-19,480500.0,"하락  3,500",489500.0,489500.0,480500.0,1911.0,영풍,000670
2020-06-22,472500.0,"하락  8,000",479500.0,479500.0,471000.0,1591.0,영풍,000670
2020-06-23,472000.0,하락  500,472000.0,476500.0,464500.0,1697.0,영풍,000670
2020-06-24,473500.0,"상승  1,500",472000.0,476500.0,467000.0,1159.0,영풍,000670
2020-06-25,462000.0,"하락  11,500",470500.0,473000.0,462000.0,1614.0,영풍,000670
2020-06-26,458500.0,"하락  3,500",462000.0,465000.0,456000.0,118563.0,영풍,000670
2020-06-29,458500.0,보합0,453000.0,461000.0,453000.0,1315.0,영풍,000670
2020-06-30,462500.0,"상승  4,000",458500.0,463500.0,458500.0,2125.0,영풍,000670
2020-07-01,471500.0,"상승  9,000",466000.0,473500.0,462000.0,1282.0,영풍,000670
2020-07-02,485500.0,"상승  14,000",478000.0,485500.0,472000.0,1714.0,영풍,000670
2020-07-03,485000.0,하락  500,483000.0,488500.0,482000.0,1118.0,영풍,000670
2020-07-06,487000.0,"상승  2,000",489500.0,489500.0,485000.0,1206.0,영풍,000670
2020-07-07,489000.0,"상승  2,000",487000.0,490000.0,481000.0,1205.0,영풍,000670
2020-07-08,488000.0,"하락  1,000",489000.0,491000.0,479500.0,1437.0,영풍,000670
2020-07-09,486000.0,"하락  2,000",489500.0,491000.0,483000.0,1831.0,영풍,000670
2020-07-10,481500.0,"하락  4,500",485500.0,485500.0,475000.0,1800.0,영풍,000670
2020-07-13,486500.0,"상승  5,000",484000.0,489000.0,477000.0,1632.0,영풍,000670
2020-07-14,489500.0,"상승  3,000",488000.0,489500.0,480500.0,1053.0,영풍,000670
2020-07-15,499500.0,"상승  10,000",489000.0,504000.0,487500.0,2401.0,영풍,000670
2020-07-16,495000.0,"하락  4,500",494500.0,502000.0,494500.0,1256.0,영풍,000670
2020-07-17,489500.0,"하락  5,500",495500.0,500000.0,489000.0,1399.0,영풍,000670
2020-07-20,482000.0,"하락  7,500",490000.0,493000.0,482000.0,2144.0,영풍,000670
2020-07-21,488000.0,"상승  6,000",481000.0,488000.0,480500.0,2731.0,영풍,000670
2020-07-22,512000.0,"상승  24,000",488000.0,521000.0,487500.0,6933.0,영풍,000670
2020-07-23,510000.0,"하락  2,000",514000.0,517000.0,494500.0,2440.0,영풍,000670
2020-07-24,501000.0,"하락  9,000",515000.0,515000.0,497500.0,1879.0,영풍,000670
2020-07-27,529000.0,"상승  28,000",506000.0,530000.0,501000.0,4199.0,영풍,000670
2020-07-28,534000.0,"상승  5,000",540000.0,567000.0,529000.0,6466.0,영풍,000670
2020-07-29,547000.0,"상승  13,000",534000.0,552000.0,529000.0,3836.0,영풍,000670
2020-07-30,545000.0,"하락  2,000",545000.0,555000.0,539000.0,2928.0,영풍,000670
2020-07-31,522000.0,"하락  23,000",546000.0,551000.0,522000.0,2449.0,영풍,000670
2020-08-03,522000.0,보합0,527000.0,530000.0,516000.0,1614.0,영풍,000670
2020-08-04,538000.0,"상승  16,000",522000.0,543000.0,522000.0,2093.0,영풍,000670
2020-08-05,533000.0,"하락  5,000",545000.0,545000.0,532000.0,1494.0,영풍,000670
2020-08-06,546000.0,"상승  13,000",533000.0,549000.0,527000.0,2539.0,영풍,000670
2020-08-07,583000.0,"상승  37,000",550000.0,590000.0,540000.0,8873.0,영풍,000670
2020-08-10,562000.0,"하락  21,000",596000.0,597000.0,557000.0,6263.0,영풍,000670
2020-08-11,558000.0,"하락  4,000",560000.0,569000.0,557000.0,3475.0,영풍,000670
2020-08-12,533000.0,"하락  25,000",545000.0,545000.0,527000.0,4688.0,영풍,000670
2020-08-13,522000.0,"하락  11,000",533000.0,533000.0,519000.0,7523.0,영풍,000670
2020-08-14,524000.0,"상승  2,000",527000.0,531000.0,520000.0,2339.0,영풍,000670
2020-08-18,515000.0,"하락  9,000",529000.0,529000.0,507000.0,3857.0,영풍,000670
2020-08-19,511000.0,"하락  4,000",511000.0,521000.0,507000.0,1519.0,영풍,000670
2020-08-20,481500.0,"하락  29,500",508000.0,508000.0,480000.0,4691.0,영풍,000670
2020-08-21,483500.0,"상승  2,000",480500.0,488000.0,480500.0,1924.0,영풍,000670
2020-08-24,480500.0,"하락  3,000",477500.0,484500.0,477500.0,1990.0,영풍,000670
2020-08-25,485500.0,"상승  5,000",481500.0,488000.0,481000.0,1643.0,영풍,000670
2020-08-26,480000.0,"하락  5,500",483000.0,486500.0,478000.0,2468.0,영풍,000670
2020-08-27,480000.0,보합0,480500.0,490000.0,478000.0,2836.0,영풍,000670
2020-08-28,482500.0,"상승  2,500",480000.0,484000.0,479500.0,1332.0,영풍,000670
2020-08-31,489500.0,"상승  7,000",484000.0,495000.0,483000.0,2208.0,영풍,000670
2020-09-01,492500.0,"상승  3,000",484000.0,495000.0,483500.0,1807.0,영풍,000670
2020-09-02,492500.0,보합0,492000.0,497000.0,485000.0,1686.0,영풍,000670
2020-09-03,488500.0,"하락  4,000",494000.0,494000.0,486500.0,3251.0,영풍,000670
2020-09-04,480500.0,"하락  8,000",480000.0,484000.0,478500.0,2973.0,영풍,000670
2020-09-07,482500.0,"상승  2,000",482500.0,487500.0,479000.0,2350.0,영풍,000670
2020-09-08,486500.0,"상승  4,000",483000.0,489000.0,483000.0,1112.0,영풍,000670
2020-09-09,482500.0,"하락  4,000",483500.0,484500.0,480000.0,1590.0,영풍,000670
2020-09-10,484000.0,"상승  1,500",483000.0,489500.0,483000.0,1977.0,영풍,000670
2020-09-11,483000.0,"하락  1,000",481000.0,483500.0,481000.0,1451.0,영풍,000670
2020-09-14,485000.0,"상승  2,000",482500.0,485000.0,481500.0,1578.0,영풍,000670
2020-09-15,487500.0,"상승  2,500",483000.0,488500.0,482000.0,2078.0,영풍,000670
2020-09-16,489500.0,"상승  2,000",486000.0,492500.0,486000.0,1555.0,영풍,000670
2020-09-17,487500.0,"하락  2,000",490500.0,491000.0,484000.0,1615.0,영풍,000670
