날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2580.0,하락  390,2675.0,2775.0,2400.0,274895.0,영풍제지,006740
2020-03-16,2515.0,하락  65,2500.0,2780.0,2500.0,135813.0,영풍제지,006740
2020-03-17,2560.0,상승  45,2330.0,2575.0,2330.0,93502.0,영풍제지,006740
2020-03-18,2410.0,하락  150,2500.0,2650.0,2410.0,48378.0,영풍제지,006740
2020-03-19,2250.0,하락  160,2410.0,2505.0,1820.0,171091.0,영풍제지,006740
2020-03-20,2585.0,상승  335,2150.0,2585.0,2150.0,180859.0,영풍제지,006740
2020-03-23,2370.0,하락  215,2400.0,2485.0,2350.0,93836.0,영풍제지,006740
2020-03-24,2540.0,상승  170,2375.0,2600.0,2375.0,46196.0,영풍제지,006740
2020-03-25,2650.0,상승  110,2600.0,2670.0,2505.0,93979.0,영풍제지,006740
2020-03-26,2640.0,하락  10,2645.0,2740.0,2600.0,157485.0,영풍제지,006740
2020-03-27,2540.0,하락  100,2690.0,2720.0,2525.0,132207.0,영풍제지,006740
2020-03-30,2640.0,상승  100,2490.0,2640.0,2470.0,63585.0,영풍제지,006740
2020-03-31,2710.0,상승  70,2640.0,2745.0,2620.0,120910.0,영풍제지,006740
2020-04-01,2820.0,상승  110,2740.0,2950.0,2710.0,165303.0,영풍제지,006740
2020-04-02,2900.0,상승  80,2825.0,2905.0,2785.0,107803.0,영풍제지,006740
2020-04-03,2915.0,상승  15,2990.0,2990.0,2875.0,98526.0,영풍제지,006740
2020-04-06,3000.0,상승  85,2950.0,3025.0,2945.0,74643.0,영풍제지,006740
2020-04-07,3040.0,상승  40,3050.0,3060.0,2985.0,93976.0,영풍제지,006740
2020-04-08,3230.0,상승  190,3055.0,3260.0,3030.0,212803.0,영풍제지,006740
2020-04-09,3260.0,상승  30,3290.0,3310.0,3150.0,128525.0,영풍제지,006740
2020-04-10,3185.0,하락  75,3220.0,3280.0,3060.0,76660.0,영풍제지,006740
2020-04-13,3075.0,하락  110,3155.0,3240.0,3020.0,75540.0,영풍제지,006740
2020-04-14,3150.0,상승  75,3085.0,3175.0,3085.0,61013.0,영풍제지,006740
2020-04-16,3135.0,하락  15,3150.0,3150.0,3050.0,48919.0,영풍제지,006740
2020-04-17,3165.0,상승  30,3170.0,3190.0,3125.0,59504.0,영풍제지,006740
2020-04-20,3200.0,상승  35,3185.0,3245.0,3185.0,49184.0,영풍제지,006740
2020-04-21,3190.0,하락  10,3205.0,3240.0,3040.0,65698.0,영풍제지,006740
2020-04-22,3200.0,상승  10,3130.0,3205.0,3075.0,54087.0,영풍제지,006740
2020-04-23,3225.0,상승  25,3210.0,3290.0,3195.0,78367.0,영풍제지,006740
2020-04-24,3225.0,보합0,3250.0,3250.0,3130.0,87985.0,영풍제지,006740
2020-04-27,3285.0,상승  60,3295.0,3295.0,3235.0,92349.0,영풍제지,006740
2020-04-28,3260.0,하락  25,3290.0,3290.0,3230.0,35239.0,영풍제지,006740
2020-04-29,3260.0,보합0,3270.0,3275.0,3240.0,74209.0,영풍제지,006740
2020-05-04,3330.0,상승  70,3265.0,3370.0,3225.0,83534.0,영풍제지,006740
2020-05-06,3405.0,상승  75,3330.0,3435.0,3315.0,84811.0,영풍제지,006740
2020-05-07,3465.0,상승  60,3415.0,3600.0,3400.0,203426.0,영풍제지,006740
2020-05-08,3425.0,하락  40,3500.0,3500.0,3425.0,42452.0,영풍제지,006740
2020-05-11,3360.0,하락  65,3425.0,3425.0,3300.0,67433.0,영풍제지,006740
2020-05-12,3290.0,하락  70,3365.0,3365.0,3255.0,50812.0,영풍제지,006740
2020-05-13,3415.0,상승  125,3250.0,3425.0,3240.0,121561.0,영풍제지,006740
2020-05-14,3455.0,상승  40,3415.0,3470.0,3345.0,58412.0,영풍제지,006740
2020-05-15,3480.0,상승  25,3455.0,3535.0,3440.0,65481.0,영풍제지,006740
2020-05-18,3480.0,보합0,3480.0,3510.0,3325.0,117109.0,영풍제지,006740
2020-05-19,3490.0,상승  10,3480.0,3570.0,3430.0,70431.0,영풍제지,006740
2020-05-20,3535.0,상승  45,3490.0,3625.0,3490.0,131982.0,영풍제지,006740
2020-05-21,3515.0,하락  20,3540.0,3595.0,3500.0,37669.0,영풍제지,006740
2020-05-22,3420.0,하락  95,3515.0,3515.0,3415.0,93362.0,영풍제지,006740
2020-05-25,3435.0,상승  15,3420.0,3490.0,3390.0,57205.0,영풍제지,006740
2020-05-26,3500.0,상승  65,3440.0,3515.0,3440.0,73177.0,영풍제지,006740
2020-05-27,3495.0,하락  5,3540.0,3540.0,3460.0,33680.0,영풍제지,006740
2020-05-28,3485.0,하락  10,3540.0,3580.0,3400.0,97611.0,영풍제지,006740
2020-05-29,3485.0,보합0,3455.0,3490.0,3410.0,36742.0,영풍제지,006740
2020-06-01,3475.0,하락  10,3495.0,3500.0,3430.0,42929.0,영풍제지,006740
2020-06-02,3475.0,보합0,3435.0,3480.0,3435.0,24092.0,영풍제지,006740
2020-06-03,3410.0,하락  65,3495.0,3495.0,3350.0,67521.0,영풍제지,006740
2020-06-04,3435.0,상승  25,3405.0,3470.0,3360.0,43710.0,영풍제지,006740
2020-06-05,3420.0,하락  15,3440.0,3475.0,3400.0,18813.0,영풍제지,006740
2020-06-08,3400.0,하락  20,3400.0,3430.0,3385.0,34263.0,영풍제지,006740
2020-06-09,3410.0,상승  10,3405.0,3465.0,3385.0,24422.0,영풍제지,006740
2020-06-10,3405.0,하락  5,3380.0,3420.0,3375.0,41844.0,영풍제지,006740
2020-06-11,3300.0,하락  105,3380.0,3400.0,3260.0,79357.0,영풍제지,006740
2020-06-12,3310.0,상승  10,3280.0,3315.0,3210.0,41449.0,영풍제지,006740
2020-06-15,3200.0,하락  110,3310.0,3420.0,3110.0,33562.0,영풍제지,006740
2020-06-16,3275.0,상승  75,3225.0,3415.0,3210.0,34266.0,영풍제지,006740
2020-06-17,3240.0,하락  35,3275.0,3355.0,3200.0,19358.0,영풍제지,006740
2020-06-18,3285.0,상승  45,3210.0,3290.0,3180.0,14981.0,영풍제지,006740
2020-06-19,3360.0,상승  75,3255.0,3360.0,3255.0,14523.0,영풍제지,006740
2020-06-22,3370.0,상승  10,3320.0,3390.0,3320.0,7603.0,영풍제지,006740
2020-06-23,3305.0,하락  65,3370.0,3385.0,3275.0,26755.0,영풍제지,006740
2020-06-24,3290.0,하락  15,3305.0,3350.0,3275.0,12304.0,영풍제지,006740
2020-06-25,3135.0,하락  155,3250.0,3280.0,3135.0,41779.0,영풍제지,006740
2020-06-26,3155.0,상승  20,3140.0,3175.0,3090.0,53096.0,영풍제지,006740
2020-06-29,3100.0,하락  55,3175.0,3185.0,3095.0,20830.0,영풍제지,006740
2020-06-30,3165.0,상승  65,3105.0,3175.0,3095.0,14758.0,영풍제지,006740
2020-07-01,3180.0,상승  15,3130.0,3195.0,3065.0,26588.0,영풍제지,006740
2020-07-02,3115.0,하락  65,3105.0,3165.0,3105.0,6928.0,영풍제지,006740
2020-07-03,3155.0,상승  40,3125.0,3155.0,3080.0,7711.0,영풍제지,006740
2020-07-06,3150.0,하락  5,3160.0,3160.0,3100.0,15001.0,영풍제지,006740
2020-07-07,3115.0,하락  35,3155.0,3155.0,3105.0,10728.0,영풍제지,006740
2020-07-08,3135.0,상승  20,3145.0,3145.0,3100.0,13973.0,영풍제지,006740
2020-07-09,3155.0,상승  20,3100.0,3165.0,3100.0,15573.0,영풍제지,006740
2020-07-10,3160.0,상승  5,3175.0,3190.0,3135.0,22525.0,영풍제지,006740
2020-07-13,3495.0,상승  335,3140.0,3790.0,3140.0,1206021.0,영풍제지,006740
2020-07-14,3405.0,하락  90,3515.0,3565.0,3405.0,171467.0,영풍제지,006740
2020-07-15,3470.0,상승  65,3410.0,3510.0,3350.0,84502.0,영풍제지,006740
2020-07-16,3405.0,하락  65,3410.0,3500.0,3380.0,53901.0,영풍제지,006740
2020-07-17,3455.0,상승  50,3405.0,3535.0,3405.0,59298.0,영풍제지,006740
2020-07-20,3490.0,상승  35,3475.0,3490.0,3425.0,96907.0,영풍제지,006740
2020-07-21,3610.0,상승  120,4070.0,4100.0,3565.0,1474903.0,영풍제지,006740
2020-07-22,3605.0,하락  5,3630.0,3670.0,3500.0,240535.0,영풍제지,006740
2020-07-23,3405.0,하락  200,3595.0,3595.0,3370.0,145142.0,영풍제지,006740
2020-07-24,3410.0,상승  5,3405.0,3495.0,3325.0,132200.0,영풍제지,006740
2020-07-27,3450.0,상승  40,3350.0,3540.0,3340.0,110336.0,영풍제지,006740
2020-07-28,3410.0,하락  40,3450.0,3490.0,3370.0,58744.0,영풍제지,006740
2020-07-29,3410.0,보합0,3410.0,3445.0,3350.0,53394.0,영풍제지,006740
2020-07-30,3370.0,하락  40,3415.0,3450.0,3350.0,44737.0,영풍제지,006740
2020-07-31,3375.0,상승  5,3420.0,3450.0,3360.0,38587.0,영풍제지,006740
2020-08-03,3465.0,상승  90,3375.0,3495.0,3360.0,65321.0,영풍제지,006740
2020-08-04,3410.0,하락  55,3460.0,3475.0,3305.0,109869.0,영풍제지,006740
2020-08-05,3425.0,상승  15,3410.0,3445.0,3370.0,53415.0,영풍제지,006740
