날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,463000.0,"하락  2,000",439500.0,470000.0,402000.0,13130.0,오뚜기,007310
2020-03-16,467000.0,"상승  4,000",463500.0,484000.0,460000.0,8497.0,오뚜기,007310
2020-03-17,460000.0,"하락  7,000",467000.0,467000.0,440000.0,8184.0,오뚜기,007310
2020-03-18,445500.0,"하락  14,500",461500.0,466000.0,444000.0,6641.0,오뚜기,007310
2020-03-19,434000.0,"하락  11,500",441000.0,451500.0,410000.0,11403.0,오뚜기,007310
2020-03-20,463000.0,"상승  29,000",434000.0,463000.0,420500.0,9719.0,오뚜기,007310
2020-03-23,435500.0,"하락  27,500",442000.0,448000.0,431000.0,5658.0,오뚜기,007310
2020-03-24,459500.0,"상승  24,000",436000.0,459500.0,433500.0,6335.0,오뚜기,007310
2020-03-25,467000.0,"상승  7,500",463500.0,471000.0,459500.0,7318.0,오뚜기,007310
2020-03-26,465500.0,"하락  1,500",467000.0,475000.0,461000.0,7005.0,오뚜기,007310
2020-03-27,461500.0,"하락  4,000",474500.0,477000.0,454500.0,8670.0,오뚜기,007310
2020-03-30,469000.0,"상승  7,500",461500.0,473000.0,453500.0,6037.0,오뚜기,007310
2020-03-31,475500.0,"상승  6,500",471500.0,480500.0,470000.0,7049.0,오뚜기,007310
2020-04-01,472500.0,"하락  3,000",476500.0,505000.0,471500.0,13979.0,오뚜기,007310
2020-04-02,494000.0,"상승  21,500",476000.0,498500.0,470500.0,7116.0,오뚜기,007310
2020-04-03,507000.0,"상승  13,000",499500.0,508000.0,490500.0,9285.0,오뚜기,007310
2020-04-06,545000.0,"상승  38,000",515000.0,546000.0,515000.0,17628.0,오뚜기,007310
2020-04-07,544000.0,"하락  1,000",560000.0,562000.0,534000.0,11152.0,오뚜기,007310
2020-04-08,535000.0,"하락  9,000",546000.0,547000.0,535000.0,8004.0,오뚜기,007310
2020-04-09,535000.0,보합0,545000.0,545000.0,530000.0,5692.0,오뚜기,007310
2020-04-10,525000.0,"하락  10,000",531000.0,535000.0,520000.0,4722.0,오뚜기,007310
2020-04-13,532000.0,"상승  7,000",525000.0,537000.0,520000.0,6206.0,오뚜기,007310
2020-04-14,532000.0,보합0,530000.0,538000.0,528000.0,4547.0,오뚜기,007310
2020-04-16,537000.0,"상승  5,000",533000.0,539000.0,525000.0,6489.0,오뚜기,007310
2020-04-17,536000.0,"하락  1,000",531000.0,541000.0,531000.0,6811.0,오뚜기,007310
2020-04-20,536000.0,보합0,533000.0,542000.0,532000.0,5063.0,오뚜기,007310
2020-04-21,526000.0,"하락  10,000",536000.0,539000.0,517000.0,5878.0,오뚜기,007310
2020-04-22,532000.0,"상승  6,000",526000.0,532000.0,516000.0,4203.0,오뚜기,007310
