날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1825.0,하락  20,1650.0,1915.0,1620.0,2643605.0,와이투솔루션,011690
2020-03-16,1750.0,하락  75,1855.0,1945.0,1750.0,1932783.0,와이투솔루션,011690
2020-03-17,1860.0,상승  110,1650.0,1860.0,1635.0,2194952.0,와이투솔루션,011690
2020-03-18,1740.0,하락  120,1835.0,2100.0,1700.0,3563196.0,와이투솔루션,011690
2020-03-19,1220.0,하한가  520,1700.0,1810.0,1220.0,12243723.0,와이투솔루션,011690
2020-03-20,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-23,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-24,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-25,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-26,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-27,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-30,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-03-31,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-01,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-02,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-03,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-06,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-07,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-08,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-09,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-10,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-13,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-14,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-16,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
2020-04-17,1220.0,보합0,0.0,0.0,0.0,0.0,와이투솔루션,011690
