날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,989.0,하락  36,990.0,1020.0,922.0,889004.0,웅진,016880
2020-03-16,989.0,보합0,960.0,1035.0,960.0,294812.0,웅진,016880
2020-03-17,1005.0,상승  16,970.0,1030.0,950.0,235133.0,웅진,016880
2020-03-18,996.0,하락  9,1000.0,1025.0,990.0,309750.0,웅진,016880
2020-03-19,958.0,하락  38,960.0,1000.0,935.0,568696.0,웅진,016880
2020-03-20,982.0,상승  24,881.0,998.0,881.0,291215.0,웅진,016880
2020-03-23,935.0,하락  47,903.0,950.0,903.0,422989.0,웅진,016880
2020-03-24,934.0,하락  1,936.0,955.0,929.0,380532.0,웅진,016880
2020-03-25,958.0,상승  24,937.0,971.0,937.0,263066.0,웅진,016880
2020-03-26,998.0,상승  40,958.0,1020.0,958.0,484523.0,웅진,016880
2020-03-27,986.0,하락  12,1010.0,1040.0,941.0,401081.0,웅진,016880
2020-03-30,1005.0,상승  19,980.0,1020.0,932.0,342777.0,웅진,016880
2020-03-31,1030.0,상승  25,1030.0,1040.0,973.0,418003.0,웅진,016880
2020-04-01,985.0,하락  45,1030.0,1040.0,985.0,394512.0,웅진,016880
2020-04-02,989.0,상승  4,990.0,1000.0,950.0,291061.0,웅진,016880
2020-04-03,1000.0,상승  11,991.0,1015.0,989.0,450101.0,웅진,016880
2020-04-06,1020.0,상승  20,1020.0,1035.0,1000.0,458381.0,웅진,016880
2020-04-07,1035.0,상승  15,1045.0,1045.0,1015.0,373796.0,웅진,016880
2020-04-08,1050.0,상승  15,1035.0,1075.0,1020.0,520900.0,웅진,016880
2020-04-09,1060.0,상승  10,1070.0,1070.0,1035.0,288608.0,웅진,016880
2020-04-10,1055.0,하락  5,1065.0,1065.0,1020.0,313915.0,웅진,016880
2020-04-13,1050.0,하락  5,1055.0,1060.0,1030.0,235157.0,웅진,016880
2020-04-14,1060.0,상승  10,1050.0,1075.0,1050.0,261615.0,웅진,016880
2020-04-16,1050.0,하락  10,1070.0,1085.0,1035.0,546466.0,웅진,016880
2020-04-17,1070.0,상승  20,1050.0,1070.0,1040.0,559981.0,웅진,016880
2020-04-20,1070.0,보합0,1080.0,1080.0,1055.0,443036.0,웅진,016880
2020-04-21,1030.0,하락  40,1075.0,1085.0,999.0,646617.0,웅진,016880
2020-04-22,1040.0,상승  10,1025.0,1055.0,1000.0,368370.0,웅진,016880
2020-04-23,1185.0,상승  145,1045.0,1195.0,1040.0,3039540.0,웅진,016880
2020-04-24,1140.0,하락  45,1160.0,1175.0,1105.0,680317.0,웅진,016880
2020-04-27,1150.0,상승  10,1140.0,1190.0,1120.0,1039496.0,웅진,016880
2020-04-28,1130.0,하락  20,1150.0,1160.0,1105.0,654577.0,웅진,016880
2020-04-29,1135.0,상승  5,1140.0,1150.0,1110.0,300468.0,웅진,016880
2020-05-04,1135.0,보합0,1140.0,1150.0,1115.0,204588.0,웅진,016880
2020-05-06,1160.0,상승  25,1135.0,1160.0,1135.0,229624.0,웅진,016880
2020-05-07,1165.0,상승  5,1175.0,1175.0,1155.0,330728.0,웅진,016880
2020-05-08,1225.0,상승  60,1365.0,1370.0,1205.0,5105945.0,웅진,016880
2020-05-11,1170.0,하락  55,1230.0,1235.0,1165.0,857660.0,웅진,016880
2020-05-12,1160.0,하락  10,1170.0,1190.0,1130.0,438438.0,웅진,016880
2020-05-13,1150.0,하락  10,1140.0,1160.0,1125.0,306608.0,웅진,016880
2020-05-14,1125.0,하락  25,1140.0,1145.0,1110.0,448798.0,웅진,016880
2020-05-15,1110.0,하락  15,1120.0,1135.0,1080.0,560839.0,웅진,016880
2020-05-18,1140.0,상승  30,1100.0,1145.0,1080.0,326206.0,웅진,016880
2020-05-19,1160.0,상승  20,1140.0,1185.0,1130.0,368669.0,웅진,016880
2020-05-20,1200.0,상승  40,1160.0,1210.0,1140.0,609222.0,웅진,016880
2020-05-21,1285.0,상승  85,1195.0,1300.0,1175.0,2451833.0,웅진,016880
2020-05-22,1340.0,상승  55,1305.0,1360.0,1255.0,2103510.0,웅진,016880
2020-05-25,1275.0,하락  65,1345.0,1360.0,1250.0,654494.0,웅진,016880
2020-05-26,1240.0,하락  35,1270.0,1280.0,1240.0,378384.0,웅진,016880
2020-05-27,1230.0,하락  10,1260.0,1260.0,1225.0,186588.0,웅진,016880
2020-05-28,1235.0,상승  5,1240.0,1315.0,1200.0,404579.0,웅진,016880
2020-05-29,1220.0,하락  15,1225.0,1240.0,1200.0,147364.0,웅진,016880
2020-06-01,1255.0,상승  35,1230.0,1265.0,1220.0,207017.0,웅진,016880
2020-06-02,1245.0,하락  10,1260.0,1280.0,1230.0,152854.0,웅진,016880
2020-06-03,1235.0,하락  10,1245.0,1260.0,1230.0,180059.0,웅진,016880
2020-06-04,1235.0,보합0,1250.0,1250.0,1210.0,166197.0,웅진,016880
2020-06-05,1235.0,보합0,1240.0,1240.0,1215.0,97299.0,웅진,016880
2020-06-08,1235.0,보합0,1235.0,1240.0,1210.0,152226.0,웅진,016880
2020-06-09,1220.0,하락  15,1245.0,1245.0,1190.0,202406.0,웅진,016880
2020-06-10,1210.0,하락  10,1230.0,1230.0,1190.0,151122.0,웅진,016880
2020-06-11,1175.0,하락  35,1210.0,1215.0,1175.0,204238.0,웅진,016880
2020-06-12,1155.0,하락  20,1110.0,1155.0,1100.0,201160.0,웅진,016880
2020-06-15,1060.0,하락  95,1155.0,1155.0,1055.0,340669.0,웅진,016880
2020-06-16,1115.0,상승  55,1110.0,1115.0,1085.0,163778.0,웅진,016880
2020-06-17,1095.0,하락  20,1110.0,1135.0,1080.0,94019.0,웅진,016880
2020-06-18,1110.0,상승  15,1095.0,1145.0,1075.0,116053.0,웅진,016880
2020-06-19,1125.0,상승  15,1085.0,1125.0,1085.0,121870.0,웅진,016880
2020-06-22,1105.0,하락  20,1125.0,1125.0,1095.0,43053.0,웅진,016880
2020-06-23,1105.0,보합0,1105.0,1110.0,1075.0,114224.0,웅진,016880
2020-06-24,1115.0,상승  10,1120.0,1130.0,1095.0,134807.0,웅진,016880
2020-06-25,1100.0,하락  15,1100.0,1115.0,1080.0,112924.0,웅진,016880
2020-06-26,1100.0,보합0,1100.0,1105.0,1080.0,78715.0,웅진,016880
2020-06-29,1085.0,하락  15,1085.0,1100.0,1070.0,41971.0,웅진,016880
2020-06-30,1105.0,상승  20,1080.0,1105.0,1065.0,76731.0,웅진,016880
2020-07-01,1085.0,하락  20,1095.0,1100.0,1070.0,118342.0,웅진,016880
2020-07-02,1080.0,하락  5,1085.0,1090.0,1060.0,158321.0,웅진,016880
2020-07-03,1080.0,보합0,1070.0,1090.0,1070.0,71907.0,웅진,016880
2020-07-06,1090.0,상승  10,1085.0,1095.0,1075.0,127949.0,웅진,016880
2020-07-07,1085.0,하락  5,1090.0,1090.0,1070.0,89596.0,웅진,016880
2020-07-08,1090.0,상승  5,1075.0,1095.0,1070.0,57179.0,웅진,016880
2020-07-09,1100.0,상승  10,1090.0,1120.0,1075.0,119699.0,웅진,016880
2020-07-10,1100.0,보합0,1090.0,1110.0,1085.0,172764.0,웅진,016880
2020-07-13,1100.0,보합0,1095.0,1110.0,1085.0,91409.0,웅진,016880
2020-07-14,1095.0,하락  5,1100.0,1125.0,1085.0,199013.0,웅진,016880
2020-07-15,1105.0,상승  10,1095.0,1105.0,1085.0,174913.0,웅진,016880
2020-07-16,1110.0,상승  5,1105.0,1145.0,1105.0,291256.0,웅진,016880
2020-07-17,1115.0,상승  5,1110.0,1165.0,1090.0,184881.0,웅진,016880
2020-07-20,1120.0,상승  5,1110.0,1125.0,1105.0,238105.0,웅진,016880
2020-07-21,1125.0,상승  5,1135.0,1155.0,1115.0,192452.0,웅진,016880
2020-07-22,1125.0,보합0,1130.0,1135.0,1105.0,174416.0,웅진,016880
2020-07-23,1120.0,하락  5,1125.0,1125.0,1100.0,141609.0,웅진,016880
2020-07-24,1115.0,하락  5,1105.0,1120.0,1105.0,136982.0,웅진,016880
2020-07-27,1125.0,상승  10,1115.0,1150.0,1105.0,141773.0,웅진,016880
2020-07-28,1105.0,하락  20,1125.0,1130.0,1100.0,153235.0,웅진,016880
2020-07-29,1120.0,상승  15,1105.0,1145.0,1105.0,130470.0,웅진,016880
2020-07-30,1105.0,하락  15,1130.0,1130.0,1095.0,205838.0,웅진,016880
2020-07-31,1105.0,보합0,1110.0,1115.0,1090.0,144751.0,웅진,016880
2020-08-03,1085.0,하락  20,1105.0,1110.0,1075.0,134437.0,웅진,016880
2020-08-04,1085.0,보합0,1080.0,1095.0,1070.0,221731.0,웅진,016880
2020-08-05,1080.0,하락  5,1085.0,1105.0,1075.0,191317.0,웅진,016880
2020-08-06,1085.0,상승  5,1085.0,1095.0,1075.0,98037.0,웅진,016880
2020-08-07,1085.0,보합0,1090.0,1095.0,1070.0,215120.0,웅진,016880
2020-08-10,1075.0,하락  10,1080.0,1080.0,1050.0,289285.0,웅진,016880
2020-08-11,1080.0,상승  5,1080.0,1090.0,1065.0,181649.0,웅진,016880
2020-08-12,1120.0,상승  40,1080.0,1120.0,1070.0,314773.0,웅진,016880
2020-08-13,1085.0,하락  35,1110.0,1135.0,1070.0,287271.0,웅진,016880
2020-08-14,1100.0,상승  15,1095.0,1120.0,1075.0,184770.0,웅진,016880
2020-08-18,1050.0,하락  50,1095.0,1100.0,1050.0,215008.0,웅진,016880
2020-08-19,1060.0,상승  10,1050.0,1070.0,1040.0,137853.0,웅진,016880
2020-08-20,1020.0,하락  40,1050.0,1065.0,999.0,235809.0,웅진,016880
2020-08-21,1025.0,상승  5,1010.0,1025.0,1000.0,115822.0,웅진,016880
2020-08-24,1015.0,하락  10,1025.0,1030.0,1000.0,129556.0,웅진,016880
2020-08-25,1040.0,상승  25,1015.0,1045.0,1010.0,263019.0,웅진,016880
2020-08-26,1050.0,상승  10,1040.0,1055.0,1025.0,139599.0,웅진,016880
2020-08-27,1030.0,하락  20,1045.0,1055.0,1020.0,211132.0,웅진,016880
2020-08-28,1045.0,상승  15,1045.0,1055.0,1020.0,113038.0,웅진,016880
2020-08-31,1040.0,하락  5,1060.0,1065.0,1035.0,88219.0,웅진,016880
2020-09-01,1040.0,보합0,1040.0,1045.0,1030.0,84028.0,웅진,016880
2020-09-02,1050.0,상승  10,1035.0,1050.0,1030.0,101598.0,웅진,016880
2020-09-03,1055.0,상승  5,1050.0,1060.0,1045.0,102025.0,웅진,016880
2020-09-04,1075.0,상승  20,1035.0,1080.0,1035.0,220666.0,웅진,016880
2020-09-07,1090.0,상승  15,1080.0,1115.0,1065.0,437497.0,웅진,016880
2020-09-08,1090.0,보합0,1090.0,1110.0,1085.0,209955.0,웅진,016880
2020-09-09,1100.0,상승  10,1090.0,1115.0,1070.0,285346.0,웅진,016880
2020-09-10,1125.0,상승  25,1100.0,1130.0,1085.0,410755.0,웅진,016880
2020-09-11,1115.0,하락  10,1135.0,1135.0,1105.0,149661.0,웅진,016880
2020-09-14,1130.0,상승  15,1120.0,1135.0,1115.0,158304.0,웅진,016880
2020-09-15,1155.0,상승  25,1130.0,1155.0,1120.0,328373.0,웅진,016880
2020-09-16,1165.0,상승  10,1155.0,1170.0,1150.0,158559.0,웅진,016880
2020-09-17,1140.0,하락  25,1170.0,1170.0,1125.0,179328.0,웅진,016880
2020-09-18,1135.0,하락  5,1145.0,1155.0,1115.0,99194.0,웅진,016880
2020-09-21,1140.0,상승  5,1130.0,1165.0,1125.0,176944.0,웅진,016880
2020-09-22,1100.0,하락  40,1125.0,1140.0,1095.0,170885.0,웅진,016880
2020-09-23,1110.0,상승  10,1100.0,1125.0,1080.0,70017.0,웅진,016880
2020-09-24,1060.0,하락  50,1100.0,1100.0,1060.0,104074.0,웅진,016880
2020-09-25,1060.0,보합0,1070.0,1085.0,1045.0,112602.0,웅진,016880
2020-09-28,1075.0,상승  15,1060.0,1085.0,1040.0,99465.0,웅진,016880
2020-09-29,1085.0,상승  10,1070.0,1085.0,1065.0,51690.0,웅진,016880
2020-10-05,1095.0,상승  10,1095.0,1100.0,1085.0,44184.0,웅진,016880
2020-10-06,1100.0,상승  5,1105.0,1110.0,1085.0,53289.0,웅진,016880
2020-10-07,1110.0,상승  10,1100.0,1115.0,1095.0,36955.0,웅진,016880
2020-10-08,1105.0,하락  5,1120.0,1140.0,1100.0,75302.0,웅진,016880
2020-10-12,1100.0,하락  5,1130.0,1130.0,1095.0,44407.0,웅진,016880
2020-10-13,1100.0,보합0,1110.0,1110.0,1075.0,112397.0,웅진,016880
2020-10-14,1095.0,하락  5,1100.0,1100.0,1085.0,47322.0,웅진,016880
2020-10-15,1075.0,하락  20,1080.0,1130.0,1070.0,111545.0,웅진,016880
2020-10-16,1075.0,보합0,1075.0,1075.0,1050.0,51766.0,웅진,016880
2020-10-19,1065.0,하락  10,1075.0,1080.0,1060.0,78778.0,웅진,016880
2020-10-20,1055.0,하락  10,1060.0,1075.0,1040.0,81638.0,웅진,016880
2020-10-21,1065.0,상승  10,1060.0,1080.0,1050.0,107454.0,웅진,016880
2020-10-22,1050.0,하락  15,1065.0,1065.0,1040.0,104144.0,웅진,016880
2020-10-23,1050.0,보합0,1055.0,1060.0,1045.0,50795.0,웅진,016880
2020-10-26,1030.0,하락  20,1065.0,1065.0,1030.0,93693.0,웅진,016880
2020-10-27,1030.0,보합0,1030.0,1035.0,1010.0,60509.0,웅진,016880
2020-10-28,1025.0,하락  5,1030.0,1045.0,1015.0,83670.0,웅진,016880
2020-10-29,1020.0,하락  5,1010.0,1020.0,1005.0,186094.0,웅진,016880
2020-10-30,1020.0,보합0,1030.0,1035.0,1015.0,52485.0,웅진,016880
2020-11-02,1020.0,보합0,1020.0,1030.0,1010.0,38190.0,웅진,016880
2020-11-03,1035.0,상승  15,1045.0,1045.0,1025.0,39770.0,웅진,016880
2020-11-04,1025.0,하락  10,1035.0,1040.0,1025.0,49444.0,웅진,016880
2020-11-05,1045.0,상승  20,1025.0,1055.0,1025.0,149029.0,웅진,016880
2020-11-06,1040.0,하락  5,1055.0,1060.0,1035.0,81910.0,웅진,016880
2020-11-09,1040.0,보합0,1035.0,1060.0,1025.0,103997.0,웅진,016880
2020-11-10,1045.0,상승  5,1050.0,1050.0,1035.0,128334.0,웅진,016880
2020-11-11,1040.0,하락  5,1045.0,1055.0,1030.0,77365.0,웅진,016880
2020-11-12,1030.0,하락  10,1045.0,1055.0,1030.0,97012.0,웅진,016880
2020-11-13,1040.0,상승  10,1035.0,1040.0,1025.0,135679.0,웅진,016880
2020-11-16,1045.0,상승  5,1045.0,1050.0,1030.0,166072.0,웅진,016880
2020-11-17,1030.0,하락  15,1045.0,1055.0,1030.0,124865.0,웅진,016880
2020-11-18,1050.0,상승  20,1060.0,1060.0,1030.0,145025.0,웅진,016880
2020-11-19,1045.0,하락  5,1050.0,1060.0,1035.0,168190.0,웅진,016880
2020-11-20,1050.0,상승  5,1045.0,1050.0,1040.0,57192.0,웅진,016880
2020-11-23,1070.0,상승  20,1050.0,1080.0,1040.0,298687.0,웅진,016880
2020-11-24,1065.0,하락  5,1080.0,1080.0,1060.0,136521.0,웅진,016880
2020-11-25,1060.0,하락  5,1070.0,1075.0,1050.0,110922.0,웅진,016880
2020-11-26,1045.0,하락  15,1060.0,1065.0,1040.0,122892.0,웅진,016880
2020-11-27,1075.0,상승  30,1050.0,1080.0,1045.0,133808.0,웅진,016880
2020-11-30,1065.0,하락  10,1065.0,1085.0,1065.0,142608.0,웅진,016880
2020-12-01,1075.0,상승  10,1075.0,1085.0,1065.0,212095.0,웅진,016880
2020-12-02,1100.0,상승  25,1080.0,1100.0,1075.0,275669.0,웅진,016880
2020-12-03,1100.0,보합0,1110.0,1110.0,1080.0,225804.0,웅진,016880
2020-12-04,1105.0,상승  5,1095.0,1110.0,1080.0,187604.0,웅진,016880
2020-12-07,1120.0,상승  15,1105.0,1130.0,1090.0,265485.0,웅진,016880
2020-12-08,1120.0,보합0,1120.0,1135.0,1105.0,112945.0,웅진,016880
2020-12-09,1115.0,하락  5,1120.0,1125.0,1095.0,211253.0,웅진,016880
2020-12-10,1115.0,보합0,1115.0,1130.0,1095.0,112006.0,웅진,016880
2020-12-11,1115.0,보합0,1125.0,1130.0,1105.0,238844.0,웅진,016880
2020-12-14,1125.0,상승  10,1115.0,1125.0,1100.0,130668.0,웅진,016880
2020-12-15,1130.0,상승  5,1130.0,1130.0,1110.0,152483.0,웅진,016880
2020-12-16,1135.0,상승  5,1130.0,1135.0,1115.0,168759.0,웅진,016880
2020-12-17,1140.0,상승  5,1135.0,1145.0,1120.0,189544.0,웅진,016880
2020-12-18,1135.0,하락  5,1140.0,1140.0,1110.0,92473.0,웅진,016880
2020-12-21,1125.0,하락  10,1135.0,1145.0,1110.0,197893.0,웅진,016880
2020-12-22,1100.0,하락  25,1125.0,1130.0,1085.0,188573.0,웅진,016880
2020-12-23,1090.0,하락  10,1095.0,1105.0,1060.0,218569.0,웅진,016880
2020-12-24,1095.0,상승  5,1090.0,1100.0,1070.0,106986.0,웅진,016880
2020-12-28,1080.0,하락  15,1100.0,1100.0,1065.0,106745.0,웅진,016880
2020-12-29,1085.0,상승  5,1080.0,1120.0,1065.0,259016.0,웅진,016880
2020-12-30,1085.0,보합0,1090.0,1100.0,1065.0,224402.0,웅진,016880
2021-01-04,1105.0,상승  20,1100.0,1110.0,1095.0,267385.0,웅진,016880
2021-01-05,1120.0,상승  15,1100.0,1125.0,1100.0,205189.0,웅진,016880
2021-01-06,1120.0,보합0,1140.0,1140.0,1095.0,292117.0,웅진,016880
2021-01-07,1120.0,보합0,1125.0,1130.0,1100.0,323650.0,웅진,016880
2021-01-08,1100.0,하락  20,1125.0,1125.0,1085.0,325361.0,웅진,016880
2021-01-11,1060.0,하락  40,1095.0,1100.0,1040.0,321040.0,웅진,016880
2021-01-12,1060.0,보합0,1060.0,1070.0,1045.0,110197.0,웅진,016880
2021-01-13,1070.0,상승  10,1060.0,1070.0,1050.0,209475.0,웅진,016880
2021-01-14,1075.0,상승  5,1070.0,1075.0,1055.0,76815.0,웅진,016880
2021-01-15,1065.0,하락  10,1080.0,1085.0,1045.0,178751.0,웅진,016880
2021-01-18,1055.0,하락  10,1065.0,1065.0,1045.0,206638.0,웅진,016880
2021-01-19,1055.0,보합0,1055.0,1065.0,1045.0,106747.0,웅진,016880
2021-01-20,1055.0,보합0,1060.0,1070.0,1040.0,160304.0,웅진,016880
2021-01-21,1055.0,보합0,1055.0,1065.0,1045.0,110427.0,웅진,016880
2021-01-22,1050.0,하락  5,1055.0,1060.0,1045.0,102321.0,웅진,016880
2021-01-25,1070.0,상승  20,1050.0,1075.0,1050.0,220854.0,웅진,016880
2021-01-26,1060.0,하락  10,1080.0,1080.0,1060.0,110720.0,웅진,016880
2021-01-27,1065.0,상승  5,1065.0,1075.0,1030.0,299459.0,웅진,016880
2021-01-28,1055.0,하락  10,1065.0,1065.0,1035.0,151610.0,웅진,016880
2021-01-29,1020.0,하락  35,1055.0,1060.0,1010.0,354847.0,웅진,016880
2021-02-01,1030.0,상승  10,1005.0,1035.0,1000.0,73593.0,웅진,016880
2021-02-02,1035.0,상승  5,1030.0,1045.0,1020.0,95261.0,웅진,016880
2021-02-03,1030.0,하락  5,1040.0,1040.0,1025.0,55707.0,웅진,016880
2021-02-04,1035.0,상승  5,1030.0,1040.0,1015.0,145984.0,웅진,016880
2021-02-05,1040.0,상승  5,1035.0,1050.0,1025.0,115546.0,웅진,016880
2021-02-08,1035.0,하락  5,1040.0,1045.0,1015.0,357976.0,웅진,016880
2021-02-09,1030.0,하락  5,1035.0,1035.0,1025.0,87666.0,웅진,016880
2021-02-10,1025.0,하락  5,1025.0,1030.0,1015.0,76956.0,웅진,016880
2021-02-15,1025.0,보합0,1025.0,1030.0,1015.0,161526.0,웅진,016880
2021-02-16,1025.0,보합0,1030.0,1030.0,1015.0,190203.0,웅진,016880
2021-02-17,1060.0,상승  35,1025.0,1065.0,1015.0,478114.0,웅진,016880
2021-02-18,1055.0,하락  5,1060.0,1070.0,1030.0,233373.0,웅진,016880
2021-02-19,1050.0,하락  5,1060.0,1065.0,1035.0,194171.0,웅진,016880
2021-02-22,1050.0,보합0,1050.0,1055.0,1040.0,222817.0,웅진,016880
2021-02-23,1050.0,보합0,1050.0,1060.0,1040.0,170428.0,웅진,016880
2021-02-24,1045.0,하락  5,1050.0,1055.0,1030.0,171144.0,웅진,016880
2021-02-25,1075.0,상승  30,1045.0,1075.0,1035.0,453841.0,웅진,016880
2021-02-26,1085.0,상승  10,1075.0,1090.0,1060.0,630851.0,웅진,016880
2021-03-02,1090.0,상승  5,1085.0,1095.0,1070.0,217575.0,웅진,016880
2021-03-03,1095.0,상승  5,1090.0,1095.0,1080.0,149573.0,웅진,016880
2021-03-04,1250.0,상승  155,1090.0,1410.0,1080.0,15475554.0,웅진,016880
2021-03-05,1370.0,상승  120,1225.0,1475.0,1180.0,14586867.0,웅진,016880
2021-03-08,1780.0,상한가  410,1355.0,1780.0,1355.0,15663166.0,웅진,016880
2021-03-09,1900.0,상승  120,1985.0,2215.0,1740.0,93476531.0,웅진,016880
2021-03-10,1815.0,하락  85,1810.0,1875.0,1645.0,19397629.0,웅진,016880
2021-03-11,1730.0,하락  85,1900.0,1965.0,1690.0,14878763.0,웅진,016880
2021-03-12,1760.0,상승  30,1710.0,1765.0,1650.0,6045010.0,웅진,016880
2021-03-15,1790.0,상승  30,1790.0,1795.0,1720.0,3323692.0,웅진,016880
2021-03-16,1800.0,상승  10,1770.0,1950.0,1735.0,7988980.0,웅진,016880
2021-03-17,1775.0,하락  25,1770.0,1890.0,1695.0,5461324.0,웅진,016880
2021-03-18,1830.0,상승  55,1785.0,1845.0,1740.0,2502961.0,웅진,016880
2021-03-19,1955.0,상승  125,1840.0,1970.0,1830.0,9048887.0,웅진,016880
2021-03-22,2175.0,상승  220,1945.0,2195.0,1945.0,13251505.0,웅진,016880
2021-03-23,2175.0,보합0,2140.0,2195.0,2055.0,6297963.0,웅진,016880
2021-03-24,2825.0,상한가  650,2250.0,2825.0,2215.0,21016589.0,웅진,016880
2021-03-25,3050.0,상승  225,2885.0,3250.0,2705.0,63361165.0,웅진,016880
2021-03-26,2955.0,하락  95,2975.0,3010.0,2860.0,8075144.0,웅진,016880
2021-03-29,3045.0,상승  90,2970.0,3315.0,2870.0,15819755.0,웅진,016880
2021-03-30,3080.0,상승  35,3070.0,3185.0,3015.0,5495426.0,웅진,016880
2021-03-31,2910.0,하락  170,3190.0,3200.0,2830.0,5305136.0,웅진,016880
2021-04-01,3075.0,상승  165,2910.0,3200.0,2780.0,13070558.0,웅진,016880
2021-04-02,3075.0,보합0,3150.0,3165.0,2945.0,4617101.0,웅진,016880
2021-04-05,2970.0,하락  105,3050.0,3070.0,2820.0,3551040.0,웅진,016880
2021-04-06,3130.0,상승  160,2930.0,3150.0,2705.0,5985382.0,웅진,016880
2021-04-07,3255.0,상승  125,3025.0,3325.0,3020.0,12473528.0,웅진,016880
2021-04-08,3345.0,상승  90,3310.0,3390.0,3180.0,7387074.0,웅진,016880
2021-04-09,3350.0,상승  5,3170.0,3395.0,3120.0,6912887.0,웅진,016880
2021-04-12,3355.0,상승  5,3250.0,3375.0,3230.0,3332797.0,웅진,016880
2021-04-13,3360.0,상승  5,3440.0,3490.0,3250.0,5527779.0,웅진,016880
2021-04-14,3360.0,보합0,3290.0,3360.0,3215.0,3642319.0,웅진,016880
2021-04-15,2855.0,하락  505,3355.0,3425.0,2760.0,9024450.0,웅진,016880
2021-04-16,2770.0,하락  85,2850.0,2970.0,2610.0,7799392.0,웅진,016880
2021-04-19,2610.0,하락  160,2910.0,2910.0,2580.0,4855007.0,웅진,016880
