날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2105.0,하락  170,2100.0,2180.0,2000.0,1419806.0,웅진씽크빅,095720
2020-03-16,2205.0,상승  100,2105.0,2390.0,2105.0,1398994.0,웅진씽크빅,095720
2020-03-17,2240.0,상승  35,2105.0,2350.0,2105.0,1470860.0,웅진씽크빅,095720
2020-03-18,2230.0,하락  10,2250.0,2360.0,2230.0,796375.0,웅진씽크빅,095720
2020-03-19,2040.0,하락  190,2235.0,2295.0,2025.0,1286934.0,웅진씽크빅,095720
2020-03-20,2120.0,상승  80,2050.0,2150.0,2050.0,765449.0,웅진씽크빅,095720
2020-03-23,2105.0,하락  15,2035.0,2135.0,2035.0,447601.0,웅진씽크빅,095720
2020-03-24,2190.0,상승  85,2130.0,2210.0,2130.0,420064.0,웅진씽크빅,095720
2020-03-25,2240.0,상승  50,2250.0,2300.0,2195.0,889327.0,웅진씽크빅,095720
2020-03-26,2285.0,상승  45,2265.0,2335.0,2215.0,1074898.0,웅진씽크빅,095720
2020-03-27,2280.0,하락  5,2340.0,2365.0,2220.0,997454.0,웅진씽크빅,095720
2020-03-30,2580.0,상승  300,2320.0,2720.0,2270.0,7951848.0,웅진씽크빅,095720
2020-03-31,2450.0,하락  130,2725.0,2725.0,2440.0,5062965.0,웅진씽크빅,095720
2020-04-01,2350.0,하락  100,2450.0,2490.0,2350.0,1574652.0,웅진씽크빅,095720
2020-04-02,2420.0,상승  70,2325.0,2475.0,2320.0,1299391.0,웅진씽크빅,095720
2020-04-03,2405.0,하락  15,2470.0,2470.0,2380.0,672971.0,웅진씽크빅,095720
2020-04-06,2470.0,상승  65,2455.0,2490.0,2405.0,997024.0,웅진씽크빅,095720
2020-04-07,2525.0,상승  55,2515.0,2555.0,2460.0,1100368.0,웅진씽크빅,095720
2020-04-08,2555.0,상승  30,2590.0,2650.0,2550.0,1818159.0,웅진씽크빅,095720
2020-04-09,2565.0,상승  10,2605.0,2605.0,2550.0,573207.0,웅진씽크빅,095720
2020-04-10,2540.0,하락  25,2565.0,2565.0,2495.0,723985.0,웅진씽크빅,095720
2020-04-13,2525.0,하락  15,2560.0,2565.0,2510.0,351171.0,웅진씽크빅,095720
2020-04-14,2530.0,상승  5,2525.0,2555.0,2505.0,479530.0,웅진씽크빅,095720
2020-04-16,2600.0,상승  70,2550.0,2630.0,2510.0,1092693.0,웅진씽크빅,095720
2020-04-17,2615.0,상승  15,2610.0,2630.0,2580.0,882665.0,웅진씽크빅,095720
2020-04-20,2660.0,상승  45,2625.0,2665.0,2590.0,988141.0,웅진씽크빅,095720
2020-04-21,2620.0,하락  40,2655.0,2660.0,2515.0,1270687.0,웅진씽크빅,095720
2020-04-22,2605.0,하락  15,2600.0,2630.0,2550.0,716081.0,웅진씽크빅,095720
2020-04-23,2690.0,상승  85,2595.0,2750.0,2595.0,2151398.0,웅진씽크빅,095720
2020-04-24,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-04-27,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-04-28,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-04-29,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-04,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-06,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-07,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-08,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-11,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-12,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-13,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-14,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-15,2690.0,보합0,0.0,0.0,0.0,0.0,웅진씽크빅,095720
2020-05-18,2650.0,보합0,2650.0,2725.0,2510.0,1420801.0,웅진씽크빅,095720
2020-05-19,2580.0,하락  70,2690.0,2695.0,2530.0,951014.0,웅진씽크빅,095720
2020-05-20,2590.0,상승  10,2595.0,2620.0,2535.0,766898.0,웅진씽크빅,095720
2020-05-21,2580.0,하락  10,2605.0,2605.0,2565.0,412302.0,웅진씽크빅,095720
2020-05-22,2550.0,하락  30,2580.0,2595.0,2540.0,413477.0,웅진씽크빅,095720
2020-05-25,2475.0,하락  75,2545.0,2545.0,2455.0,682033.0,웅진씽크빅,095720
2020-05-26,2495.0,상승  20,2475.0,2500.0,2430.0,596587.0,웅진씽크빅,095720
2020-05-27,2495.0,보합0,2510.0,2510.0,2470.0,372759.0,웅진씽크빅,095720
2020-05-28,2445.0,하락  50,2500.0,2520.0,2415.0,476286.0,웅진씽크빅,095720
2020-05-29,2405.0,하락  40,2440.0,2460.0,2380.0,354850.0,웅진씽크빅,095720
2020-06-01,2415.0,상승  10,2440.0,2455.0,2400.0,499885.0,웅진씽크빅,095720
2020-06-02,2430.0,상승  15,2445.0,2450.0,2410.0,321961.0,웅진씽크빅,095720
2020-06-03,2440.0,상승  10,2430.0,2460.0,2420.0,598413.0,웅진씽크빅,095720
