날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,14250.0,"하락  2,150",15600.0,15950.0,13000.0,2531.0,원림,005820
2020-03-16,13900.0,하락  350,14250.0,15300.0,13500.0,1917.0,원림,005820
2020-03-17,13350.0,하락  550,14350.0,14350.0,13050.0,1534.0,원림,005820
2020-03-18,13450.0,상승  100,13450.0,13650.0,13050.0,1963.0,원림,005820
2020-03-19,13100.0,하락  350,13600.0,13600.0,12300.0,2714.0,원림,005820
2020-03-20,13600.0,상승  500,12950.0,13650.0,12600.0,2233.0,원림,005820
2020-03-23,12700.0,하락  900,13600.0,13600.0,12250.0,527.0,원림,005820
2020-03-24,13600.0,상승  900,12300.0,13600.0,12300.0,2275.0,원림,005820
2020-03-25,13700.0,상승  100,13750.0,13750.0,13500.0,311.0,원림,005820
2020-03-26,13450.0,하락  250,13200.0,13700.0,13200.0,1901.0,원림,005820
2020-03-27,13600.0,상승  150,13900.0,14100.0,13400.0,538.0,원림,005820
2020-03-30,14150.0,상승  550,13600.0,15500.0,13000.0,627.0,원림,005820
2020-03-31,14600.0,상승  450,14700.0,14700.0,13850.0,2327.0,원림,005820
2020-04-01,14900.0,상승  300,14600.0,15200.0,14450.0,784.0,원림,005820
2020-04-02,15200.0,상승  300,14900.0,15500.0,14200.0,1197.0,원림,005820
2020-04-03,14950.0,하락  250,15000.0,15100.0,14700.0,784.0,원림,005820
2020-04-06,15300.0,상승  350,14950.0,15300.0,14500.0,913.0,원림,005820
2020-04-07,15150.0,하락  150,15850.0,15850.0,14350.0,992.0,원림,005820
2020-04-08,15300.0,상승  150,15100.0,15350.0,14700.0,1041.0,원림,005820
2020-04-09,15800.0,상승  500,15300.0,15800.0,15000.0,1995.0,원림,005820
2020-04-10,15350.0,하락  450,15700.0,15700.0,15100.0,1260.0,원림,005820
2020-04-13,15450.0,상승  100,15300.0,15600.0,14850.0,980.0,원림,005820
2020-04-14,15750.0,상승  300,15400.0,15750.0,15150.0,905.0,원림,005820
2020-04-16,16250.0,상승  500,15550.0,16250.0,15550.0,1657.0,원림,005820
2020-04-17,16400.0,상승  150,16250.0,16900.0,15950.0,960.0,원림,005820
2020-04-20,15850.0,하락  550,16250.0,16550.0,15850.0,733.0,원림,005820
