날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1615.0,하락  185,1800.0,1860.0,1600.0,713221.0,웰바이오텍,010600
2020-03-17,1790.0,상승  175,1540.0,2005.0,1475.0,2275449.0,웰바이오텍,010600
2020-03-18,1840.0,상승  50,1860.0,1950.0,1800.0,689349.0,웰바이오텍,010600
2020-03-19,1845.0,상승  5,1900.0,1950.0,1720.0,537660.0,웰바이오텍,010600
2020-03-20,1935.0,상승  90,1845.0,1950.0,1845.0,353282.0,웰바이오텍,010600
2020-03-23,2020.0,상승  85,1845.0,2100.0,1680.0,1336519.0,웰바이오텍,010600
2020-03-24,2095.0,상승  75,2020.0,2565.0,1975.0,3927557.0,웰바이오텍,010600
2020-03-25,2185.0,상승  90,2200.0,2320.0,2100.0,2142103.0,웰바이오텍,010600
2020-03-26,2175.0,하락  10,2280.0,2290.0,2175.0,1647451.0,웰바이오텍,010600
2020-03-27,2015.0,하락  160,2180.0,2335.0,1900.0,2416074.0,웰바이오텍,010600
2020-03-30,2075.0,상승  60,2020.0,2120.0,2020.0,719686.0,웰바이오텍,010600
2020-03-31,2060.0,하락  15,2100.0,2130.0,2020.0,757357.0,웰바이오텍,010600
2020-04-01,2010.0,하락  50,2035.0,2135.0,1995.0,520618.0,웰바이오텍,010600
2020-04-02,1955.0,하락  55,1975.0,2000.0,1895.0,440372.0,웰바이오텍,010600
2020-04-03,1910.0,하락  45,1980.0,2005.0,1900.0,283982.0,웰바이오텍,010600
2020-04-06,1920.0,상승  10,1970.0,1970.0,1900.0,607861.0,웰바이오텍,010600
2020-04-07,2005.0,상승  85,1955.0,2060.0,1895.0,1185214.0,웰바이오텍,010600
2020-04-08,2075.0,상승  70,2035.0,2085.0,1955.0,854170.0,웰바이오텍,010600
2020-04-09,2040.0,하락  35,2085.0,2095.0,1990.0,563321.0,웰바이오텍,010600
2020-04-10,2000.0,하락  40,2040.0,2050.0,1920.0,696229.0,웰바이오텍,010600
2020-04-13,2005.0,상승  5,2000.0,2195.0,1955.0,3517974.0,웰바이오텍,010600
2020-04-14,2010.0,상승  5,2090.0,2090.0,2005.0,705838.0,웰바이오텍,010600
2020-04-16,1985.0,하락  25,1995.0,2025.0,1970.0,346645.0,웰바이오텍,010600
2020-04-17,2025.0,상승  40,1985.0,2070.0,1975.0,620947.0,웰바이오텍,010600
2020-04-20,2070.0,상승  45,2055.0,2115.0,2045.0,578697.0,웰바이오텍,010600
2020-04-21,2005.0,하락  65,2070.0,2085.0,1865.0,637773.0,웰바이오텍,010600
2020-04-22,2030.0,상승  25,2030.0,2230.0,1980.0,2725549.0,웰바이오텍,010600
2020-04-23,2035.0,상승  5,2040.0,2080.0,2020.0,486294.0,웰바이오텍,010600
2020-04-24,1990.0,하락  45,2025.0,2025.0,1970.0,351051.0,웰바이오텍,010600
2020-04-27,1970.0,하락  20,2010.0,2010.0,1970.0,423582.0,웰바이오텍,010600
2020-04-28,1960.0,하락  10,1975.0,1995.0,1940.0,276283.0,웰바이오텍,010600
