날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,31700.0,하락  800,32000.0,33900.0,31250.0,55323.0,유니드,014830
2020-03-17,31600.0,하락  100,29900.0,31850.0,29550.0,51543.0,유니드,014830
2020-03-18,30600.0,"하락  1,000",31100.0,31950.0,30500.0,33662.0,유니드,014830
2020-03-19,30000.0,하락  600,31000.0,32250.0,29350.0,59635.0,유니드,014830
2020-03-20,30900.0,상승  900,30000.0,31000.0,29700.0,56569.0,유니드,014830
2020-03-23,30850.0,하락  50,29750.0,31350.0,29500.0,45773.0,유니드,014830
2020-03-24,31400.0,상승  550,30350.0,31400.0,29000.0,60344.0,유니드,014830
2020-03-25,32600.0,"상승  1,200",31350.0,32600.0,31150.0,64480.0,유니드,014830
2020-03-26,33000.0,상승  400,32050.0,33900.0,31650.0,53132.0,유니드,014830
2020-03-27,34250.0,"상승  1,250",33900.0,34300.0,32700.0,46188.0,유니드,014830
2020-03-30,34000.0,하락  250,33500.0,34400.0,32850.0,20329.0,유니드,014830
2020-03-31,34000.0,보합0,34300.0,35300.0,33800.0,24149.0,유니드,014830
2020-04-01,34150.0,상승  150,34000.0,34750.0,33250.0,24448.0,유니드,014830
2020-04-02,34100.0,하락  50,33700.0,34250.0,33300.0,19551.0,유니드,014830
2020-04-03,34500.0,상승  400,33850.0,34500.0,33500.0,20463.0,유니드,014830
2020-04-06,35000.0,상승  500,35450.0,35800.0,34550.0,18690.0,유니드,014830
2020-04-07,35100.0,상승  100,35050.0,35600.0,34250.0,37379.0,유니드,014830
2020-04-08,35950.0,상승  850,35400.0,36600.0,35250.0,36880.0,유니드,014830
2020-04-09,36200.0,상승  250,36350.0,36450.0,35550.0,21550.0,유니드,014830
2020-04-10,36350.0,상승  150,35950.0,36450.0,35600.0,22048.0,유니드,014830
2020-04-13,37300.0,상승  950,35900.0,37300.0,35750.0,21486.0,유니드,014830
2020-04-14,39250.0,"상승  1,950",37300.0,39750.0,37200.0,40510.0,유니드,014830
2020-04-16,39250.0,보합0,38550.0,39250.0,37450.0,24657.0,유니드,014830
2020-04-17,39600.0,상승  350,38500.0,40300.0,38500.0,32702.0,유니드,014830
2020-04-20,39250.0,하락  350,39350.0,40200.0,39050.0,21290.0,유니드,014830
2020-04-21,38500.0,하락  750,39250.0,39600.0,37750.0,21414.0,유니드,014830
2020-04-22,38050.0,하락  450,38450.0,38450.0,37400.0,14034.0,유니드,014830
2020-04-23,39500.0,"상승  1,450",38000.0,39500.0,37650.0,19607.0,유니드,014830
2020-04-24,39200.0,하락  300,39300.0,39350.0,38550.0,29141.0,유니드,014830
2020-04-27,39800.0,상승  600,39000.0,40700.0,39000.0,20526.0,유니드,014830
2020-04-28,41850.0,"상승  2,050",40500.0,41900.0,39900.0,42809.0,유니드,014830
2020-04-29,43200.0,"상승  1,350",41800.0,43200.0,41200.0,41227.0,유니드,014830
2020-05-04,40950.0,"하락  2,250",43000.0,43000.0,40900.0,36965.0,유니드,014830
2020-05-06,41750.0,상승  800,41250.0,41900.0,40700.0,26242.0,유니드,014830
2020-05-07,41400.0,하락  350,41400.0,41850.0,40850.0,16573.0,유니드,014830
2020-05-08,42600.0,"상승  1,200",41500.0,43000.0,41500.0,26800.0,유니드,014830
2020-05-11,41650.0,하락  950,42600.0,43300.0,41600.0,24056.0,유니드,014830
2020-05-12,41650.0,보합0,41950.0,42200.0,40500.0,20379.0,유니드,014830
2020-05-13,41350.0,하락  300,41200.0,41600.0,40650.0,14162.0,유니드,014830
2020-05-14,41000.0,하락  350,41350.0,41450.0,40800.0,29673.0,유니드,014830
2020-05-15,41200.0,상승  200,41400.0,41400.0,40650.0,18762.0,유니드,014830
2020-05-18,41100.0,하락  100,41800.0,41800.0,40750.0,12245.0,유니드,014830
2020-05-19,41650.0,상승  550,41150.0,41800.0,41150.0,26389.0,유니드,014830
2020-05-20,41400.0,하락  250,41650.0,41850.0,41350.0,17911.0,유니드,014830
