날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2255.0,하락  360,2250.0,2440.0,2080.0,328076.0,유니온,000910
2020-03-16,2120.0,하락  135,2250.0,2345.0,2120.0,120581.0,유니온,000910
2020-03-17,2125.0,상승  5,1830.0,2135.0,1830.0,187595.0,유니온,000910
2020-03-18,1990.0,하락  135,2090.0,2180.0,1985.0,63338.0,유니온,000910
2020-03-19,1670.0,하락  320,1965.0,2070.0,1660.0,283220.0,유니온,000910
2020-03-20,1950.0,상승  280,1580.0,1950.0,1580.0,182305.0,유니온,000910
2020-03-23,1725.0,하락  225,1760.0,1795.0,1715.0,115461.0,유니온,000910
2020-03-24,1820.0,상승  95,1740.0,1820.0,1725.0,92778.0,유니온,000910
2020-03-25,1940.0,상승  120,1850.0,1980.0,1850.0,154602.0,유니온,000910
2020-03-26,1980.0,상승  40,1950.0,2030.0,1900.0,137828.0,유니온,000910
2020-03-27,1980.0,보합0,2085.0,2120.0,1955.0,201649.0,유니온,000910
2020-03-30,2075.0,상승  95,1940.0,2090.0,1865.0,113544.0,유니온,000910
2020-03-31,2310.0,상승  235,2090.0,2315.0,2090.0,146611.0,유니온,000910
2020-04-01,2225.0,하락  85,2295.0,2345.0,2190.0,181931.0,유니온,000910
2020-04-02,2240.0,상승  15,2215.0,2250.0,2135.0,75936.0,유니온,000910
2020-04-03,2240.0,보합0,2240.0,2300.0,2205.0,93794.0,유니온,000910
2020-04-06,2355.0,상승  115,2265.0,2380.0,2240.0,146437.0,유니온,000910
2020-04-07,2520.0,상승  165,2380.0,2660.0,2360.0,198975.0,유니온,000910
2020-04-08,2525.0,상승  5,2540.0,2600.0,2430.0,102615.0,유니온,000910
2020-04-09,2580.0,상승  55,2535.0,2590.0,2535.0,73188.0,유니온,000910
2020-04-10,2535.0,하락  45,2590.0,2650.0,2435.0,101207.0,유니온,000910
2020-04-13,2420.0,하락  115,2520.0,2535.0,2420.0,88408.0,유니온,000910
2020-04-14,2620.0,상승  200,2450.0,2880.0,2445.0,770674.0,유니온,000910
2020-04-16,2785.0,상승  165,2625.0,2870.0,2590.0,323240.0,유니온,000910
2020-04-17,2830.0,상승  45,2785.0,2895.0,2760.0,176786.0,유니온,000910
2020-04-20,2885.0,상승  55,2935.0,2975.0,2835.0,229305.0,유니온,000910
2020-04-21,2795.0,하락  90,2855.0,2960.0,2620.0,267131.0,유니온,000910
2020-04-22,3240.0,상승  445,2705.0,3410.0,2675.0,1506520.0,유니온,000910
2020-04-23,3090.0,하락  150,3135.0,3150.0,3035.0,506943.0,유니온,000910
2020-04-24,2980.0,하락  110,3100.0,3100.0,2930.0,226968.0,유니온,000910
