날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1880.0,하락  140,1970.0,2060.0,1880.0,862436.0,유안타증권,003470
2020-03-17,1770.0,하락  110,1625.0,1805.0,1625.0,2008441.0,유안타증권,003470
2020-03-18,1700.0,하락  70,1800.0,1820.0,1695.0,492595.0,유안타증권,003470
2020-03-19,1350.0,하락  350,1695.0,1735.0,1350.0,1527887.0,유안타증권,003470
2020-03-20,1500.0,상승  150,1360.0,1575.0,1340.0,1098071.0,유안타증권,003470
2020-03-23,1410.0,하락  90,1395.0,1445.0,1375.0,695917.0,유안타증권,003470
2020-03-24,1640.0,상승  230,1460.0,1655.0,1440.0,756005.0,유안타증권,003470
2020-03-25,1910.0,상승  270,1705.0,1940.0,1705.0,1556222.0,유안타증권,003470
2020-03-26,1890.0,하락  20,1950.0,1985.0,1850.0,1063505.0,유안타증권,003470
2020-03-27,1950.0,상승  60,2000.0,2030.0,1895.0,808350.0,유안타증권,003470
2020-03-30,1970.0,상승  20,1870.0,1975.0,1860.0,584378.0,유안타증권,003470
2020-03-31,1985.0,상승  15,2015.0,2035.0,1955.0,696888.0,유안타증권,003470
2020-04-01,1940.0,하락  45,1975.0,2020.0,1935.0,441584.0,유안타증권,003470
2020-04-02,1975.0,상승  35,1945.0,1995.0,1890.0,467526.0,유안타증권,003470
2020-04-03,1990.0,상승  15,1990.0,2020.0,1950.0,410305.0,유안타증권,003470
2020-04-06,2165.0,상승  175,2005.0,2175.0,2000.0,782839.0,유안타증권,003470
2020-04-07,2230.0,상승  65,2250.0,2295.0,2175.0,624992.0,유안타증권,003470
2020-04-08,2200.0,하락  30,2240.0,2240.0,2185.0,295996.0,유안타증권,003470
2020-04-09,2225.0,상승  25,2260.0,2260.0,2185.0,622946.0,유안타증권,003470
2020-04-10,2325.0,상승  100,2235.0,2345.0,2210.0,689820.0,유안타증권,003470
2020-04-13,2340.0,상승  15,2345.0,2410.0,2325.0,573781.0,유안타증권,003470
2020-04-14,2365.0,상승  25,2350.0,2395.0,2345.0,247341.0,유안타증권,003470
2020-04-16,2335.0,하락  30,2330.0,2365.0,2280.0,254406.0,유안타증권,003470
2020-04-17,2395.0,상승  60,2365.0,2455.0,2365.0,392018.0,유안타증권,003470
2020-04-20,2385.0,하락  10,2420.0,2445.0,2365.0,354831.0,유안타증권,003470
2020-04-21,2340.0,하락  45,2375.0,2375.0,2255.0,647666.0,유안타증권,003470
2020-04-22,2370.0,상승  30,2265.0,2375.0,2250.0,391461.0,유안타증권,003470
2020-04-23,2360.0,하락  10,2390.0,2400.0,2340.0,270582.0,유안타증권,003470
2020-04-24,2320.0,하락  40,2395.0,2395.0,2300.0,217977.0,유안타증권,003470
2020-04-27,2395.0,상승  75,2350.0,2445.0,2330.0,453080.0,유안타증권,003470
2020-04-28,2400.0,상승  5,2420.0,2435.0,2370.0,307386.0,유안타증권,003470
2020-04-29,2570.0,상승  170,2400.0,2820.0,2400.0,4309070.0,유안타증권,003470
2020-05-04,2585.0,상승  15,2500.0,2635.0,2460.0,727218.0,유안타증권,003470
2020-05-06,2715.0,상승  130,2625.0,2770.0,2625.0,1157509.0,유안타증권,003470
2020-05-07,2740.0,상승  25,2660.0,2740.0,2660.0,418358.0,유안타증권,003470
2020-05-08,2740.0,보합0,2765.0,2765.0,2700.0,418210.0,유안타증권,003470
2020-05-11,2780.0,상승  40,2745.0,2815.0,2715.0,653101.0,유안타증권,003470
2020-05-12,2700.0,하락  80,2800.0,2810.0,2680.0,556551.0,유안타증권,003470
2020-05-13,2685.0,하락  15,2630.0,2690.0,2595.0,332406.0,유안타증권,003470
2020-05-14,2580.0,하락  105,2665.0,2665.0,2580.0,384508.0,유안타증권,003470
2020-05-15,2670.0,상승  90,2635.0,2735.0,2625.0,550187.0,유안타증권,003470
2020-05-18,2670.0,보합0,2690.0,2695.0,2610.0,308045.0,유안타증권,003470
2020-05-19,2685.0,상승  15,2755.0,2755.0,2665.0,511773.0,유안타증권,003470
