날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1655.0,하락  145,1655.0,1755.0,1580.0,878939.0,유진증권,001200
2020-03-16,1605.0,하락  50,1685.0,1720.0,1605.0,467864.0,유진증권,001200
2020-03-17,1500.0,하락  105,1435.0,1615.0,1435.0,1570863.0,유진증권,001200
2020-03-18,1400.0,하락  100,1530.0,1530.0,1390.0,683809.0,유진증권,001200
2020-03-19,1190.0,하락  210,1420.0,1450.0,1160.0,1412310.0,유진증권,001200
2020-03-20,1400.0,상승  210,1190.0,1430.0,1190.0,1849177.0,유진증권,001200
2020-03-23,1370.0,하락  30,1310.0,1405.0,1275.0,866389.0,유진증권,001200
2020-03-24,1525.0,상승  155,1410.0,1525.0,1410.0,522589.0,유진증권,001200
2020-03-25,1630.0,상승  105,1625.0,1640.0,1540.0,784915.0,유진증권,001200
2020-03-26,1625.0,하락  5,1630.0,1680.0,1590.0,520626.0,유진증권,001200
2020-03-27,1660.0,상승  35,1695.0,1720.0,1625.0,557185.0,유진증권,001200
2020-03-30,1730.0,상승  70,1595.0,1730.0,1595.0,397393.0,유진증권,001200
2020-03-31,1800.0,상승  70,1770.0,1860.0,1750.0,553316.0,유진증권,001200
2020-04-01,1740.0,하락  60,1780.0,1830.0,1730.0,437113.0,유진증권,001200
2020-04-02,1785.0,상승  45,1735.0,1785.0,1685.0,339760.0,유진증권,001200
2020-04-03,1765.0,하락  20,1785.0,1790.0,1730.0,301389.0,유진증권,001200
2020-04-06,1840.0,상승  75,1770.0,1840.0,1745.0,391988.0,유진증권,001200
2020-04-07,1850.0,상승  10,1890.0,1890.0,1790.0,441980.0,유진증권,001200
2020-04-08,1825.0,하락  25,1815.0,1850.0,1800.0,172989.0,유진증권,001200
2020-04-09,1850.0,상승  25,1835.0,1860.0,1825.0,358725.0,유진증권,001200
2020-04-10,1915.0,상승  65,1855.0,1920.0,1830.0,520873.0,유진증권,001200
2020-04-13,1860.0,하락  55,1910.0,1950.0,1855.0,451666.0,유진증권,001200
2020-04-14,1895.0,상승  35,1875.0,1905.0,1865.0,185361.0,유진증권,001200
2020-04-16,1900.0,상승  5,1895.0,1900.0,1830.0,281354.0,유진증권,001200
2020-04-17,1980.0,상승  80,1925.0,2000.0,1925.0,504446.0,유진증권,001200
2020-04-20,1980.0,보합0,1970.0,2035.0,1965.0,498558.0,유진증권,001200
2020-04-21,1980.0,보합0,1970.0,2000.0,1905.0,517524.0,유진증권,001200
2020-04-22,2010.0,상승  30,1950.0,2010.0,1945.0,271556.0,유진증권,001200
2020-04-23,2025.0,상승  15,2010.0,2030.0,2000.0,118291.0,유진증권,001200
2020-04-24,2010.0,하락  15,2040.0,2045.0,1990.0,219215.0,유진증권,001200
2020-04-27,2100.0,상승  90,2015.0,2120.0,2015.0,404446.0,유진증권,001200
2020-04-28,2180.0,상승  80,2120.0,2180.0,2110.0,635931.0,유진증권,001200
2020-04-29,2830.0,상한가  650,2275.0,2830.0,2260.0,16628392.0,유진증권,001200
2020-05-04,2965.0,상승  135,3025.0,3270.0,2810.0,20042200.0,유진증권,001200
2020-05-06,3100.0,상승  135,3200.0,3600.0,3065.0,26617037.0,유진증권,001200
2020-05-07,3135.0,상승  35,3005.0,3135.0,2980.0,1555738.0,유진증권,001200
2020-05-08,3090.0,하락  45,3130.0,3130.0,3070.0,959359.0,유진증권,001200
2020-05-11,3180.0,상승  90,3090.0,3230.0,3090.0,1602333.0,유진증권,001200
2020-05-12,3185.0,상승  5,3200.0,3200.0,3000.0,2118110.0,유진증권,001200
2020-05-13,3140.0,하락  45,3050.0,3150.0,3005.0,1133147.0,유진증권,001200
2020-05-14,3035.0,하락  105,3055.0,3110.0,3000.0,1170033.0,유진증권,001200
2020-05-15,2895.0,하락  140,3090.0,3125.0,2870.0,1638144.0,유진증권,001200
2020-05-18,2925.0,상승  30,2955.0,3005.0,2860.0,820718.0,유진증권,001200
2020-05-19,3005.0,상승  80,2940.0,3030.0,2940.0,710873.0,유진증권,001200
2020-05-20,3050.0,상승  45,3005.0,3060.0,2950.0,669224.0,유진증권,001200
2020-05-21,3120.0,상승  70,3020.0,3120.0,3020.0,792095.0,유진증권,001200
2020-05-22,2930.0,하락  190,3150.0,3150.0,2905.0,1115536.0,유진증권,001200
2020-05-25,2940.0,상승  10,2940.0,3000.0,2890.0,920743.0,유진증권,001200
2020-05-26,2980.0,상승  40,2955.0,2990.0,2895.0,944273.0,유진증권,001200
2020-05-27,2950.0,하락  30,3010.0,3010.0,2945.0,649085.0,유진증권,001200
2020-05-28,2860.0,하락  90,2995.0,2995.0,2800.0,1220381.0,유진증권,001200
2020-05-29,2865.0,상승  5,2850.0,2900.0,2800.0,569244.0,유진증권,001200
2020-06-01,3075.0,상승  210,2870.0,3080.0,2870.0,1599112.0,유진증권,001200
2020-06-02,3305.0,상승  230,3085.0,3310.0,3030.0,2567476.0,유진증권,001200
2020-06-03,3360.0,상승  55,3315.0,3450.0,3305.0,2877954.0,유진증권,001200
2020-06-04,3445.0,상승  85,3400.0,3470.0,3220.0,2013591.0,유진증권,001200
2020-06-05,3755.0,상승  310,3430.0,3770.0,3400.0,4033233.0,유진증권,001200
2020-06-08,3775.0,상승  20,3815.0,3885.0,3650.0,1773162.0,유진증권,001200
2020-06-09,3545.0,하락  230,3770.0,3770.0,3480.0,1955439.0,유진증권,001200
2020-06-10,3425.0,하락  120,3480.0,3525.0,3380.0,1270976.0,유진증권,001200
2020-06-11,3445.0,상승  20,3400.0,3480.0,3265.0,1035798.0,유진증권,001200
2020-06-12,3360.0,하락  85,3205.0,3360.0,3180.0,1309920.0,유진증권,001200
2020-06-15,2950.0,하락  410,3320.0,3355.0,2940.0,1639807.0,유진증권,001200
2020-06-16,3060.0,상승  110,3045.0,3125.0,2990.0,1121744.0,유진증권,001200
2020-06-17,2995.0,하락  65,3020.0,3075.0,2950.0,704043.0,유진증권,001200
2020-06-18,3005.0,상승  10,2960.0,3110.0,2960.0,748961.0,유진증권,001200
2020-06-19,3010.0,상승  5,3035.0,3050.0,2960.0,585441.0,유진증권,001200
2020-06-22,3025.0,상승  15,3010.0,3035.0,2985.0,306809.0,유진증권,001200
2020-06-23,3210.0,상승  185,3045.0,3230.0,2995.0,889093.0,유진증권,001200
2020-06-24,3140.0,하락  70,3210.0,3220.0,3120.0,405113.0,유진증권,001200
2020-06-25,3020.0,하락  120,3065.0,3110.0,2965.0,640302.0,유진증권,001200
2020-06-26,2960.0,하락  60,3025.0,3035.0,2955.0,405929.0,유진증권,001200
2020-06-29,2810.0,하락  150,2885.0,2890.0,2775.0,519887.0,유진증권,001200
2020-06-30,2845.0,상승  35,2860.0,2910.0,2840.0,303448.0,유진증권,001200
2020-07-01,2865.0,상승  20,2890.0,2900.0,2825.0,231628.0,유진증권,001200
2020-07-02,2885.0,상승  20,2855.0,2905.0,2735.0,262646.0,유진증권,001200
2020-07-03,2855.0,하락  30,2930.0,2930.0,2830.0,202720.0,유진증권,001200
2020-07-06,2860.0,상승  5,2870.0,2885.0,2830.0,222602.0,유진증권,001200
2020-07-07,2945.0,상승  85,2905.0,2945.0,2860.0,444840.0,유진증권,001200
2020-07-08,2900.0,하락  45,2945.0,2945.0,2875.0,233742.0,유진증권,001200
2020-07-09,2905.0,상승  5,2910.0,2930.0,2870.0,222951.0,유진증권,001200
2020-07-10,2830.0,하락  75,2920.0,2925.0,2805.0,377949.0,유진증권,001200
2020-07-13,3135.0,상승  305,3285.0,3295.0,3000.0,2278389.0,유진증권,001200
2020-07-14,3020.0,하락  115,3100.0,3100.0,2945.0,798783.0,유진증권,001200
2020-07-15,3065.0,상승  45,3075.0,3075.0,3020.0,450284.0,유진증권,001200
2020-07-16,3190.0,상승  125,3045.0,3230.0,3045.0,979686.0,유진증권,001200
2020-07-17,3260.0,상승  70,3200.0,3275.0,3165.0,886506.0,유진증권,001200
2020-07-20,3290.0,상승  30,3310.0,3400.0,3215.0,1030065.0,유진증권,001200
2020-07-21,3465.0,상승  175,3310.0,3530.0,3290.0,1483607.0,유진증권,001200
2020-07-22,3435.0,하락  30,3480.0,3585.0,3400.0,1070361.0,유진증권,001200
2020-07-23,3395.0,하락  40,3425.0,3445.0,3365.0,799272.0,유진증권,001200
2020-07-24,3385.0,하락  10,3320.0,3485.0,3320.0,723881.0,유진증권,001200
2020-07-27,3540.0,상승  155,3370.0,3600.0,3370.0,1045608.0,유진증권,001200
2020-07-28,3550.0,상승  10,3535.0,3650.0,3510.0,860252.0,유진증권,001200
2020-07-29,3615.0,상승  65,3555.0,3615.0,3520.0,532681.0,유진증권,001200
2020-07-30,3655.0,상승  40,3635.0,3720.0,3635.0,735171.0,유진증권,001200
2020-07-31,3820.0,상승  165,3700.0,3895.0,3645.0,1619124.0,유진증권,001200
2020-08-03,3840.0,상승  20,3845.0,3915.0,3755.0,873530.0,유진증권,001200
2020-08-04,4055.0,상승  215,3850.0,4115.0,3840.0,1891954.0,유진증권,001200
2020-08-05,4440.0,상승  385,4205.0,4480.0,4120.0,3294143.0,유진증권,001200
2020-08-06,4390.0,하락  50,4460.0,4670.0,4230.0,2625325.0,유진증권,001200
2020-08-07,4320.0,하락  70,4395.0,4530.0,4160.0,1857540.0,유진증권,001200
2020-08-10,4680.0,상승  360,4350.0,4680.0,4270.0,2081913.0,유진증권,001200
2020-08-11,4020.0,하락  660,4730.0,4875.0,3880.0,8856366.0,유진증권,001200
2020-08-12,4040.0,상승  20,4020.0,4070.0,3795.0,2774189.0,유진증권,001200
2020-08-13,3970.0,하락  70,4095.0,4120.0,3935.0,1118235.0,유진증권,001200
2020-08-14,3890.0,하락  80,3990.0,4045.0,3825.0,869991.0,유진증권,001200
2020-08-18,3610.0,하락  280,3890.0,3925.0,3585.0,1320477.0,유진증권,001200
2020-08-19,3610.0,보합0,3610.0,3700.0,3520.0,907125.0,유진증권,001200
2020-08-20,3425.0,하락  185,3530.0,3590.0,3375.0,1163201.0,유진증권,001200
2020-08-21,3450.0,상승  25,3475.0,3525.0,3410.0,581826.0,유진증권,001200
2020-08-24,3500.0,상승  50,3435.0,3520.0,3390.0,476033.0,유진증권,001200
2020-08-25,3720.0,상승  220,3540.0,3810.0,3535.0,1300325.0,유진증권,001200
2020-08-26,3615.0,하락  105,3705.0,3715.0,3550.0,875341.0,유진증권,001200
2020-08-27,3515.0,하락  100,3615.0,3630.0,3460.0,634537.0,유진증권,001200
2020-08-28,3530.0,상승  15,3555.0,3635.0,3510.0,570902.0,유진증권,001200
2020-08-31,3555.0,상승  25,3595.0,3620.0,3505.0,380455.0,유진증권,001200
