날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,208000.0,보합0,212000.0,216000.0,206500.0,48713.0,유한양행,000100
2020-03-17,212000.0,"상승  4,000",205000.0,212000.0,201500.0,69480.0,유한양행,000100
2020-03-18,207500.0,"하락  4,500",210500.0,213500.0,205000.0,67133.0,유한양행,000100
2020-03-19,194500.0,"하락  13,000",209000.0,211500.0,194500.0,88336.0,유한양행,000100
2020-03-20,200000.0,"상승  5,500",199500.0,201000.0,194000.0,76558.0,유한양행,000100
2020-03-23,195000.0,"하락  5,000",192000.0,196500.0,187500.0,56517.0,유한양행,000100
2020-03-24,200500.0,"상승  5,500",197000.0,201500.0,195500.0,53960.0,유한양행,000100
2020-03-25,202000.0,"상승  1,500",202500.0,205000.0,199500.0,78216.0,유한양행,000100
2020-03-26,203000.0,"상승  1,000",202000.0,208000.0,200000.0,70831.0,유한양행,000100
2020-03-27,223000.0,"상승  20,000",208500.0,256000.0,206000.0,555567.0,유한양행,000100
2020-03-30,223000.0,보합0,220500.0,228000.0,215000.0,122325.0,유한양행,000100
2020-03-31,229000.0,"상승  6,000",227000.0,229500.0,221500.0,145657.0,유한양행,000100
2020-04-01,224500.0,"하락  4,500",234000.0,245500.0,223500.0,195574.0,유한양행,000100
2020-04-02,224500.0,보합0,224500.0,229000.0,217000.0,71427.0,유한양행,000100
2020-04-03,224500.0,보합0,0.0,0.0,0.0,0.0,유한양행,000100
2020-04-06,224500.0,보합0,0.0,0.0,0.0,0.0,유한양행,000100
2020-04-07,224500.0,보합0,0.0,0.0,0.0,0.0,유한양행,000100
2020-04-08,46550.0,"상승  1,650",51000.0,52900.0,46550.0,2612972.0,유한양행,000100
2020-04-09,49000.0,"상승  2,450",47850.0,50500.0,47250.0,1819258.0,유한양행,000100
2020-04-10,48550.0,하락  450,50000.0,50000.0,47700.0,712604.0,유한양행,000100
2020-04-13,47750.0,하락  800,48900.0,49800.0,47700.0,517666.0,유한양행,000100
2020-04-14,47200.0,하락  550,47200.0,47650.0,46350.0,612501.0,유한양행,000100
2020-04-16,46200.0,"하락  1,000",46450.0,46900.0,45800.0,574409.0,유한양행,000100
2020-04-17,46700.0,상승  500,48550.0,48750.0,46600.0,829942.0,유한양행,000100
2020-04-20,46900.0,상승  200,46800.0,48000.0,46300.0,556649.0,유한양행,000100
2020-04-21,46500.0,하락  400,46850.0,47400.0,45600.0,488931.0,유한양행,000100
2020-04-22,47200.0,상승  700,45650.0,47200.0,45650.0,332788.0,유한양행,000100
2020-04-23,47600.0,상승  400,47200.0,47600.0,46750.0,390343.0,유한양행,000100
2020-04-24,46950.0,하락  650,47000.0,47450.0,46550.0,306877.0,유한양행,000100
2020-04-27,46750.0,하락  200,47200.0,47250.0,46650.0,262739.0,유한양행,000100
2020-04-28,46600.0,하락  150,46850.0,47000.0,46400.0,233817.0,유한양행,000100
2020-04-29,47150.0,상승  550,46900.0,47150.0,46550.0,320172.0,유한양행,000100
2020-05-04,46350.0,하락  800,46500.0,47450.0,45800.0,444634.0,유한양행,000100
2020-05-06,46950.0,상승  600,47000.0,47050.0,46500.0,228405.0,유한양행,000100
2020-05-07,46800.0,하락  150,46900.0,47100.0,46450.0,214670.0,유한양행,000100
2020-05-08,49150.0,"상승  2,350",47200.0,49350.0,47200.0,824620.0,유한양행,000100
2020-05-11,52000.0,"상승  2,850",49650.0,55300.0,49350.0,2914944.0,유한양행,000100
2020-05-12,51000.0,"하락  1,000",52400.0,52500.0,50600.0,646714.0,유한양행,000100
2020-05-13,51100.0,상승  100,50700.0,52500.0,50600.0,630433.0,유한양행,000100
2020-05-14,51600.0,상승  500,51800.0,53000.0,51100.0,794362.0,유한양행,000100
2020-05-15,51600.0,보합0,51600.0,52000.0,50100.0,477755.0,유한양행,000100
2020-05-18,53500.0,"상승  1,900",63300.0,63700.0,52900.0,4460868.0,유한양행,000100
2020-05-19,52200.0,"하락  1,300",53600.0,54200.0,51900.0,935099.0,유한양행,000100
2020-05-20,51900.0,하락  300,51900.0,53300.0,51800.0,576266.0,유한양행,000100
2020-05-21,52300.0,상승  400,51900.0,52400.0,51300.0,539296.0,유한양행,000100
2020-05-22,52000.0,하락  300,52400.0,53800.0,51600.0,605709.0,유한양행,000100
2020-05-25,52500.0,상승  500,52500.0,52600.0,51700.0,363428.0,유한양행,000100
2020-05-26,51800.0,하락  700,52100.0,52200.0,51300.0,452996.0,유한양행,000100
2020-05-27,51600.0,하락  200,52200.0,52200.0,51500.0,288065.0,유한양행,000100
2020-05-28,51400.0,하락  200,51700.0,52500.0,50600.0,591415.0,유한양행,000100
2020-05-29,51900.0,상승  500,51800.0,52200.0,51100.0,578329.0,유한양행,000100
2020-06-01,52600.0,상승  700,52300.0,53200.0,52200.0,629148.0,유한양행,000100
2020-06-02,51800.0,하락  800,52600.0,52600.0,51700.0,413623.0,유한양행,000100
2020-06-03,52100.0,상승  300,52200.0,52800.0,51800.0,596092.0,유한양행,000100
2020-06-04,51800.0,하락  300,52100.0,52800.0,51700.0,504784.0,유한양행,000100
2020-06-05,51800.0,보합0,51800.0,52100.0,50700.0,517399.0,유한양행,000100
2020-06-08,57000.0,"상승  5,200",52100.0,61500.0,51400.0,5974675.0,유한양행,000100
2020-06-09,55900.0,"하락  1,100",55800.0,57400.0,54000.0,2612748.0,유한양행,000100
2020-06-10,55100.0,하락  800,56200.0,56600.0,55000.0,1274952.0,유한양행,000100
2020-06-11,56000.0,상승  900,54900.0,56700.0,54800.0,1383694.0,유한양행,000100
2020-06-12,55000.0,"하락  1,000",53100.0,56000.0,53000.0,878967.0,유한양행,000100
2020-06-15,51600.0,"하락  3,400",55400.0,56800.0,51600.0,1326801.0,유한양행,000100
2020-06-16,54000.0,"상승  2,400",52800.0,54200.0,52300.0,660604.0,유한양행,000100
2020-06-17,54100.0,상승  100,58100.0,58500.0,53200.0,1625760.0,유한양행,000100
2020-06-18,54000.0,하락  100,54400.0,55700.0,54000.0,537622.0,유한양행,000100
2020-06-19,54000.0,보합0,54500.0,54800.0,53100.0,432473.0,유한양행,000100
2020-06-22,54100.0,상승  100,53600.0,54800.0,53600.0,404693.0,유한양행,000100
2020-06-23,53000.0,"하락  1,100",54300.0,54500.0,53000.0,399223.0,유한양행,000100
2020-06-24,53100.0,상승  100,53300.0,53600.0,52500.0,350578.0,유한양행,000100
2020-06-25,52100.0,"하락  1,000",52800.0,53500.0,52100.0,342137.0,유한양행,000100
2020-06-26,52000.0,하락  100,52300.0,52500.0,51300.0,348660.0,유한양행,000100
2020-06-29,50500.0,"하락  1,500",51500.0,51600.0,50400.0,345426.0,유한양행,000100
2020-06-30,50600.0,상승  100,51000.0,51100.0,50500.0,307974.0,유한양행,000100
2020-07-01,52000.0,"상승  1,400",51200.0,53000.0,50700.0,470857.0,유한양행,000100
2020-07-02,52200.0,상승  200,52900.0,53000.0,51700.0,234286.0,유한양행,000100
2020-07-03,52300.0,상승  100,52800.0,55100.0,52300.0,807638.0,유한양행,000100
2020-07-06,52300.0,보합0,52200.0,52700.0,51700.0,252477.0,유한양행,000100
2020-07-07,52100.0,하락  200,52400.0,52800.0,51600.0,308275.0,유한양행,000100
2020-07-08,50900.0,"하락  1,200",52000.0,52100.0,50700.0,450728.0,유한양행,000100
2020-07-09,50900.0,보합0,51400.0,51400.0,50800.0,302062.0,유한양행,000100
2020-07-10,51000.0,상승  100,51000.0,51800.0,50800.0,267388.0,유한양행,000100
2020-07-13,51300.0,상승  300,51400.0,51800.0,50700.0,310355.0,유한양행,000100
2020-07-14,51800.0,상승  500,51600.0,53200.0,51200.0,471753.0,유한양행,000100
2020-07-15,51400.0,하락  400,52000.0,52400.0,51000.0,303263.0,유한양행,000100
2020-07-16,51100.0,하락  300,51300.0,51400.0,50900.0,219702.0,유한양행,000100
2020-07-17,50800.0,하락  300,51000.0,51300.0,50800.0,224004.0,유한양행,000100
2020-07-20,51000.0,상승  200,50900.0,51300.0,50800.0,208794.0,유한양행,000100
2020-07-21,51600.0,상승  600,51400.0,52200.0,51200.0,590682.0,유한양행,000100
2020-07-22,52500.0,상승  900,51700.0,52500.0,50900.0,382165.0,유한양행,000100
2020-07-23,53300.0,상승  800,52900.0,55100.0,52400.0,1836779.0,유한양행,000100
2020-07-24,56500.0,"상승  3,200",54200.0,61500.0,54000.0,7266218.0,유한양행,000100
2020-07-27,56700.0,상승  200,57700.0,59300.0,55600.0,2184663.0,유한양행,000100
2020-07-28,56300.0,하락  400,57300.0,57500.0,55300.0,1006262.0,유한양행,000100
2020-07-29,56400.0,상승  100,55700.0,59700.0,54800.0,1969984.0,유한양행,000100
2020-07-30,55700.0,하락  700,56100.0,56800.0,55200.0,618688.0,유한양행,000100
2020-07-31,57300.0,"상승  1,600",55600.0,57500.0,54600.0,1673292.0,유한양행,000100
2020-08-03,58500.0,"상승  1,200",61500.0,62200.0,58100.0,2221859.0,유한양행,000100
2020-08-04,58500.0,보합0,58600.0,58700.0,57300.0,801937.0,유한양행,000100
2020-08-05,67700.0,"상승  9,200",59800.0,71800.0,59200.0,12395002.0,유한양행,000100
2020-08-06,66100.0,"하락  1,600",68700.0,69300.0,66000.0,2297068.0,유한양행,000100
2020-08-07,66800.0,상승  700,66100.0,67600.0,65300.0,1172477.0,유한양행,000100
2020-08-10,66800.0,보합0,66800.0,69600.0,66000.0,1512886.0,유한양행,000100
2020-08-11,69200.0,"상승  2,400",67600.0,72500.0,66800.0,2424343.0,유한양행,000100
2020-08-12,66600.0,"하락  2,600",69000.0,69100.0,65700.0,1064355.0,유한양행,000100
2020-08-13,65200.0,"하락  1,400",67100.0,67300.0,64600.0,791432.0,유한양행,000100
2020-08-14,64000.0,"하락  1,200",65200.0,66300.0,63900.0,600278.0,유한양행,000100
2020-08-18,62200.0,"하락  1,800",65000.0,66000.0,61400.0,888836.0,유한양행,000100
2020-08-19,65700.0,"상승  3,500",63700.0,66100.0,62600.0,960406.0,유한양행,000100
2020-08-20,65900.0,상승  200,72000.0,72900.0,65700.0,3488971.0,유한양행,000100
2020-08-21,65900.0,보합0,67000.0,67400.0,64000.0,967030.0,유한양행,000100
2020-08-24,65500.0,하락  400,67300.0,67300.0,65200.0,595451.0,유한양행,000100
2020-08-25,67600.0,"상승  2,100",65400.0,67800.0,64600.0,936800.0,유한양행,000100
2020-08-26,66700.0,하락  900,67600.0,68400.0,66000.0,633076.0,유한양행,000100
2020-08-27,67300.0,상승  600,67000.0,68700.0,65800.0,1016151.0,유한양행,000100
2020-08-28,67400.0,상승  100,67900.0,68600.0,66800.0,629506.0,유한양행,000100
2020-08-31,67000.0,하락  400,67700.0,68300.0,66500.0,779423.0,유한양행,000100
2020-09-01,66300.0,하락  700,66700.0,67300.0,65700.0,510318.0,유한양행,000100
2020-09-02,66700.0,상승  400,66900.0,67800.0,66100.0,492204.0,유한양행,000100
2020-09-03,66900.0,상승  200,66800.0,67400.0,66100.0,463029.0,유한양행,000100
2020-09-04,65200.0,"하락  1,700",64700.0,65900.0,64600.0,662065.0,유한양행,000100
2020-09-07,65200.0,보합0,65800.0,65900.0,64600.0,422577.0,유한양행,000100
2020-09-08,65500.0,상승  300,65200.0,66600.0,65000.0,470223.0,유한양행,000100
2020-09-09,64000.0,"하락  1,500",65200.0,65200.0,64000.0,432780.0,유한양행,000100
2020-09-10,64500.0,상승  500,64300.0,66100.0,63600.0,602924.0,유한양행,000100
2020-09-11,66600.0,"상승  2,100",64500.0,66700.0,64000.0,681930.0,유한양행,000100
2020-09-14,65700.0,하락  900,67400.0,67400.0,65500.0,415442.0,유한양행,000100
2020-09-15,68700.0,"상승  3,000",65900.0,69200.0,65500.0,1481070.0,유한양행,000100
2020-09-16,68400.0,하락  300,68700.0,69200.0,67300.0,488157.0,유한양행,000100
2020-09-17,66400.0,"하락  2,000",68600.0,68600.0,66100.0,490984.0,유한양행,000100
2020-09-18,66600.0,상승  200,66800.0,67400.0,66100.0,536508.0,유한양행,000100
2020-09-21,72000.0,"상승  5,400",70000.0,75000.0,67300.0,6284923.0,유한양행,000100
2020-09-22,66700.0,"하락  5,300",71100.0,71400.0,66500.0,1891243.0,유한양행,000100
2020-09-23,64900.0,"하락  1,800",67400.0,68000.0,64000.0,860678.0,유한양행,000100
2020-09-24,61900.0,"하락  3,000",64000.0,64600.0,61400.0,726180.0,유한양행,000100
2020-09-25,61900.0,보합0,62800.0,63700.0,61700.0,378202.0,유한양행,000100
2020-09-28,63700.0,"상승  1,800",62800.0,64000.0,62200.0,282518.0,유한양행,000100
2020-09-29,64200.0,상승  500,64800.0,64900.0,63700.0,278990.0,유한양행,000100
2020-10-05,65100.0,상승  900,64300.0,65800.0,64300.0,266875.0,유한양행,000100
2020-10-06,65000.0,하락  100,65200.0,65700.0,64600.0,224245.0,유한양행,000100
2020-10-07,64800.0,하락  200,64500.0,65100.0,64500.0,206096.0,유한양행,000100
2020-10-08,65700.0,상승  900,65400.0,66200.0,65100.0,365396.0,유한양행,000100
2020-10-12,65000.0,하락  700,66200.0,66200.0,65000.0,221323.0,유한양행,000100
2020-10-13,64100.0,하락  900,65000.0,65200.0,63500.0,323353.0,유한양행,000100
2020-10-14,63600.0,하락  500,64000.0,64300.0,63500.0,192009.0,유한양행,000100
2020-10-15,62800.0,하락  800,63600.0,64800.0,62500.0,330654.0,유한양행,000100
2020-10-16,62100.0,하락  700,63100.0,63900.0,61700.0,264270.0,유한양행,000100
2020-10-19,61700.0,하락  400,62700.0,62800.0,61500.0,230945.0,유한양행,000100
2020-10-20,60600.0,"하락  1,100",61500.0,61900.0,59200.0,369589.0,유한양행,000100
2020-10-21,60600.0,보합0,60700.0,61000.0,60000.0,180212.0,유한양행,000100
2020-10-22,59800.0,하락  800,60700.0,60800.0,59800.0,239755.0,유한양행,000100
2020-10-23,60400.0,상승  600,60400.0,60600.0,59600.0,178751.0,유한양행,000100
2020-10-26,59000.0,"하락  1,400",60300.0,60600.0,58800.0,281488.0,유한양행,000100
2020-10-27,57900.0,"하락  1,100",58400.0,59200.0,57800.0,330125.0,유한양행,000100
2020-10-28,60500.0,"상승  2,600",57900.0,60700.0,57600.0,220972.0,유한양행,000100
2020-10-29,61200.0,상승  700,59500.0,61800.0,58600.0,325778.0,유한양행,000100
2020-10-30,59500.0,"하락  1,700",61300.0,61800.0,59500.0,324517.0,유한양행,000100
2020-11-02,60700.0,"상승  1,200",59700.0,61000.0,59600.0,162673.0,유한양행,000100
2020-11-03,63000.0,"상승  2,300",60900.0,63500.0,60800.0,455678.0,유한양행,000100
2020-11-04,64100.0,"상승  1,100",64400.0,64400.0,63300.0,419204.0,유한양행,000100
2020-11-05,64800.0,상승  700,64300.0,64900.0,63700.0,326429.0,유한양행,000100
2020-11-06,64000.0,하락  800,64700.0,64800.0,63700.0,249507.0,유한양행,000100
2020-11-09,65000.0,"상승  1,000",64500.0,65900.0,64300.0,384485.0,유한양행,000100
2020-11-10,64500.0,하락  500,66000.0,66000.0,64000.0,323257.0,유한양행,000100
2020-11-11,64400.0,하락  100,64400.0,65000.0,64100.0,297905.0,유한양행,000100
2020-11-12,63700.0,하락  700,64400.0,65000.0,63700.0,265006.0,유한양행,000100
2020-11-13,63800.0,상승  100,63300.0,64100.0,62800.0,192191.0,유한양행,000100
2020-11-16,63500.0,하락  300,63900.0,64300.0,63200.0,250893.0,유한양행,000100
2020-11-17,63200.0,하락  300,63300.0,63600.0,62800.0,261463.0,유한양행,000100
2020-11-18,64800.0,"상승  1,600",63200.0,65000.0,63200.0,342327.0,유한양행,000100
2020-11-19,66000.0,"상승  1,200",65100.0,66100.0,64300.0,480943.0,유한양행,000100
2020-11-20,66000.0,보합0,66400.0,67100.0,65600.0,467536.0,유한양행,000100
2020-11-23,66100.0,상승  100,67000.0,67200.0,65500.0,578014.0,유한양행,000100
2020-11-24,65800.0,하락  300,66800.0,66800.0,65400.0,423313.0,유한양행,000100
2020-11-25,64300.0,"하락  1,500",65800.0,65800.0,64000.0,514164.0,유한양행,000100
2020-11-26,65300.0,"상승  1,000",64000.0,65300.0,63600.0,348897.0,유한양행,000100
2020-11-27,65400.0,상승  100,65500.0,65700.0,64600.0,289682.0,유한양행,000100
2020-11-30,64400.0,"하락  1,000",65600.0,65800.0,64400.0,858777.0,유한양행,000100
2020-12-01,64500.0,상승  100,64700.0,65500.0,64400.0,275882.0,유한양행,000100
2020-12-02,65200.0,상승  700,64700.0,65400.0,64100.0,379166.0,유한양행,000100
2020-12-03,65500.0,상승  300,65600.0,65700.0,64600.0,254892.0,유한양행,000100
2020-12-04,65100.0,하락  400,65100.0,65400.0,64800.0,352398.0,유한양행,000100
2020-12-07,69800.0,"상승  4,700",65100.0,71400.0,65000.0,2655829.0,유한양행,000100
2020-12-08,67000.0,"하락  2,800",70200.0,71000.0,66900.0,1153281.0,유한양행,000100
2020-12-09,67000.0,보합0,67800.0,67800.0,66000.0,541652.0,유한양행,000100
2020-12-10,66100.0,하락  900,66400.0,66800.0,65800.0,465502.0,유한양행,000100
2020-12-11,67700.0,"상승  1,600",66600.0,69500.0,66500.0,1069222.0,유한양행,000100
2020-12-14,68500.0,상승  800,68300.0,69400.0,67400.0,532243.0,유한양행,000100
2020-12-15,68100.0,하락  400,68400.0,68700.0,67600.0,310765.0,유한양행,000100
2020-12-16,68100.0,보합0,68700.0,68700.0,68000.0,236063.0,유한양행,000100
2020-12-17,68200.0,상승  100,68100.0,68300.0,67200.0,308632.0,유한양행,000100
2020-12-18,72300.0,"상승  4,100",68500.0,73600.0,68500.0,2276533.0,유한양행,000100
2020-12-21,78500.0,"상승  6,200",73700.0,84500.0,72000.0,5494070.0,유한양행,000100
2020-12-22,74300.0,"하락  4,200",79700.0,79700.0,73200.0,1377799.0,유한양행,000100
2020-12-23,73300.0,"하락  1,000",75400.0,77100.0,73300.0,1011910.0,유한양행,000100
2020-12-24,73500.0,상승  200,75100.0,75500.0,73000.0,798274.0,유한양행,000100
2020-12-28,76600.0,"상승  3,100",74200.0,76900.0,73500.0,1034267.0,유한양행,000100
2020-12-29,73900.0,상승  600,74300.0,76000.0,73400.0,624304.0,유한양행,000100
2020-12-30,75100.0,"상승  1,200",74300.0,75100.0,73500.0,421486.0,유한양행,000100
2021-01-04,79200.0,"상승  4,100",75700.0,79700.0,75500.0,1040202.0,유한양행,000100
2021-01-05,79000.0,하락  200,78700.0,79600.0,76800.0,700969.0,유한양행,000100
2021-01-06,76600.0,"하락  2,400",79000.0,81000.0,76500.0,796077.0,유한양행,000100
2021-01-07,74900.0,"하락  1,700",76600.0,77000.0,74000.0,977868.0,유한양행,000100
2021-01-08,76700.0,"상승  1,800",75400.0,77700.0,73500.0,1013203.0,유한양행,000100
2021-01-11,73300.0,"하락  3,400",77000.0,77100.0,73100.0,902778.0,유한양행,000100
2021-01-12,72600.0,하락  700,73000.0,73300.0,71100.0,687354.0,유한양행,000100
2021-01-13,74700.0,"상승  2,100",73600.0,75200.0,72400.0,708079.0,유한양행,000100
2021-01-14,77800.0,"상승  3,100",75800.0,78300.0,75200.0,1001087.0,유한양행,000100
2021-01-15,76300.0,"하락  1,500",79000.0,79200.0,75700.0,672378.0,유한양행,000100
2021-01-18,72100.0,"하락  4,200",76100.0,79200.0,71900.0,2180383.0,유한양행,000100
2021-01-19,72600.0,상승  500,76700.0,77200.0,72000.0,1477197.0,유한양행,000100
2021-01-20,73600.0,"상승  1,000",73700.0,74500.0,73000.0,661188.0,유한양행,000100
2021-01-21,73200.0,하락  400,73600.0,73900.0,72700.0,410396.0,유한양행,000100
2021-01-22,72400.0,하락  800,72800.0,73100.0,71700.0,520379.0,유한양행,000100
2021-01-25,72800.0,상승  400,72500.0,73300.0,72400.0,339310.0,유한양행,000100
2021-01-26,71400.0,"하락  1,400",72900.0,73300.0,71300.0,531777.0,유한양행,000100
2021-01-27,70900.0,하락  500,72000.0,72600.0,70800.0,434464.0,유한양행,000100
