날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,56100.0,"하락  2,200",52200.0,56600.0,51300.0,108654.0,이노션,214320
2020-03-16,55100.0,"하락  1,000",56100.0,57000.0,53600.0,54930.0,이노션,214320
2020-03-17,53500.0,"하락  1,600",50700.0,54500.0,50700.0,68613.0,이노션,214320
2020-03-18,48000.0,"하락  5,500",52400.0,53500.0,48000.0,107852.0,이노션,214320
2020-03-19,43800.0,"하락  4,200",48300.0,49600.0,41550.0,136203.0,이노션,214320
2020-03-20,46050.0,"상승  2,250",43800.0,46050.0,42950.0,88755.0,이노션,214320
2020-03-23,43250.0,"하락  2,800",43750.0,45000.0,41300.0,82739.0,이노션,214320
2020-03-24,46750.0,"상승  3,500",44150.0,47100.0,43300.0,95099.0,이노션,214320
2020-03-25,54100.0,"상승  7,350",46950.0,54100.0,46400.0,129667.0,이노션,214320
2020-03-26,51700.0,"하락  2,400",52500.0,54700.0,51700.0,68260.0,이노션,214320
2020-03-27,53500.0,"상승  1,800",55300.0,55300.0,51400.0,67090.0,이노션,214320
2020-03-30,53200.0,하락  300,52500.0,55100.0,50100.0,54172.0,이노션,214320
2020-03-31,52600.0,하락  600,53200.0,55600.0,52300.0,64678.0,이노션,214320
2020-04-01,50300.0,"하락  2,300",52600.0,53900.0,49900.0,57431.0,이노션,214320
2020-04-02,51600.0,"상승  1,300",50100.0,52200.0,49900.0,37586.0,이노션,214320
2020-04-03,51100.0,하락  500,50800.0,51500.0,50000.0,43409.0,이노션,214320
2020-04-06,53500.0,"상승  2,400",51800.0,53900.0,51200.0,50665.0,이노션,214320
2020-04-07,55700.0,"상승  2,200",53900.0,55800.0,53100.0,49833.0,이노션,214320
2020-04-08,54500.0,"하락  1,200",55100.0,56700.0,54200.0,43599.0,이노션,214320
2020-04-09,56100.0,"상승  1,600",54900.0,56900.0,54500.0,51792.0,이노션,214320
2020-04-10,55400.0,하락  700,55700.0,56900.0,55100.0,31138.0,이노션,214320
2020-04-13,54700.0,하락  700,55400.0,56300.0,54200.0,34432.0,이노션,214320
2020-04-14,55000.0,상승  300,54500.0,55700.0,54300.0,35942.0,이노션,214320
2020-04-16,57500.0,"상승  2,500",53500.0,57500.0,53300.0,48041.0,이노션,214320
2020-04-17,62000.0,"상승  4,500",58500.0,62000.0,57900.0,95792.0,이노션,214320
2020-04-20,61900.0,하락  100,60300.0,62200.0,59900.0,56864.0,이노션,214320
2020-04-21,58300.0,"하락  3,600",61800.0,61800.0,57100.0,68373.0,이노션,214320
2020-04-22,56700.0,"하락  1,600",58000.0,59000.0,54000.0,100739.0,이노션,214320
2020-04-23,58100.0,"상승  1,400",56400.0,58800.0,55800.0,53979.0,이노션,214320
2020-04-24,57000.0,"하락  1,100",57400.0,58100.0,56000.0,30614.0,이노션,214320
2020-04-27,57800.0,상승  800,56800.0,58100.0,56100.0,34330.0,이노션,214320
2020-04-28,58300.0,상승  500,57500.0,58700.0,57100.0,27315.0,이노션,214320
2020-04-29,58300.0,보합0,58800.0,58800.0,57700.0,29236.0,이노션,214320
2020-05-04,55400.0,"하락  2,900",56500.0,57600.0,55100.0,51652.0,이노션,214320
2020-05-06,57000.0,"상승  1,600",56900.0,57100.0,55900.0,29468.0,이노션,214320
