날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,178.0,상승  2,181.0,183.0,170.0,4155255.0,이아이디,093230
2020-03-17,179.0,상승  1,170.0,186.0,164.0,8320574.0,이아이디,093230
2020-03-18,175.0,하락  4,179.0,182.0,171.0,4692376.0,이아이디,093230
2020-03-19,138.0,하락  37,174.0,176.0,138.0,9092457.0,이아이디,093230
2020-03-20,165.0,상승  27,139.0,165.0,139.0,7287147.0,이아이디,093230
2020-03-23,157.0,하락  8,155.0,158.0,147.0,5451146.0,이아이디,093230
2020-03-24,165.0,상승  8,158.0,171.0,157.0,5286820.0,이아이디,093230
2020-03-25,171.0,상승  6,168.0,174.0,166.0,4991039.0,이아이디,093230
2020-03-26,176.0,상승  5,171.0,187.0,167.0,10930753.0,이아이디,093230
2020-03-27,172.0,하락  4,181.0,183.0,169.0,5985164.0,이아이디,093230
2020-03-30,174.0,상승  2,170.0,176.0,164.0,3521501.0,이아이디,093230
2020-03-31,188.0,상승  14,182.0,189.0,177.0,9081709.0,이아이디,093230
2020-04-01,185.0,하락  3,190.0,194.0,180.0,9730103.0,이아이디,093230
2020-04-02,189.0,상승  4,183.0,191.0,181.0,4614326.0,이아이디,093230
2020-04-03,189.0,보합0,194.0,194.0,185.0,4722411.0,이아이디,093230
2020-04-06,196.0,상승  7,191.0,196.0,187.0,6834586.0,이아이디,093230
2020-04-07,199.0,상승  3,202.0,202.0,195.0,6836181.0,이아이디,093230
2020-04-08,210.0,상승  11,199.0,216.0,196.0,10382167.0,이아이디,093230
2020-04-09,212.0,상승  2,217.0,218.0,210.0,8184132.0,이아이디,093230
2020-04-10,207.0,하락  5,212.0,212.0,200.0,6602533.0,이아이디,093230
2020-04-13,201.0,하락  6,206.0,207.0,198.0,5234758.0,이아이디,093230
2020-04-14,206.0,상승  5,202.0,211.0,202.0,5875147.0,이아이디,093230
2020-04-16,210.0,상승  4,207.0,211.0,199.0,5334469.0,이아이디,093230
2020-04-17,217.0,상승  7,212.0,222.0,209.0,10209816.0,이아이디,093230
2020-04-20,226.0,상승  9,222.0,227.0,216.0,10081257.0,이아이디,093230
2020-04-21,219.0,하락  7,226.0,226.0,204.0,10534209.0,이아이디,093230
2020-04-22,215.0,하락  4,211.0,215.0,210.0,4990443.0,이아이디,093230
2020-04-23,214.0,하락  1,218.0,220.0,212.0,3777407.0,이아이디,093230
2020-04-24,206.0,하락  8,212.0,214.0,203.0,6557118.0,이아이디,093230
2020-04-27,209.0,상승  3,205.0,212.0,202.0,4334497.0,이아이디,093230
2020-04-28,207.0,하락  2,210.0,212.0,205.0,3711743.0,이아이디,093230
2020-04-29,215.0,상승  8,207.0,218.0,204.0,8782146.0,이아이디,093230
2020-05-04,214.0,하락  1,215.0,216.0,210.0,4241675.0,이아이디,093230
2020-05-06,215.0,상승  1,216.0,219.0,211.0,4627944.0,이아이디,093230
2020-05-07,217.0,상승  2,217.0,217.0,213.0,3850285.0,이아이디,093230
2020-05-08,216.0,하락  1,218.0,222.0,216.0,5119458.0,이아이디,093230
2020-05-11,212.0,하락  4,215.0,217.0,212.0,5237874.0,이아이디,093230
2020-05-12,209.0,하락  3,213.0,213.0,203.0,4205453.0,이아이디,093230
2020-05-13,210.0,상승  1,205.0,211.0,204.0,2057781.0,이아이디,093230
2020-05-14,210.0,보합0,207.0,216.0,204.0,6078198.0,이아이디,093230
2020-05-15,213.0,상승  3,216.0,222.0,212.0,15941880.0,이아이디,093230
2020-05-18,215.0,상승  2,213.0,218.0,212.0,5833746.0,이아이디,093230
2020-05-19,216.0,상승  1,216.0,218.0,212.0,4140331.0,이아이디,093230
2020-05-20,228.0,상승  12,217.0,232.0,214.0,19309887.0,이아이디,093230
2020-05-21,229.0,상승  1,230.0,236.0,223.0,13846561.0,이아이디,093230
2020-05-22,223.0,하락  6,229.0,229.0,221.0,5495439.0,이아이디,093230
2020-05-25,227.0,상승  4,225.0,228.0,221.0,5121846.0,이아이디,093230
2020-05-26,227.0,보합0,229.0,229.0,224.0,4269940.0,이아이디,093230
2020-05-27,225.0,하락  2,227.0,228.0,222.0,4121543.0,이아이디,093230
2020-05-28,221.0,하락  4,225.0,227.0,213.0,6428143.0,이아이디,093230
2020-05-29,217.0,하락  4,220.0,221.0,213.0,5829565.0,이아이디,093230
2020-06-01,222.0,상승  5,217.0,225.0,216.0,3875449.0,이아이디,093230
2020-06-02,242.0,상승  20,223.0,244.0,221.0,22729656.0,이아이디,093230
2020-06-03,235.0,하락  7,244.0,254.0,230.0,20996727.0,이아이디,093230
2020-06-04,240.0,상승  5,235.0,243.0,230.0,9828096.0,이아이디,093230
2020-06-05,240.0,보합0,242.0,245.0,236.0,8370069.0,이아이디,093230
2020-06-08,262.0,상승  22,243.0,273.0,238.0,46565171.0,이아이디,093230
2020-06-09,262.0,보합0,266.0,270.0,256.0,19139087.0,이아이디,093230
2020-06-10,256.0,하락  6,262.0,262.0,256.0,9909900.0,이아이디,093230
2020-06-11,248.0,하락  8,257.0,262.0,245.0,11620883.0,이아이디,093230
2020-06-12,242.0,하락  6,236.0,243.0,225.0,14088887.0,이아이디,093230
2020-06-15,221.0,하락  21,245.0,245.0,221.0,12941290.0,이아이디,093230
2020-06-16,232.0,상승  11,228.0,239.0,228.0,9242252.0,이아이디,093230
2020-06-17,226.0,하락  6,228.0,235.0,223.0,8454619.0,이아이디,093230
2020-06-18,225.0,하락  1,228.0,228.0,222.0,5794067.0,이아이디,093230
2020-06-19,228.0,상승  3,230.0,232.0,226.0,7091638.0,이아이디,093230
2020-06-22,239.0,상승  11,229.0,243.0,227.0,10661079.0,이아이디,093230
2020-06-23,230.0,하락  9,240.0,243.0,230.0,5713583.0,이아이디,093230
2020-06-24,230.0,보합0,230.0,234.0,226.0,5298131.0,이아이디,093230
2020-06-25,225.0,하락  5,226.0,231.0,224.0,4796221.0,이아이디,093230
2020-06-26,224.0,하락  1,226.0,229.0,222.0,3426175.0,이아이디,093230
2020-06-29,217.0,하락  7,221.0,222.0,216.0,4333141.0,이아이디,093230
2020-06-30,225.0,상승  8,220.0,235.0,217.0,7891524.0,이아이디,093230
2020-07-01,221.0,하락  4,225.0,228.0,219.0,2683363.0,이아이디,093230
2020-07-02,222.0,상승  1,221.0,223.0,218.0,2314078.0,이아이디,093230
2020-07-03,223.0,상승  1,224.0,225.0,221.0,1805862.0,이아이디,093230
2020-07-06,223.0,보합0,222.0,225.0,220.0,2312717.0,이아이디,093230
2020-07-07,222.0,하락  1,224.0,226.0,219.0,3314310.0,이아이디,093230
2020-07-08,219.0,하락  3,218.0,222.0,217.0,3543188.0,이아이디,093230
2020-07-09,219.0,보합0,217.0,224.0,217.0,2597761.0,이아이디,093230
2020-07-10,230.0,상승  11,219.0,235.0,217.0,13234798.0,이아이디,093230
2020-07-13,233.0,상승  3,236.0,246.0,231.0,13011370.0,이아이디,093230
2020-07-14,232.0,하락  1,235.0,238.0,227.0,7868246.0,이아이디,093230
2020-07-15,236.0,상승  4,232.0,239.0,228.0,10733818.0,이아이디,093230
2020-07-16,233.0,하락  3,237.0,238.0,229.0,4623079.0,이아이디,093230
2020-07-17,235.0,상승  2,232.0,238.0,228.0,3958515.0,이아이디,093230
2020-07-20,236.0,상승  1,237.0,238.0,232.0,3820112.0,이아이디,093230
2020-07-21,235.0,하락  1,236.0,236.0,232.0,3387357.0,이아이디,093230
2020-07-22,231.0,하락  4,234.0,236.0,231.0,3351636.0,이아이디,093230
2020-07-23,259.0,상승  28,231.0,263.0,228.0,49187988.0,이아이디,093230
2020-07-24,243.0,하락  16,267.0,268.0,240.0,24774997.0,이아이디,093230
2020-07-27,250.0,상승  7,243.0,254.0,240.0,11192834.0,이아이디,093230
2020-07-28,263.0,상승  13,248.0,269.0,248.0,27348634.0,이아이디,093230
2020-07-29,265.0,상승  2,261.0,270.0,253.0,16206258.0,이아이디,093230
2020-07-30,259.0,하락  6,261.0,270.0,255.0,14966253.0,이아이디,093230
2020-07-31,257.0,하락  2,258.0,258.0,251.0,6068915.0,이아이디,093230
2020-08-03,257.0,보합0,258.0,265.0,255.0,6656113.0,이아이디,093230
2020-08-04,258.0,상승  1,253.0,258.0,252.0,5709377.0,이아이디,093230
2020-08-05,253.0,하락  5,259.0,262.0,250.0,7676350.0,이아이디,093230
2020-08-06,251.0,하락  2,255.0,256.0,249.0,7015504.0,이아이디,093230
2020-08-07,247.0,하락  4,250.0,257.0,236.0,8970503.0,이아이디,093230
2020-08-10,245.0,하락  2,247.0,252.0,240.0,6681555.0,이아이디,093230
2020-08-11,249.0,상승  4,246.0,260.0,245.0,12842835.0,이아이디,093230
2020-08-12,245.0,하락  4,249.0,251.0,241.0,8396820.0,이아이디,093230
2020-08-13,246.0,상승  1,245.0,250.0,244.0,4192429.0,이아이디,093230
2020-08-14,248.0,상승  2,248.0,251.0,241.0,7619922.0,이아이디,093230
2020-08-18,228.0,하락  20,240.0,242.0,226.0,14176799.0,이아이디,093230
2020-08-19,227.0,하락  1,226.0,232.0,219.0,9759419.0,이아이디,093230
2020-08-20,207.0,하락  20,227.0,227.0,205.0,15971245.0,이아이디,093230
2020-08-21,212.0,상승  5,208.0,215.0,204.0,8582426.0,이아이디,093230
2020-08-24,213.0,상승  1,210.0,217.0,205.0,5364911.0,이아이디,093230
2020-08-25,218.0,상승  5,213.0,219.0,212.0,6023423.0,이아이디,093230
2020-08-26,213.0,하락  5,218.0,218.0,209.0,6682687.0,이아이디,093230
2020-08-27,208.0,하락  5,212.0,214.0,203.0,10404570.0,이아이디,093230
2020-08-28,209.0,상승  1,206.0,214.0,205.0,6476768.0,이아이디,093230
2020-08-31,210.0,상승  1,209.0,213.0,207.0,6237186.0,이아이디,093230
2020-09-01,214.0,상승  4,210.0,215.0,208.0,7284934.0,이아이디,093230
2020-09-02,216.0,상승  2,218.0,219.0,213.0,5718604.0,이아이디,093230
2020-09-03,214.0,하락  2,217.0,217.0,212.0,4085327.0,이아이디,093230
2020-09-04,211.0,하락  3,205.0,211.0,204.0,5299377.0,이아이디,093230
2020-09-07,215.0,상승  4,209.0,221.0,207.0,6655367.0,이아이디,093230
2020-09-08,220.0,상승  5,214.0,227.0,214.0,16491959.0,이아이디,093230
2020-09-09,213.0,하락  7,216.0,216.0,210.0,7027934.0,이아이디,093230
2020-09-10,215.0,상승  2,214.0,218.0,212.0,6570575.0,이아이디,093230
2020-09-11,214.0,하락  1,214.0,216.0,210.0,4324236.0,이아이디,093230
2020-09-14,219.0,상승  5,215.0,222.0,215.0,6576656.0,이아이디,093230
2020-09-15,217.0,하락  2,224.0,224.0,215.0,5063766.0,이아이디,093230
2020-09-16,216.0,하락  1,217.0,218.0,214.0,3596583.0,이아이디,093230
2020-09-17,216.0,보합0,216.0,218.0,215.0,3393489.0,이아이디,093230
2020-09-18,215.0,하락  1,215.0,217.0,213.0,3732239.0,이아이디,093230
2020-09-21,247.0,상승  32,216.0,266.0,214.0,149527209.0,이아이디,093230
2020-09-22,239.0,하락  8,250.0,263.0,229.0,85537688.0,이아이디,093230
2020-09-23,235.0,하락  4,238.0,248.0,233.0,29571333.0,이아이디,093230
2020-09-24,221.0,하락  14,234.0,240.0,221.0,15762860.0,이아이디,093230
2020-09-25,218.0,하락  3,222.0,227.0,217.0,8829438.0,이아이디,093230
2020-09-28,243.0,상승  25,219.0,250.0,219.0,35700390.0,이아이디,093230
2020-09-29,248.0,상승  5,243.0,250.0,240.0,12741370.0,이아이디,093230
2020-10-05,285.0,상승  37,261.0,297.0,254.0,93854956.0,이아이디,093230
2020-10-06,277.0,하락  8,289.0,305.0,274.0,73521051.0,이아이디,093230
