날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4465.0,하락  520,4490.0,4625.0,4170.0,1677447.0,이엔플러스,074610
2020-03-16,4300.0,하락  165,4650.0,4740.0,4300.0,941999.0,이엔플러스,074610
2020-03-17,4270.0,하락  30,4000.0,4380.0,3910.0,1002565.0,이엔플러스,074610
2020-03-18,3930.0,하락  340,4225.0,4400.0,3930.0,758532.0,이엔플러스,074610
2020-03-19,3255.0,하락  675,3950.0,4090.0,3190.0,1709306.0,이엔플러스,074610
2020-03-20,3480.0,상승  225,3255.0,3580.0,3255.0,1023151.0,이엔플러스,074610
2020-03-23,3200.0,하락  280,3200.0,3300.0,3150.0,1041844.0,이엔플러스,074610
2020-03-24,3415.0,상승  215,3285.0,3550.0,3255.0,922683.0,이엔플러스,074610
2020-03-25,3710.0,상승  295,3580.0,3890.0,3580.0,1248963.0,이엔플러스,074610
2020-03-26,4065.0,상승  355,3820.0,4360.0,3665.0,1937564.0,이엔플러스,074610
2020-03-27,3975.0,하락  90,4250.0,4370.0,3840.0,1262335.0,이엔플러스,074610
2020-03-30,4280.0,상승  305,3920.0,4465.0,3830.0,2059455.0,이엔플러스,074610
2020-03-31,4455.0,상승  175,4330.0,4525.0,4165.0,1340559.0,이엔플러스,074610
2020-04-01,4290.0,하락  165,4520.0,4550.0,4275.0,814117.0,이엔플러스,074610
2020-04-02,4345.0,상승  55,4285.0,4405.0,3965.0,583582.0,이엔플러스,074610
2020-04-03,4365.0,상승  20,4400.0,4510.0,4265.0,571955.0,이엔플러스,074610
2020-04-06,4535.0,상승  170,4370.0,4570.0,4305.0,869514.0,이엔플러스,074610
2020-04-07,4765.0,상승  230,4670.0,5120.0,4585.0,2102305.0,이엔플러스,074610
2020-04-08,4815.0,상승  50,4765.0,4955.0,4625.0,1044688.0,이엔플러스,074610
2020-04-09,4845.0,상승  30,4920.0,4955.0,4800.0,633683.0,이엔플러스,074610
2020-04-10,4865.0,상승  20,4845.0,4935.0,4600.0,754748.0,이엔플러스,074610
2020-04-13,5080.0,상승  215,4750.0,6320.0,4720.0,10023285.0,이엔플러스,074610
2020-04-14,5080.0,보합0,5120.0,5230.0,5000.0,1257297.0,이엔플러스,074610
2020-04-16,5180.0,상승  100,5130.0,5280.0,4840.0,1076772.0,이엔플러스,074610
2020-04-17,5610.0,상승  430,5260.0,5990.0,5130.0,9048209.0,이엔플러스,074610
2020-04-20,5560.0,하락  50,5620.0,5730.0,5460.0,1280138.0,이엔플러스,074610
2020-04-21,5420.0,하락  140,5560.0,5690.0,5010.0,1688346.0,이엔플러스,074610
2020-04-22,5500.0,상승  80,5330.0,5670.0,5310.0,1067680.0,이엔플러스,074610
