날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2975.0,하락  225,2950.0,3100.0,2655.0,1116310.0,인바이오젠,101140
2020-03-16,2970.0,하락  5,3090.0,3190.0,2970.0,938100.0,인바이오젠,101140
2020-03-17,2915.0,하락  55,2765.0,3020.0,2760.0,567509.0,인바이오젠,101140
2020-03-18,2890.0,하락  25,2990.0,3070.0,2845.0,420248.0,인바이오젠,101140
2020-03-19,2400.0,하락  490,2935.0,2990.0,2080.0,762926.0,인바이오젠,101140
2020-03-20,2610.0,상승  210,2520.0,2695.0,2310.0,583528.0,인바이오젠,101140
2020-03-23,2625.0,상승  15,2410.0,2740.0,2355.0,492946.0,인바이오젠,101140
2020-03-24,2650.0,상승  25,2655.0,2860.0,2645.0,427817.0,인바이오젠,101140
2020-03-25,2625.0,하락  25,2795.0,2795.0,2555.0,293425.0,인바이오젠,101140
2020-03-26,2625.0,보합0,2625.0,2740.0,2595.0,295247.0,인바이오젠,101140
2020-03-27,2665.0,상승  40,2720.0,2775.0,2570.0,298379.0,인바이오젠,101140
2020-03-30,2650.0,하락  15,2595.0,2700.0,2550.0,278757.0,인바이오젠,101140
2020-03-31,2645.0,하락  5,2700.0,2700.0,2590.0,344154.0,인바이오젠,101140
2020-04-01,2680.0,상승  35,2640.0,2825.0,2560.0,548778.0,인바이오젠,101140
2020-04-02,2730.0,상승  50,2695.0,2790.0,2585.0,320557.0,인바이오젠,101140
2020-04-03,2755.0,상승  25,2730.0,2810.0,2680.0,218624.0,인바이오젠,101140
2020-04-06,2915.0,상승  160,2765.0,2930.0,2735.0,325159.0,인바이오젠,101140
2020-04-07,2930.0,상승  15,2980.0,3060.0,2800.0,532212.0,인바이오젠,101140
2020-04-08,2810.0,하락  120,2885.0,2915.0,2790.0,207739.0,인바이오젠,101140
2020-04-09,2890.0,상승  80,2900.0,2915.0,2770.0,301423.0,인바이오젠,101140
2020-04-10,2870.0,하락  20,2955.0,2955.0,2750.0,344078.0,인바이오젠,101140
2020-04-13,3040.0,상승  170,2885.0,3040.0,2800.0,472659.0,인바이오젠,101140
2020-04-14,3150.0,상승  110,3130.0,3150.0,3015.0,595539.0,인바이오젠,101140
2020-04-16,3565.0,상승  415,3210.0,3575.0,3180.0,1923604.0,인바이오젠,101140
2020-04-17,3420.0,하락  145,3565.0,3575.0,3350.0,623811.0,인바이오젠,101140
2020-04-20,3380.0,하락  40,3450.0,3475.0,3265.0,505597.0,인바이오젠,101140
2020-04-21,3220.0,하락  160,3400.0,3400.0,3020.0,485627.0,인바이오젠,101140
2020-04-22,3125.0,하락  95,3140.0,3205.0,3005.0,298467.0,인바이오젠,101140
2020-04-23,3320.0,상승  195,3130.0,3360.0,3095.0,350184.0,인바이오젠,101140
2020-04-24,3335.0,상승  15,3300.0,3480.0,3285.0,616232.0,인바이오젠,101140
2020-04-27,3335.0,보합0,3345.0,3460.0,3185.0,479281.0,인바이오젠,101140
2020-04-28,3110.0,하락  225,3380.0,3470.0,3100.0,1090142.0,인바이오젠,101140
2020-04-29,2915.0,하락  195,3110.0,3140.0,2800.0,838578.0,인바이오젠,101140
2020-05-04,3025.0,상승  110,2925.0,3050.0,2855.0,432616.0,인바이오젠,101140
2020-05-06,3100.0,상승  75,3050.0,3175.0,3030.0,278265.0,인바이오젠,101140
2020-05-07,3115.0,상승  15,3120.0,3200.0,2990.0,216718.0,인바이오젠,101140
2020-05-08,3150.0,상승  35,3145.0,3210.0,3110.0,281434.0,인바이오젠,101140
2020-05-11,3030.0,하락  120,3120.0,3175.0,3015.0,278684.0,인바이오젠,101140
2020-05-12,3125.0,상승  95,3045.0,3210.0,3025.0,249019.0,인바이오젠,101140
2020-05-13,3160.0,상승  35,3140.0,3200.0,3085.0,276569.0,인바이오젠,101140
2020-05-14,3160.0,보합0,3175.0,3220.0,3095.0,257125.0,인바이오젠,101140
2020-05-15,3120.0,하락  40,3245.0,3250.0,3115.0,286209.0,인바이오젠,101140
2020-05-18,3080.0,하락  40,3100.0,3150.0,3080.0,213749.0,인바이오젠,101140
2020-05-19,3110.0,상승  30,3085.0,3165.0,3080.0,262734.0,인바이오젠,101140
2020-05-20,3165.0,상승  55,3110.0,3450.0,3110.0,1454487.0,인바이오젠,101140
2020-05-21,3290.0,상승  125,3190.0,3340.0,3160.0,345080.0,인바이오젠,101140
2020-05-22,3330.0,상승  40,3265.0,3370.0,3220.0,399499.0,인바이오젠,101140
2020-05-25,3360.0,상승  30,3340.0,3435.0,3305.0,287414.0,인바이오젠,101140
2020-05-26,3410.0,상승  50,3370.0,3415.0,3340.0,394221.0,인바이오젠,101140
2020-05-27,3480.0,상승  70,3430.0,3670.0,3430.0,1135688.0,인바이오젠,101140
2020-05-28,3440.0,하락  40,3485.0,3525.0,3330.0,341953.0,인바이오젠,101140
2020-05-29,3420.0,하락  20,3510.0,3510.0,3390.0,227258.0,인바이오젠,101140
2020-06-01,3730.0,상승  310,3430.0,3820.0,3430.0,1290432.0,인바이오젠,101140
2020-06-02,3860.0,상승  130,3820.0,3900.0,3685.0,873459.0,인바이오젠,101140
2020-06-03,3820.0,하락  40,3860.0,3890.0,3810.0,345261.0,인바이오젠,101140
2020-06-04,3735.0,하락  85,3820.0,4045.0,3645.0,1520353.0,인바이오젠,101140
2020-06-05,3800.0,상승  65,3695.0,3850.0,3685.0,581924.0,인바이오젠,101140
2020-06-08,4050.0,상승  250,3805.0,4050.0,3790.0,752817.0,인바이오젠,101140
2020-06-09,4045.0,하락  5,4100.0,4200.0,3950.0,863571.0,인바이오젠,101140
2020-06-10,4075.0,상승  30,4080.0,4085.0,3950.0,326118.0,인바이오젠,101140
2020-06-11,3920.0,하락  155,4075.0,4090.0,3845.0,514071.0,인바이오젠,101140
2020-06-12,3840.0,하락  80,3700.0,3855.0,3655.0,437847.0,인바이오젠,101140
2020-06-15,3365.0,하락  475,3820.0,3825.0,3250.0,1156550.0,인바이오젠,101140
2020-06-16,3385.0,상승  20,3450.0,3590.0,3375.0,408818.0,인바이오젠,101140
2020-06-17,3390.0,상승  5,3300.0,3475.0,3255.0,494267.0,인바이오젠,101140
2020-06-18,3560.0,상승  170,3380.0,3585.0,3300.0,414104.0,인바이오젠,101140
2020-06-19,3600.0,상승  40,3565.0,3725.0,3500.0,422638.0,인바이오젠,101140
2020-06-22,3820.0,상승  220,3635.0,3830.0,3635.0,452580.0,인바이오젠,101140
2020-06-23,3910.0,상승  90,3890.0,3920.0,3720.0,570961.0,인바이오젠,101140
2020-06-24,3990.0,상승  80,3920.0,4060.0,3855.0,833450.0,인바이오젠,101140
2020-06-25,3870.0,하락  120,3890.0,4000.0,3760.0,447244.0,인바이오젠,101140
2020-06-26,3910.0,상승  40,3975.0,4005.0,3855.0,311305.0,인바이오젠,101140
2020-06-29,3790.0,하락  120,3880.0,3935.0,3775.0,270538.0,인바이오젠,101140
2020-06-30,3650.0,하락  140,3820.0,3950.0,3610.0,301451.0,인바이오젠,101140
2020-07-01,3520.0,하락  130,3615.0,3730.0,3490.0,331094.0,인바이오젠,101140
2020-07-02,3735.0,상승  215,3520.0,3745.0,3520.0,297680.0,인바이오젠,101140
2020-07-03,3955.0,상승  220,3765.0,3980.0,3690.0,478470.0,인바이오젠,101140
2020-07-06,4005.0,상승  50,4020.0,4335.0,3985.0,1069684.0,인바이오젠,101140
2020-07-07,4120.0,상승  115,3990.0,4120.0,3960.0,324087.0,인바이오젠,101140
2020-07-08,3995.0,하락  125,4170.0,4170.0,3960.0,270921.0,인바이오젠,101140
2020-07-09,3900.0,하락  95,4000.0,4065.0,3830.0,352786.0,인바이오젠,101140
2020-07-10,3930.0,상승  30,3910.0,3975.0,3855.0,263773.0,인바이오젠,101140
2020-07-13,4005.0,상승  75,3945.0,4100.0,3945.0,260678.0,인바이오젠,101140
2020-07-14,3880.0,하락  125,3970.0,4030.0,3875.0,206133.0,인바이오젠,101140
2020-07-15,3860.0,하락  20,3900.0,3945.0,3840.0,151615.0,인바이오젠,101140
2020-07-16,3865.0,상승  5,3850.0,3900.0,3700.0,385958.0,인바이오젠,101140
2020-07-17,3820.0,하락  45,3810.0,3935.0,3780.0,147796.0,인바이오젠,101140
2020-07-20,3700.0,하락  120,3795.0,3820.0,3620.0,408431.0,인바이오젠,101140
2020-07-21,3650.0,하락  50,3695.0,3800.0,3595.0,292592.0,인바이오젠,101140
2020-07-22,3640.0,하락  10,3650.0,3745.0,3510.0,312919.0,인바이오젠,101140
2020-07-23,3780.0,상승  140,3645.0,3870.0,3640.0,342925.0,인바이오젠,101140
2020-07-24,3775.0,하락  5,3780.0,3805.0,3690.0,155427.0,인바이오젠,101140
2020-07-27,3955.0,상승  180,3775.0,4095.0,3775.0,1034055.0,인바이오젠,101140
2020-07-28,3930.0,하락  25,4010.0,4145.0,3910.0,786687.0,인바이오젠,101140
2020-07-29,3820.0,하락  110,3960.0,3975.0,3740.0,281556.0,인바이오젠,101140
2020-07-30,3960.0,상승  140,3840.0,4050.0,3755.0,679214.0,인바이오젠,101140
2020-07-31,3940.0,하락  20,3960.0,4055.0,3895.0,282298.0,인바이오젠,101140
2020-08-03,3850.0,하락  90,3940.0,3955.0,3840.0,214112.0,인바이오젠,101140
2020-08-04,3910.0,상승  60,3830.0,3940.0,3735.0,392036.0,인바이오젠,101140
2020-08-05,3935.0,상승  25,3930.0,4010.0,3850.0,411385.0,인바이오젠,101140
2020-08-06,3900.0,하락  35,3990.0,3990.0,3800.0,397567.0,인바이오젠,101140
2020-08-07,3885.0,하락  15,3910.0,4080.0,3850.0,735321.0,인바이오젠,101140
2020-08-10,3815.0,하락  70,3850.0,3950.0,3800.0,268404.0,인바이오젠,101140
2020-08-11,3815.0,보합0,3865.0,3865.0,3750.0,228822.0,인바이오젠,101140
2020-08-12,3715.0,하락  100,3800.0,3800.0,3575.0,428861.0,인바이오젠,101140
2020-08-13,3675.0,하락  40,3700.0,3810.0,3665.0,199871.0,인바이오젠,101140
2020-08-14,3675.0,보합0,3720.0,3745.0,3545.0,293245.0,인바이오젠,101140
2020-08-18,3470.0,하락  205,3675.0,3675.0,3370.0,363472.0,인바이오젠,101140
2020-08-19,3635.0,상승  165,3425.0,3635.0,3425.0,263674.0,인바이오젠,101140
2020-08-20,3535.0,하락  100,3770.0,3770.0,3515.0,381769.0,인바이오젠,101140
