날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,25100.0,보합0,24500.0,25100.0,24000.0,5918.0,인천도시가스,034590
2020-03-16,25000.0,하락  100,25750.0,25750.0,24000.0,997.0,인천도시가스,034590
2020-03-17,24000.0,"하락  1,000",24800.0,24800.0,24000.0,1288.0,인천도시가스,034590
2020-03-18,23900.0,하락  100,24450.0,24450.0,23900.0,1959.0,인천도시가스,034590
2020-03-19,22950.0,하락  950,24450.0,24450.0,22750.0,3375.0,인천도시가스,034590
2020-03-20,22550.0,하락  400,24350.0,24350.0,22000.0,4844.0,인천도시가스,034590
2020-03-23,20950.0,"하락  1,600",22500.0,22500.0,20500.0,5565.0,인천도시가스,034590
2020-03-24,21300.0,상승  350,21750.0,21950.0,20450.0,3755.0,인천도시가스,034590
2020-03-25,22250.0,상승  950,21700.0,22600.0,21600.0,1235.0,인천도시가스,034590
2020-03-26,22300.0,상승  50,22450.0,23300.0,22200.0,3215.0,인천도시가스,034590
2020-03-27,23300.0,"상승  1,000",22300.0,23600.0,22300.0,1679.0,인천도시가스,034590
2020-03-30,23150.0,하락  150,22900.0,23150.0,22700.0,1760.0,인천도시가스,034590
2020-03-31,23500.0,상승  350,23850.0,23850.0,23450.0,1964.0,인천도시가스,034590
2020-04-01,22800.0,하락  700,23050.0,24400.0,22800.0,9446.0,인천도시가스,034590
2020-04-02,23200.0,상승  400,23300.0,23300.0,22700.0,3182.0,인천도시가스,034590
2020-04-03,23200.0,보합0,23000.0,23350.0,23000.0,2086.0,인천도시가스,034590
2020-04-06,23450.0,상승  250,23100.0,23600.0,23100.0,2445.0,인천도시가스,034590
2020-04-07,24000.0,상승  550,24300.0,24300.0,23600.0,1643.0,인천도시가스,034590
2020-04-08,23950.0,하락  50,24000.0,24000.0,23600.0,2585.0,인천도시가스,034590
2020-04-09,23900.0,하락  50,23950.0,24650.0,23200.0,1447.0,인천도시가스,034590
2020-04-10,24100.0,상승  200,24450.0,24450.0,23650.0,1584.0,인천도시가스,034590
2020-04-13,24300.0,상승  200,24200.0,24400.0,24000.0,2695.0,인천도시가스,034590
2020-04-14,24250.0,하락  50,23800.0,24350.0,23800.0,3332.0,인천도시가스,034590
2020-04-16,23650.0,하락  600,23800.0,24200.0,23650.0,3528.0,인천도시가스,034590
2020-04-17,24000.0,상승  350,23700.0,24400.0,23700.0,2756.0,인천도시가스,034590
2020-04-20,24800.0,상승  800,24050.0,24800.0,24050.0,4349.0,인천도시가스,034590
