날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1470.0,하락  90,1305.0,1495.0,1225.0,168598.0,인터지스,129260
2020-03-16,1240.0,하락  230,1555.0,1555.0,1230.0,343571.0,인터지스,129260
2020-03-17,1160.0,하락  80,1085.0,1240.0,1085.0,144138.0,인터지스,129260
2020-03-18,1125.0,하락  35,1150.0,1240.0,1100.0,161861.0,인터지스,129260
2020-03-19,911.0,하락  214,1105.0,1160.0,861.0,350207.0,인터지스,129260
2020-03-20,971.0,상승  60,880.0,999.0,880.0,361539.0,인터지스,129260
2020-03-23,847.0,하락  124,885.0,960.0,843.0,237040.0,인터지스,129260
2020-03-24,913.0,상승  66,920.0,920.0,846.0,145898.0,인터지스,129260
2020-03-25,966.0,상승  53,919.0,975.0,919.0,331056.0,인터지스,129260
2020-03-26,1030.0,상승  64,973.0,1135.0,972.0,160933.0,인터지스,129260
2020-03-27,1040.0,상승  10,1050.0,1105.0,1010.0,164426.0,인터지스,129260
2020-03-30,1095.0,상승  55,1035.0,1130.0,1000.0,235820.0,인터지스,129260
2020-03-31,1165.0,상승  70,1115.0,1165.0,1115.0,104383.0,인터지스,129260
2020-04-01,1290.0,상승  125,1165.0,1400.0,1145.0,207264.0,인터지스,129260
2020-04-02,1300.0,상승  10,1290.0,1355.0,1250.0,119630.0,인터지스,129260
2020-04-03,1320.0,상승  20,1350.0,1385.0,1265.0,158105.0,인터지스,129260
2020-04-06,1370.0,상승  50,1320.0,1395.0,1285.0,78028.0,인터지스,129260
2020-04-07,1400.0,상승  30,1380.0,1420.0,1335.0,84769.0,인터지스,129260
2020-04-08,1490.0,상승  90,1400.0,1490.0,1350.0,69923.0,인터지스,129260
2020-04-09,1600.0,상승  110,1600.0,1745.0,1560.0,250587.0,인터지스,129260
2020-04-10,1630.0,상승  30,1655.0,1655.0,1520.0,86898.0,인터지스,129260
2020-04-13,1525.0,하락  105,1630.0,1650.0,1525.0,63752.0,인터지스,129260
2020-04-14,1585.0,상승  60,1525.0,1590.0,1525.0,54462.0,인터지스,129260
2020-04-16,1595.0,상승  10,1610.0,1610.0,1500.0,30011.0,인터지스,129260
2020-04-17,1585.0,하락  10,1615.0,1615.0,1545.0,51963.0,인터지스,129260
2020-04-20,1605.0,상승  20,1665.0,1665.0,1575.0,42287.0,인터지스,129260
2020-04-21,1600.0,하락  5,1615.0,1620.0,1480.0,55629.0,인터지스,129260
2020-04-22,1590.0,하락  10,1585.0,1595.0,1520.0,27348.0,인터지스,129260
2020-04-23,1590.0,보합0,1565.0,1600.0,1500.0,75517.0,인터지스,129260
2020-04-24,1645.0,상승  55,1630.0,1745.0,1580.0,679485.0,인터지스,129260
2020-04-27,1640.0,하락  5,1660.0,1695.0,1625.0,229791.0,인터지스,129260
2020-04-28,1655.0,상승  15,1665.0,1680.0,1630.0,103774.0,인터지스,129260
2020-04-29,1660.0,상승  5,1680.0,1740.0,1595.0,530487.0,인터지스,129260
2020-05-04,1625.0,하락  35,1600.0,1680.0,1555.0,157624.0,인터지스,129260
2020-05-06,1685.0,상승  60,1630.0,1685.0,1625.0,83230.0,인터지스,129260
2020-05-07,1655.0,하락  30,1690.0,1715.0,1645.0,250456.0,인터지스,129260
2020-05-08,1665.0,상승  10,1695.0,1700.0,1630.0,88298.0,인터지스,129260
2020-05-11,1665.0,보합0,1665.0,1695.0,1630.0,181409.0,인터지스,129260
2020-05-12,1705.0,상승  40,1815.0,1950.0,1670.0,2593745.0,인터지스,129260
2020-05-13,1665.0,하락  40,1695.0,1710.0,1625.0,398110.0,인터지스,129260
2020-05-14,1600.0,하락  65,1620.0,1640.0,1540.0,549381.0,인터지스,129260
2020-05-15,1565.0,하락  35,1590.0,1590.0,1535.0,163398.0,인터지스,129260
2020-05-18,1580.0,상승  15,1555.0,1595.0,1545.0,130758.0,인터지스,129260
2020-05-19,1675.0,상승  95,1610.0,1805.0,1575.0,1195142.0,인터지스,129260
2020-05-20,1675.0,보합0,1655.0,1680.0,1625.0,88642.0,인터지스,129260
2020-05-21,1685.0,상승  10,1685.0,1720.0,1660.0,153101.0,인터지스,129260
2020-05-22,1640.0,하락  45,1680.0,1720.0,1635.0,143426.0,인터지스,129260
2020-05-25,1690.0,상승  50,1660.0,1745.0,1645.0,335333.0,인터지스,129260
2020-05-26,1730.0,상승  40,1730.0,1735.0,1680.0,222364.0,인터지스,129260
2020-05-27,1720.0,하락  10,1710.0,1725.0,1665.0,84826.0,인터지스,129260
2020-05-28,1690.0,하락  30,1720.0,1725.0,1655.0,119460.0,인터지스,129260
2020-05-29,1680.0,하락  10,1690.0,1690.0,1650.0,66482.0,인터지스,129260
2020-06-01,1675.0,하락  5,1695.0,1700.0,1640.0,107349.0,인터지스,129260
2020-06-02,1690.0,상승  15,1675.0,1700.0,1645.0,100164.0,인터지스,129260
2020-06-03,1750.0,상승  60,1700.0,1785.0,1690.0,609042.0,인터지스,129260
2020-06-04,1755.0,상승  5,1790.0,1800.0,1735.0,257772.0,인터지스,129260
2020-06-05,1735.0,하락  20,1755.0,1765.0,1695.0,304185.0,인터지스,129260
2020-06-08,1710.0,하락  25,1740.0,1740.0,1690.0,143048.0,인터지스,129260
2020-06-09,1725.0,상승  15,1700.0,1725.0,1685.0,123247.0,인터지스,129260
2020-06-10,1725.0,보합0,1735.0,1735.0,1690.0,74963.0,인터지스,129260
2020-06-11,1695.0,하락  30,1700.0,1720.0,1675.0,70491.0,인터지스,129260
2020-06-12,1645.0,하락  50,1590.0,1645.0,1580.0,87153.0,인터지스,129260
2020-06-15,1625.0,하락  20,1640.0,1725.0,1585.0,268970.0,인터지스,129260
2020-06-16,1645.0,상승  20,1615.0,1665.0,1610.0,146606.0,인터지스,129260
2020-06-17,1625.0,하락  20,1640.0,1640.0,1590.0,65982.0,인터지스,129260
2020-06-18,1625.0,보합0,1625.0,1625.0,1585.0,34668.0,인터지스,129260
2020-06-19,1640.0,상승  15,1645.0,1650.0,1590.0,52212.0,인터지스,129260
2020-06-22,1635.0,하락  5,1640.0,1645.0,1615.0,28343.0,인터지스,129260
2020-06-23,1615.0,하락  20,1635.0,1640.0,1575.0,62275.0,인터지스,129260
2020-06-24,1585.0,하락  30,1635.0,1635.0,1565.0,133848.0,인터지스,129260
2020-06-25,1550.0,하락  35,1565.0,1570.0,1520.0,91064.0,인터지스,129260
2020-06-26,1590.0,상승  40,1560.0,1600.0,1540.0,48601.0,인터지스,129260
2020-06-29,1575.0,하락  15,1590.0,1590.0,1545.0,10943.0,인터지스,129260
2020-06-30,1635.0,상승  60,1580.0,1635.0,1550.0,38765.0,인터지스,129260
2020-07-01,1625.0,하락  10,1640.0,1640.0,1600.0,36387.0,인터지스,129260
2020-07-02,1600.0,하락  25,1600.0,1600.0,1580.0,99413.0,인터지스,129260
2020-07-03,1635.0,상승  35,1610.0,1770.0,1575.0,414790.0,인터지스,129260
2020-07-06,1665.0,상승  30,1660.0,1670.0,1630.0,99748.0,인터지스,129260
2020-07-07,1665.0,보합0,1665.0,1670.0,1630.0,89158.0,인터지스,129260
2020-07-08,1980.0,상승  315,1650.0,2160.0,1650.0,15898447.0,인터지스,129260
2020-07-09,1940.0,하락  40,1980.0,2015.0,1875.0,2543772.0,인터지스,129260
2020-07-10,1880.0,하락  60,1960.0,2070.0,1880.0,2850686.0,인터지스,129260
2020-07-13,1940.0,상승  60,1880.0,1950.0,1865.0,641006.0,인터지스,129260
2020-07-14,2315.0,상승  375,2035.0,2520.0,1940.0,21917450.0,인터지스,129260
2020-07-15,2325.0,상승  10,2285.0,2420.0,2205.0,3894118.0,인터지스,129260
2020-07-16,2415.0,상승  90,2335.0,2935.0,2305.0,17584981.0,인터지스,129260
2020-07-17,2445.0,상승  30,2435.0,2445.0,2350.0,926259.0,인터지스,129260
