날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1575.0,하락  220,1600.0,1655.0,1410.0,4561239.0,일신석재,007110
2020-03-16,1440.0,하락  135,1575.0,1640.0,1440.0,2516612.0,일신석재,007110
2020-03-17,1440.0,보합0,1335.0,1490.0,1335.0,2142002.0,일신석재,007110
2020-03-18,1355.0,하락  85,1460.0,1650.0,1350.0,5886248.0,일신석재,007110
2020-03-19,1120.0,하락  235,1400.0,1425.0,1105.0,4539321.0,일신석재,007110
2020-03-20,1240.0,상승  120,1165.0,1250.0,1160.0,2851190.0,일신석재,007110
2020-03-23,1295.0,상승  55,1155.0,1370.0,1145.0,3751161.0,일신석재,007110
2020-03-24,1370.0,상승  75,1335.0,1390.0,1305.0,2866742.0,일신석재,007110
2020-03-25,1465.0,상승  95,1410.0,1520.0,1410.0,3129891.0,일신석재,007110
2020-03-26,1480.0,상승  15,1465.0,1520.0,1420.0,2630380.0,일신석재,007110
2020-03-27,1485.0,상승  5,1540.0,1560.0,1390.0,2910553.0,일신석재,007110
2020-03-30,1500.0,상승  15,1430.0,1510.0,1385.0,2240768.0,일신석재,007110
2020-03-31,1720.0,상승  220,1520.0,1915.0,1520.0,15960718.0,일신석재,007110
2020-04-01,1670.0,하락  50,1670.0,1850.0,1640.0,6906181.0,일신석재,007110
2020-04-02,1710.0,상승  40,1680.0,1770.0,1550.0,4066091.0,일신석재,007110
2020-04-03,1720.0,상승  10,1720.0,1755.0,1670.0,2443046.0,일신석재,007110
2020-04-06,1775.0,상승  55,1725.0,1790.0,1695.0,2466188.0,일신석재,007110
2020-04-07,1845.0,상승  70,1820.0,1925.0,1750.0,5099209.0,일신석재,007110
2020-04-08,1815.0,하락  30,1840.0,1865.0,1780.0,1913884.0,일신석재,007110
2020-04-09,1875.0,상승  60,1845.0,1890.0,1830.0,2178319.0,일신석재,007110
2020-04-10,1845.0,하락  30,1875.0,1895.0,1740.0,2223746.0,일신석재,007110
2020-04-13,1785.0,하락  60,1815.0,1875.0,1765.0,2231586.0,일신석재,007110
2020-04-14,1965.0,상승  180,1820.0,2065.0,1805.0,19923864.0,일신석재,007110
2020-04-16,2510.0,상승  545,2020.0,2530.0,1985.0,47571786.0,일신석재,007110
2020-04-17,2390.0,하락  120,2415.0,2495.0,2305.0,13839160.0,일신석재,007110
2020-04-20,2650.0,상승  260,2435.0,2860.0,2420.0,56651309.0,일신석재,007110
2020-04-21,2440.0,하락  210,2620.0,2815.0,2130.0,32264738.0,일신석재,007110
2020-04-22,2525.0,상승  85,2400.0,2530.0,2250.0,9758285.0,일신석재,007110
2020-04-23,2430.0,하락  95,2445.0,2615.0,2425.0,8965983.0,일신석재,007110
2020-04-24,2385.0,하락  45,2430.0,2545.0,2340.0,7080684.0,일신석재,007110
2020-04-27,2400.0,상승  15,2460.0,2480.0,2375.0,4427999.0,일신석재,007110
2020-04-28,2470.0,상승  70,2470.0,2565.0,2405.0,12016644.0,일신석재,007110
2020-04-29,2485.0,상승  15,2540.0,2540.0,2440.0,3417181.0,일신석재,007110
2020-05-04,2515.0,상승  30,2620.0,2665.0,2500.0,5831835.0,일신석재,007110
2020-05-06,2615.0,상승  100,2520.0,2625.0,2485.0,7436418.0,일신석재,007110
2020-05-07,2670.0,상승  55,2615.0,2780.0,2610.0,15777902.0,일신석재,007110
2020-05-08,2745.0,상승  75,2710.0,2770.0,2675.0,8416423.0,일신석재,007110
2020-05-11,2560.0,하락  185,2640.0,2650.0,2550.0,5037800.0,일신석재,007110
2020-05-12,2520.0,하락  40,2520.0,2585.0,2475.0,3448991.0,일신석재,007110
2020-05-13,2495.0,하락  25,2455.0,2540.0,2455.0,1604036.0,일신석재,007110
2020-05-14,2445.0,하락  50,2480.0,2515.0,2435.0,1925431.0,일신석재,007110
2020-05-15,2390.0,하락  55,2470.0,2475.0,2345.0,1967985.0,일신석재,007110
2020-05-18,2390.0,보합0,2370.0,2420.0,2355.0,1407265.0,일신석재,007110
2020-05-19,2430.0,상승  40,2430.0,2495.0,2420.0,2863655.0,일신석재,007110
2020-05-20,2450.0,상승  20,2415.0,2480.0,2405.0,1396263.0,일신석재,007110
2020-05-21,2475.0,상승  25,2465.0,2480.0,2425.0,1634059.0,일신석재,007110
2020-05-22,2435.0,하락  40,2505.0,2505.0,2415.0,1525002.0,일신석재,007110
2020-05-25,2430.0,하락  5,2410.0,2515.0,2360.0,2187745.0,일신석재,007110
2020-05-26,2525.0,상승  95,2455.0,2620.0,2430.0,7735537.0,일신석재,007110
2020-05-27,2550.0,상승  25,2535.0,2570.0,2500.0,3102185.0,일신석재,007110
2020-05-28,2465.0,하락  85,2565.0,2590.0,2435.0,2981698.0,일신석재,007110
2020-05-29,2460.0,하락  5,2445.0,2515.0,2435.0,1315426.0,일신석재,007110
2020-06-01,2485.0,상승  25,2460.0,2530.0,2460.0,1265446.0,일신석재,007110
2020-06-02,2560.0,상승  75,2500.0,2605.0,2500.0,3476540.0,일신석재,007110
2020-06-03,2525.0,하락  35,2560.0,2570.0,2525.0,1613760.0,일신석재,007110
2020-06-04,2530.0,상승  5,2540.0,2565.0,2490.0,1621507.0,일신석재,007110
2020-06-05,2610.0,상승  80,2530.0,2630.0,2525.0,3433768.0,일신석재,007110
2020-06-08,2490.0,하락  120,2545.0,2550.0,2475.0,3183513.0,일신석재,007110
2020-06-09,2390.0,하락  100,2350.0,2460.0,2350.0,3395780.0,일신석재,007110
2020-06-10,2310.0,하락  80,2370.0,2375.0,2300.0,2286472.0,일신석재,007110
2020-06-11,2280.0,하락  30,2310.0,2370.0,2275.0,1657486.0,일신석재,007110
2020-06-12,2330.0,상승  50,2160.0,2350.0,2150.0,3280126.0,일신석재,007110
2020-06-15,2005.0,하락  325,2220.0,2280.0,2005.0,3029061.0,일신석재,007110
2020-06-16,2250.0,상승  245,2100.0,2320.0,2075.0,3365010.0,일신석재,007110
2020-06-17,2070.0,하락  180,2045.0,2145.0,2005.0,4754975.0,일신석재,007110
2020-06-18,2080.0,상승  10,2080.0,2175.0,2035.0,3294583.0,일신석재,007110
2020-06-19,2200.0,상승  120,2085.0,2385.0,2080.0,11575126.0,일신석재,007110
2020-06-22,2135.0,하락  65,2180.0,2255.0,2110.0,2364588.0,일신석재,007110
2020-06-23,2065.0,하락  70,2155.0,2160.0,2045.0,1765921.0,일신석재,007110
2020-06-24,2365.0,상승  300,2300.0,2400.0,2210.0,11394796.0,일신석재,007110
2020-06-25,2300.0,하락  65,2265.0,2350.0,2250.0,3079181.0,일신석재,007110
2020-06-26,2270.0,하락  30,2330.0,2340.0,2215.0,1381596.0,일신석재,007110
2020-06-29,2220.0,하락  50,2225.0,2300.0,2210.0,778197.0,일신석재,007110
2020-06-30,2235.0,상승  15,2280.0,2285.0,2200.0,1178982.0,일신석재,007110
2020-07-01,2310.0,상승  75,2265.0,2350.0,2260.0,2000274.0,일신석재,007110
2020-07-02,2370.0,상승  60,2330.0,2385.0,2315.0,2276243.0,일신석재,007110
2020-07-03,2485.0,상승  115,2410.0,2485.0,2360.0,3550293.0,일신석재,007110
2020-07-06,2495.0,상승  10,2500.0,2535.0,2425.0,3914773.0,일신석재,007110
2020-07-07,2390.0,하락  105,2480.0,2490.0,2375.0,2474028.0,일신석재,007110
2020-07-08,2420.0,상승  30,2400.0,2490.0,2380.0,3014927.0,일신석재,007110
2020-07-09,2350.0,하락  70,2430.0,2445.0,2350.0,1485216.0,일신석재,007110
2020-07-10,2335.0,하락  15,2370.0,2425.0,2280.0,1736637.0,일신석재,007110
2020-07-13,2330.0,하락  5,2330.0,2335.0,2270.0,949982.0,일신석재,007110
2020-07-14,2295.0,하락  35,2330.0,2330.0,2285.0,909420.0,일신석재,007110
2020-07-15,2345.0,상승  50,2300.0,2360.0,2300.0,1033693.0,일신석재,007110
2020-07-16,2325.0,하락  20,2345.0,2350.0,2310.0,814943.0,일신석재,007110
2020-07-17,2400.0,상승  75,2360.0,2405.0,2345.0,1785044.0,일신석재,007110
2020-07-20,2425.0,상승  25,2430.0,2465.0,2375.0,2716168.0,일신석재,007110
2020-07-21,2430.0,상승  5,2445.0,2455.0,2415.0,1276337.0,일신석재,007110
2020-07-22,2410.0,하락  20,2425.0,2440.0,2405.0,754557.0,일신석재,007110
2020-07-23,2355.0,하락  55,2405.0,2420.0,2335.0,1243680.0,일신석재,007110
2020-07-24,2305.0,하락  50,2335.0,2360.0,2290.0,838523.0,일신석재,007110
2020-07-27,2350.0,상승  45,2300.0,2355.0,2295.0,732472.0,일신석재,007110
2020-07-28,2350.0,보합0,2360.0,2385.0,2325.0,940324.0,일신석재,007110
2020-07-29,2390.0,상승  40,2365.0,2600.0,2320.0,4259015.0,일신석재,007110
2020-07-30,2425.0,상승  35,2410.0,2470.0,2380.0,1749119.0,일신석재,007110
2020-07-31,2400.0,하락  25,2440.0,2450.0,2400.0,861774.0,일신석재,007110
2020-08-03,2370.0,하락  30,2425.0,2430.0,2365.0,1220526.0,일신석재,007110
2020-08-04,2375.0,상승  5,2370.0,2400.0,2340.0,726757.0,일신석재,007110
2020-08-05,2335.0,하락  40,2375.0,2375.0,2335.0,1004754.0,일신석재,007110
2020-08-06,2400.0,상승  65,2365.0,2425.0,2350.0,2323841.0,일신석재,007110
2020-08-07,2350.0,하락  50,2425.0,2425.0,2325.0,1178666.0,일신석재,007110
2020-08-10,2320.0,하락  30,2335.0,2360.0,2295.0,1080774.0,일신석재,007110
2020-08-11,2340.0,상승  20,2320.0,2380.0,2310.0,1125224.0,일신석재,007110
2020-08-12,2290.0,하락  50,2355.0,2355.0,2220.0,1460551.0,일신석재,007110
2020-08-13,2330.0,상승  40,2300.0,2330.0,2280.0,986820.0,일신석재,007110
2020-08-14,2290.0,하락  40,2340.0,2340.0,2255.0,734893.0,일신석재,007110
2020-08-18,2105.0,하락  185,2265.0,2280.0,2060.0,1761991.0,일신석재,007110
2020-08-19,2125.0,상승  20,2145.0,2165.0,2100.0,718698.0,일신석재,007110
2020-08-20,2005.0,하락  120,2105.0,2130.0,1965.0,1661670.0,일신석재,007110
2020-08-21,2060.0,상승  55,2015.0,2150.0,2015.0,2127996.0,일신석재,007110
2020-08-24,2045.0,하락  15,2060.0,2065.0,2005.0,705669.0,일신석재,007110
2020-08-25,2100.0,상승  55,2055.0,2115.0,2040.0,1010190.0,일신석재,007110
2020-08-26,2075.0,하락  25,2105.0,2110.0,2060.0,550866.0,일신석재,007110
2020-08-27,2025.0,하락  50,2085.0,2085.0,1995.0,1067875.0,일신석재,007110
2020-08-28,2035.0,상승  10,2025.0,2075.0,2000.0,608109.0,일신석재,007110
2020-08-31,2045.0,상승  10,2045.0,2070.0,2030.0,573611.0,일신석재,007110
2020-09-01,2040.0,하락  5,2050.0,2075.0,2035.0,607852.0,일신석재,007110
2020-09-02,2090.0,상승  50,2060.0,2095.0,2040.0,666479.0,일신석재,007110
2020-09-03,2090.0,보합0,2090.0,2105.0,2070.0,588945.0,일신석재,007110
2020-09-04,2050.0,하락  40,2015.0,2050.0,2015.0,833938.0,일신석재,007110
2020-09-07,2095.0,상승  45,2050.0,2100.0,2025.0,814322.0,일신석재,007110
2020-09-08,2075.0,하락  20,2105.0,2110.0,2060.0,618583.0,일신석재,007110
2020-09-09,2050.0,하락  25,2040.0,2060.0,2035.0,620049.0,일신석재,007110
2020-09-10,2055.0,상승  5,2060.0,2080.0,2040.0,530341.0,일신석재,007110
2020-09-11,2100.0,상승  45,2085.0,2145.0,2070.0,1693748.0,일신석재,007110
2020-09-14,2165.0,상승  65,2100.0,2175.0,2070.0,1621558.0,일신석재,007110
2020-09-15,2145.0,하락  20,2180.0,2180.0,2110.0,958270.0,일신석재,007110
2020-09-16,2210.0,상승  65,2165.0,2355.0,2160.0,5262051.0,일신석재,007110
2020-09-17,2170.0,하락  40,2210.0,2220.0,2145.0,925427.0,일신석재,007110
2020-09-18,2140.0,하락  30,2150.0,2185.0,2125.0,698062.0,일신석재,007110
2020-09-21,2090.0,하락  50,2140.0,2160.0,2055.0,834317.0,일신석재,007110
2020-09-22,2045.0,하락  45,2065.0,2090.0,2025.0,768102.0,일신석재,007110
2020-09-23,2040.0,하락  5,2070.0,2070.0,2005.0,795704.0,일신석재,007110
2020-09-24,2020.0,하락  20,2020.0,2135.0,2020.0,2102563.0,일신석재,007110
2020-09-25,2130.0,상승  110,2020.0,2195.0,1930.0,5057401.0,일신석재,007110
2020-09-28,2170.0,상승  40,2125.0,2225.0,2090.0,2114242.0,일신석재,007110
2020-09-29,2185.0,상승  15,2175.0,2210.0,2170.0,1096699.0,일신석재,007110
2020-10-05,2135.0,하락  50,2115.0,2145.0,2100.0,1112609.0,일신석재,007110
2020-10-06,2105.0,하락  30,2135.0,2150.0,2075.0,856495.0,일신석재,007110
2020-10-07,2095.0,하락  10,2085.0,2115.0,2075.0,538878.0,일신석재,007110
2020-10-08,2120.0,상승  25,2100.0,2130.0,2090.0,761720.0,일신석재,007110
2020-10-12,2175.0,상승  55,2200.0,2220.0,2155.0,1501943.0,일신석재,007110
2020-10-13,2145.0,하락  30,2180.0,2180.0,2125.0,492844.0,일신석재,007110
2020-10-14,2105.0,하락  40,2145.0,2155.0,2105.0,447798.0,일신석재,007110
2020-10-15,2115.0,상승  10,2105.0,2145.0,2070.0,792296.0,일신석재,007110
2020-10-16,2080.0,하락  35,2095.0,2120.0,2060.0,588563.0,일신석재,007110
2020-10-19,2070.0,하락  10,2070.0,2095.0,2045.0,473904.0,일신석재,007110
2020-10-20,2040.0,하락  30,2040.0,2070.0,2025.0,657705.0,일신석재,007110
2020-10-21,2070.0,상승  30,2055.0,2075.0,2040.0,417873.0,일신석재,007110
2020-10-22,2035.0,하락  35,2070.0,2075.0,2030.0,443234.0,일신석재,007110
2020-10-23,2030.0,하락  5,2045.0,2065.0,2020.0,451182.0,일신석재,007110
2020-10-26,1995.0,하락  35,2040.0,2040.0,1990.0,619025.0,일신석재,007110
2020-10-27,1985.0,하락  10,1975.0,2005.0,1955.0,452113.0,일신석재,007110
2020-10-28,2030.0,상승  45,1990.0,2035.0,1980.0,560682.0,일신석재,007110
2020-10-29,1990.0,하락  40,1975.0,2010.0,1965.0,502124.0,일신석재,007110
2020-10-30,1980.0,하락  10,1995.0,2005.0,1975.0,526461.0,일신석재,007110
2020-11-02,1980.0,보합0,1970.0,1985.0,1960.0,470155.0,일신석재,007110
2020-11-03,2010.0,상승  30,1980.0,2015.0,1975.0,596237.0,일신석재,007110
2020-11-04,2130.0,상승  120,2015.0,2165.0,1995.0,4761958.0,일신석재,007110
2020-11-05,2000.0,하락  130,1955.0,2005.0,1935.0,2327600.0,일신석재,007110
2020-11-06,1980.0,하락  20,2000.0,2015.0,1975.0,870981.0,일신석재,007110
2020-11-09,1995.0,상승  15,1985.0,1995.0,1980.0,622492.0,일신석재,007110
2020-11-10,1990.0,하락  5,2000.0,2010.0,1970.0,602851.0,일신석재,007110
2020-11-11,2005.0,상승  15,1995.0,2010.0,1980.0,764531.0,일신석재,007110
2020-11-12,2030.0,상승  25,2015.0,2050.0,2000.0,813693.0,일신석재,007110
2020-11-13,2000.0,하락  30,2030.0,2030.0,1995.0,657614.0,일신석재,007110
2020-11-16,1990.0,하락  10,2005.0,2010.0,1985.0,433923.0,일신석재,007110
2020-11-17,1995.0,상승  5,1990.0,2005.0,1985.0,629384.0,일신석재,007110
2020-11-18,2000.0,상승  5,1995.0,2005.0,1985.0,360828.0,일신석재,007110
2020-11-19,1985.0,하락  15,2000.0,2000.0,1980.0,484875.0,일신석재,007110
2020-11-20,1995.0,상승  10,1990.0,2000.0,1980.0,288374.0,일신석재,007110
2020-11-23,2000.0,상승  5,1990.0,2005.0,1975.0,780376.0,일신석재,007110
2020-11-24,2020.0,상승  20,1995.0,2035.0,1995.0,1271330.0,일신석재,007110
2020-11-25,2000.0,하락  20,2035.0,2035.0,1975.0,1033726.0,일신석재,007110
2020-11-26,1995.0,하락  5,2000.0,2005.0,1985.0,358602.0,일신석재,007110
2020-11-27,2000.0,상승  5,1990.0,2010.0,1985.0,649261.0,일신석재,007110
2020-11-30,1995.0,하락  5,2000.0,2005.0,1990.0,451613.0,일신석재,007110
2020-12-01,2000.0,상승  5,1995.0,2000.0,1985.0,368294.0,일신석재,007110
2020-12-02,1995.0,하락  5,2000.0,2005.0,1985.0,354524.0,일신석재,007110
2020-12-03,1990.0,하락  5,1995.0,2000.0,1980.0,500443.0,일신석재,007110
2020-12-04,1975.0,하락  15,1985.0,2000.0,1970.0,796282.0,일신석재,007110
2020-12-07,1960.0,하락  15,1975.0,1975.0,1940.0,731362.0,일신석재,007110
2020-12-08,1955.0,하락  5,1960.0,1975.0,1945.0,683835.0,일신석재,007110
2020-12-09,2000.0,상승  45,1955.0,2125.0,1940.0,8134107.0,일신석재,007110
2020-12-10,1990.0,하락  10,2000.0,2015.0,1970.0,1000783.0,일신석재,007110
2020-12-11,1995.0,상승  5,1985.0,2000.0,1985.0,700457.0,일신석재,007110
2020-12-14,1980.0,하락  15,1995.0,2000.0,1970.0,642849.0,일신석재,007110
2020-12-15,1955.0,하락  25,1980.0,1985.0,1955.0,719359.0,일신석재,007110
2020-12-16,1965.0,상승  10,1965.0,1970.0,1955.0,388903.0,일신석재,007110
2020-12-17,1965.0,보합0,1965.0,1970.0,1955.0,284609.0,일신석재,007110
2020-12-18,1975.0,상승  10,1965.0,2000.0,1955.0,569440.0,일신석재,007110
