날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,10900.0,보합0,10900.0,10900.0,10400.0,769.0,일정실업,008500
2020-03-17,10400.0,하락  500,10000.0,10550.0,10000.0,1175.0,일정실업,008500
2020-03-18,10000.0,하락  400,10400.0,10400.0,10000.0,1870.0,일정실업,008500
2020-03-19,9000.0,"하락  1,000",9960.0,9960.0,8310.0,312.0,일정실업,008500
2020-03-20,9140.0,상승  140,8600.0,9140.0,8580.0,749.0,일정실업,008500
2020-03-23,8600.0,하락  540,9140.0,9140.0,8420.0,223.0,일정실업,008500
2020-03-24,8560.0,하락  40,8600.0,8610.0,8520.0,796.0,일정실업,008500
2020-03-25,10700.0,"상승  2,140",8600.0,10700.0,8590.0,2552.0,일정실업,008500
2020-03-26,9970.0,하락  730,11000.0,11000.0,9660.0,1150.0,일정실업,008500
2020-03-27,10700.0,상승  730,9920.0,12950.0,9920.0,26696.0,일정실업,008500
2020-03-30,10350.0,하락  350,10900.0,10900.0,10000.0,4378.0,일정실업,008500
2020-03-31,10700.0,상승  350,10350.0,10750.0,10150.0,3710.0,일정실업,008500
2020-04-01,9810.0,하락  890,10700.0,10700.0,9800.0,5421.0,일정실업,008500
2020-04-02,10000.0,상승  190,9780.0,10000.0,9780.0,596.0,일정실업,008500
2020-04-03,9980.0,하락  20,10000.0,10050.0,9840.0,1188.0,일정실업,008500
2020-04-06,9950.0,하락  30,9980.0,9980.0,9880.0,1430.0,일정실업,008500
2020-04-07,10200.0,상승  250,10050.0,10200.0,9910.0,2887.0,일정실업,008500
2020-04-08,10050.0,하락  150,10250.0,10350.0,10000.0,6468.0,일정실업,008500
2020-04-09,9960.0,하락  90,10100.0,10100.0,9700.0,5939.0,일정실업,008500
2020-04-10,9860.0,하락  100,9830.0,9930.0,9630.0,2742.0,일정실업,008500
2020-04-13,9910.0,상승  50,9850.0,9960.0,9820.0,4749.0,일정실업,008500
2020-04-14,9650.0,하락  260,9910.0,10000.0,9650.0,6547.0,일정실업,008500
2020-04-16,9510.0,하락  140,9800.0,9800.0,9500.0,1356.0,일정실업,008500
2020-04-17,9540.0,상승  30,9500.0,9590.0,9400.0,13422.0,일정실업,008500
2020-04-20,9400.0,하락  140,9540.0,9780.0,9210.0,6653.0,일정실업,008500
2020-04-21,9160.0,하락  240,9330.0,9510.0,9160.0,2457.0,일정실업,008500
2020-04-22,9120.0,하락  40,9150.0,9150.0,8950.0,857.0,일정실업,008500
2020-04-23,9430.0,상승  310,9120.0,9480.0,9120.0,1337.0,일정실업,008500
2020-04-24,9430.0,보합0,9400.0,9530.0,9400.0,429.0,일정실업,008500
2020-04-27,9500.0,상승  70,9430.0,9500.0,9360.0,486.0,일정실업,008500
2020-04-28,9800.0,상승  300,9500.0,9800.0,9500.0,890.0,일정실업,008500
2020-04-29,9760.0,하락  40,9800.0,9800.0,9760.0,264.0,일정실업,008500
2020-05-04,9870.0,상승  110,9700.0,9890.0,9660.0,942.0,일정실업,008500
2020-05-06,9800.0,하락  70,9680.0,9860.0,9680.0,1656.0,일정실업,008500
2020-05-07,9890.0,상승  90,9900.0,9900.0,9850.0,525.0,일정실업,008500
2020-05-08,10100.0,상승  210,9920.0,10100.0,9910.0,1764.0,일정실업,008500
2020-05-11,10200.0,상승  100,11150.0,11150.0,10200.0,2300.0,일정실업,008500
2020-05-12,9900.0,하락  300,10200.0,10200.0,9900.0,947.0,일정실업,008500
2020-05-13,10000.0,상승  100,9710.0,10100.0,9710.0,592.0,일정실업,008500
2020-05-14,9890.0,하락  110,10000.0,10000.0,9890.0,372.0,일정실업,008500
2020-05-15,10250.0,상승  360,9880.0,10250.0,9880.0,146.0,일정실업,008500
2020-05-18,9930.0,하락  320,10100.0,10100.0,9930.0,580.0,일정실업,008500
2020-05-19,10800.0,상승  870,9930.0,10800.0,9930.0,953.0,일정실업,008500
2020-05-20,11150.0,상승  350,10600.0,11150.0,10600.0,1973.0,일정실업,008500
2020-05-21,10750.0,하락  400,11150.0,11200.0,10600.0,2321.0,일정실업,008500
2020-05-22,10600.0,하락  150,10750.0,10950.0,10600.0,428.0,일정실업,008500
2020-05-25,10500.0,하락  100,10600.0,10600.0,10250.0,1162.0,일정실업,008500
2020-05-26,9960.0,하락  540,10350.0,10350.0,9950.0,8711.0,일정실업,008500
2020-05-27,9960.0,보합0,9960.0,9980.0,9830.0,3545.0,일정실업,008500
2020-05-28,9880.0,하락  80,9950.0,9950.0,9850.0,2671.0,일정실업,008500
2020-05-29,9800.0,하락  80,9860.0,9860.0,9730.0,1051.0,일정실업,008500
2020-06-01,9750.0,하락  50,9740.0,9800.0,9720.0,2986.0,일정실업,008500
2020-06-02,9950.0,상승  200,9810.0,10150.0,9810.0,2881.0,일정실업,008500
2020-06-03,10150.0,상승  200,9910.0,10150.0,9910.0,3853.0,일정실업,008500
2020-06-04,10450.0,상승  300,10050.0,10500.0,10050.0,3950.0,일정실업,008500
2020-06-05,10000.0,하락  450,10500.0,10500.0,9880.0,4857.0,일정실업,008500
2020-06-08,10000.0,보합0,10000.0,10450.0,9990.0,38017.0,일정실업,008500
2020-06-09,10400.0,상승  400,11250.0,11250.0,10250.0,30909.0,일정실업,008500
2020-06-10,13500.0,"상한가  3,100",10800.0,13500.0,10800.0,51477.0,일정실업,008500
2020-06-11,12450.0,"하락  1,050",12800.0,15150.0,11700.0,70607.0,일정실업,008500
2020-06-12,12800.0,상승  350,11600.0,13100.0,11350.0,19726.0,일정실업,008500
2020-06-15,16600.0,"상한가  3,800",13050.0,16600.0,13000.0,74814.0,일정실업,008500
2020-06-16,15500.0,"하락  1,100",18500.0,19000.0,14750.0,62275.0,일정실업,008500
2020-06-17,16450.0,상승  950,15200.0,16750.0,14800.0,21530.0,일정실업,008500
2020-06-18,16850.0,상승  400,16400.0,18000.0,15700.0,14992.0,일정실업,008500
2020-06-19,15950.0,하락  900,16850.0,16850.0,14100.0,24742.0,일정실업,008500
2020-06-22,13950.0,"하락  2,000",15850.0,15850.0,13650.0,9935.0,일정실업,008500
2020-06-23,13950.0,보합0,13950.0,15100.0,13750.0,6959.0,일정실업,008500
2020-06-24,14100.0,상승  150,14100.0,14450.0,13700.0,5866.0,일정실업,008500
2020-06-25,13200.0,하락  900,14150.0,14600.0,13000.0,4881.0,일정실업,008500
2020-06-26,12300.0,하락  900,13400.0,13500.0,12200.0,4630.0,일정실업,008500
2020-06-29,13250.0,상승  950,12350.0,15000.0,12350.0,12682.0,일정실업,008500
2020-06-30,13350.0,상승  100,13750.0,13800.0,12700.0,5768.0,일정실업,008500
2020-07-01,12500.0,하락  850,13100.0,13300.0,12400.0,6094.0,일정실업,008500
2020-07-02,12750.0,상승  250,12750.0,12900.0,12400.0,4788.0,일정실업,008500
2020-07-03,13250.0,상승  500,13350.0,13350.0,12750.0,4837.0,일정실업,008500
2020-07-06,13500.0,상승  250,13200.0,13800.0,13050.0,1602.0,일정실업,008500
2020-07-07,13900.0,상승  400,13500.0,14200.0,13450.0,2386.0,일정실업,008500
2020-07-08,13700.0,하락  200,13850.0,14400.0,13700.0,594.0,일정실업,008500
2020-07-09,13750.0,상승  50,13700.0,14450.0,13550.0,870.0,일정실업,008500
2020-07-10,13850.0,상승  100,12950.0,14050.0,12950.0,3594.0,일정실업,008500
2020-07-13,13350.0,하락  500,13850.0,13850.0,13300.0,2773.0,일정실업,008500
2020-07-14,13950.0,상승  600,13100.0,13950.0,13100.0,1547.0,일정실업,008500
2020-07-15,13950.0,보합0,13950.0,14050.0,13250.0,4546.0,일정실업,008500
2020-07-16,13400.0,하락  550,13900.0,13950.0,13300.0,1320.0,일정실업,008500
2020-07-17,12850.0,하락  550,13200.0,13200.0,12800.0,5910.0,일정실업,008500
2020-07-20,12850.0,보합0,12700.0,13000.0,12550.0,2295.0,일정실업,008500
2020-07-21,13200.0,상승  350,12850.0,13200.0,12800.0,557.0,일정실업,008500
2020-07-22,12800.0,하락  400,13200.0,13200.0,12800.0,1691.0,일정실업,008500
2020-07-23,12750.0,하락  50,12600.0,12850.0,12600.0,1154.0,일정실업,008500
2020-07-24,13000.0,상승  250,12750.0,13200.0,12750.0,3073.0,일정실업,008500
2020-07-27,13000.0,보합0,13000.0,13200.0,12900.0,761.0,일정실업,008500
2020-07-28,12650.0,하락  350,12850.0,12950.0,12600.0,2431.0,일정실업,008500
2020-07-29,13200.0,상승  550,12500.0,13200.0,12500.0,1631.0,일정실업,008500
2020-07-30,13150.0,하락  50,13050.0,13200.0,12700.0,9496.0,일정실업,008500
2020-07-31,13100.0,하락  50,13150.0,13200.0,12700.0,2118.0,일정실업,008500
2020-08-03,12600.0,하락  500,13100.0,13100.0,12500.0,2056.0,일정실업,008500
2020-08-04,12800.0,상승  200,12500.0,12800.0,12500.0,1344.0,일정실업,008500
2020-08-05,12500.0,하락  300,12900.0,12900.0,12400.0,6485.0,일정실업,008500
2020-08-06,12100.0,하락  400,12350.0,12550.0,12050.0,2987.0,일정실업,008500
2020-08-07,12050.0,하락  50,12100.0,12550.0,12000.0,1829.0,일정실업,008500
2020-08-10,12300.0,상승  250,12050.0,12650.0,12050.0,664.0,일정실업,008500
2020-08-11,12200.0,하락  100,12500.0,12500.0,12000.0,7338.0,일정실업,008500
2020-08-12,11900.0,하락  300,12200.0,12500.0,11850.0,1098.0,일정실업,008500
2020-08-13,12150.0,상승  250,11900.0,12500.0,11900.0,883.0,일정실업,008500
2020-08-14,11950.0,하락  200,12050.0,12150.0,11950.0,960.0,일정실업,008500
2020-08-18,12450.0,상승  500,11950.0,12550.0,11950.0,4587.0,일정실업,008500
2020-08-19,13000.0,상승  550,12500.0,13050.0,12000.0,6779.0,일정실업,008500
2020-08-20,11950.0,"하락  1,050",13000.0,13000.0,11950.0,931.0,일정실업,008500
2020-08-21,11850.0,하락  100,12000.0,12300.0,11500.0,1999.0,일정실업,008500
