날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,16250.0,"하락  1,250",17550.0,18300.0,16250.0,214984.0,일진다이아,081000
2020-03-17,15900.0,하락  350,14800.0,16650.0,14800.0,215366.0,일진다이아,081000
2020-03-18,14000.0,"하락  1,900",16200.0,16400.0,14000.0,225830.0,일진다이아,081000
2020-03-19,11050.0,"하락  2,950",14150.0,14500.0,11050.0,534238.0,일진다이아,081000
2020-03-20,12250.0,"상승  1,200",11350.0,12600.0,11150.0,437007.0,일진다이아,081000
2020-03-23,11000.0,"하락  1,250",11400.0,11600.0,10800.0,285155.0,일진다이아,081000
2020-03-24,12900.0,"상승  1,900",11550.0,13400.0,11450.0,393713.0,일진다이아,081000
2020-03-25,15800.0,"상승  2,900",13700.0,16750.0,13700.0,1729199.0,일진다이아,081000
2020-03-26,15900.0,상승  100,16150.0,16700.0,15100.0,602680.0,일진다이아,081000
2020-03-27,16000.0,상승  100,16800.0,16800.0,15050.0,547574.0,일진다이아,081000
2020-03-30,15550.0,하락  450,15250.0,15850.0,14800.0,413160.0,일진다이아,081000
2020-03-31,15700.0,상승  150,16000.0,16250.0,15400.0,265854.0,일진다이아,081000
2020-04-01,15500.0,하락  200,15650.0,16550.0,15400.0,340230.0,일진다이아,081000
2020-04-02,16050.0,상승  550,15650.0,16050.0,15050.0,186278.0,일진다이아,081000
2020-04-03,16850.0,상승  800,16350.0,17500.0,16200.0,508014.0,일진다이아,081000
2020-04-06,18200.0,"상승  1,350",16950.0,18200.0,16800.0,407433.0,일진다이아,081000
2020-04-07,19650.0,"상승  1,450",18900.0,20450.0,18500.0,624856.0,일진다이아,081000
2020-04-08,20100.0,상승  450,19600.0,20650.0,19100.0,323097.0,일진다이아,081000
2020-04-09,20450.0,상승  350,20800.0,21000.0,20150.0,202782.0,일진다이아,081000
2020-04-10,20500.0,상승  50,20200.0,21100.0,19700.0,260346.0,일진다이아,081000
2020-04-13,19700.0,하락  800,20050.0,20450.0,19500.0,178708.0,일진다이아,081000
2020-04-14,20800.0,"상승  1,100",20500.0,20850.0,20050.0,236001.0,일진다이아,081000
2020-04-16,22500.0,"상승  1,700",20800.0,22500.0,20800.0,320924.0,일진다이아,081000
2020-04-17,23400.0,상승  900,23800.0,26450.0,23150.0,1327106.0,일진다이아,081000
2020-04-20,24500.0,"상승  1,100",23800.0,25150.0,23100.0,454974.0,일진다이아,081000
2020-04-21,24450.0,하락  50,24700.0,25200.0,22550.0,484381.0,일진다이아,081000
2020-04-22,24150.0,하락  300,24000.0,24200.0,23250.0,187494.0,일진다이아,081000
2020-04-23,24150.0,보합0,24550.0,24850.0,23900.0,226541.0,일진다이아,081000
2020-04-24,23350.0,하락  800,24250.0,24600.0,23150.0,199002.0,일진다이아,081000
2020-04-27,23850.0,상승  500,23150.0,24000.0,23100.0,167184.0,일진다이아,081000
2020-04-28,23500.0,하락  350,24250.0,24250.0,23100.0,172068.0,일진다이아,081000
2020-04-29,23400.0,하락  100,23300.0,23800.0,23300.0,100488.0,일진다이아,081000
2020-05-04,23200.0,하락  200,23150.0,23600.0,22700.0,86391.0,일진다이아,081000
2020-05-06,23550.0,상승  350,23550.0,23650.0,23100.0,90583.0,일진다이아,081000
2020-05-07,23750.0,상승  200,23600.0,24050.0,23500.0,117925.0,일진다이아,081000
2020-05-08,24100.0,상승  350,24000.0,24250.0,23600.0,194023.0,일진다이아,081000
2020-05-11,23750.0,하락  350,24300.0,24350.0,23750.0,132040.0,일진다이아,081000
2020-05-12,23300.0,하락  450,23850.0,23950.0,22750.0,135426.0,일진다이아,081000
2020-05-13,24500.0,"상승  1,200",23000.0,24850.0,22800.0,289889.0,일진다이아,081000
2020-05-14,23900.0,하락  600,24500.0,24500.0,23450.0,195931.0,일진다이아,081000
2020-05-15,24550.0,상승  650,24250.0,24950.0,23350.0,304186.0,일진다이아,081000
2020-05-18,26750.0,"상승  2,200",25200.0,27100.0,24750.0,763368.0,일진다이아,081000
2020-05-19,26850.0,상승  100,27350.0,27450.0,26100.0,514023.0,일진다이아,081000
