날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2915.0,하락  300,2830.0,3040.0,2635.0,658601.0,일진홀딩스,015860
2020-03-16,2725.0,하락  190,2905.0,3185.0,2725.0,492473.0,일진홀딩스,015860
2020-03-17,2680.0,하락  45,2455.0,2770.0,2455.0,325922.0,일진홀딩스,015860
2020-03-18,2315.0,하락  365,2680.0,2750.0,2300.0,256047.0,일진홀딩스,015860
2020-03-19,1900.0,하락  415,2325.0,2415.0,1900.0,764239.0,일진홀딩스,015860
2020-03-20,2075.0,상승  175,1900.0,2085.0,1900.0,486163.0,일진홀딩스,015860
2020-03-23,1905.0,하락  170,1950.0,2000.0,1850.0,260567.0,일진홀딩스,015860
2020-03-24,2040.0,상승  135,1955.0,2045.0,1940.0,340137.0,일진홀딩스,015860
2020-03-25,2405.0,상승  365,2135.0,2650.0,2125.0,1171313.0,일진홀딩스,015860
2020-03-26,2460.0,상승  55,2470.0,2620.0,2380.0,499198.0,일진홀딩스,015860
2020-03-27,2520.0,상승  60,2610.0,2640.0,2330.0,434991.0,일진홀딩스,015860
2020-03-30,2580.0,상승  60,2450.0,2580.0,2360.0,194220.0,일진홀딩스,015860
2020-03-31,2765.0,상승  185,2640.0,2815.0,2610.0,341834.0,일진홀딩스,015860
2020-04-01,2680.0,하락  85,2755.0,2855.0,2650.0,297404.0,일진홀딩스,015860
2020-04-02,2730.0,상승  50,2630.0,2750.0,2550.0,165611.0,일진홀딩스,015860
2020-04-03,2930.0,상승  200,2740.0,2930.0,2740.0,319002.0,일진홀딩스,015860
2020-04-06,3400.0,상승  470,2900.0,3590.0,2745.0,1564347.0,일진홀딩스,015860
2020-04-07,3475.0,상승  75,3440.0,3535.0,3330.0,369254.0,일진홀딩스,015860
2020-04-08,3395.0,하락  80,3445.0,3545.0,3380.0,401924.0,일진홀딩스,015860
2020-04-09,3645.0,상승  250,3480.0,3985.0,3470.0,961983.0,일진홀딩스,015860
2020-04-10,3510.0,하락  135,3680.0,3750.0,3350.0,428843.0,일진홀딩스,015860
2020-04-13,3510.0,보합0,3425.0,3585.0,3425.0,278919.0,일진홀딩스,015860
2020-04-14,3590.0,상승  80,3535.0,3620.0,3525.0,196500.0,일진홀딩스,015860
2020-04-16,3900.0,상승  310,3590.0,4040.0,3525.0,933776.0,일진홀딩스,015860
2020-04-17,3885.0,하락  15,3900.0,3975.0,3830.0,539465.0,일진홀딩스,015860
2020-04-20,3810.0,하락  75,3900.0,3940.0,3770.0,237953.0,일진홀딩스,015860
