날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,12450.0,"하락  1,300",12800.0,12900.0,11300.0,68250.0,잇츠한불,226320
2020-03-16,11550.0,하락  900,12500.0,13000.0,11450.0,72031.0,잇츠한불,226320
2020-03-17,11600.0,상승  50,10550.0,11700.0,10550.0,41860.0,잇츠한불,226320
2020-03-18,10000.0,"하락  1,600",11450.0,11900.0,10000.0,95844.0,잇츠한불,226320
2020-03-19,8150.0,"하락  1,850",10100.0,10350.0,7510.0,145709.0,잇츠한불,226320
2020-03-20,8700.0,상승  550,8010.0,8750.0,7850.0,119871.0,잇츠한불,226320
2020-03-23,8240.0,하락  460,8000.0,8590.0,7760.0,21407.0,잇츠한불,226320
2020-03-24,8830.0,상승  590,8300.0,9660.0,8240.0,158877.0,잇츠한불,226320
2020-03-25,9530.0,상승  700,9070.0,9750.0,9030.0,77767.0,잇츠한불,226320
2020-03-26,10350.0,상승  820,9590.0,10500.0,9380.0,69915.0,잇츠한불,226320
2020-03-27,10500.0,상승  150,10700.0,11000.0,9900.0,60498.0,잇츠한불,226320
2020-03-30,10400.0,하락  100,10050.0,10500.0,9650.0,38709.0,잇츠한불,226320
2020-03-31,10700.0,상승  300,10550.0,10900.0,10450.0,55419.0,잇츠한불,226320
2020-04-01,10350.0,하락  350,10650.0,11350.0,10250.0,46340.0,잇츠한불,226320
2020-04-02,10700.0,상승  350,10300.0,10850.0,10050.0,31183.0,잇츠한불,226320
2020-04-03,10650.0,하락  50,10750.0,10850.0,10300.0,38932.0,잇츠한불,226320
2020-04-06,11750.0,"상승  1,100",10750.0,12300.0,10750.0,108702.0,잇츠한불,226320
2020-04-07,12600.0,상승  850,12100.0,12750.0,11650.0,91776.0,잇츠한불,226320
2020-04-08,13900.0,"상승  1,300",12600.0,14450.0,12000.0,148126.0,잇츠한불,226320
2020-04-09,14100.0,상승  200,14200.0,14750.0,13700.0,78979.0,잇츠한불,226320
2020-04-10,14100.0,보합0,14100.0,14300.0,13450.0,57053.0,잇츠한불,226320
2020-04-13,14150.0,상승  50,14250.0,15300.0,13900.0,88977.0,잇츠한불,226320
2020-04-14,14550.0,상승  400,14300.0,14750.0,14250.0,40069.0,잇츠한불,226320
2020-04-16,14750.0,상승  200,14500.0,14900.0,14300.0,27888.0,잇츠한불,226320
2020-04-17,15250.0,상승  500,15250.0,15300.0,14800.0,77051.0,잇츠한불,226320
2020-04-20,15150.0,하락  100,15300.0,15500.0,14950.0,42665.0,잇츠한불,226320
2020-04-21,14650.0,하락  500,15000.0,15350.0,13900.0,94554.0,잇츠한불,226320
2020-04-22,14600.0,하락  50,13950.0,14600.0,13800.0,40826.0,잇츠한불,226320
2020-04-23,14800.0,상승  200,14800.0,14850.0,14450.0,25153.0,잇츠한불,226320
2020-04-24,14200.0,하락  600,14600.0,15000.0,14100.0,25982.0,잇츠한불,226320
2020-04-27,14600.0,상승  400,14450.0,14650.0,14200.0,15697.0,잇츠한불,226320
2020-04-28,14900.0,상승  300,14750.0,15250.0,14600.0,47796.0,잇츠한불,226320
2020-04-29,14900.0,보합0,14900.0,15250.0,14650.0,56073.0,잇츠한불,226320
2020-05-04,15250.0,상승  350,14900.0,15600.0,14600.0,59316.0,잇츠한불,226320
2020-05-06,15250.0,보합0,15400.0,15650.0,14950.0,52477.0,잇츠한불,226320
2020-05-07,15250.0,보합0,15350.0,15350.0,15000.0,34088.0,잇츠한불,226320
2020-05-08,15450.0,상승  200,15300.0,15500.0,15150.0,34576.0,잇츠한불,226320
2020-05-11,15450.0,보합0,15350.0,15600.0,15000.0,43512.0,잇츠한불,226320
2020-05-12,15350.0,하락  100,15300.0,15650.0,14950.0,31571.0,잇츠한불,226320
2020-05-13,15150.0,하락  200,15000.0,15150.0,14750.0,29942.0,잇츠한불,226320
2020-05-14,15050.0,하락  100,15350.0,15350.0,14650.0,30321.0,잇츠한불,226320
2020-05-15,15000.0,하락  50,15050.0,15150.0,14700.0,16104.0,잇츠한불,226320
2020-05-18,15150.0,상승  150,15000.0,15200.0,14650.0,25688.0,잇츠한불,226320
2020-05-19,15400.0,상승  250,15300.0,15500.0,15100.0,52813.0,잇츠한불,226320
2020-05-20,16000.0,상승  600,15450.0,16850.0,15450.0,122881.0,잇츠한불,226320
2020-05-21,16100.0,상승  100,16200.0,16450.0,15850.0,54634.0,잇츠한불,226320
2020-05-22,15250.0,하락  850,16100.0,16100.0,15200.0,53720.0,잇츠한불,226320
2020-05-25,14800.0,하락  450,15050.0,15300.0,14550.0,31421.0,잇츠한불,226320
2020-05-26,14950.0,상승  150,14800.0,15050.0,14650.0,22431.0,잇츠한불,226320
2020-05-27,14950.0,보합0,14900.0,15150.0,14800.0,17058.0,잇츠한불,226320
2020-05-28,14550.0,하락  400,14950.0,15250.0,14400.0,27676.0,잇츠한불,226320
2020-05-29,14050.0,하락  500,14500.0,14650.0,13900.0,46526.0,잇츠한불,226320
2020-06-01,14400.0,상승  350,14150.0,14450.0,13950.0,17873.0,잇츠한불,226320
2020-06-02,14350.0,하락  50,14200.0,14450.0,14100.0,20763.0,잇츠한불,226320
2020-06-03,14550.0,상승  200,14400.0,14800.0,14400.0,35752.0,잇츠한불,226320
2020-06-04,14700.0,상승  150,14600.0,15150.0,14500.0,63057.0,잇츠한불,226320
2020-06-05,15200.0,상승  500,14900.0,15300.0,14600.0,30650.0,잇츠한불,226320
2020-06-08,15300.0,상승  100,15450.0,15750.0,15100.0,31136.0,잇츠한불,226320
2020-06-09,15150.0,하락  150,15350.0,15500.0,15000.0,24840.0,잇츠한불,226320
2020-06-10,14750.0,하락  400,15100.0,15200.0,14750.0,28178.0,잇츠한불,226320
2020-06-11,14350.0,하락  400,14600.0,14950.0,14300.0,27527.0,잇츠한불,226320
2020-06-12,13900.0,하락  450,13500.0,14250.0,13450.0,27547.0,잇츠한불,226320
2020-06-15,13150.0,하락  750,13850.0,13850.0,12900.0,42542.0,잇츠한불,226320
2020-06-16,13650.0,상승  500,13650.0,13650.0,13300.0,24311.0,잇츠한불,226320
2020-06-17,13350.0,하락  300,13650.0,13650.0,13100.0,20199.0,잇츠한불,226320
2020-06-18,13250.0,하락  100,13250.0,13500.0,13000.0,17970.0,잇츠한불,226320
2020-06-19,13250.0,보합0,13450.0,13450.0,13050.0,22211.0,잇츠한불,226320
2020-06-22,12900.0,하락  350,13250.0,13250.0,12850.0,30016.0,잇츠한불,226320
2020-06-23,12600.0,하락  300,12950.0,13400.0,12500.0,23872.0,잇츠한불,226320
2020-06-24,12750.0,상승  150,12750.0,12800.0,12450.0,18788.0,잇츠한불,226320
2020-06-25,12300.0,하락  450,12600.0,12700.0,12250.0,20501.0,잇츠한불,226320
2020-06-26,12350.0,상승  50,12500.0,12500.0,12200.0,9589.0,잇츠한불,226320
