날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3935.0,하락  590,4150.0,4175.0,3530.0,561046.0,자이에스앤디,317400
2020-03-16,3815.0,하락  120,4000.0,4090.0,3710.0,151684.0,자이에스앤디,317400
2020-03-17,3635.0,하락  180,3430.0,3725.0,3430.0,203405.0,자이에스앤디,317400
2020-03-18,3475.0,하락  160,3660.0,3745.0,3475.0,116487.0,자이에스앤디,317400
2020-03-19,2865.0,하락  610,3500.0,3510.0,2800.0,182962.0,자이에스앤디,317400
2020-03-20,3050.0,상승  185,2865.0,3150.0,2860.0,232732.0,자이에스앤디,317400
2020-03-23,3045.0,하락  5,2815.0,3050.0,2790.0,131779.0,자이에스앤디,317400
2020-03-24,3120.0,상승  75,3095.0,3190.0,3060.0,107794.0,자이에스앤디,317400
2020-03-25,3350.0,상승  230,3250.0,3495.0,3250.0,186811.0,자이에스앤디,317400
2020-03-26,3500.0,상승  150,3360.0,3560.0,3305.0,257801.0,자이에스앤디,317400
2020-03-27,3540.0,상승  40,3740.0,3740.0,3450.0,155918.0,자이에스앤디,317400
2020-03-30,3550.0,상승  10,3490.0,3555.0,3300.0,108116.0,자이에스앤디,317400
2020-03-31,3725.0,상승  175,3600.0,3850.0,3575.0,135261.0,자이에스앤디,317400
2020-04-01,3615.0,하락  110,3730.0,3855.0,3600.0,169816.0,자이에스앤디,317400
2020-04-02,3635.0,상승  20,3615.0,3640.0,3575.0,97340.0,자이에스앤디,317400
2020-04-03,3740.0,상승  105,3730.0,3760.0,3665.0,110444.0,자이에스앤디,317400
2020-04-06,3890.0,상승  150,3740.0,3940.0,3740.0,136682.0,자이에스앤디,317400
2020-04-07,4075.0,상승  185,4000.0,4080.0,3970.0,119514.0,자이에스앤디,317400
2020-04-08,4115.0,상승  40,4050.0,4160.0,3980.0,71091.0,자이에스앤디,317400
2020-04-09,4235.0,상승  120,4150.0,4250.0,4125.0,93831.0,자이에스앤디,317400
2020-04-10,4175.0,하락  60,4295.0,4295.0,4070.0,160312.0,자이에스앤디,317400
2020-04-13,4125.0,하락  50,4180.0,4185.0,4085.0,89307.0,자이에스앤디,317400
2020-04-14,4180.0,상승  55,4125.0,4200.0,4125.0,45016.0,자이에스앤디,317400
2020-04-16,4220.0,상승  40,4180.0,4280.0,4070.0,69304.0,자이에스앤디,317400
2020-04-17,4340.0,상승  120,4300.0,4350.0,4220.0,155016.0,자이에스앤디,317400
2020-04-20,4320.0,하락  20,4350.0,4390.0,4320.0,111394.0,자이에스앤디,317400
